Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,754.5,754.5,754.5,754.5,1000000,0
2012-07-03,1,767.6,767.6,767.6,767.6,1000000,0
2012-07-04,2,757.75,757.75,757.75,757.75,1000000,0
2012-07-05,3,747.0,747.0,747.0,747.0,1000000,0
2012-07-06,4,744.8,744.8,744.8,744.8,1000000,0
2012-07-09,7,746.35,746.35,746.35,746.35,1000000,0
2012-07-10,8,753.3,753.3,753.3,753.3,1000000,0
2012-07-11,9,776.4,776.4,776.4,776.4,1000000,0
2012-07-12,10,770.8,770.8,770.8,770.8,1000000,0
2012-07-13,11,744.55,744.55,744.55,744.55,1000000,0
2012-07-16,14,720.1,720.1,720.1,720.1,1000000,0
2012-07-17,15,707.0,707.0,707.0,707.0,1000000,0
2012-07-18,16,749.45,749.45,749.45,749.45,1000000,0
2012-07-19,17,743.95,743.95,743.95,743.95,1000000,0
2012-07-20,18,728.2,728.2,728.2,728.2,1000000,0
2012-07-23,21,699.5,699.5,699.5,699.5,1000000,0
2012-07-24,22,703.05,703.05,703.05,703.05,1000000,0
2012-07-25,23,698.5,698.5,698.5,698.5,1000000,0
2012-07-26,24,700.35,700.35,700.35,700.35,1000000,0
2012-07-27,25,691.25,691.25,691.25,691.25,1000000,0
2012-07-30,28,707.75,707.75,707.75,707.75,1000000,0
2012-07-31,29,720.65,720.65,720.65,720.65,1000000,0
2012-08-01,30,737.35,737.35,737.35,737.35,1000000,0
2012-08-02,31,754.3,754.3,754.3,754.3,1000000,0
2012-08-03,32,764.2,764.2,764.2,764.2,1000000,0
2012-08-06,35,791.65,791.65,791.65,791.65,1000000,0
2012-08-07,36,792.15,792.15,792.15,792.15,1000000,0
2012-08-08,37,799.75,799.75,799.75,799.75,1000000,0
2012-08-09,38,800.85,800.85,800.85,800.85,1000000,0
2012-08-10,39,805.8,805.8,805.8,805.8,1000000,0
2012-08-13,42,837.75,837.75,837.75,837.75,1000000,0
2012-08-14,43,837.65,837.65,837.65,837.65,1000000,0
2012-08-16,45,847.2,847.2,847.2,847.2,1000000,0
2012-08-17,46,831.7,831.7,831.7,831.7,1000000,0
2012-08-21,50,845.65,845.65,845.65,845.65,1000000,0
2012-08-22,51,842.75,842.75,842.75,842.75,1000000,0
2012-08-23,52,829.8,829.8,829.8,829.8,1000000,0
2012-08-24,53,838.5,838.5,838.5,838.5,1000000,0
2012-08-27,56,829.7,829.7,829.7,829.7,1000000,0
2012-08-28,57,816.25,816.25,816.25,816.25,1000000,0
2012-08-29,58,813.45,813.45,813.45,813.45,1000000,0
2012-08-30,59,821.75,821.75,821.75,821.75,1000000,0
2012-08-31,60,840.55,840.55,840.55,840.55,1000000,0
2012-09-03,63,842.15,842.15,842.15,842.15,1000000,0
2012-09-04,64,843.45,843.45,843.45,843.45,1000000,0
2012-09-05,65,827.2,827.2,827.2,827.2,1000000,0
2012-09-06,66,837.0,837.0,837.0,837.0,1000000,0
2012-09-07,67,867.2,867.2,867.2,867.2,1000000,0
2012-09-10,70,873.9,873.9,873.9,873.9,1000000,0
2012-09-11,71,874.4,874.4,874.4,874.4,1000000,0
2012-09-12,72,876.55,876.55,876.55,876.55,1000000,0
2012-09-13,73,907.85,907.85,907.85,907.85,1000000,0
2012-09-14,74,909.55,909.55,909.55,909.55,1000000,0
2012-09-17,77,906.2,906.2,906.2,906.2,1000000,0
2012-09-18,78,903.8,903.8,903.8,903.8,1000000,0
2012-09-20,80,902.35,902.35,902.35,902.35,1000000,0
2012-09-21,81,912.9,912.9,912.9,912.9,1000000,0
2012-09-24,84,931.15,931.15,931.15,931.15,1000000,0
2012-09-25,85,927.05,927.05,927.05,927.05,1000000,0
2012-09-26,86,929.6,929.6,929.6,929.6,1000000,0
2012-09-27,87,936.15,936.15,936.15,936.15,1000000,0
2012-09-28,88,975.4,975.4,975.4,975.4,1000000,0
2012-10-01,91,972.35,972.35,972.35,972.35,1000000,0
2012-10-03,93,969.15,969.15,969.15,969.15,1000000,0
2012-10-04,94,1002.8,1002.8,1002.8,1002.8,1000000,0
2012-10-05,95,998.8,998.8,998.8,998.8,1000000,0
2012-10-08,98,980.95,980.95,980.95,980.95,1000000,0
2012-10-09,99,985.35,985.35,985.35,985.35,1000000,0
2012-10-10,100,1011.3,1011.3,1011.3,1011.3,1000000,0
2012-10-11,101,1033.6,1033.6,1033.6,1033.6,1000000,0
2012-10-12,102,1032.05,1032.05,1032.05,1032.05,1000000,0
2012-10-15,105,1026.6,1026.6,1026.6,1026.6,1000000,0
2012-10-16,106,1005.9,1005.9,1005.9,1005.9,1000000,0
2012-10-17,107,995.0,995.0,995.0,995.0,1000000,0
2012-10-18,108,1017.1,1017.1,1017.1,1017.1,1000000,0
2012-10-19,109,1007.6,1007.6,1007.6,1007.6,1000000,0
2012-10-22,112,1016.05,1016.05,1016.05,1016.05,1000000,0
2012-10-23,113,1004.05,1004.05,1004.05,1004.05,1000000,0
2012-10-25,115,1016.65,1016.65,1016.65,1016.65,1000000,0
2012-10-26,116,995.4,995.4,995.4,995.4,1000000,0
2012-10-29,119,979.8,979.8,979.8,979.8,1000000,0
2012-10-30,120,982.05,982.05,982.05,982.05,1000000,0
2012-10-31,121,995.3,995.3,995.3,995.3,1000000,0
2012-11-01,122,1002.3,1002.3,1002.3,1002.3,1000000,0
2012-11-02,123,1030.8,1030.8,1030.8,1030.8,1000000,0
2012-11-05,126,1045.7,1045.7,1045.7,1045.7,1000000,0
2012-11-06,127,1041.2,1041.2,1041.2,1041.2,1000000,0
2012-11-07,128,1066.6,1066.6,1066.6,1066.6,1000000,0
2012-11-08,129,1080.9,1080.9,1080.9,1080.9,1000000,0
2012-11-09,130,1096.15,1096.15,1096.15,1096.15,1000000,0
2012-11-12,133,1167.9,1167.9,1167.9,1167.9,1000000,0
2012-11-13,134,1197.2,1197.2,1197.2,1197.2,1000000,0
2012-11-15,136,1173.4,1173.4,1173.4,1173.4,1000000,0
2012-11-16,137,1136.15,1136.15,1136.15,1136.15,1000000,0
2012-11-19,140,1114.1,1114.1,1114.1,1114.1,1000000,0
2012-11-20,141,1147.1,1147.1,1147.1,1147.1,1000000,0
2012-11-21,142,1148.45,1148.45,1148.45,1148.45,1000000,0
2012-11-22,143,1126.55,1126.55,1126.55,1126.55,1000000,0
2012-11-23,144,1112.8,1112.8,1112.8,1112.8,1000000,0
2012-11-26,147,1095.9,1095.9,1095.9,1095.9,1000000,0
2012-11-27,148,1138.65,1138.65,1138.65,1138.65,1000000,0
2012-11-29,150,1120.55,1120.55,1120.55,1120.55,1000000,0
2012-11-30,151,1136.95,1136.95,1136.95,1136.95,1000000,0
2012-12-03,154,1139.6,1139.6,1139.6,1139.6,1000000,0
2012-12-04,155,1141.1,1141.1,1141.1,1141.1,1000000,0
2012-12-05,156,1135.55,1135.55,1135.55,1135.55,1000000,0
2012-12-06,157,1145.05,1145.05,1145.05,1145.05,1000000,0
2012-12-07,158,1133.05,1133.05,1133.05,1133.05,1000000,0
2012-12-10,161,1133.7,1133.7,1133.7,1133.7,1000000,0
2012-12-11,162,1113.5,1113.5,1113.5,1113.5,1000000,0
2012-12-12,163,1100.3,1100.3,1100.3,1100.3,1000000,0
2012-12-13,164,1048.35,1048.35,1048.35,1048.35,1000000,0
2012-12-14,165,1070.0,1070.0,1070.0,1070.0,1000000,0
2012-12-17,168,1069.55,1069.55,1069.55,1069.55,1000000,0
2012-12-18,169,1064.05,1064.05,1064.05,1064.05,1000000,0
2012-12-19,170,1082.8,1082.8,1082.8,1082.8,1000000,0
2012-12-20,171,1111.8,1111.8,1111.8,1111.8,1000000,0
2012-12-21,172,1087.75,1087.75,1087.75,1087.75,1000000,0
2012-12-24,175,1099.45,1099.45,1099.45,1099.45,1000000,0
2012-12-26,177,1111.0,1111.0,1111.0,1111.0,1000000,0
2012-12-27,178,1086.55,1086.55,1086.55,1086.55,1000000,0
2012-12-28,179,1113.15,1113.15,1113.15,1113.15,1000000,0
2012-12-31,182,1129.85,1129.85,1129.85,1129.85,1000000,0
2013-01-01,183,1138.3,1138.3,1138.3,1138.3,1000000,0
2013-01-02,184,1117.85,1117.85,1117.85,1117.85,1000000,0
2013-01-03,185,1122.3,1122.3,1122.3,1122.3,1000000,0
2013-01-04,186,1170.05,1170.05,1170.05,1170.05,1000000,0
2013-01-07,189,1161.85,1161.85,1161.85,1161.85,1000000,0
2013-01-08,190,1155.65,1155.65,1155.65,1155.65,1000000,0
2013-01-09,191,1144.5,1144.5,1144.5,1144.5,1000000,0
2013-01-10,192,1153.5,1153.5,1153.5,1153.5,1000000,0
2013-01-11,193,1126.7,1126.7,1126.7,1126.7,1000000,0
2013-01-14,196,1137.15,1137.15,1137.15,1137.15,1000000,0
2013-01-15,197,1173.05,1173.05,1173.05,1173.05,1000000,0
2013-01-16,198,1132.75,1132.75,1132.75,1132.75,1000000,0
2013-01-17,199,1145.6,1145.6,1145.6,1145.6,1000000,0
2013-01-18,200,1182.9,1182.9,1182.9,1182.9,1000000,0
2013-01-21,203,1171.95,1171.95,1171.95,1171.95,1000000,0
2013-01-22,204,1149.9,1149.9,1149.9,1149.9,1000000,0
2013-01-23,205,1162.05,1162.05,1162.05,1162.05,1000000,0
2013-01-24,206,1139.3,1139.3,1139.3,1139.3,1000000,0
2013-01-25,207,1150.95,1150.95,1150.95,1150.95,1000000,0
2013-01-28,210,1160.25,1160.25,1160.25,1160.25,1000000,0
2013-01-29,211,1132.65,1132.65,1132.65,1132.65,1000000,0
2013-01-30,212,1139.45,1139.45,1139.45,1139.45,1000000,0
2013-01-31,213,1120.9,1120.9,1120.9,1120.9,1000000,0
2013-02-01,214,1114.7,1114.7,1114.7,1114.7,1000000,0
2013-02-04,217,1076.35,1076.35,1076.35,1076.35,1000000,0
2013-02-05,218,1087.6,1087.6,1087.6,1087.6,1000000,0
