Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,20.0,20.0,20.0,20.0,1,0
2012-07-03,1,20.2,20.2,20.2,20.2,1,0
2012-07-04,2,20.96,20.96,20.96,20.96,1,0
2012-07-05,3,21.05,21.05,21.05,21.05,1,0
2012-07-06,4,20.91,20.91,20.91,20.91,1,0
2012-07-09,7,20.7,20.7,20.7,20.7,1,0
2012-07-10,8,20.9,20.9,20.9,20.9,1,0
2012-07-11,9,21.15,21.15,21.15,21.15,1,0
2012-07-12,10,20.76,20.76,20.76,20.76,1,0
2012-07-13,11,20.37,20.37,20.37,20.37,1,0
2012-07-16,14,20.5,20.5,20.5,20.5,1,0
2012-07-17,15,20.35,20.35,20.35,20.35,1,0
2012-07-18,16,19.81,19.81,19.81,19.81,1,0
2012-07-19,17,20.0,20.0,20.0,20.0,1,0
2012-07-20,18,19.83,19.83,19.83,19.83,1,0
2012-07-23,21,20.0,20.0,20.0,20.0,1,0
2012-07-24,22,20.06,20.06,20.06,20.06,1,0
2012-07-25,23,20.5,20.5,20.5,20.5,1,0
2012-07-26,24,20.0,20.0,20.0,20.0,1,0
2012-07-27,25,19.71,19.71,19.71,19.71,1,0
2012-07-30,28,19.6,19.6,19.6,19.6,1,0
2012-07-31,29,19.45,19.45,19.45,19.45,1,0
2012-08-01,30,20.26,20.26,20.26,20.26,1,0
2012-08-02,31,19.46,19.46,19.46,19.46,1,0
2012-08-03,32,19.35,19.35,19.35,19.35,1,0
2012-08-06,35,19.63,19.63,19.63,19.63,1,0
2012-08-07,36,22.24,22.24,22.24,22.24,1,0
2012-08-08,37,23.12,23.12,23.12,23.12,1,0
2012-08-09,38,23.08,23.08,23.08,23.08,1,0
2012-08-10,39,23.32,23.32,23.32,23.32,1,0
2012-08-13,42,22.96,22.96,22.96,22.96,1,0
2012-08-14,43,22.82,22.82,22.82,22.82,1,0
2012-08-16,45,22.8,22.8,22.8,22.8,1,0
2012-08-17,46,22.04,22.04,22.04,22.04,1,0
2012-08-21,50,22.97,22.97,22.97,22.97,1,0
2012-08-22,51,23.55,23.55,23.55,23.55,1,0
2012-08-23,52,23.45,23.45,23.45,23.45,1,0
2012-08-24,53,22.3,22.3,22.3,22.3,1,0
2012-08-27,56,23.19,23.19,23.19,23.19,1,0
2012-08-28,57,22.48,22.48,22.48,22.48,1,0
2012-08-29,58,22.58,22.58,22.58,22.58,1,0
2012-08-30,59,21.83,21.83,21.83,21.83,1,0
2012-08-31,60,22.0,22.0,22.0,22.0,1,0
2012-09-03,63,23.2,23.2,23.2,23.2,1,0
2012-09-04,64,22.04,22.04,22.04,22.04,1,0
2012-09-05,65,22.57,22.57,22.57,22.57,1,0
2012-09-06,66,22.02,22.02,22.02,22.02,1,0
2012-09-07,67,23.14,23.14,23.14,23.14,1,0
2012-09-10,70,27.99,27.99,27.99,27.99,1,0
2012-09-11,71,29.65,29.65,29.65,29.65,1,0
2012-09-12,72,29.1,29.1,29.1,29.1,1,0
2012-09-13,73,26.6,26.6,26.6,26.6,1,0
2012-09-14,74,29.52,29.52,29.52,29.52,1,0
2012-09-17,77,28.9,28.9,28.9,28.9,1,0
2012-09-18,78,27.61,27.61,27.61,27.61,1,0
2012-09-20,80,27.39,27.39,27.39,27.39,1,0
2012-09-21,81,27.03,27.03,27.03,27.03,1,0
2012-09-24,84,26.73,26.73,26.73,26.73,1,0
2012-09-25,85,27.18,27.18,27.18,27.18,1,0
2012-09-26,86,26.88,26.88,26.88,26.88,1,0
2012-09-27,87,26.74,26.74,26.74,26.74,1,0
2012-09-28,88,26.59,26.59,26.59,26.59,1,0
2012-10-01,91,27.1,27.1,27.1,27.1,1,0
2012-10-03,93,27.17,27.17,27.17,27.17,1,0
2012-10-04,94,26.69,26.69,26.69,26.69,1,0
2012-10-05,95,27.11,27.11,27.11,27.11,1,0
2012-10-08,98,26.68,26.68,26.68,26.68,1,0
2012-10-09,99,27.62,27.62,27.62,27.62,1,0
