Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,379.65,379.65,379.65,379.65,1,0
2012-07-03,1,378.75,378.75,378.75,378.75,1,0
2012-07-04,2,375.0,375.0,375.0,375.0,1,0
2012-07-05,3,373.75,373.75,373.75,373.75,1,0
2012-07-06,4,371.6,371.6,371.6,371.6,1,0
2012-07-09,7,370.15,370.15,370.15,370.15,1,0
2012-07-10,8,371.5,371.5,371.5,371.5,1,0
2012-07-11,9,368.65,368.65,368.65,368.65,1,0
2012-07-12,10,367.25,367.25,367.25,367.25,1,0
2012-07-13,11,366.55,366.55,366.55,366.55,1,0
2012-07-16,14,369.1,369.1,369.1,369.1,1,0
2012-07-17,15,366.8,366.8,366.8,366.8,1,0
2012-07-18,16,365.5,365.5,365.5,365.5,1,0
2012-07-19,17,367.05,367.05,367.05,367.05,1,0
2012-07-20,18,369.5,369.5,369.5,369.5,1,0
2012-07-23,21,358.1,358.1,358.1,358.1,1,0
2012-07-24,22,365.1,365.1,365.1,365.1,1,0
2012-07-25,23,370.2,370.2,370.2,370.2,1,0
2012-07-26,24,367.4,367.4,367.4,367.4,1,0
2012-07-27,25,368.3,368.3,368.3,368.3,1,0
2012-07-30,28,370.05,370.05,370.05,370.05,1,0
2012-07-31,29,373.0,373.0,373.0,373.0,1,0
2012-08-01,30,374.8,374.8,374.8,374.8,1,0
2012-08-02,31,366.15,366.15,366.15,366.15,1,0
2012-08-03,32,366.95,366.95,366.95,366.95,1,0
2012-08-06,35,364.05,364.05,364.05,364.05,1,0
2012-08-07,36,359.6,359.6,359.6,359.6,1,0
2012-08-08,37,359.8,359.8,359.8,359.8,1,0
2012-08-09,38,357.4,357.4,357.4,357.4,1,0
2012-08-10,39,358.7,358.7,358.7,358.7,1,0
2012-08-13,42,357.95,357.95,357.95,357.95,1,0
2012-08-14,43,356.05,356.05,356.05,356.05,1,0
2012-08-16,45,356.7,356.7,356.7,356.7,1,0
2012-08-17,46,358.35,358.35,358.35,358.35,1,0
2012-08-21,50,360.5,360.5,360.5,360.5,1,0
2012-08-22,51,375.75,375.75,375.75,375.75,1,0
2012-08-23,52,371.05,371.05,371.05,371.05,1,0
2012-08-24,53,359.35,359.35,359.35,359.35,1,0
2012-08-27,56,353.85,353.85,353.85,353.85,1,0
2012-08-28,57,350.4,350.4,350.4,350.4,1,0
2012-08-29,58,351.55,351.55,351.55,351.55,1,0
2012-08-30,59,342.25,342.25,342.25,342.25,1,0
2012-08-31,60,340.8,340.8,340.8,340.8,1,0
2012-09-03,63,343.65,343.65,343.65,343.65,1,0
2012-09-04,64,340.35,340.35,340.35,340.35,1,0
2012-09-05,65,343.7,343.7,343.7,343.7,1,0
2012-09-06,66,340.05,340.05,340.05,340.05,1,0
2012-09-07,67,341.65,341.65,341.65,341.65,1,0
2012-09-10,70,338.55,338.55,338.55,338.55,1,0
2012-09-11,71,337.35,337.35,337.35,337.35,1,0
2012-09-12,72,335.85,335.85,335.85,335.85,1,0
2012-09-13,73,336.35,336.35,336.35,336.35,1,0
2012-09-14,74,337.9,337.9,337.9,337.9,1,0
2012-09-17,77,338.4,338.4,338.4,338.4,1,0
2012-09-18,78,337.9,337.9,337.9,337.9,1,0
2012-09-20,80,337.95,337.95,337.95,337.95,1,0
2012-09-21,81,350.15,350.15,350.15,350.15,1,0
2012-09-24,84,379.15,379.15,379.15,379.15,1,0
2012-09-25,85,388.3,388.3,388.3,388.3,1,0
2012-09-26,86,377.75,377.75,377.75,377.75,1,0
2012-09-27,87,374.3,374.3,374.3,374.3,1,0
2012-09-28,88,375.55,375.55,375.55,375.55,1,0
2012-10-01,91,374.35,374.35,374.35,374.35,1,0
2012-10-03,93,382.4,382.4,382.4,382.4,1,0
2012-10-04,94,378.3,378.3,378.3,378.3,1,0
2012-10-05,95,378.75,378.75,378.75,378.75,1,0
2012-10-08,98,378.5,378.5,378.5,378.5,1,0
2012-10-09,99,379.5,379.5,379.5,379.5,1,0
2012-10-10,100,376.45,376.45,376.45,376.45,1,0
2012-10-11,101,377.45,377.45,377.45,377.45,1,0
2012-10-12,102,376.25,376.25,376.25,376.25,1,0
2012-10-15,105,372.3,372.3,372.3,372.3,1,0
2012-10-16,106,370.85,370.85,370.85,370.85,1,0
2012-10-17,107,364.6,364.6,364.6,364.6,1,0
2012-10-18,108,360.8,360.8,360.8,360.8,1,0
2012-10-19,109,375.85,375.85,375.85,375.85,1,0
2012-10-22,112,371.15,371.15,371.15,371.15,1,0
2012-10-23,113,378.15,378.15,378.15,378.15,1,0
2012-10-25,115,377.1,377.1,377.1,377.1,1,0
2012-10-26,116,377.35,377.35,377.35,377.35,1,0
2012-10-29,119,374.95,374.95,374.95,374.95,1,0
2012-10-30,120,373.95,373.95,373.95,373.95,1,0
2012-10-31,121,374.25,374.25,374.25,374.25,1,0
2012-11-01,122,373.6,373.6,373.6,373.6,1,0
2012-11-02,123,373.0,373.0,373.0,373.0,1,0
2012-11-05,126,373.55,373.55,373.55,373.55,1,0
2012-11-06,127,375.3,375.3,375.3,375.3,1,0
2012-11-07,128,392.4,392.4,392.4,392.4,1,0
2012-11-08,129,399.45,399.45,399.45,399.45,1,0
2012-11-09,130,397.55,397.55,397.55,397.55,1,0
2012-11-12,133,394.2,394.2,394.2,394.2,1,0
2012-11-13,134,393.75,393.75,393.75,393.75,1,0
2012-11-15,136,391.45,391.45,391.45,391.45,1,0
2012-11-16,137,393.15,393.15,393.15,393.15,1,0
2012-11-19,140,390.7,390.7,390.7,390.7,1,0
2012-11-20,141,389.25,389.25,389.25,389.25,1,0
2012-11-21,142,389.55,389.55,389.55,389.55,1,0
2012-11-22,143,388.05,388.05,388.05,388.05,1,0
2012-11-23,144,388.45,388.45,388.45,388.45,1,0
2012-11-26,147,385.15,385.15,385.15,385.15,1,0
2012-11-27,148,385.6,385.6,385.6,385.6,1,0
2012-11-29,150,381.55,381.55,381.55,381.55,1,0
2012-11-30,151,382.1,382.1,382.1,382.1,1,0
2012-12-03,154,375.25,375.25,375.25,375.25,1,0
