Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,14.0,14.0,14.0,14.0,1000000,0
2012-07-03,1,13.85,13.85,13.85,13.85,1000000,0
2012-07-04,2,14.5,14.5,14.5,14.5,1000000,0
2012-07-05,3,14.65,14.65,14.65,14.65,1000000,0
2012-07-06,4,15.0,15.0,15.0,15.0,1000000,0
2012-07-09,7,14.85,14.85,14.85,14.85,1000000,0
2012-07-10,8,15.1,15.1,15.1,15.1,1000000,0
2012-07-11,9,15.05,15.05,15.05,15.05,1000000,0
2012-07-12,10,14.75,14.75,14.75,14.75,1000000,0
2012-07-13,11,14.8,14.8,14.8,14.8,1000000,0
2012-07-16,14,15.4,15.4,15.4,15.4,1000000,0
2012-07-17,15,14.5,14.5,14.5,14.5,1000000,0
2012-07-18,16,15.2,15.2,15.2,15.2,1000000,0
2012-07-19,17,14.6,14.6,14.6,14.6,1000000,0
2012-07-20,18,14.45,14.45,14.45,14.45,1000000,0
2012-07-23,21,14.1,14.1,14.1,14.1,1000000,0
2012-07-24,22,14.0,14.0,14.0,14.0,1000000,0
2012-07-25,23,14.0,14.0,14.0,14.0,1000000,0
2012-07-26,24,13.65,13.65,13.65,13.65,1000000,0
2012-07-27,25,14.1,14.1,14.1,14.1,1000000,0
2012-07-30,28,13.45,13.45,13.45,13.45,1000000,0
2012-07-31,29,13.15,13.15,13.15,13.15,1000000,0
2012-08-01,30,13.5,13.5,13.5,13.5,1000000,0
2012-08-02,31,13.25,13.25,13.25,13.25,1000000,0
2012-08-03,32,13.0,13.0,13.0,13.0,1000000,0
2012-08-06,35,13.65,13.65,13.65,13.65,1000000,0
2012-08-07,36,13.25,13.25,13.25,13.25,1000000,0
2012-08-08,37,13.1,13.1,13.1,13.1,1000000,0
2012-08-09,38,13.05,13.05,13.05,13.05,1000000,0
2012-08-10,39,12.8,12.8,12.8,12.8,1000000,0
2012-08-13,42,12.7,12.7,12.7,12.7,1000000,0
2012-08-14,43,13.0,13.0,13.0,13.0,1000000,0
2012-08-16,45,12.9,12.9,12.9,12.9,1000000,0
2012-08-17,46,13.15,13.15,13.15,13.15,1000000,0
2012-08-21,50,12.9,12.9,12.9,12.9,1000000,0
2012-08-22,51,13.1,13.1,13.1,13.1,1000000,0
2012-08-23,52,13.2,13.2,13.2,13.2,1000000,0
2012-08-24,53,12.5,12.5,12.5,12.5,1000000,0
2012-08-27,56,12.35,12.35,12.35,12.35,1000000,0
2012-08-28,57,12.45,12.45,12.45,12.45,1000000,0
2012-08-29,58,12.35,12.35,12.35,12.35,1000000,0
2012-08-30,59,12.5,12.5,12.5,12.5,1000000,0
2012-08-31,60,11.85,11.85,11.85,11.85,1000000,0
2012-09-03,63,11.55,11.55,11.55,11.55,1000000,0
2012-09-04,64,11.5,11.5,11.5,11.5,1000000,0
2012-09-05,65,11.2,11.2,11.2,11.2,1000000,0
2012-09-06,66,11.1,11.1,11.1,11.1,1000000,0
2012-09-07,67,11.2,11.2,11.2,11.2,1000000,0
2012-09-10,70,11.25,11.25,11.25,11.25,1000000,0
2012-09-11,71,11.25,11.25,11.25,11.25,1000000,0
2012-09-12,72,11.75,11.75,11.75,11.75,1000000,0
2012-09-13,73,11.9,11.9,11.9,11.9,1000000,0
2012-09-14,74,12.05,12.05,12.05,12.05,1000000,0
2012-09-17,77,12.7,12.7,12.7,12.7,1000000,0
2012-09-18,78,13.15,13.15,13.15,13.15,1000000,0
2012-09-20,80,12.65,12.65,12.65,12.65,1000000,0
2012-09-21,81,13.55,13.55,13.55,13.55,1000000,0
2012-09-24,84,13.6,13.6,13.6,13.6,1000000,0
2012-09-25,85,13.5,13.5,13.5,13.5,1000000,0
2012-09-26,86,13.85,13.85,13.85,13.85,1000000,0
2012-09-27,87,13.95,13.95,13.95,13.95,1000000,0
2012-09-28,88,14.1,14.1,14.1,14.1,1000000,0
2012-10-01,91,16.75,16.75,16.75,16.75,1000000,0
2012-10-03,93,20.1,20.1,20.1,20.1,1000000,0
2012-10-04,94,22.1,22.1,22.1,22.1,1000000,0
2012-10-05,95,24.3,24.3,24.3,24.3,1000000,0
2012-10-08,98,26.7,26.7,26.7,26.7,1000000,0
2012-10-09,99,25.4,25.4,25.4,25.4,1000000,0
2012-10-10,100,24.15,24.15,24.15,24.15,1000000,0
2012-10-11,101,22.95,22.95,22.95,22.95,1000000,0
2012-10-12,102,21.85,21.85,21.85,21.85,1000000,0
2012-10-15,105,20.8,20.8,20.8,20.8,1000000,0
2012-10-16,106,21.8,21.8,21.8,21.8,1000000,0
2012-10-17,107,20.75,20.75,20.75,20.75,1000000,0
2012-10-18,108,20.5,20.5,20.5,20.5,1000000,0
2012-10-19,109,20.0,20.0,20.0,20.0,1000000,0
2012-10-22,112,19.0,19.0,19.0,19.0,1000000,0
2012-10-23,113,18.05,18.05,18.05,18.05,1000000,0
2012-10-25,115,18.65,18.65,18.65,18.65,1000000,0
2012-10-26,116,19.55,19.55,19.55,19.55,1000000,0
2012-10-29,119,19.65,19.65,19.65,19.65,1000000,0
2012-10-30,120,19.15,19.15,19.15,19.15,1000000,0
2012-10-31,121,18.8,18.8,18.8,18.8,1000000,0
2012-11-01,122,18.05,18.05,18.05,18.05,1000000,0
2012-11-02,123,17.9,17.9,17.9,17.9,1000000,0
2012-11-05,126,18.45,18.45,18.45,18.45,1000000,0
2012-11-06,127,18.05,18.05,18.05,18.05,1000000,0
2012-11-07,128,18.4,18.4,18.4,18.4,1000000,0
2012-11-08,129,18.4,18.4,18.4,18.4,1000000,0
2012-11-09,130,18.2,18.2,18.2,18.2,1000000,0
2012-11-12,133,17.8,17.8,17.8,17.8,1000000,0
2012-11-13,134,18.1,18.1,18.1,18.1,1000000,0
2012-11-15,136,19.0,19.0,19.0,19.0,1000000,0
2012-11-16,137,19.95,19.95,19.95,19.95,1000000,0
2012-11-19,140,19.6,19.6,19.6,19.6,1000000,0
2012-11-20,141,19.8,19.8,19.8,19.8,1000000,0
2012-11-21,142,19.1,19.1,19.1,19.1,1000000,0
2012-11-22,143,19.0,19.0,19.0,19.0,1000000,0
2012-11-23,144,19.2,19.2,19.2,19.2,1000000,0
2012-11-26,147,19.0,19.0,19.0,19.0,1000000,0
2012-11-27,148,18.5,18.5,18.5,18.5,1000000,0
2012-11-29,150,18.2,18.2,18.2,18.2,1000000,0
2012-11-30,151,18.6,18.6,18.6,18.6,1000000,0
2012-12-03,154,19.15,19.15,19.15,19.15,1000000,0
2012-12-04,155,19.0,19.0,19.0,19.0,1000000,0
2012-12-05,156,19.5,19.5,19.5,19.5,1000000,0
2012-12-06,157,20.45,20.45,20.45,20.45,1000000,0
2012-12-07,158,21.45,21.45,21.45,21.45,1000000,0
2012-12-10,161,20.85,20.85,20.85,20.85,1000000,0
2012-12-11,162,19.85,19.85,19.85,19.85,1000000,0
2012-12-12,163,19.75,19.75,19.75,19.75,1000000,0
2012-12-13,164,20.7,20.7,20.7,20.7,1000000,0
2012-12-14,165,20.4,20.4,20.4,20.4,1000000,0
2012-12-17,168,20.3,20.3,20.3,20.3,1000000,0
2012-12-18,169,20.1,20.1,20.1,20.1,1000000,0
2012-12-19,170,21.1,21.1,21.1,21.1,1000000,0
2012-12-20,171,22.05,22.05,22.05,22.05,1000000,0
2012-12-21,172,21.0,21.0,21.0,21.0,1000000,0
2012-12-24,175,20.85,20.85,20.85,20.85,1000000,0
2012-12-26,177,20.55,20.55,20.55,20.55,1000000,0
2012-12-27,178,20.65,20.65,20.65,20.65,1000000,0
2012-12-28,179,19.95,19.95,19.95,19.95,1000000,0
2012-12-31,182,19.45,19.45,19.45,19.45,1000000,0
2013-01-01,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-02,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-03,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-04,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-07,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-08,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-09,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-10,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-11,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-14,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-15,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-16,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-17,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-18,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-21,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-22,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-23,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-24,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-25,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-28,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-29,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-30,183,19.65,19.65,19.65,19.65,1000000,0
2013-01-31,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-01,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-04,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-05,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-06,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-07,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-08,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-11,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-12,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-13,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-14,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-15,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-18,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-19,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-20,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-21,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-22,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-25,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-26,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-27,183,19.65,19.65,19.65,19.65,1000000,0
2013-02-28,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-01,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-04,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-05,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-06,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-07,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-08,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-11,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-12,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-13,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-14,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-15,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-18,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-19,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-20,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-21,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-22,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-25,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-26,183,19.65,19.65,19.65,19.65,1000000,0
2013-03-28,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-01,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-02,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-03,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-04,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-05,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-08,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-09,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-10,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-11,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-12,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-15,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-16,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-17,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-18,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-22,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-23,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-25,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-26,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-29,183,19.65,19.65,19.65,19.65,1000000,0
2013-04-30,183,19.65,19.65,19.65,19.65,1000000,0
2013-05-02,183,19.65,19.65,19.65,19.65,1000000,0
