Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,51.15,51.15,51.15,51.15,1000000,0
2012-07-03,1,51.9,51.9,51.9,51.9,1000000,0
2012-07-04,2,52.55,52.55,52.55,52.55,1000000,0
2012-07-05,3,52.8,52.8,52.8,52.8,1000000,0
2012-07-06,4,51.45,51.45,51.45,51.45,1000000,0
2012-07-09,7,49.05,49.05,49.05,49.05,1000000,0
2012-07-10,8,50.3,50.3,50.3,50.3,1000000,0
2012-07-11,9,51.35,51.35,51.35,51.35,1000000,0
2012-07-12,10,51.25,51.25,51.25,51.25,1000000,0
2012-07-13,11,50.25,50.25,50.25,50.25,1000000,0
2012-07-16,14,48.75,48.75,48.75,48.75,1000000,0
2012-07-17,15,46.4,46.4,46.4,46.4,1000000,0
2012-07-18,16,45.9,45.9,45.9,45.9,1000000,0
2012-07-19,17,45.7,45.7,45.7,45.7,1000000,0
2012-07-20,18,45.45,45.45,45.45,45.45,1000000,0
2012-07-23,21,45.05,45.05,45.05,45.05,1000000,0
2012-07-24,22,45.1,45.1,45.1,45.1,1000000,0
2012-07-25,23,44.5,44.5,44.5,44.5,1000000,0
2012-07-26,24,42.3,42.3,42.3,42.3,1000000,0
2012-07-27,25,41.75,41.75,41.75,41.75,1000000,0
2012-07-30,28,43.0,43.0,43.0,43.0,1000000,0
2012-07-31,29,43.7,43.7,43.7,43.7,1000000,0
2012-08-01,30,43.3,43.3,43.3,43.3,1000000,0
2012-08-02,31,43.25,43.25,43.25,43.25,1000000,0
2012-08-03,32,42.85,42.85,42.85,42.85,1000000,0
2012-08-06,35,42.9,42.9,42.9,42.9,1000000,0
2012-08-07,36,43.15,43.15,43.15,43.15,1000000,0
2012-08-08,37,42.7,42.7,42.7,42.7,1000000,0
2012-08-09,38,41.8,41.8,41.8,41.8,1000000,0
2012-08-10,39,41.55,41.55,41.55,41.55,1000000,0
2012-08-13,42,42.3,42.3,42.3,42.3,1000000,0
2012-08-14,43,43.2,43.2,43.2,43.2,1000000,0
2012-08-16,45,43.5,43.5,43.5,43.5,1000000,0
2012-08-17,46,42.1,42.1,42.1,42.1,1000000,0
2012-08-21,50,42.1,42.1,42.1,42.1,1000000,0
2012-08-22,51,41.9,41.9,41.9,41.9,1000000,0
2012-08-23,52,40.85,40.85,40.85,40.85,1000000,0
2012-08-24,53,40.4,40.4,40.4,40.4,1000000,0
2012-08-27,56,38.9,38.9,38.9,38.9,1000000,0
2012-08-28,57,38.4,38.4,38.4,38.4,1000000,0
2012-08-29,58,37.7,37.7,37.7,37.7,1000000,0
2012-08-30,59,37.7,37.7,37.7,37.7,1000000,0
2012-08-31,60,39.8,39.8,39.8,39.8,1000000,0
2012-09-03,63,40.25,40.25,40.25,40.25,1000000,0
2012-09-04,64,41.45,41.45,41.45,41.45,1000000,0
2012-09-05,65,41.55,41.55,41.55,41.55,1000000,0
2012-09-06,66,42.05,42.05,42.05,42.05,1000000,0
2012-09-07,67,42.05,42.05,42.05,42.05,1000000,0
2012-09-10,70,42.4,42.4,42.4,42.4,1000000,0
2012-09-11,71,42.7,42.7,42.7,42.7,1000000,0
2012-09-12,72,42.2,42.2,42.2,42.2,1000000,0
2012-09-13,73,41.1,41.1,41.1,41.1,1000000,0
2012-09-14,74,43.15,43.15,43.15,43.15,1000000,0
2012-09-17,77,45.45,45.45,45.45,45.45,1000000,0
2012-09-18,78,46.1,46.1,46.1,46.1,1000000,0
2012-09-20,80,44.65,44.65,44.65,44.65,1000000,0
2012-09-21,81,46.85,46.85,46.85,46.85,1000000,0
2012-09-24,84,50.75,50.75,50.75,50.75,1000000,0
2012-09-25,85,51.15,51.15,51.15,51.15,1000000,0
2012-09-26,86,50.95,50.95,50.95,50.95,1000000,0
2012-09-27,87,52.8,52.8,52.8,52.8,1000000,0
2012-09-28,88,52.95,52.95,52.95,52.95,1000000,0
2012-10-01,91,51.85,51.85,51.85,51.85,1000000,0
2012-10-03,93,52.7,52.7,52.7,52.7,1000000,0
2012-10-04,94,55.2,55.2,55.2,55.2,1000000,0
2012-10-05,95,53.45,53.45,53.45,53.45,1000000,0
2012-10-08,98,52.3,52.3,52.3,52.3,1000000,0
2012-10-09,99,51.6,51.6,51.6,51.6,1000000,0
2012-10-10,100,49.45,49.45,49.45,49.45,1000000,0
2012-10-11,101,50.45,50.45,50.45,50.45,1000000,0
2012-10-12,102,50.45,50.45,50.45,50.45,1000000,0
2012-10-15,105,51.55,51.55,51.55,51.55,1000000,0
2012-10-16,106,49.55,49.55,49.55,49.55,1000000,0
2012-10-17,107,49.2,49.2,49.2,49.2,1000000,0
2012-10-18,108,50.15,50.15,50.15,50.15,1000000,0
2012-10-19,109,48.95,48.95,48.95,48.95,1000000,0
2012-10-22,112,48.2,48.2,48.2,48.2,1000000,0
2012-10-23,113,47.9,47.9,47.9,47.9,1000000,0
2012-10-25,115,47.75,47.75,47.75,47.75,1000000,0
2012-10-26,116,47.4,47.4,47.4,47.4,1000000,0
2012-10-29,119,47.85,47.85,47.85,47.85,1000000,0
2012-10-30,120,48.0,48.0,48.0,48.0,1000000,0
2012-10-31,121,48.2,48.2,48.2,48.2,1000000,0
2012-11-01,122,49.4,49.4,49.4,49.4,1000000,0
2012-11-02,123,49.45,49.45,49.45,49.45,1000000,0
2012-11-05,126,48.75,48.75,48.75,48.75,1000000,0
2012-11-06,127,49.65,49.65,49.65,49.65,1000000,0
2012-11-07,128,50.0,50.0,50.0,50.0,1000000,0
2012-11-08,129,49.3,49.3,49.3,49.3,1000000,0
2012-11-09,130,48.7,48.7,48.7,48.7,1000000,0
2012-11-12,133,47.95,47.95,47.95,47.95,1000000,0
2012-11-13,134,48.1,48.1,48.1,48.1,1000000,0
2012-11-15,136,48.4,48.4,48.4,48.4,1000000,0
2012-11-16,137,47.5,47.5,47.5,47.5,1000000,0
2012-11-19,140,47.5,47.5,47.5,47.5,1000000,0
2012-11-20,141,46.8,46.8,46.8,46.8,1000000,0
2012-11-21,142,46.9,46.9,46.9,46.9,1000000,0
2012-11-22,143,46.9,46.9,46.9,46.9,1000000,0
2012-11-23,144,46.75,46.75,46.75,46.75,1000000,0
2012-11-26,147,47.0,47.0,47.0,47.0,1000000,0
2012-11-27,148,49.85,49.85,49.85,49.85,1000000,0
2012-11-29,150,50.8,50.8,50.8,50.8,1000000,0
2012-11-30,151,53.1,53.1,53.1,53.1,1000000,0
2012-12-03,154,54.45,54.45,54.45,54.45,1000000,0
2012-12-04,155,55.1,55.1,55.1,55.1,1000000,0
2012-12-05,156,53.85,53.85,53.85,53.85,1000000,0
2012-12-06,157,57.6,57.6,57.6,57.6,1000000,0
2012-12-07,158,58.05,58.05,58.05,58.05,1000000,0
2012-12-10,161,60.8,60.8,60.8,60.8,1000000,0
2012-12-11,162,63.4,63.4,63.4,63.4,1000000,0
2012-12-12,163,63.25,63.25,63.25,63.25,1000000,0
2012-12-13,164,61.2,61.2,61.2,61.2,1000000,0
2012-12-14,165,61.4,61.4,61.4,61.4,1000000,0
2012-12-17,168,63.3,63.3,63.3,63.3,1000000,0
2012-12-18,169,64.15,64.15,64.15,64.15,1000000,0
2012-12-19,170,68.6,68.6,68.6,68.6,1000000,0
2012-12-20,171,65.2,65.2,65.2,65.2,1000000,0
2012-12-21,172,61.1,61.1,61.1,61.1,1000000,0
2012-12-24,175,61.1,61.1,61.1,61.1,1000000,0
2012-12-26,177,62.05,62.05,62.05,62.05,1000000,0
2012-12-27,178,62.5,62.5,62.5,62.5,1000000,0
2012-12-28,179,61.85,61.85,61.85,61.85,1000000,0
2012-12-31,182,61.7,61.7,61.7,61.7,1000000,0
2013-01-01,183,64.15,64.15,64.15,64.15,1000000,0
2013-01-02,183,64.15,64.15,64.15,64.15,1000000,0
2013-01-03,183,64.15,64.15,64.15,64.15,1000000,0
