Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,66.3,66.3,66.3,66.3,1000000,0
2012-07-03,1,67.25,67.25,67.25,67.25,1000000,0
2012-07-04,2,65.75,65.75,65.75,65.75,1000000,0
2012-07-05,3,65.825,65.825,65.825,65.825,1000000,0
2012-07-06,4,66.225,66.225,66.225,66.225,1000000,0
2012-07-09,7,66.875,66.875,66.875,66.875,1000000,0
2012-07-10,8,66.625,66.625,66.625,66.625,1000000,0
2012-07-11,9,67.525,67.525,67.525,67.525,1000000,0
2012-07-12,10,68.4,68.4,68.4,68.4,1000000,0
2012-07-13,11,70.0,70.0,70.0,70.0,1000000,0
2012-07-16,14,70.0,70.0,70.0,70.0,1000000,0
2012-07-17,15,70.5,70.5,70.5,70.5,1000000,0
2012-07-18,16,71.225,71.225,71.225,71.225,1000000,0
2012-07-19,17,71.25,71.25,71.25,71.25,1000000,0
2012-07-20,18,70.55,70.55,70.55,70.55,1000000,0
2012-07-23,21,66.9,66.9,66.9,66.9,1000000,0
2012-07-24,22,68.0,68.0,68.0,68.0,1000000,0
2012-07-25,23,69.0,69.0,69.0,69.0,1000000,0
2012-07-26,24,72.975,72.975,72.975,72.975,1000000,0
2012-07-27,25,70.625,70.625,70.625,70.625,1000000,0
2012-07-30,28,68.75,68.75,68.75,68.75,1000000,0
2012-07-31,29,67.7,67.7,67.7,67.7,1000000,0
2012-08-01,30,69.025,69.025,69.025,69.025,1000000,0
2012-08-02,31,68.35,68.35,68.35,68.35,1000000,0
2012-08-03,32,68.75,68.75,68.75,68.75,1000000,0
2012-08-06,35,70.575,70.575,70.575,70.575,1000000,0
2012-08-07,36,69.325,69.325,69.325,69.325,1000000,0
2012-08-08,37,70.075,70.075,70.075,70.075,1000000,0
2012-08-09,38,70.925,70.925,70.925,70.925,1000000,0
2012-08-10,39,70.3,70.3,70.3,70.3,1000000,0
2012-08-13,42,69.85,69.85,69.85,69.85,1000000,0
2012-08-14,43,68.9,68.9,68.9,68.9,1000000,0
2012-08-16,45,69.225,69.225,69.225,69.225,1000000,0
2012-08-17,46,69.3,69.3,69.3,69.3,1000000,0
2012-08-21,50,67.7,67.7,67.7,67.7,1000000,0
2012-08-22,51,66.975,66.975,66.975,66.975,1000000,0
2012-08-23,52,66.6,66.6,66.6,66.6,1000000,0
2012-08-24,53,64.95,64.95,64.95,64.95,1000000,0
2012-08-27,56,63.225,63.225,63.225,63.225,1000000,0
2012-08-28,57,61.65,61.65,61.65,61.65,1000000,0
2012-08-29,58,62.7,62.7,62.7,62.7,1000000,0
2012-08-30,59,64.85,64.85,64.85,64.85,1000000,0
2012-08-31,60,65.5,65.5,65.5,65.5,1000000,0
2012-09-03,63,63.475,63.475,63.475,63.475,1000000,0
2012-09-04,64,65.25,65.25,65.25,65.25,1000000,0
2012-09-05,65,64.275,64.275,64.275,64.275,1000000,0
2012-09-06,66,66.0,66.0,66.0,66.0,1000000,0
2012-09-07,67,65.5,65.5,65.5,65.5,1000000,0
2012-09-10,70,67.75,67.75,67.75,67.75,1000000,0
2012-09-11,71,67.775,67.775,67.775,67.775,1000000,0
2012-09-12,72,68.05,68.05,68.05,68.05,1000000,0
2012-09-13,73,66.775,66.775,66.775,66.775,1000000,0
2012-09-14,74,65.175,65.175,65.175,65.175,1000000,0
2012-09-17,77,62.25,62.25,62.25,62.25,1000000,0
2012-09-18,78,64.15,64.15,64.15,64.15,1000000,0
2012-09-20,80,64.05,64.05,64.05,64.05,1000000,0
2012-09-21,81,65.0,65.0,65.0,65.0,1000000,0
2012-09-24,84,67.5,67.5,67.5,67.5,1000000,0
2012-09-25,85,66.6,66.6,66.6,66.6,1000000,0
2012-09-26,86,67.275,67.275,67.275,67.275,1000000,0
2012-09-27,87,67.75,67.75,67.75,67.75,1000000,0
2012-09-28,88,67.625,67.625,67.625,67.625,1000000,0
2012-10-01,91,68.0,68.0,68.0,68.0,1000000,0
2012-10-03,93,67.75,67.75,67.75,67.75,1000000,0
2012-10-04,94,68.1,68.1,68.1,68.1,1000000,0
2012-10-05,95,66.875,66.875,66.875,66.875,1000000,0
2012-10-08,98,65.9,65.9,65.9,65.9,1000000,0
2012-10-09,99,66.275,66.275,66.275,66.275,1000000,0
2012-10-10,100,65.25,65.25,65.25,65.25,1000000,0
2012-10-11,101,65.4,65.4,65.4,65.4,1000000,0
2012-10-12,102,65.05,65.05,65.05,65.05,1000000,0
2012-10-15,105,67.5,67.5,67.5,67.5,1000000,0
2012-10-16,106,66.075,66.075,66.075,66.075,1000000,0
2012-10-17,107,65.4,65.4,65.4,65.4,1000000,0
2012-10-18,108,65.15,65.15,65.15,65.15,1000000,0
2012-10-19,109,65.325,65.325,65.325,65.325,1000000,0
