Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,24.5,24.5,24.5,24.5,1000000,0
2012-07-03,1,24.4,24.4,24.4,24.4,1000000,0
2012-07-04,2,25.15,25.15,25.15,25.15,1000000,0
2012-07-05,3,25.8,25.8,25.8,25.8,1000000,0
2012-07-06,4,25.65,25.65,25.65,25.65,1000000,0
2012-07-09,7,25.55,25.55,25.55,25.55,1000000,0
2012-07-10,8,26.0,26.0,26.0,26.0,1000000,0
2012-07-11,9,25.85,25.85,25.85,25.85,1000000,0
2012-07-12,10,24.75,24.75,24.75,24.75,1000000,0
2012-07-13,11,24.4,24.4,24.4,24.4,1000000,0
2012-07-16,14,24.05,24.05,24.05,24.05,1000000,0
2012-07-17,15,23.95,23.95,23.95,23.95,1000000,0
2012-07-18,16,24.2,24.2,24.2,24.2,1000000,0
2012-07-19,17,24.45,24.45,24.45,24.45,1000000,0
2012-07-20,18,24.05,24.05,24.05,24.05,1000000,0
2012-07-23,21,23.8,23.8,23.8,23.8,1000000,0
2012-07-24,22,23.3,23.3,23.3,23.3,1000000,0
2012-07-25,23,22.5,22.5,22.5,22.5,1000000,0
2012-07-26,24,21.2,21.2,21.2,21.2,1000000,0
2012-07-27,25,21.25,21.25,21.25,21.25,1000000,0
2012-07-30,28,22.3,22.3,22.3,22.3,1000000,0
2012-07-31,29,22.3,22.3,22.3,22.3,1000000,0
2012-08-01,30,22.05,22.05,22.05,22.05,1000000,0
2012-08-02,31,23.0,23.0,23.0,23.0,1000000,0
2012-08-03,32,22.75,22.75,22.75,22.75,1000000,0
2012-08-06,35,22.9,22.9,22.9,22.9,1000000,0
2012-08-07,36,23.0,23.0,23.0,23.0,1000000,0
2012-08-08,37,22.9,22.9,22.9,22.9,1000000,0
2012-08-09,38,22.95,22.95,22.95,22.95,1000000,0
2012-08-10,39,22.9,22.9,22.9,22.9,1000000,0
2012-08-13,42,23.0,23.0,23.0,23.0,1000000,0
2012-08-14,43,22.9,22.9,22.9,22.9,1000000,0
2012-08-16,45,22.75,22.75,22.75,22.75,1000000,0
2012-08-17,46,22.5,22.5,22.5,22.5,1000000,0
2012-08-21,50,22.05,22.05,22.05,22.05,1000000,0
2012-08-22,51,22.05,22.05,22.05,22.05,1000000,0
2012-08-23,52,22.0,22.0,22.0,22.0,1000000,0
2012-08-24,53,21.85,21.85,21.85,21.85,1000000,0
2012-08-27,56,21.3,21.3,21.3,21.3,1000000,0
2012-08-28,57,20.75,20.75,20.75,20.75,1000000,0
2012-08-29,58,20.55,20.55,20.55,20.55,1000000,0
2012-08-30,59,20.6,20.6,20.6,20.6,1000000,0
2012-08-31,60,20.6,20.6,20.6,20.6,1000000,0
2012-09-03,63,20.6,20.6,20.6,20.6,1000000,0
2012-09-04,64,21.0,21.0,21.0,21.0,1000000,0
2012-09-05,65,20.65,20.65,20.65,20.65,1000000,0
2012-09-06,66,20.7,20.7,20.7,20.7,1000000,0
2012-09-07,67,21.15,21.15,21.15,21.15,1000000,0
