Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,150.6,150.6,150.6,150.6,1000000,0
2012-07-03,1,150.95,150.95,150.95,150.95,1000000,0
2012-07-04,2,151.5,151.5,151.5,151.5,1000000,0
2012-07-05,3,153.0,153.0,153.0,153.0,1000000,0
2012-07-06,4,151.0,151.0,151.0,151.0,1000000,0
2012-07-09,7,146.35,146.35,146.35,146.35,1000000,0
2012-07-10,8,147.9,147.9,147.9,147.9,1000000,0
2012-07-11,9,146.35,146.35,146.35,146.35,1000000,0
2012-07-12,10,144.1,144.1,144.1,144.1,1000000,0
2012-07-13,11,142.85,142.85,142.85,142.85,1000000,0
2012-07-16,14,142.7,142.7,142.7,142.7,1000000,0
2012-07-17,15,141.6,141.6,141.6,141.6,1000000,0
2012-07-18,16,140.7,140.7,140.7,140.7,1000000,0
2012-07-19,17,141.45,141.45,141.45,141.45,1000000,0
2012-07-20,18,139.95,139.95,139.95,139.95,1000000,0
2012-07-23,21,134.85,134.85,134.85,134.85,1000000,0
2012-07-24,22,135.25,135.25,135.25,135.25,1000000,0
2012-07-25,23,137.85,137.85,137.85,137.85,1000000,0
2012-07-26,24,132.5,132.5,132.5,132.5,1000000,0
2012-07-27,25,128.95,128.95,128.95,128.95,1000000,0
2012-07-30,28,135.7,135.7,135.7,135.7,1000000,0
2012-07-31,29,133.8,133.8,133.8,133.8,1000000,0
2012-08-01,30,134.8,134.8,134.8,134.8,1000000,0
2012-08-02,31,132.5,132.5,132.5,132.5,1000000,0
2012-08-03,32,131.65,131.65,131.65,131.65,1000000,0
2012-08-06,35,133.15,133.15,133.15,133.15,1000000,0
2012-08-07,36,132.35,132.35,132.35,132.35,1000000,0
2012-08-08,37,130.4,130.4,130.4,130.4,1000000,0
2012-08-09,38,129.0,129.0,129.0,129.0,1000000,0
2012-08-10,39,126.7,126.7,126.7,126.7,1000000,0
2012-08-13,42,126.6,126.6,126.6,126.6,1000000,0
2012-08-14,43,128.65,128.65,128.65,128.65,1000000,0
2012-08-16,45,129.35,129.35,129.35,129.35,1000000,0
2012-08-17,46,127.05,127.05,127.05,127.05,1000000,0
2012-08-21,50,127.45,127.45,127.45,127.45,1000000,0
2012-08-22,51,126.5,126.5,126.5,126.5,1000000,0
2012-08-23,52,125.65,125.65,125.65,125.65,1000000,0
2012-08-24,53,123.55,123.55,123.55,123.55,1000000,0
2012-08-27,56,122.95,122.95,122.95,122.95,1000000,0
2012-08-28,57,119.55,119.55,119.55,119.55,1000000,0
2012-08-29,58,118.3,118.3,118.3,118.3,1000000,0
2012-08-30,59,117.5,117.5,117.5,117.5,1000000,0
2012-08-31,60,119.05,119.05,119.05,119.05,1000000,0
2012-09-03,63,119.95,119.95,119.95,119.95,1000000,0
2012-09-04,64,121.15,121.15,121.15,121.15,1000000,0
2012-09-05,65,119.35,119.35,119.35,119.35,1000000,0
2012-09-06,66,119.4,119.4,119.4,119.4,1000000,0
2012-09-07,67,122.55,122.55,122.55,122.55,1000000,0
2012-09-10,70,122.0,122.0,122.0,122.0,1000000,0
2012-09-11,71,121.05,121.05,121.05,121.05,1000000,0
2012-09-12,72,121.1,121.1,121.1,121.1,1000000,0
2012-09-13,73,120.55,120.55,120.55,120.55,1000000,0
2012-09-14,74,124.85,124.85,124.85,124.85,1000000,0
2012-09-17,77,133.25,133.25,133.25,133.25,1000000,0
2012-09-18,78,142.25,142.25,142.25,142.25,1000000,0
2012-09-20,80,143.65,143.65,143.65,143.65,1000000,0
2012-09-21,81,146.5,146.5,146.5,146.5,1000000,0
2012-09-24,84,143.25,143.25,143.25,143.25,1000000,0
2012-09-25,85,144.95,144.95,144.95,144.95,1000000,0
2012-09-26,86,145.65,145.65,145.65,145.65,1000000,0
2012-09-27,87,144.7,144.7,144.7,144.7,1000000,0
2012-09-28,88,146.75,146.75,146.75,146.75,1000000,0
2012-10-01,91,148.8,148.8,148.8,148.8,1000000,0
2012-10-03,93,150.0,150.0,150.0,150.0,1000000,0
2012-10-04,94,150.6,150.6,150.6,150.6,1000000,0
2012-10-05,95,146.8,146.8,146.8,146.8,1000000,0
2012-10-08,98,143.25,143.25,143.25,143.25,1000000,0
2012-10-09,99,141.55,141.55,141.55,141.55,1000000,0
2012-10-10,100,136.9,136.9,136.9,136.9,1000000,0
2012-10-11,101,141.6,141.6,141.6,141.6,1000000,0
2012-10-12,102,140.2,140.2,140.2,140.2,1000000,0
2012-10-15,105,140.45,140.45,140.45,140.45,1000000,0
2012-10-16,106,137.3,137.3,137.3,137.3,1000000,0
2012-10-17,107,138.4,138.4,138.4,138.4,1000000,0
2012-10-18,108,143.1,143.1,143.1,143.1,1000000,0
2012-10-19,109,142.7,142.7,142.7,142.7,1000000,0
2012-10-22,112,143.0,143.0,143.0,143.0,1000000,0
2012-10-23,113,143.05,143.05,143.05,143.05,1000000,0
2012-10-25,115,139.2,139.2,139.2,139.2,1000000,0
2012-10-26,116,134.45,134.45,134.45,134.45,1000000,0
2012-10-29,119,132.0,132.0,132.0,132.0,1000000,0
2012-10-30,120,131.45,131.45,131.45,131.45,1000000,0
2012-10-31,121,136.1,136.1,136.1,136.1,1000000,0
2012-11-01,122,137.0,137.0,137.0,137.0,1000000,0
2012-11-02,123,137.75,137.75,137.75,137.75,1000000,0
