Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,55.15,55.15,55.15,55.15,1000000,0
2012-07-03,1,55.35,55.35,55.35,55.35,1000000,0
2012-07-04,2,57.25,57.25,57.25,57.25,1000000,0
2012-07-05,3,58.65,58.65,58.65,58.65,1000000,0
2012-07-06,4,57.05,57.05,57.05,57.05,1000000,0
2012-07-09,7,58.55,58.55,58.55,58.55,1000000,0
2012-07-10,8,58.65,58.65,58.65,58.65,1000000,0
2012-07-11,9,58.05,58.05,58.05,58.05,1000000,0
2012-07-12,10,57.7,57.7,57.7,57.7,1000000,0
2012-07-13,11,57.7,57.7,57.7,57.7,1000000,0
2012-07-16,14,57.4,57.4,57.4,57.4,1000000,0
2012-07-17,15,57.05,57.05,57.05,57.05,1000000,0
2012-07-18,16,56.95,56.95,56.95,56.95,1000000,0
2012-07-19,17,58.4,58.4,58.4,58.4,1000000,0
2012-07-20,18,58.15,58.15,58.15,58.15,1000000,0
2012-07-23,21,60.9,60.9,60.9,60.9,1000000,0
2012-07-24,22,61.6,61.6,61.6,61.6,1000000,0
2012-07-25,23,60.35,60.35,60.35,60.35,1000000,0
2012-07-26,24,60.8,60.8,60.8,60.8,1000000,0
2012-07-27,25,60.0,60.0,60.0,60.0,1000000,0
2012-07-30,28,60.4,60.4,60.4,60.4,1000000,0
2012-07-31,29,59.95,59.95,59.95,59.95,1000000,0
2012-08-01,30,62.25,62.25,62.25,62.25,1000000,0
2012-08-02,31,63.9,63.9,63.9,63.9,1000000,0
2012-08-03,32,64.35,64.35,64.35,64.35,1000000,0
2012-08-06,35,65.4,65.4,65.4,65.4,1000000,0
2012-08-07,36,63.65,63.65,63.65,63.65,1000000,0
2012-08-08,37,64.5,64.5,64.5,64.5,1000000,0
2012-08-09,38,61.4,61.4,61.4,61.4,1000000,0
2012-08-10,39,58.7,58.7,58.7,58.7,1000000,0
2012-08-13,42,59.5,59.5,59.5,59.5,1000000,0
2012-08-14,43,59.75,59.75,59.75,59.75,1000000,0
2012-08-16,45,60.05,60.05,60.05,60.05,1000000,0
2012-08-17,46,62.85,62.85,62.85,62.85,1000000,0
2012-08-21,50,64.95,64.95,64.95,64.95,1000000,0
2012-08-22,51,68.15,68.15,68.15,68.15,1000000,0
2012-08-23,52,70.7,70.7,70.7,70.7,1000000,0
2012-08-24,53,73.45,73.45,73.45,73.45,1000000,0
2012-08-27,56,68.75,68.75,68.75,68.75,1000000,0
2012-08-28,57,68.4,68.4,68.4,68.4,1000000,0
2012-08-29,58,67.9,67.9,67.9,67.9,1000000,0
2012-08-30,59,69.6,69.6,69.6,69.6,1000000,0
2012-08-31,60,68.8,68.8,68.8,68.8,1000000,0
2012-09-03,63,70.3,70.3,70.3,70.3,1000000,0
2012-09-04,64,73.9,73.9,73.9,73.9,1000000,0
2012-09-05,65,73.8,73.8,73.8,73.8,1000000,0
2012-09-06,66,73.65,73.65,73.65,73.65,1000000,0
2012-09-07,67,73.75,73.75,73.75,73.75,1000000,0
2012-09-10,70,76.45,76.45,76.45,76.45,1000000,0
2012-09-11,71,77.75,77.75,77.75,77.75,1000000,0
2012-09-12,72,77.0,77.0,77.0,77.0,1000000,0
2012-09-13,73,73.5,73.5,73.5,73.5,1000000,0
2012-09-14,74,73.1,73.1,73.1,73.1,1000000,0
2012-09-17,77,70.5,70.5,70.5,70.5,1000000,0
2012-09-18,78,69.55,69.55,69.55,69.55,1000000,0
2012-09-20,80,70.5,70.5,70.5,70.5,1000000,0
2012-09-21,81,71.25,71.25,71.25,71.25,1000000,0
2012-09-24,84,69.95,69.95,69.95,69.95,1000000,0
2012-09-25,85,70.75,70.75,70.75,70.75,1000000,0
2012-09-26,86,73.0,73.0,73.0,73.0,1000000,0
2012-09-27,87,73.9,73.9,73.9,73.9,1000000,0
2012-09-28,88,71.55,71.55,71.55,71.55,1000000,0
2012-10-01,91,71.15,71.15,71.15,71.15,1000000,0
2012-10-03,93,71.8,71.8,71.8,71.8,1000000,0
2012-10-04,94,70.95,70.95,70.95,70.95,1000000,0
2012-10-05,95,70.3,70.3,70.3,70.3,1000000,0
2012-10-08,98,70.4,70.4,70.4,70.4,1000000,0
2012-10-09,99,70.9,70.9,70.9,70.9,1000000,0
2012-10-10,100,69.85,69.85,69.85,69.85,1000000,0
2012-10-11,101,69.9,69.9,69.9,69.9,1000000,0
2012-10-12,102,69.65,69.65,69.65,69.65,1000000,0
2012-10-15,105,69.5,69.5,69.5,69.5,1000000,0
2012-10-16,106,69.65,69.65,69.65,69.65,1000000,0
2012-10-17,107,70.15,70.15,70.15,70.15,1000000,0
2012-10-18,108,70.5,70.5,70.5,70.5,1000000,0
2012-10-19,109,69.9,69.9,69.9,69.9,1000000,0
2012-10-22,112,71.85,71.85,71.85,71.85,1000000,0
2012-10-23,113,70.7,70.7,70.7,70.7,1000000,0
2012-10-25,115,70.1,70.1,70.1,70.1,1000000,0
2012-10-26,116,69.2,69.2,69.2,69.2,1000000,0
2012-10-29,119,68.2,68.2,68.2,68.2,1000000,0
2012-10-30,120,66.85,66.85,66.85,66.85,1000000,0
2012-10-31,121,67.85,67.85,67.85,67.85,1000000,0
2012-11-01,122,68.45,68.45,68.45,68.45,1000000,0
2012-11-02,123,68.05,68.05,68.05,68.05,1000000,0
2012-11-05,126,67.85,67.85,67.85,67.85,1000000,0
2012-11-06,127,67.5,67.5,67.5,67.5,1000000,0
2012-11-07,128,68.4,68.4,68.4,68.4,1000000,0
2012-11-08,129,68.95,68.95,68.95,68.95,1000000,0
2012-11-09,130,68.5,68.5,68.5,68.5,1000000,0
2012-11-12,133,67.7,67.7,67.7,67.7,1000000,0
2012-11-13,134,68.3,68.3,68.3,68.3,1000000,0
2012-11-15,136,67.95,67.95,67.95,67.95,1000000,0
2012-11-16,137,66.35,66.35,66.35,66.35,1000000,0
2012-11-19,140,65.15,65.15,65.15,65.15,1000000,0
2012-11-20,141,63.65,63.65,63.65,63.65,1000000,0
2012-11-21,142,63.1,63.1,63.1,63.1,1000000,0
2012-11-22,143,65.15,65.15,65.15,65.15,1000000,0
2012-11-23,144,62.15,62.15,62.15,62.15,1000000,0
2012-11-26,147,61.85,61.85,61.85,61.85,1000000,0
2012-11-27,148,61.95,61.95,61.95,61.95,1000000,0
2012-11-29,150,63.9,63.9,63.9,63.9,1000000,0
2012-11-30,151,63.55,63.55,63.55,63.55,1000000,0
2012-12-03,154,66.65,66.65,66.65,66.65,1000000,0
2012-12-04,155,67.0,67.0,67.0,67.0,1000000,0
2012-12-05,156,66.4,66.4,66.4,66.4,1000000,0
2012-12-06,157,66.85,66.85,66.85,66.85,1000000,0
2012-12-07,158,65.55,65.55,65.55,65.55,1000000,0
2012-12-10,161,65.9,65.9,65.9,65.9,1000000,0
2012-12-11,162,66.1,66.1,66.1,66.1,1000000,0
2012-12-12,163,68.65,68.65,68.65,68.65,1000000,0
2012-12-13,164,67.7,67.7,67.7,67.7,1000000,0
2012-12-14,165,68.1,68.1,68.1,68.1,1000000,0
2012-12-17,168,69.05,69.05,69.05,69.05,1000000,0
2012-12-18,169,69.05,69.05,69.05,69.05,1000000,0
2012-12-19,170,69.75,69.75,69.75,69.75,1000000,0
2012-12-20,171,68.95,68.95,68.95,68.95,1000000,0
2012-12-21,172,67.7,67.7,67.7,67.7,1000000,0
2012-12-24,175,69.1,69.1,69.1,69.1,1000000,0
2012-12-26,177,68.8,68.8,68.8,68.8,1000000,0
2012-12-27,178,68.95,68.95,68.95,68.95,1000000,0
2012-12-28,179,69.15,69.15,69.15,69.15,1000000,0
2012-12-31,182,72.5,72.5,72.5,72.5,1000000,0
2013-01-01,183,72.6,72.6,72.6,72.6,1000000,0
2013-01-02,184,72.0,72.0,72.0,72.0,1000000,0
2013-01-03,185,70.25,70.25,70.25,70.25,1000000,0
2013-01-04,186,71.35,71.35,71.35,71.35,1000000,0
2013-01-07,189,72.7,72.7,72.7,72.7,1000000,0
2013-01-08,190,71.8,71.8,71.8,71.8,1000000,0
2013-01-09,191,70.5,70.5,70.5,70.5,1000000,0
2013-01-10,192,70.9,70.9,70.9,70.9,1000000,0
2013-01-11,193,71.55,71.55,71.55,71.55,1000000,0
2013-01-14,196,71.15,71.15,71.15,71.15,1000000,0
2013-01-15,197,70.15,70.15,70.15,70.15,1000000,0
2013-01-16,198,69.0,69.0,69.0,69.0,1000000,0
2013-01-17,199,70.5,70.5,70.5,70.5,1000000,0
2013-01-18,200,71.35,71.35,71.35,71.35,1000000,0
2013-01-21,203,70.2,70.2,70.2,70.2,1000000,0
2013-01-22,204,69.4,69.4,69.4,69.4,1000000,0
2013-01-23,205,69.45,69.45,69.45,69.45,1000000,0
2013-01-24,206,70.0,70.0,70.0,70.0,1000000,0
2013-01-25,207,70.9,70.9,70.9,70.9,1000000,0
2013-01-28,210,74.95,74.95,74.95,74.95,1000000,0
2013-01-29,211,76.3,76.3,76.3,76.3,1000000,0
2013-01-30,212,78.3,78.3,78.3,78.3,1000000,0
2013-01-31,213,77.45,77.45,77.45,77.45,1000000,0
2013-02-01,214,76.3,76.3,76.3,76.3,1000000,0
2013-02-04,217,75.45,75.45,75.45,75.45,1000000,0
2013-02-05,218,75.7,75.7,75.7,75.7,1000000,0
2013-02-06,219,75.95,75.95,75.95,75.95,1000000,0
2013-02-07,220,75.4,75.4,75.4,75.4,1000000,0
2013-02-08,221,74.05,74.05,74.05,74.05,1000000,0
2013-02-11,224,73.85,73.85,73.85,73.85,1000000,0
2013-02-12,225,73.65,73.65,73.65,73.65,1000000,0
2013-02-13,226,74.05,74.05,74.05,74.05,1000000,0
2013-02-14,227,73.15,73.15,73.15,73.15,1000000,0
2013-02-15,228,76.45,76.45,76.45,76.45,1000000,0
2013-02-18,231,76.05,76.05,76.05,76.05,1000000,0
2013-02-19,232,76.15,76.15,76.15,76.15,1000000,0
2013-02-20,233,76.85,76.85,76.85,76.85,1000000,0
2013-02-21,234,77.05,77.05,77.05,77.05,1000000,0
2013-02-22,235,77.15,77.15,77.15,77.15,1000000,0
2013-02-25,238,80.2,80.2,80.2,80.2,1000000,0
2013-02-26,239,80.1,80.1,80.1,80.1,1000000,0
2013-02-27,240,83.15,83.15,83.15,83.15,1000000,0
2013-02-28,241,83.3,83.3,83.3,83.3,1000000,0
2013-03-01,242,82.3,82.3,82.3,82.3,1000000,0
2013-03-04,245,80.2,80.2,80.2,80.2,1000000,0
2013-03-05,246,92.15,92.15,92.15,92.15,1000000,0
2013-03-06,247,95.75,95.75,95.75,95.75,1000000,0
2013-03-07,248,98.15,98.15,98.15,98.15,1000000,0
2013-03-08,249,99.25,99.25,99.25,99.25,1000000,0
2013-03-11,252,109.05,109.05,109.05,109.05,1000000,0
2013-03-12,253,104.0,104.0,104.0,104.0,1000000,0
2013-03-13,254,103.8,103.8,103.8,103.8,1000000,0
2013-03-14,255,102.4,102.4,102.4,102.4,1000000,0
2013-03-15,256,98.95,98.95,98.95,98.95,1000000,0
2013-03-18,259,100.8,100.8,100.8,100.8,1000000,0
2013-03-19,260,97.2,97.2,97.2,97.2,1000000,0
2013-03-20,261,94.75,94.75,94.75,94.75,1000000,0
2013-03-21,262,100.6,100.6,100.6,100.6,1000000,0
2013-03-22,263,105.3,105.3,105.3,105.3,1000000,0
2013-03-25,266,103.8,103.8,103.8,103.8,1000000,0
2013-03-26,267,104.15,104.15,104.15,104.15,1000000,0
2013-03-28,269,105.0,105.0,105.0,105.0,1000000,0
2013-04-01,273,111.3,111.3,111.3,111.3,1000000,0
2013-04-02,274,112.8,112.8,112.8,112.8,1000000,0
2013-04-03,275,114.6,114.6,114.6,114.6,1000000,0
2013-04-04,276,114.35,114.35,114.35,114.35,1000000,0
2013-04-05,277,115.1,115.1,115.1,115.1,1000000,0
2013-04-08,280,114.1,114.1,114.1,114.1,1000000,0
2013-04-09,281,109.7,109.7,109.7,109.7,1000000,0
2013-04-10,282,104.65,104.65,104.65,104.65,1000000,0
2013-04-11,283,107.65,107.65,107.65,107.65,1000000,0
2013-04-12,284,107.8,107.8,107.8,107.8,1000000,0
2013-04-15,287,116.25,116.25,116.25,116.25,1000000,0
2013-04-16,288,115.95,115.95,115.95,115.95,1000000,0
2013-04-17,289,118.25,118.25,118.25,118.25,1000000,0
2013-04-18,290,118.1,118.1,118.1,118.1,1000000,0
2013-04-22,294,115.1,115.1,115.1,115.1,1000000,0
2013-04-23,295,111.3,111.3,111.3,111.3,1000000,0
2013-04-25,297,110.95,110.95,110.95,110.95,1000000,0
2013-04-26,298,111.25,111.25,111.25,111.25,1000000,0
2013-04-29,301,113.25,113.25,113.25,113.25,1000000,0
2013-04-30,302,113.75,113.75,113.75,113.75,1000000,0
2013-05-02,304,117.6,117.6,117.6,117.6,1000000,0
2013-05-03,305,122.55,122.55,122.55,122.55,1000000,0
2013-05-06,308,125.65,125.65,125.65,125.65,1000000,0
2013-05-07,309,126.8,126.8,126.8,126.8,1000000,0
2013-05-08,310,124.05,124.05,124.05,124.05,1000000,0
2013-05-09,311,121.1,121.1,121.1,121.1,1000000,0
2013-05-10,312,122.2,122.2,122.2,122.2,1000000,0
2013-05-13,315,121.45,121.45,121.45,121.45,1000000,0
2013-05-14,316,122.2,122.2,122.2,122.2,1000000,0
2013-05-15,317,128.4,128.4,128.4,128.4,1000000,0
2013-05-16,318,137.6,137.6,137.6,137.6,1000000,0
2013-05-17,319,131.4,131.4,131.4,131.4,1000000,0
2013-05-20,322,130.4,130.4,130.4,130.4,1000000,0
2013-05-21,323,127.55,127.55,127.55,127.55,1000000,0
2013-05-22,324,123.75,123.75,123.75,123.75,1000000,0
