Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,613.6,613.6,613.6,613.6,1000000,0
2012-07-03,1,632.4,632.4,632.4,632.4,1000000,0
2012-07-04,2,640.95,640.95,640.95,640.95,1000000,0
2012-07-05,3,650.0,650.0,650.0,650.0,1000000,0
2012-07-06,4,644.95,644.95,644.95,644.95,1000000,0
2012-07-09,7,643.65,643.65,643.65,643.65,1000000,0
2012-07-10,8,643.75,643.75,643.75,643.75,1000000,0
2012-07-11,9,651.45,651.45,651.45,651.45,1000000,0
2012-07-12,10,636.45,636.45,636.45,636.45,1000000,0
2012-07-13,11,635.6,635.6,635.6,635.6,1000000,0
2012-07-16,14,633.45,633.45,633.45,633.45,1000000,0
2012-07-17,15,619.65,619.65,619.65,619.65,1000000,0
2012-07-18,16,626.2,626.2,626.2,626.2,1000000,0
2012-07-19,17,623.3,623.3,623.3,623.3,1000000,0
2012-07-20,18,623.8,623.8,623.8,623.8,1000000,0
2012-07-23,21,616.35,616.35,616.35,616.35,1000000,0
2012-07-24,22,622.85,622.85,622.85,622.85,1000000,0
2012-07-25,23,618.9,618.9,618.9,618.9,1000000,0
2012-07-26,24,611.65,611.65,611.65,611.65,1000000,0
2012-07-27,25,624.1,624.1,624.1,624.1,1000000,0
2012-07-30,28,619.9,619.9,619.9,619.9,1000000,0
2012-07-31,29,630.15,630.15,630.15,630.15,1000000,0
2012-08-01,30,630.95,630.95,630.95,630.95,1000000,0
2012-08-02,31,623.2,623.2,623.2,623.2,1000000,0
2012-08-03,32,622.45,622.45,622.45,622.45,1000000,0
2012-08-06,35,620.7,620.7,620.7,620.7,1000000,0
2012-08-07,36,619.15,619.15,619.15,619.15,1000000,0
2012-08-08,37,613.25,613.25,613.25,613.25,1000000,0
2012-08-09,38,614.55,614.55,614.55,614.55,1000000,0
2012-08-10,39,616.55,616.55,616.55,616.55,1000000,0
2012-08-13,42,614.1,614.1,614.1,614.1,1000000,0
2012-08-14,43,610.95,610.95,610.95,610.95,1000000,0
2012-08-16,45,613.8,613.8,613.8,613.8,1000000,0
2012-08-17,46,625.65,625.65,625.65,625.65,1000000,0
2012-08-21,50,627.85,627.85,627.85,627.85,1000000,0
2012-08-22,51,632.05,632.05,632.05,632.05,1000000,0
2012-08-23,52,638.4,638.4,638.4,638.4,1000000,0
2012-08-24,53,637.75,637.75,637.75,637.75,1000000,0
2012-08-27,56,625.6,625.6,625.6,625.6,1000000,0
2012-08-28,57,631.65,631.65,631.65,631.65,1000000,0
2012-08-29,58,626.9,626.9,626.9,626.9,1000000,0
2012-08-30,59,634.2,634.2,634.2,634.2,1000000,0
2012-08-31,60,628.5,628.5,628.5,628.5,1000000,0
2012-09-03,63,628.6,628.6,628.6,628.6,1000000,0
2012-09-04,64,630.05,630.05,630.05,630.05,1000000,0
2012-09-05,65,635.05,635.05,635.05,635.05,1000000,0
2012-09-06,66,630.75,630.75,630.75,630.75,1000000,0
2012-09-07,67,646.95,646.95,646.95,646.95,1000000,0
