Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,57.025,57.025,57.025,57.025,1000000,0
2012-07-03,1,58.15,58.15,58.15,58.15,1000000,0
2012-07-04,2,57.525,57.525,57.525,57.525,1000000,0
2012-07-05,3,57.6,57.6,57.6,57.6,1000000,0
2012-07-06,4,57.75,57.75,57.75,57.75,1000000,0
2012-07-09,7,55.625,55.625,55.625,55.625,1000000,0
2012-07-10,8,57.2,57.2,57.2,57.2,1000000,0
2012-07-11,9,56.5,56.5,56.5,56.5,1000000,0
2012-07-12,10,57.075,57.075,57.075,57.075,1000000,0
2012-07-13,11,56.25,56.25,56.25,56.25,1000000,0
2012-07-16,14,55.2,55.2,55.2,55.2,1000000,0
2012-07-17,15,54.9,54.9,54.9,54.9,1000000,0
2012-07-18,16,55.525,55.525,55.525,55.525,1000000,0
2012-07-19,17,54.625,54.625,54.625,54.625,1000000,0
2012-07-20,18,54.2,54.2,54.2,54.2,1000000,0
2012-07-23,21,54.2,54.2,54.2,54.2,1000000,0
2012-07-24,22,54.075,54.075,54.075,54.075,1000000,0
2012-07-25,23,53.825,53.825,53.825,53.825,1000000,0
2012-07-26,24,51.8,51.8,51.8,51.8,1000000,0
2012-07-27,25,50.625,50.625,50.625,50.625,1000000,0
2012-07-30,28,52.225,52.225,52.225,52.225,1000000,0
2012-07-31,29,54.5,54.5,54.5,54.5,1000000,0
2012-08-01,30,56.7,56.7,56.7,56.7,1000000,0
2012-08-02,31,56.275,56.275,56.275,56.275,1000000,0
2012-08-03,32,56.8,56.8,56.8,56.8,1000000,0
2012-08-06,35,56.175,56.175,56.175,56.175,1000000,0
2012-08-07,36,55.95,55.95,55.95,55.95,1000000,0
2012-08-08,37,55.025,55.025,55.025,55.025,1000000,0
2012-08-09,38,50.825,50.825,50.825,50.825,1000000,0
2012-08-10,39,51.55,51.55,51.55,51.55,1000000,0
2012-08-13,42,52.5,52.5,52.5,52.5,1000000,0
2012-08-14,43,52.05,52.05,52.05,52.05,1000000,0
2012-08-16,45,52.0,52.0,52.0,52.0,1000000,0
2012-08-17,46,51.35,51.35,51.35,51.35,1000000,0
2012-08-21,50,52.35,52.35,52.35,52.35,1000000,0
2012-08-22,51,53.675,53.675,53.675,53.675,1000000,0
2012-08-23,52,53.875,53.875,53.875,53.875,1000000,0
2012-08-24,53,55.95,55.95,55.95,55.95,1000000,0
2012-08-27,56,55.525,55.525,55.525,55.525,1000000,0
2012-08-28,57,55.8,55.8,55.8,55.8,1000000,0
2012-08-29,58,56.075,56.075,56.075,56.075,1000000,0
2012-08-30,59,54.725,54.725,54.725,54.725,1000000,0
2012-08-31,60,55.15,55.15,55.15,55.15,1000000,0
2012-09-03,63,59.125,59.125,59.125,59.125,1000000,0
2012-09-04,64,59.325,59.325,59.325,59.325,1000000,0
2012-09-05,65,58.0,58.0,58.0,58.0,1000000,0
2012-09-06,66,59.675,59.675,59.675,59.675,1000000,0
2012-09-07,67,61.625,61.625,61.625,61.625,1000000,0
2012-09-10,70,65.55,65.55,65.55,65.55,1000000,0
2012-09-11,71,65.65,65.65,65.65,65.65,1000000,0
2012-09-12,72,64.8,64.8,64.8,64.8,1000000,0
2012-09-13,73,64.2,64.2,64.2,64.2,1000000,0
2012-09-14,74,62.9,62.9,62.9,62.9,1000000,0
2012-09-17,77,63.575,63.575,63.575,63.575,1000000,0
2012-09-18,78,64.525,64.525,64.525,64.525,1000000,0
2012-09-20,80,64.325,64.325,64.325,64.325,1000000,0
2012-09-21,81,64.9,64.9,64.9,64.9,1000000,0
2012-09-24,84,64.8,64.8,64.8,64.8,1000000,0
2012-09-25,85,68.925,68.925,68.925,68.925,1000000,0
2012-09-26,86,70.35,70.35,70.35,70.35,1000000,0
2012-09-27,87,70.375,70.375,70.375,70.375,1000000,0
2012-09-28,88,71.0,71.0,71.0,71.0,1000000,0
2012-10-01,91,72.175,72.175,72.175,72.175,1000000,0
2012-10-03,93,73.225,73.225,73.225,73.225,1000000,0
2012-10-04,94,72.35,72.35,72.35,72.35,1000000,0
2012-10-05,95,69.3,69.3,69.3,69.3,1000000,0
2012-10-08,98,71.725,71.725,71.725,71.725,1000000,0
2012-10-09,99,74.8,74.8,74.8,74.8,1000000,0
2012-10-10,100,76.0,76.0,76.0,76.0,1000000,0
2012-10-11,101,79.75,79.75,79.75,79.75,1000000,0
2012-10-12,102,79.95,79.95,79.95,79.95,1000000,0
2012-10-15,105,77.775,77.775,77.775,77.775,1000000,0
2012-10-16,106,77.325,77.325,77.325,77.325,1000000,0
2012-10-17,107,78.225,78.225,78.225,78.225,1000000,0
2012-10-18,108,79.475,79.475,79.475,79.475,1000000,0
2012-10-19,109,78.45,78.45,78.45,78.45,1000000,0
2012-10-22,112,80.5,80.5,80.5,80.5,1000000,0
2012-10-23,113,79.875,79.875,79.875,79.875,1000000,0
2012-10-25,115,81.625,81.625,81.625,81.625,1000000,0
2012-10-26,116,80.05,80.05,80.05,80.05,1000000,0
2012-10-29,119,79.1,79.1,79.1,79.1,1000000,0
2012-10-30,120,80.7,80.7,80.7,80.7,1000000,0
2012-10-31,121,79.225,79.225,79.225,79.225,1000000,0
2012-11-01,122,84.975,84.975,84.975,84.975,1000000,0
2012-11-02,123,85.15,85.15,85.15,85.15,1000000,0
2012-11-05,126,84.925,84.925,84.925,84.925,1000000,0
2012-11-06,127,87.675,87.675,87.675,87.675,1000000,0
2012-11-07,128,87.825,87.825,87.825,87.825,1000000,0
2012-11-08,129,89.275,89.275,89.275,89.275,1000000,0
2012-11-09,130,85.125,85.125,85.125,85.125,1000000,0
2012-11-12,133,89.375,89.375,89.375,89.375,1000000,0
2012-11-13,134,89.225,89.225,89.225,89.225,1000000,0
2012-11-15,136,86.725,86.725,86.725,86.725,1000000,0
2012-11-16,137,88.325,88.325,88.325,88.325,1000000,0
2012-11-19,140,87.375,87.375,87.375,87.375,1000000,0
2012-11-20,141,86.05,86.05,86.05,86.05,1000000,0
