Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,47.0,47.0,47.0,47.0,1000000,0
2012-07-03,1,47.05,47.05,47.05,47.05,1000000,0
2012-07-04,2,49.25,49.25,49.25,49.25,1000000,0
2012-07-05,3,53.7,53.7,53.7,53.7,1000000,0
2012-07-06,4,55.9,55.9,55.9,55.9,1000000,0
2012-07-09,7,57.2,57.2,57.2,57.2,1000000,0
2012-07-10,8,55.65,55.65,55.65,55.65,1000000,0
2012-07-11,9,55.35,55.35,55.35,55.35,1000000,0
2012-07-12,10,56.25,56.25,56.25,56.25,1000000,0
2012-07-13,11,55.0,55.0,55.0,55.0,1000000,0
2012-07-16,14,54.95,54.95,54.95,54.95,1000000,0
2012-07-17,15,52.0,52.0,52.0,52.0,1000000,0
2012-07-18,16,52.55,52.55,52.55,52.55,1000000,0
2012-07-19,17,52.35,52.35,52.35,52.35,1000000,0
2012-07-20,18,50.8,50.8,50.8,50.8,1000000,0
2012-07-23,21,50.5,50.5,50.5,50.5,1000000,0
2012-07-24,22,49.1,49.1,49.1,49.1,1000000,0
2012-07-25,23,48.6,48.6,48.6,48.6,1000000,0
2012-07-26,24,47.8,47.8,47.8,47.8,1000000,0
2012-07-27,25,47.25,47.25,47.25,47.25,1000000,0
2012-07-30,28,47.8,47.8,47.8,47.8,1000000,0
2012-07-31,29,47.5,47.5,47.5,47.5,1000000,0
2012-08-01,30,48.6,48.6,48.6,48.6,1000000,0
2012-08-02,31,48.5,48.5,48.5,48.5,1000000,0
2012-08-03,32,47.75,47.75,47.75,47.75,1000000,0
2012-08-06,35,50.65,50.65,50.65,50.65,1000000,0
2012-08-07,36,50.95,50.95,50.95,50.95,1000000,0
2012-08-08,37,49.45,49.45,49.45,49.45,1000000,0
2012-08-09,38,48.7,48.7,48.7,48.7,1000000,0
2012-08-10,39,47.7,47.7,47.7,47.7,1000000,0
2012-08-13,42,47.9,47.9,47.9,47.9,1000000,0
2012-08-14,43,47.45,47.45,47.45,47.45,1000000,0
2012-08-16,45,47.25,47.25,47.25,47.25,1000000,0
2012-08-17,46,44.85,44.85,44.85,44.85,1000000,0
2012-08-21,50,46.95,46.95,46.95,46.95,1000000,0
2012-08-22,51,46.1,46.1,46.1,46.1,1000000,0
2012-08-23,52,48.15,48.15,48.15,48.15,1000000,0
2012-08-24,53,46.3,46.3,46.3,46.3,1000000,0
2012-08-27,56,47.35,47.35,47.35,47.35,1000000,0
2012-08-28,57,46.25,46.25,46.25,46.25,1000000,0
