Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,451.95,451.95,451.95,451.95,1,0
2012-07-03,1,439.75,439.75,439.75,439.75,1,0
2012-07-04,2,441.7,441.7,441.7,441.7,1,0
2012-07-05,3,448.8,448.8,448.8,448.8,1,0
2012-07-06,4,445.05,445.05,445.05,445.05,1,0
2012-07-09,7,436.55,436.55,436.55,436.55,1,0
2012-07-10,8,439.6,439.6,439.6,439.6,1,0
2012-07-11,9,441.0,441.0,441.0,441.0,1,0
2012-07-12,10,436.7,436.7,436.7,436.7,1,0
2012-07-13,11,441.5,441.5,441.5,441.5,1,0
2012-07-16,14,439.5,439.5,439.5,439.5,1,0
2012-07-17,15,431.3,431.3,431.3,431.3,1,0
2012-07-18,16,429.5,429.5,429.5,429.5,1,0
2012-07-19,17,400.35,400.35,400.35,400.35,1,0
2012-07-20,18,410.85,410.85,410.85,410.85,1,0
2012-07-23,21,402.3,402.3,402.3,402.3,1,0
2012-07-24,22,401.05,401.05,401.05,401.05,1,0
2012-07-25,23,394.15,394.15,394.15,394.15,1,0
2012-07-26,24,393.0,393.0,393.0,393.0,1,0
2012-07-27,25,389.95,389.95,389.95,389.95,1,0
2012-07-30,28,378.65,378.65,378.65,378.65,1,0
2012-07-31,29,372.8,372.8,372.8,372.8,1,0
2012-08-01,30,374.15,374.15,374.15,374.15,1,0
2012-08-02,31,362.55,362.55,362.55,362.55,1,0
2012-08-03,32,362.1,362.1,362.1,362.1,1,0
2012-08-06,35,363.5,363.5,363.5,363.5,1,0
2012-08-07,36,358.2,358.2,358.2,358.2,1,0
2012-08-08,37,352.5,352.5,352.5,352.5,1,0
2012-08-09,38,344.85,344.85,344.85,344.85,1,0
2012-08-10,39,336.0,336.0,336.0,336.0,1,0
2012-08-13,42,343.4,343.4,343.4,343.4,1,0
2012-08-14,43,343.25,343.25,343.25,343.25,1,0
2012-08-16,45,342.4,342.4,342.4,342.4,1,0
2012-08-17,46,344.85,344.85,344.85,344.85,1,0
2012-08-21,50,338.8,338.8,338.8,338.8,1,0
2012-08-22,51,339.5,339.5,339.5,339.5,1,0
2012-08-23,52,342.5,342.5,342.5,342.5,1,0
2012-08-24,53,344.55,344.55,344.55,344.55,1,0
2012-08-27,56,344.85,344.85,344.85,344.85,1,0
2012-08-28,57,337.1,337.1,337.1,337.1,1,0
2012-08-29,58,337.6,337.6,337.6,337.6,1,0
2012-08-30,59,338.45,338.45,338.45,338.45,1,0
2012-08-31,60,340.2,340.2,340.2,340.2,1,0
2012-09-03,63,342.05,342.05,342.05,342.05,1,0
2012-09-04,64,345.25,345.25,345.25,345.25,1,0
2012-09-05,65,341.65,341.65,341.65,341.65,1,0
2012-09-06,66,347.2,347.2,347.2,347.2,1,0
2012-09-07,67,347.95,347.95,347.95,347.95,1,0
2012-09-10,70,338.45,338.45,338.45,338.45,1,0
2012-09-11,71,341.25,341.25,341.25,341.25,1,0
2012-09-12,72,341.35,341.35,341.35,341.35,1,0
2012-09-13,73,342.05,342.05,342.05,342.05,1,0
2012-09-14,74,362.65,362.65,362.65,362.65,1,0
2012-09-17,77,367.2,367.2,367.2,367.2,1,0
2012-09-18,78,368.9,368.9,368.9,368.9,1,0
2012-09-20,80,372.0,372.0,372.0,372.0,1,0
2012-09-21,81,372.25,372.25,372.25,372.25,1,0
2012-09-24,84,387.8,387.8,387.8,387.8,1,0
2012-09-25,85,404.55,404.55,404.55,404.55,1,0
2012-09-26,86,407.35,407.35,407.35,407.35,1,0
2012-09-27,87,401.9,401.9,401.9,401.9,1,0
2012-09-28,88,411.9,411.9,411.9,411.9,1,0
2012-10-01,91,399.1,399.1,399.1,399.1,1,0
2012-10-03,93,402.15,402.15,402.15,402.15,1,0
2012-10-04,94,401.1,401.1,401.1,401.1,1,0
2012-10-05,95,381.9,381.9,381.9,381.9,1,0
2012-10-08,98,380.45,380.45,380.45,380.45,1,0
2012-10-09,99,390.05,390.05,390.05,390.05,1,0
2012-10-10,100,384.95,384.95,384.95,384.95,1,0
2012-10-11,101,381.4,381.4,381.4,381.4,1,0
2012-10-12,102,384.0,384.0,384.0,384.0,1,0
2012-10-15,105,389.0,389.0,389.0,389.0,1,0
2012-10-16,106,381.05,381.05,381.05,381.05,1,0
2012-10-17,107,389.95,389.95,389.95,389.95,1,0
2012-10-18,108,391.85,391.85,391.85,391.85,1,0
2012-10-19,109,395.85,395.85,395.85,395.85,1,0
2012-10-22,112,398.45,398.45,398.45,398.45,1,0
2012-10-23,113,396.05,396.05,396.05,396.05,1,0
2012-10-25,115,393.25,393.25,393.25,393.25,1,0
2012-10-26,116,391.2,391.2,391.2,391.2,1,0
2012-10-29,119,382.6,382.6,382.6,382.6,1,0
2012-10-30,120,379.95,379.95,379.95,379.95,1,0
2012-10-31,121,373.8,373.8,373.8,373.8,1,0
2012-11-01,122,372.1,372.1,372.1,372.1,1,0
2012-11-02,123,373.85,373.85,373.85,373.85,1,0
2012-11-05,126,374.9,374.9,374.9,374.9,1,0
2012-11-06,127,370.3,370.3,370.3,370.3,1,0
2012-11-07,128,380.15,380.15,380.15,380.15,1,0
2012-11-08,129,375.8,375.8,375.8,375.8,1,0
2012-11-09,130,371.05,371.05,371.05,371.05,1,0
2012-11-12,133,370.3,370.3,370.3,370.3,1,0
2012-11-13,134,373.45,373.45,373.45,373.45,1,0
2012-11-15,136,367.95,367.95,367.95,367.95,1,0
2012-11-16,137,362.65,362.65,362.65,362.65,1,0
2012-11-19,140,353.6,353.6,353.6,353.6,1,0
2012-11-20,141,358.7,358.7,358.7,358.7,1,0
2012-11-21,142,365.05,365.05,365.05,365.05,1,0
2012-11-22,143,367.7,367.7,367.7,367.7,1,0
2012-11-23,144,364.0,364.0,364.0,364.0,1,0
2012-11-26,147,368.0,368.0,368.0,368.0,1,0
2012-11-27,148,367.85,367.85,367.85,367.85,1,0
2012-11-29,150,355.3,355.3,355.3,355.3,1,0
2012-11-30,151,361.95,361.95,361.95,361.95,1,0
2012-12-03,154,357.7,357.7,357.7,357.7,1,0
2012-12-04,155,371.75,371.75,371.75,371.75,1,0
2012-12-05,156,362.65,362.65,362.65,362.65,1,0
2012-12-06,157,366.6,366.6,366.6,366.6,1,0
2012-12-07,158,359.75,359.75,359.75,359.75,1,0
2012-12-10,161,358.3,358.3,358.3,358.3,1,0
2012-12-11,162,358.95,358.95,358.95,358.95,1,0
2012-12-12,163,361.1,361.1,361.1,361.1,1,0
2012-12-13,164,362.6,362.6,362.6,362.6,1,0
2012-12-14,165,361.9,361.9,361.9,361.9,1,0
2012-12-17,168,363.9,363.9,363.9,363.9,1,0
2012-12-18,169,361.2,361.2,361.2,361.2,1,0
2012-12-19,170,363.85,363.85,363.85,363.85,1,0
2012-12-20,171,364.7,364.7,364.7,364.7,1,0
2012-12-21,172,360.5,360.5,360.5,360.5,1,0
2012-12-24,175,357.15,357.15,357.15,357.15,1,0
2012-12-26,177,361.0,361.0,361.0,361.0,1,0
2012-12-27,178,363.3,363.3,363.3,363.3,1,0
2012-12-28,179,371.65,371.65,371.65,371.65,1,0
2012-12-31,182,365.4,365.4,365.4,365.4,1,0
2013-01-01,183,362.15,362.15,362.15,362.15,1,0
2013-01-02,183,362.15,362.15,362.15,362.15,1,0
2013-01-03,183,362.15,362.15,362.15,362.15,1,0
2013-01-04,183,362.15,362.15,362.15,362.15,1,0
2013-01-07,183,362.15,362.15,362.15,362.15,1,0
2013-01-08,183,362.15,362.15,362.15,362.15,1,0
2013-01-09,183,362.15,362.15,362.15,362.15,1,0
2013-01-10,183,362.15,362.15,362.15,362.15,1,0
2013-01-11,183,362.15,362.15,362.15,362.15,1,0
2013-01-14,183,362.15,362.15,362.15,362.15,1,0
2013-01-15,183,362.15,362.15,362.15,362.15,1,0
2013-01-16,183,362.15,362.15,362.15,362.15,1,0
2013-01-17,183,362.15,362.15,362.15,362.15,1,0
2013-01-18,183,362.15,362.15,362.15,362.15,1,0
2013-01-21,183,362.15,362.15,362.15,362.15,1,0
2013-01-22,183,362.15,362.15,362.15,362.15,1,0
2013-01-23,183,362.15,362.15,362.15,362.15,1,0
2013-01-24,183,362.15,362.15,362.15,362.15,1,0
2013-01-25,183,362.15,362.15,362.15,362.15,1,0
2013-01-28,183,362.15,362.15,362.15,362.15,1,0
2013-01-29,183,362.15,362.15,362.15,362.15,1,0
2013-01-30,183,362.15,362.15,362.15,362.15,1,0
2013-01-31,183,362.15,362.15,362.15,362.15,1,0
2013-02-01,183,362.15,362.15,362.15,362.15,1,0
2013-02-04,183,362.15,362.15,362.15,362.15,1,0
2013-02-05,183,362.15,362.15,362.15,362.15,1,0
2013-02-06,183,362.15,362.15,362.15,362.15,1,0
2013-02-07,183,362.15,362.15,362.15,362.15,1,0
2013-02-08,183,362.15,362.15,362.15,362.15,1,0
2013-02-11,183,362.15,362.15,362.15,362.15,1,0
2013-02-12,183,362.15,362.15,362.15,362.15,1,0
2013-02-13,183,362.15,362.15,362.15,362.15,1,0
2013-02-14,183,362.15,362.15,362.15,362.15,1,0
2013-02-15,183,362.15,362.15,362.15,362.15,1,0
2013-02-18,183,362.15,362.15,362.15,362.15,1,0
2013-02-19,183,362.15,362.15,362.15,362.15,1,0
2013-02-20,183,362.15,362.15,362.15,362.15,1,0
2013-02-21,183,362.15,362.15,362.15,362.15,1,0
2013-02-22,183,362.15,362.15,362.15,362.15,1,0
2013-02-25,183,362.15,362.15,362.15,362.15,1,0
2013-02-26,183,362.15,362.15,362.15,362.15,1,0
2013-02-27,183,362.15,362.15,362.15,362.15,1,0
2013-02-28,183,362.15,362.15,362.15,362.15,1,0
2013-03-01,183,362.15,362.15,362.15,362.15,1,0
2013-03-04,183,362.15,362.15,362.15,362.15,1,0
2013-03-05,183,362.15,362.15,362.15,362.15,1,0
2013-03-06,183,362.15,362.15,362.15,362.15,1,0
2013-03-07,183,362.15,362.15,362.15,362.15,1,0
2013-03-08,183,362.15,362.15,362.15,362.15,1,0
2013-03-11,183,362.15,362.15,362.15,362.15,1,0
2013-03-12,183,362.15,362.15,362.15,362.15,1,0
2013-03-13,183,362.15,362.15,362.15,362.15,1,0
2013-03-14,183,362.15,362.15,362.15,362.15,1,0
2013-03-15,183,362.15,362.15,362.15,362.15,1,0
2013-03-18,183,362.15,362.15,362.15,362.15,1,0
2013-03-19,183,362.15,362.15,362.15,362.15,1,0
2013-03-20,183,362.15,362.15,362.15,362.15,1,0
2013-03-21,183,362.15,362.15,362.15,362.15,1,0
2013-03-22,183,362.15,362.15,362.15,362.15,1,0
2013-03-25,183,362.15,362.15,362.15,362.15,1,0
2013-03-26,183,362.15,362.15,362.15,362.15,1,0
2013-03-28,183,362.15,362.15,362.15,362.15,1,0
2013-04-01,183,362.15,362.15,362.15,362.15,1,0
2013-04-02,183,362.15,362.15,362.15,362.15,1,0
