Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,205.86,205.86,205.86,205.86,1000000,0
2012-07-03,1,208.81,208.81,208.81,208.81,1000000,0
2012-07-04,2,208.28,208.28,208.28,208.28,1000000,0
2012-07-05,3,208.8,208.8,208.8,208.8,1000000,0
2012-07-06,4,207.5,207.5,207.5,207.5,1000000,0
2012-07-09,7,207.17,207.17,207.17,207.17,1000000,0
2012-07-10,8,215.06,215.06,215.06,215.06,1000000,0
2012-07-11,9,213.34,213.34,213.34,213.34,1000000,0
2012-07-12,10,209.56,209.56,209.56,209.56,1000000,0
2012-07-13,11,206.94,206.94,206.94,206.94,1000000,0
2012-07-16,14,209.26,209.26,209.26,209.26,1000000,0
2012-07-17,15,204.76,204.76,204.76,204.76,1000000,0
2012-07-18,16,207.65,207.65,207.65,207.65,1000000,0
2012-07-19,17,211.41,211.41,211.41,211.41,1000000,0
2012-07-20,18,208.16,208.16,208.16,208.16,1000000,0
2012-07-23,21,205.51,205.51,205.51,205.51,1000000,0
2012-07-24,22,208.27,208.27,208.27,208.27,1000000,0
2012-07-25,23,205.74,205.74,205.74,205.74,1000000,0
2012-07-26,24,200.44,200.44,200.44,200.44,1000000,0
2012-07-27,25,199.43,199.43,199.43,199.43,1000000,0
2012-07-30,28,208.07,208.07,208.07,208.07,1000000,0
2012-07-31,29,208.83,208.83,208.83,208.83,1000000,0
2012-08-01,30,209.2,209.2,209.2,209.2,1000000,0
2012-08-02,31,211.7,211.7,211.7,211.7,1000000,0
2012-08-03,32,208.22,208.22,208.22,208.22,1000000,0
2012-08-06,35,212.72,212.72,212.72,212.72,1000000,0
2012-08-07,36,218.26,218.26,218.26,218.26,1000000,0
2012-08-08,37,219.34,219.34,219.34,219.34,1000000,0
2012-08-09,38,217.44,217.44,217.44,217.44,1000000,0
2012-08-10,39,214.0,214.0,214.0,214.0,1000000,0
2012-08-13,42,216.17,216.17,216.17,216.17,1000000,0
2012-08-14,43,221.44,221.44,221.44,221.44,1000000,0
2012-08-16,45,222.79,222.79,222.79,222.79,1000000,0
2012-08-17,46,222.04,222.04,222.04,222.04,1000000,0
2012-08-21,50,222.14,222.14,222.14,222.14,1000000,0
2012-08-22,51,221.6,221.6,221.6,221.6,1000000,0
2012-08-23,52,218.93,218.93,218.93,218.93,1000000,0
2012-08-24,53,215.09,215.09,215.09,215.09,1000000,0
2012-08-27,56,207.82,207.82,207.82,207.82,1000000,0
2012-08-28,57,203.45,203.45,203.45,203.45,1000000,0
2012-08-29,58,203.69,203.69,203.69,203.69,1000000,0
2012-08-30,59,202.65,202.65,202.65,202.65,1000000,0
2012-08-31,60,198.36,198.36,198.36,198.36,1000000,0
2012-09-03,63,195.52,195.52,195.52,195.52,1000000,0
2012-09-04,64,195.66,195.66,195.66,195.66,1000000,0
2012-09-05,65,186.05,186.05,186.05,186.05,1000000,0
2012-09-06,66,189.74,189.74,189.74,189.74,1000000,0
2012-09-07,67,195.37,195.37,195.37,195.37,1000000,0
2012-09-10,70,190.59,190.59,190.59,190.59,1000000,0
2012-09-11,71,190.57,190.57,190.57,190.57,1000000,0
2012-09-12,72,191.2,191.2,191.2,191.2,1000000,0
2012-09-13,73,189.61,189.61,189.61,189.61,1000000,0
2012-09-14,74,201.98,201.98,201.98,201.98,1000000,0
2012-09-17,77,211.5,211.5,211.5,211.5,1000000,0
2012-09-18,78,214.68,214.68,214.68,214.68,1000000,0
2012-09-20,80,208.88,208.88,208.88,208.88,1000000,0
2012-09-21,81,224.93,224.93,224.93,224.93,1000000,0
2012-09-24,84,226.53,226.53,226.53,226.53,1000000,0
2012-09-25,85,220.39,220.39,220.39,220.39,1000000,0
2012-09-26,86,225.36,225.36,225.36,225.36,1000000,0
2012-09-27,87,225.76,225.76,225.76,225.76,1000000,0
2012-09-28,88,227.2,227.2,227.2,227.2,1000000,0
2012-10-01,91,226.14,226.14,226.14,226.14,1000000,0
2012-10-03,93,222.68,222.68,222.68,222.68,1000000,0
2012-10-04,94,228.16,228.16,228.16,228.16,1000000,0
2012-10-05,95,228.59,228.59,228.59,228.59,1000000,0
2012-10-08,98,226.19,226.19,226.19,226.19,1000000,0
2012-10-09,99,225.68,225.68,225.68,225.68,1000000,0
2012-10-10,100,221.36,221.36,221.36,221.36,1000000,0
2012-10-11,101,226.74,226.74,226.74,226.74,1000000,0
2012-10-12,102,223.94,223.94,223.94,223.94,1000000,0
2012-10-15,105,223.82,223.82,223.82,223.82,1000000,0
2012-10-16,106,229.18,229.18,229.18,229.18,1000000,0
2012-10-17,107,230.79,230.79,230.79,230.79,1000000,0
2012-10-18,108,240.47,240.47,240.47,240.47,1000000,0
2012-10-19,109,240.45,240.45,240.45,240.45,1000000,0
2012-10-22,112,244.75,244.75,244.75,244.75,1000000,0
2012-10-23,113,244.45,244.45,244.45,244.45,1000000,0
2012-10-25,115,247.61,247.61,247.61,247.61,1000000,0
2012-10-26,116,246.33,246.33,246.33,246.33,1000000,0
2012-10-29,119,244.35,244.35,244.35,244.35,1000000,0
2012-10-30,120,236.94,236.94,236.94,236.94,1000000,0
2012-10-31,121,236.52,236.52,236.52,236.52,1000000,0
2012-11-01,122,241.43,241.43,241.43,241.43,1000000,0
2012-11-02,123,243.1,243.1,243.1,243.1,1000000,0
2012-11-05,126,242.85,242.85,242.85,242.85,1000000,0
2012-11-06,127,244.03,244.03,244.03,244.03,1000000,0
2012-11-07,128,246.41,246.41,246.41,246.41,1000000,0
2012-11-08,129,244.5,244.5,244.5,244.5,1000000,0
2012-11-09,130,243.02,243.02,243.02,243.02,1000000,0
2012-11-12,133,245.29,245.29,245.29,245.29,1000000,0
2012-11-13,134,244.52,244.52,244.52,244.52,1000000,0
2012-11-15,136,246.45,246.45,246.45,246.45,1000000,0
2012-11-16,137,245.25,245.25,245.25,245.25,1000000,0
2012-11-19,140,242.86,242.86,242.86,242.86,1000000,0
2012-11-20,141,243.79,243.79,243.79,243.79,1000000,0
2012-11-21,142,247.27,247.27,247.27,247.27,1000000,0
2012-11-22,143,251.41,251.41,251.41,251.41,1000000,0
2012-11-23,144,251.35,251.35,251.35,251.35,1000000,0
2012-11-26,147,253.16,253.16,253.16,253.16,1000000,0
2012-11-27,148,258.01,258.01,258.01,258.01,1000000,0
2012-11-29,150,262.04,262.04,262.04,262.04,1000000,0
2012-11-30,151,263.98,263.98,263.98,263.98,1000000,0
2012-12-03,154,264.32,264.32,264.32,264.32,1000000,0
2012-12-04,155,264.42,264.42,264.42,264.42,1000000,0
2012-12-05,156,266.94,266.94,266.94,266.94,1000000,0
2012-12-06,157,272.82,272.82,272.82,272.82,1000000,0
2012-12-07,158,265.75,265.75,265.75,265.75,1000000,0
2012-12-10,161,264.57,264.57,264.57,264.57,1000000,0
2012-12-11,162,265.08,265.08,265.08,265.08,1000000,0
2012-12-12,163,265.27,265.27,265.27,265.27,1000000,0
2012-12-13,164,265.07,265.07,265.07,265.07,1000000,0
2012-12-14,165,270.54,270.54,270.54,270.54,1000000,0
2012-12-17,168,271.81,271.81,271.81,271.81,1000000,0
2012-12-18,169,270.79,270.79,270.79,270.79,1000000,0
2012-12-19,170,266.98,266.98,266.98,266.98,1000000,0
2012-12-20,171,263.72,263.72,263.72,263.72,1000000,0
2012-12-21,172,264.25,264.25,264.25,264.25,1000000,0
2012-12-24,175,268.53,268.53,268.53,268.53,1000000,0
2012-12-26,177,270.39,270.39,270.39,270.39,1000000,0
2012-12-27,178,272.86,272.86,272.86,272.86,1000000,0
2012-12-28,179,271.91,271.91,271.91,271.91,1000000,0
2012-12-31,182,271.31,271.31,271.31,271.31,1000000,0
2013-01-01,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-02,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-03,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-04,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-07,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-08,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-09,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-10,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-11,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-14,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-15,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-16,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-17,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-18,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-21,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-22,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-23,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-24,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-25,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-28,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-29,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-30,183,272.54,272.54,272.54,272.54,1000000,0
2013-01-31,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-01,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-04,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-05,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-06,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-07,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-08,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-11,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-12,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-13,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-14,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-15,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-18,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-19,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-20,183,272.54,272.54,272.54,272.54,1000000,0
2013-02-21,183,272.54,272.54,272.54,272.54,1000000,0
