Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,115.77,115.77,115.77,115.77,1,0
2012-07-03,1,116.3,116.3,116.3,116.3,1,0
2012-07-04,2,115.85,115.85,115.85,115.85,1,0
2012-07-05,3,118.29,118.29,118.29,118.29,1,0
2012-07-06,4,115.99,115.99,115.99,115.99,1,0
2012-07-09,7,114.38,114.38,114.38,114.38,1,0
2012-07-10,8,115.11,115.11,115.11,115.11,1,0
2012-07-11,9,118.24,118.24,118.24,118.24,1,0
2012-07-12,10,120.92,120.92,120.92,120.92,1,0
2012-07-13,11,120.91,120.91,120.91,120.91,1,0
2012-07-16,14,118.96,118.96,118.96,118.96,1,0
2012-07-17,15,115.6,115.6,115.6,115.6,1,0
2012-07-18,16,116.86,116.86,116.86,116.86,1,0
2012-07-19,17,116.1,116.1,116.1,116.1,1,0
2012-07-20,18,116.18,116.18,116.18,116.18,1,0
2012-07-23,21,116.04,116.04,116.04,116.04,1,0
2012-07-24,22,116.26,116.26,116.26,116.26,1,0
2012-07-25,23,114.6,114.6,114.6,114.6,1,0
2012-07-26,24,108.33,108.33,108.33,108.33,1,0
2012-07-27,25,106.75,106.75,106.75,106.75,1,0
2012-07-30,28,110.02,110.02,110.02,110.02,1,0
2012-07-31,29,109.5,109.5,109.5,109.5,1,0
2012-08-01,30,111.26,111.26,111.26,111.26,1,0
2012-08-02,31,109.72,109.72,109.72,109.72,1,0
2012-08-03,32,111.52,111.52,111.52,111.52,1,0
2012-08-06,35,111.89,111.89,111.89,111.89,1,0
2012-08-07,36,114.23,114.23,114.23,114.23,1,0
2012-08-08,37,111.2,111.2,111.2,111.2,1,0
2012-08-09,38,110.3,110.3,110.3,110.3,1,0
2012-08-10,39,108.59,108.59,108.59,108.59,1,0
2012-08-13,42,107.25,107.25,107.25,107.25,1,0
2012-08-14,43,106.75,106.75,106.75,106.75,1,0
2012-08-16,45,107.28,107.28,107.28,107.28,1,0
2012-08-17,46,107.67,107.67,107.67,107.67,1,0
2012-08-21,50,106.49,106.49,106.49,106.49,1,0
2012-08-22,51,109.06,109.06,109.06,109.06,1,0
2012-08-23,52,109.3,109.3,109.3,109.3,1,0
2012-08-24,53,105.17,105.17,105.17,105.17,1,0
2012-08-27,56,104.19,104.19,104.19,104.19,1,0
2012-08-28,57,105.66,105.66,105.66,105.66,1,0
2012-08-29,58,103.79,103.79,103.79,103.79,1,0
2012-08-30,59,103.78,103.78,103.78,103.78,1,0
2012-08-31,60,105.01,105.01,105.01,105.01,1,0
2012-09-03,63,103.57,103.57,103.57,103.57,1,0
2012-09-04,64,101.65,101.65,101.65,101.65,1,0
2012-09-05,65,102.01,102.01,102.01,102.01,1,0
2012-09-06,66,102.97,102.97,102.97,102.97,1,0
2012-09-07,67,103.21,103.21,103.21,103.21,1,0
2012-09-10,70,103.38,103.38,103.38,103.38,1,0
2012-09-11,71,101.88,101.88,101.88,101.88,1,0
2012-09-12,72,101.76,101.76,101.76,101.76,1,0
2012-09-13,73,102.23,102.23,102.23,102.23,1,0
2012-09-14,74,104.56,104.56,104.56,104.56,1,0
2012-09-17,77,105.07,105.07,105.07,105.07,1,0
2012-09-18,78,104.95,104.95,104.95,104.95,1,0
2012-09-20,80,105.31,105.31,105.31,105.31,1,0
2012-09-21,81,104.25,104.25,104.25,104.25,1,0
2012-09-24,84,104.94,104.94,104.94,104.94,1,0
2012-09-25,85,106.53,106.53,106.53,106.53,1,0
2012-09-26,86,109.37,109.37,109.37,109.37,1,0
2012-09-27,87,106.94,106.94,106.94,106.94,1,0
2012-09-28,88,109.19,109.19,109.19,109.19,1,0
2012-10-01,91,110.0,110.0,110.0,110.0,1,0
2012-10-03,93,111.81,111.81,111.81,111.81,1,0
2012-10-04,94,112.79,112.79,112.79,112.79,1,0
2012-10-05,95,114.96,114.96,114.96,114.96,1,0
2012-10-08,98,114.99,114.99,114.99,114.99,1,0
2012-10-09,99,116.59,116.59,116.59,116.59,1,0
2012-10-10,100,113.9,113.9,113.9,113.9,1,0
2012-10-11,101,113.78,113.78,113.78,113.78,1,0
2012-10-12,102,113.37,113.37,113.37,113.37,1,0
2012-10-15,105,112.41,112.41,112.41,112.41,1,0
2012-10-16,106,114.23,114.23,114.23,114.23,1,0
2012-10-17,107,114.54,114.54,114.54,114.54,1,0
2012-10-18,108,114.97,114.97,114.97,114.97,1,0
2012-10-19,109,113.99,113.99,113.99,113.99,1,0
2012-10-22,112,114.45,114.45,114.45,114.45,1,0
2012-10-23,113,112.7,112.7,112.7,112.7,1,0
2012-10-25,115,111.61,111.61,111.61,111.61,1,0
2012-10-26,116,110.47,110.47,110.47,110.47,1,0
2012-10-29,119,110.78,110.78,110.78,110.78,1,0
2012-10-30,120,110.1,110.1,110.1,110.1,1,0
2012-10-31,121,114.4,114.4,114.4,114.4,1,0
2012-11-01,122,118.27,118.27,118.27,118.27,1,0
2012-11-02,123,120.5,120.5,120.5,120.5,1,0
2012-11-05,126,115.47,115.47,115.47,115.47,1,0
2012-11-06,127,119.87,119.87,119.87,119.87,1,0
2012-11-07,128,121.88,121.88,121.88,121.88,1,0
2012-11-08,129,118.6,118.6,118.6,118.6,1,0
2012-11-09,130,114.75,114.75,114.75,114.75,1,0
2012-11-12,133,112.05,112.05,112.05,112.05,1,0
2012-11-13,134,113.6,113.6,113.6,113.6,1,0
2012-11-15,136,115.85,115.85,115.85,115.85,1,0
2012-11-16,137,124.55,124.55,124.55,124.55,1,0
2012-11-19,140,123.2,123.2,123.2,123.2,1,0
2012-11-20,141,118.6,118.6,118.6,118.6,1,0
2012-11-21,142,124.0,124.0,124.0,124.0,1,0
2012-11-22,143,123.55,123.55,123.55,123.55,1,0
2012-11-23,144,123.1,123.1,123.1,123.1,1,0
2012-11-26,147,124.2,124.2,124.2,124.2,1,0
2012-11-27,148,125.2,125.2,125.2,125.2,1,0
2012-11-29,150,123.2,123.2,123.2,123.2,1,0
2012-11-30,151,122.55,122.55,122.55,122.55,1,0
2012-12-03,154,123.25,123.25,123.25,123.25,1,0
2012-12-04,155,128.75,128.75,128.75,128.75,1,0
2012-12-05,156,129.05,129.05,129.05,129.05,1,0
2012-12-06,157,130.1,130.1,130.1,130.1,1,0
2012-12-07,158,128.5,128.5,128.5,128.5,1,0
2012-12-10,161,127.55,127.55,127.55,127.55,1,0
2012-12-11,162,124.75,124.75,124.75,124.75,1,0
2012-12-12,163,121.95,121.95,121.95,121.95,1,0
2012-12-13,164,119.9,119.9,119.9,119.9,1,0
2012-12-14,165,121.15,121.15,121.15,121.15,1,0
2012-12-17,168,119.8,119.8,119.8,119.8,1,0
2012-12-18,169,121.6,121.6,121.6,121.6,1,0
2012-12-19,170,118.95,118.95,118.95,118.95,1,0
2012-12-20,171,120.2,120.2,120.2,120.2,1,0
2012-12-21,172,120.05,120.05,120.05,120.05,1,0
2012-12-24,175,120.8,120.8,120.8,120.8,1,0
2012-12-26,177,121.3,121.3,121.3,121.3,1,0
2012-12-27,178,118.85,118.85,118.85,118.85,1,0
2012-12-28,179,120.9,120.9,120.9,120.9,1,0
2012-12-31,182,128.2,128.2,128.2,128.2,1,0
2013-01-01,183,127.15,127.15,127.15,127.15,1,0
2013-01-02,183,127.15,127.15,127.15,127.15,1,0
2013-01-03,183,127.15,127.15,127.15,127.15,1,0
2013-01-04,183,127.15,127.15,127.15,127.15,1,0
2013-01-07,183,127.15,127.15,127.15,127.15,1,0
2013-01-08,183,127.15,127.15,127.15,127.15,1,0
2013-01-09,183,127.15,127.15,127.15,127.15,1,0
2013-01-10,183,127.15,127.15,127.15,127.15,1,0
2013-01-11,183,127.15,127.15,127.15,127.15,1,0
2013-01-14,183,127.15,127.15,127.15,127.15,1,0
2013-01-15,183,127.15,127.15,127.15,127.15,1,0
2013-01-16,183,127.15,127.15,127.15,127.15,1,0
2013-01-17,183,127.15,127.15,127.15,127.15,1,0
2013-01-18,183,127.15,127.15,127.15,127.15,1,0
2013-01-21,183,127.15,127.15,127.15,127.15,1,0
2013-01-22,183,127.15,127.15,127.15,127.15,1,0
2013-01-23,183,127.15,127.15,127.15,127.15,1,0
2013-01-24,183,127.15,127.15,127.15,127.15,1,0
2013-01-25,183,127.15,127.15,127.15,127.15,1,0
2013-01-28,183,127.15,127.15,127.15,127.15,1,0
2013-01-29,183,127.15,127.15,127.15,127.15,1,0
2013-01-30,183,127.15,127.15,127.15,127.15,1,0
2013-01-31,183,127.15,127.15,127.15,127.15,1,0
2013-02-01,183,127.15,127.15,127.15,127.15,1,0
2013-02-04,183,127.15,127.15,127.15,127.15,1,0
2013-02-05,183,127.15,127.15,127.15,127.15,1,0
2013-02-06,183,127.15,127.15,127.15,127.15,1,0
2013-02-07,183,127.15,127.15,127.15,127.15,1,0
2013-02-08,183,127.15,127.15,127.15,127.15,1,0
2013-02-11,183,127.15,127.15,127.15,127.15,1,0
2013-02-12,183,127.15,127.15,127.15,127.15,1,0
2013-02-13,183,127.15,127.15,127.15,127.15,1,0
2013-02-14,183,127.15,127.15,127.15,127.15,1,0
2013-02-15,183,127.15,127.15,127.15,127.15,1,0
2013-02-18,183,127.15,127.15,127.15,127.15,1,0
2013-02-19,183,127.15,127.15,127.15,127.15,1,0
2013-02-20,183,127.15,127.15,127.15,127.15,1,0
2013-02-21,183,127.15,127.15,127.15,127.15,1,0
2013-02-22,183,127.15,127.15,127.15,127.15,1,0
2013-02-25,183,127.15,127.15,127.15,127.15,1,0
2013-02-26,183,127.15,127.15,127.15,127.15,1,0
2013-02-27,183,127.15,127.15,127.15,127.15,1,0
2013-02-28,183,127.15,127.15,127.15,127.15,1,0
2013-03-01,183,127.15,127.15,127.15,127.15,1,0
2013-03-04,183,127.15,127.15,127.15,127.15,1,0
2013-03-05,183,127.15,127.15,127.15,127.15,1,0
2013-03-06,183,127.15,127.15,127.15,127.15,1,0
2013-03-07,183,127.15,127.15,127.15,127.15,1,0
2013-03-08,183,127.15,127.15,127.15,127.15,1,0
2013-03-11,183,127.15,127.15,127.15,127.15,1,0
2013-03-12,183,127.15,127.15,127.15,127.15,1,0
2013-03-13,183,127.15,127.15,127.15,127.15,1,0
2013-03-14,183,127.15,127.15,127.15,127.15,1,0
2013-03-15,183,127.15,127.15,127.15,127.15,1,0
2013-03-18,183,127.15,127.15,127.15,127.15,1,0
2013-03-19,183,127.15,127.15,127.15,127.15,1,0
2013-03-20,183,127.15,127.15,127.15,127.15,1,0
2013-03-21,183,127.15,127.15,127.15,127.15,1,0
2013-03-22,183,127.15,127.15,127.15,127.15,1,0
2013-03-25,183,127.15,127.15,127.15,127.15,1,0
2013-03-26,183,127.15,127.15,127.15,127.15,1,0
2013-03-28,183,127.15,127.15,127.15,127.15,1,0
2013-04-01,183,127.15,127.15,127.15,127.15,1,0
2013-04-02,183,127.15,127.15,127.15,127.15,1,0
2013-04-03,183,127.15,127.15,127.15,127.15,1,0
2013-04-04,183,127.15,127.15,127.15,127.15,1,0
2013-04-05,183,127.15,127.15,127.15,127.15,1,0
2013-04-08,183,127.15,127.15,127.15,127.15,1,0
2013-04-09,183,127.15,127.15,127.15,127.15,1,0
2013-04-10,183,127.15,127.15,127.15,127.15,1,0
2013-04-11,183,127.15,127.15,127.15,127.15,1,0
2013-04-12,183,127.15,127.15,127.15,127.15,1,0
2013-04-15,183,127.15,127.15,127.15,127.15,1,0
2013-04-16,183,127.15,127.15,127.15,127.15,1,0
2013-04-17,183,127.15,127.15,127.15,127.15,1,0
2013-04-18,183,127.15,127.15,127.15,127.15,1,0
2013-04-22,183,127.15,127.15,127.15,127.15,1,0
2013-04-23,183,127.15,127.15,127.15,127.15,1,0
2013-04-25,183,127.15,127.15,127.15,127.15,1,0
2013-04-26,183,127.15,127.15,127.15,127.15,1,0
2013-04-29,183,127.15,127.15,127.15,127.15,1,0
2013-04-30,183,127.15,127.15,127.15,127.15,1,0
2013-05-02,183,127.15,127.15,127.15,127.15,1,0
2013-05-03,183,127.15,127.15,127.15,127.15,1,0
2013-05-06,183,127.15,127.15,127.15,127.15,1,0
2013-05-07,183,127.15,127.15,127.15,127.15,1,0
2013-05-08,183,127.15,127.15,127.15,127.15,1,0
2013-05-09,183,127.15,127.15,127.15,127.15,1,0
2013-05-10,183,127.15,127.15,127.15,127.15,1,0
2013-05-13,183,127.15,127.15,127.15,127.15,1,0
2013-05-14,183,127.15,127.15,127.15,127.15,1,0
2013-05-15,183,127.15,127.15,127.15,127.15,1,0
2013-05-16,183,127.15,127.15,127.15,127.15,1,0
2013-05-17,183,127.15,127.15,127.15,127.15,1,0
2013-05-20,183,127.15,127.15,127.15,127.15,1,0
2013-05-21,183,127.15,127.15,127.15,127.15,1,0
2013-05-22,183,127.15,127.15,127.15,127.15,1,0
2013-05-23,183,127.15,127.15,127.15,127.15,1,0
2013-05-24,183,127.15,127.15,127.15,127.15,1,0
2013-05-27,183,127.15,127.15,127.15,127.15,1,0
2013-05-28,183,127.15,127.15,127.15,127.15,1,0
2013-05-29,183,127.15,127.15,127.15,127.15,1,0
2013-05-30,183,127.15,127.15,127.15,127.15,1,0
2013-05-31,183,127.15,127.15,127.15,127.15,1,0
2013-06-03,183,127.15,127.15,127.15,127.15,1,0
2013-06-04,183,127.15,127.15,127.15,127.15,1,0
2013-06-05,183,127.15,127.15,127.15,127.15,1,0
2013-06-06,183,127.15,127.15,127.15,127.15,1,0
2013-06-07,183,127.15,127.15,127.15,127.15,1,0
2013-06-10,183,127.15,127.15,127.15,127.15,1,0
2013-06-11,183,127.15,127.15,127.15,127.15,1,0
2013-06-12,183,127.15,127.15,127.15,127.15,1,0
2013-06-13,183,127.15,127.15,127.15,127.15,1,0
2013-06-14,183,127.15,127.15,127.15,127.15,1,0
2013-06-17,183,127.15,127.15,127.15,127.15,1,0
2013-06-18,183,127.15,127.15,127.15,127.15,1,0
2013-06-19,183,127.15,127.15,127.15,127.15,1,0
2013-06-20,183,127.15,127.15,127.15,127.15,1,0
2013-06-21,183,127.15,127.15,127.15,127.15,1,0
2013-06-24,183,127.15,127.15,127.15,127.15,1,0
2013-06-25,183,127.15,127.15,127.15,127.15,1,0
2013-06-26,183,127.15,127.15,127.15,127.15,1,0
2013-06-27,183,127.15,127.15,127.15,127.15,1,0
2013-06-28,183,127.15,127.15,127.15,127.15,1,0
2013-07-01,364,108.8,108.8,108.8,108.8,1,0
2013-07-02,365,108.1,108.1,108.1,108.1,1,0
2013-07-03,366,107.55,107.55,107.55,107.55,1,0
2013-07-04,367,107.2,107.2,107.2,107.2,1,0
2013-07-05,368,106.75,106.75,106.75,106.75,1,0
2013-07-08,371,104.7,104.7,104.7,104.7,1,0
2013-07-09,372,106.75,106.75,106.75,106.75,1,0
2013-07-10,373,106.85,106.85,106.85,106.85,1,0
2013-07-11,374,107.7,107.7,107.7,107.7,1,0
2013-07-12,375,106.4,106.4,106.4,106.4,1,0
2013-07-15,378,108.15,108.15,108.15,108.15,1,0
2013-07-16,379,109.65,109.65,109.65,109.65,1,0
2013-07-17,380,112.75,112.75,112.75,112.75,1,0
2013-07-18,381,113.7,113.7,113.7,113.7,1,0
2013-07-19,382,113.1,113.1,113.1,113.1,1,0
2013-07-22,385,115.2,115.2,115.2,115.2,1,0
2013-07-23,386,116.3,116.3,116.3,116.3,1,0
2013-07-24,387,104.45,104.45,104.45,104.45,1,0
2013-07-25,388,102.6,102.6,102.6,102.6,1,0
2013-07-26,389,100.15,100.15,100.15,100.15,1,0
