Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,227.45,227.45,227.45,227.45,1000000,0
2012-07-03,1,225.65,225.65,225.65,225.65,1000000,0
2012-07-04,2,225.95,225.95,225.95,225.95,1000000,0
2012-07-05,3,226.85,226.85,226.85,226.85,1000000,0
2012-07-06,4,232.05,232.05,232.05,232.05,1000000,0
2012-07-09,7,232.3,232.3,232.3,232.3,1000000,0
2012-07-10,8,231.45,231.45,231.45,231.45,1000000,0
2012-07-11,9,232.65,232.65,232.65,232.65,1000000,0
2012-07-12,10,228.0,228.0,228.0,228.0,1000000,0
2012-07-13,11,228.7,228.7,228.7,228.7,1000000,0
2012-07-16,14,225.85,225.85,225.85,225.85,1000000,0
2012-07-17,15,220.75,220.75,220.75,220.75,1000000,0
2012-07-18,16,221.4,221.4,221.4,221.4,1000000,0
2012-07-19,17,221.8,221.8,221.8,221.8,1000000,0
2012-07-20,18,221.4,221.4,221.4,221.4,1000000,0
2012-07-23,21,220.9,220.9,220.9,220.9,1000000,0
2012-07-24,22,221.2,221.2,221.2,221.2,1000000,0
2012-07-25,23,216.95,216.95,216.95,216.95,1000000,0
2012-07-26,24,212.2,212.2,212.2,212.2,1000000,0
2012-07-27,25,216.7,216.7,216.7,216.7,1000000,0
2012-07-30,28,218.75,218.75,218.75,218.75,1000000,0
2012-07-31,29,215.6,215.6,215.6,215.6,1000000,0
2012-08-01,30,226.6,226.6,226.6,226.6,1000000,0
2012-08-02,31,225.85,225.85,225.85,225.85,1000000,0
2012-08-03,32,225.8,225.8,225.8,225.8,1000000,0
2012-08-06,35,224.95,224.95,224.95,224.95,1000000,0
2012-08-07,36,223.6,223.6,223.6,223.6,1000000,0
2012-08-08,37,221.35,221.35,221.35,221.35,1000000,0
2012-08-09,38,220.1,220.1,220.1,220.1,1000000,0
2012-08-10,39,219.7,219.7,219.7,219.7,1000000,0
2012-08-13,42,221.75,221.75,221.75,221.75,1000000,0
2012-08-14,43,221.45,221.45,221.45,221.45,1000000,0
2012-08-16,45,218.25,218.25,218.25,218.25,1000000,0
2012-08-17,46,218.45,218.45,218.45,218.45,1000000,0
2012-08-21,50,217.3,217.3,217.3,217.3,1000000,0
2012-08-22,51,217.3,217.3,217.3,217.3,1000000,0
2012-08-23,52,215.1,215.1,215.1,215.1,1000000,0
2012-08-24,53,215.25,215.25,215.25,215.25,1000000,0
2012-08-27,56,213.2,213.2,213.2,213.2,1000000,0
2012-08-28,57,213.65,213.65,213.65,213.65,1000000,0
2012-08-29,58,206.25,206.25,206.25,206.25,1000000,0
2012-08-30,59,206.25,206.25,206.25,206.25,1000000,0
2012-08-31,60,205.65,205.65,205.65,205.65,1000000,0
2012-09-03,63,206.0,206.0,206.0,206.0,1000000,0
2012-09-04,64,204.5,204.5,204.5,204.5,1000000,0
2012-09-05,65,203.3,203.3,203.3,203.3,1000000,0
2012-09-06,66,206.45,206.45,206.45,206.45,1000000,0
2012-09-07,67,204.6,204.6,204.6,204.6,1000000,0
2012-09-10,70,209.65,209.65,209.65,209.65,1000000,0
2012-09-11,71,206.85,206.85,206.85,206.85,1000000,0
2012-09-12,72,210.2,210.2,210.2,210.2,1000000,0
2012-09-13,73,210.05,210.05,210.05,210.05,1000000,0
2012-09-14,74,209.75,209.75,209.75,209.75,1000000,0
2012-09-17,77,213.7,213.7,213.7,213.7,1000000,0
2012-09-18,78,214.25,214.25,214.25,214.25,1000000,0
2012-09-20,80,214.5,214.5,214.5,214.5,1000000,0
2012-09-21,81,210.25,210.25,210.25,210.25,1000000,0
2012-09-24,84,213.45,213.45,213.45,213.45,1000000,0
2012-09-25,85,213.75,213.75,213.75,213.75,1000000,0
2012-09-26,86,225.2,225.2,225.2,225.2,1000000,0
2012-09-27,87,236.0,236.0,236.0,236.0,1000000,0
2012-09-28,88,282.45,282.45,282.45,282.45,1000000,0
2012-10-01,91,276.05,276.05,276.05,276.05,1000000,0
2012-10-03,93,297.7,297.7,297.7,297.7,1000000,0
2012-10-04,94,299.2,299.2,299.2,299.2,1000000,0
2012-10-05,95,285.5,285.5,285.5,285.5,1000000,0
2012-10-08,98,284.95,284.95,284.95,284.95,1000000,0
2012-10-09,99,286.05,286.05,286.05,286.05,1000000,0
2012-10-10,100,268.4,268.4,268.4,268.4,1000000,0
2012-10-11,101,272.15,272.15,272.15,272.15,1000000,0
2012-10-12,102,281.05,281.05,281.05,281.05,1000000,0
2012-10-15,105,278.95,278.95,278.95,278.95,1000000,0
2012-10-16,106,276.95,276.95,276.95,276.95,1000000,0
2012-10-17,107,271.75,271.75,271.75,271.75,1000000,0
2012-10-18,108,275.0,275.0,275.0,275.0,1000000,0
2012-10-19,109,270.0,270.0,270.0,270.0,1000000,0
2012-10-22,112,269.15,269.15,269.15,269.15,1000000,0
2012-10-23,113,274.1,274.1,274.1,274.1,1000000,0
2012-10-25,115,274.6,274.6,274.6,274.6,1000000,0
2012-10-26,116,268.85,268.85,268.85,268.85,1000000,0
2012-10-29,119,267.45,267.45,267.45,267.45,1000000,0
2012-10-30,120,264.25,264.25,264.25,264.25,1000000,0
2012-10-31,121,260.35,260.35,260.35,260.35,1000000,0
2012-11-01,122,270.85,270.85,270.85,270.85,1000000,0
2012-11-02,123,270.95,270.95,270.95,270.95,1000000,0
2012-11-05,126,270.3,270.3,270.3,270.3,1000000,0
2012-11-06,127,272.3,272.3,272.3,272.3,1000000,0
2012-11-07,128,277.3,277.3,277.3,277.3,1000000,0
2012-11-08,129,273.75,273.75,273.75,273.75,1000000,0
2012-11-09,130,271.0,271.0,271.0,271.0,1000000,0
2012-11-12,133,279.55,279.55,279.55,279.55,1000000,0
2012-11-13,134,278.15,278.15,278.15,278.15,1000000,0
2012-11-15,136,288.45,288.45,288.45,288.45,1000000,0
2012-11-16,137,289.95,289.95,289.95,289.95,1000000,0
2012-11-19,140,287.4,287.4,287.4,287.4,1000000,0
2012-11-20,141,279.9,279.9,279.9,279.9,1000000,0
2012-11-21,142,282.8,282.8,282.8,282.8,1000000,0
2012-11-22,143,298.55,298.55,298.55,298.55,1000000,0
2012-11-23,144,304.3,304.3,304.3,304.3,1000000,0
2012-11-26,147,296.6,296.6,296.6,296.6,1000000,0
2012-11-27,148,292.8,292.8,292.8,292.8,1000000,0
2012-11-29,150,292.55,292.55,292.55,292.55,1000000,0
2012-11-30,151,291.8,291.8,291.8,291.8,1000000,0
2012-12-03,154,294.0,294.0,294.0,294.0,1000000,0
2012-12-04,155,293.25,293.25,293.25,293.25,1000000,0
2012-12-05,156,291.85,291.85,291.85,291.85,1000000,0
2012-12-06,157,293.55,293.55,293.55,293.55,1000000,0
2012-12-07,158,292.85,292.85,292.85,292.85,1000000,0
2012-12-10,161,288.2,288.2,288.2,288.2,1000000,0
2012-12-11,162,288.75,288.75,288.75,288.75,1000000,0
2012-12-12,163,286.9,286.9,286.9,286.9,1000000,0
2012-12-13,164,279.5,279.5,279.5,279.5,1000000,0
2012-12-14,165,272.8,272.8,272.8,272.8,1000000,0
2012-12-17,168,280.45,280.45,280.45,280.45,1000000,0
2012-12-18,169,283.0,283.0,283.0,283.0,1000000,0
2012-12-19,170,285.0,285.0,285.0,285.0,1000000,0
2012-12-20,171,288.1,288.1,288.1,288.1,1000000,0
2012-12-21,172,287.15,287.15,287.15,287.15,1000000,0
2012-12-24,175,284.15,284.15,284.15,284.15,1000000,0
2012-12-26,177,290.4,290.4,290.4,290.4,1000000,0
2012-12-27,178,293.4,293.4,293.4,293.4,1000000,0
2012-12-28,179,296.45,296.45,296.45,296.45,1000000,0
2012-12-31,182,300.7,300.7,300.7,300.7,1000000,0
2013-01-01,183,322.45,322.45,322.45,322.45,1000000,0
2013-01-02,184,336.15,336.15,336.15,336.15,1000000,0
2013-01-03,185,330.05,330.05,330.05,330.05,1000000,0
2013-01-04,186,327.5,327.5,327.5,327.5,1000000,0
2013-01-07,189,325.2,325.2,325.2,325.2,1000000,0
2013-01-08,190,325.1,325.1,325.1,325.1,1000000,0
2013-01-09,191,324.95,324.95,324.95,324.95,1000000,0
2013-01-10,192,309.6,309.6,309.6,309.6,1000000,0
2013-01-11,193,300.45,300.45,300.45,300.45,1000000,0
2013-01-14,196,305.7,305.7,305.7,305.7,1000000,0
2013-01-15,197,322.0,322.0,322.0,322.0,1000000,0
2013-01-16,198,321.65,321.65,321.65,321.65,1000000,0
2013-01-17,199,315.45,315.45,315.45,315.45,1000000,0
2013-01-18,200,315.0,315.0,315.0,315.0,1000000,0
2013-01-21,203,320.6,320.6,320.6,320.6,1000000,0
2013-01-22,204,314.6,314.6,314.6,314.6,1000000,0
2013-01-23,205,314.9,314.9,314.9,314.9,1000000,0
2013-01-24,206,294.65,294.65,294.65,294.65,1000000,0
