Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,433.1,433.1,433.1,433.1,1,0
2012-07-03,1,434.25,434.25,434.25,434.25,1,0
2012-07-04,2,442.2,442.2,442.2,442.2,1,0
2012-07-05,3,444.25,444.25,444.25,444.25,1,0
2012-07-06,4,464.1,464.1,464.1,464.1,1,0
2012-07-09,7,474.75,474.75,474.75,474.75,1,0
2012-07-10,8,479.25,479.25,479.25,479.25,1,0
2012-07-11,9,477.75,477.75,477.75,477.75,1,0
2012-07-12,10,466.95,466.95,466.95,466.95,1,0
2012-07-13,11,479.7,479.7,479.7,479.7,1,0
2012-07-16,14,472.85,472.85,472.85,472.85,1,0
2012-07-17,15,465.6,465.6,465.6,465.6,1,0
2012-07-18,16,466.25,466.25,466.25,466.25,1,0
2012-07-19,17,466.4,466.4,466.4,466.4,1,0
2012-07-20,18,457.4,457.4,457.4,457.4,1,0
2012-07-23,21,440.95,440.95,440.95,440.95,1,0
2012-07-24,22,444.2,444.2,444.2,444.2,1,0
2012-07-25,23,429.9,429.9,429.9,429.9,1,0
2012-07-26,24,403.5,403.5,403.5,403.5,1,0
2012-07-27,25,383.5,383.5,383.5,383.5,1,0
2012-07-30,28,398.95,398.95,398.95,398.95,1,0
2012-07-31,29,407.5,407.5,407.5,407.5,1,0
2012-08-01,30,412.15,412.15,412.15,412.15,1,0
2012-08-02,31,412.15,412.15,412.15,412.15,1,0
2012-08-03,32,409.7,409.7,409.7,409.7,1,0
2012-08-06,35,412.65,412.65,412.65,412.65,1,0
2012-08-07,36,433.75,433.75,433.75,433.75,1,0
2012-08-08,37,429.3,429.3,429.3,429.3,1,0
2012-08-09,38,423.55,423.55,423.55,423.55,1,0
2012-08-10,39,413.6,413.6,413.6,413.6,1,0
2012-08-13,42,423.95,423.95,423.95,423.95,1,0
2012-08-14,43,430.6,430.6,430.6,430.6,1,0
2012-08-16,45,432.05,432.05,432.05,432.05,1,0
2012-08-17,46,424.8,424.8,424.8,424.8,1,0
2012-08-21,50,437.0,437.0,437.0,437.0,1,0
2012-08-22,51,441.2,441.2,441.2,441.2,1,0
2012-08-23,52,438.35,438.35,438.35,438.35,1,0
2012-08-24,53,431.25,431.25,431.25,431.25,1,0
2012-08-27,56,421.8,421.8,421.8,421.8,1,0
2012-08-28,57,397.5,397.5,397.5,397.5,1,0
2012-08-29,58,389.85,389.85,389.85,389.85,1,0
2012-08-30,59,400.3,400.3,400.3,400.3,1,0
2012-08-31,60,395.55,395.55,395.55,395.55,1,0
2012-09-03,63,393.7,393.7,393.7,393.7,1,0
2012-09-04,64,404.05,404.05,404.05,404.05,1,0
2012-09-05,65,410.9,410.9,410.9,410.9,1,0
2012-09-06,66,409.4,409.4,409.4,409.4,1,0
2012-09-07,67,412.4,412.4,412.4,412.4,1,0
2012-09-10,70,417.55,417.55,417.55,417.55,1,0
2012-09-11,71,415.1,415.1,415.1,415.1,1,0
2012-09-12,72,416.2,416.2,416.2,416.2,1,0
2012-09-13,73,411.3,411.3,411.3,411.3,1,0
2012-09-14,74,417.0,417.0,417.0,417.0,1,0
2012-09-17,77,424.85,424.85,424.85,424.85,1,0
2012-09-18,78,428.4,428.4,428.4,428.4,1,0
2012-09-20,80,419.15,419.15,419.15,419.15,1,0
2012-09-21,81,423.15,423.15,423.15,423.15,1,0
2012-09-24,84,422.3,422.3,422.3,422.3,1,0
2012-09-25,85,414.4,414.4,414.4,414.4,1,0
2012-09-26,86,412.65,412.65,412.65,412.65,1,0
2012-09-27,87,400.55,400.55,400.55,400.55,1,0
2012-09-28,88,402.3,402.3,402.3,402.3,1,0
2012-10-01,91,412.55,412.55,412.55,412.55,1,0
2012-10-03,93,409.55,409.55,409.55,409.55,1,0
2012-10-04,94,420.6,420.6,420.6,420.6,1,0
2012-10-05,95,411.85,411.85,411.85,411.85,1,0
2012-10-08,98,407.5,407.5,407.5,407.5,1,0
2012-10-09,99,407.65,407.65,407.65,407.65,1,0
2012-10-10,100,398.75,398.75,398.75,398.75,1,0
2012-10-11,101,409.8,409.8,409.8,409.8,1,0
2012-10-12,102,403.9,403.9,403.9,403.9,1,0
2012-10-15,105,399.2,399.2,399.2,399.2,1,0
2012-10-16,106,394.35,394.35,394.35,394.35,1,0
2012-10-17,107,394.3,394.3,394.3,394.3,1,0
2012-10-18,108,397.85,397.85,397.85,397.85,1,0
2012-10-19,109,391.55,391.55,391.55,391.55,1,0
2012-10-22,112,391.85,391.85,391.85,391.85,1,0
2012-10-23,113,388.8,388.8,388.8,388.8,1,0
2012-10-25,115,386.75,386.75,386.75,386.75,1,0
2012-10-26,116,360.5,360.5,360.5,360.5,1,0
2012-10-29,119,360.45,360.45,360.45,360.45,1,0
2012-10-30,120,359.65,359.65,359.65,359.65,1,0
2012-10-31,121,362.8,362.8,362.8,362.8,1,0
2012-11-01,122,355.1,355.1,355.1,355.1,1,0
2012-11-02,123,354.2,354.2,354.2,354.2,1,0
2012-11-05,126,351.65,351.65,351.65,351.65,1,0
2012-11-06,127,355.05,355.05,355.05,355.05,1,0
2012-11-07,128,353.8,353.8,353.8,353.8,1,0
2012-11-08,129,347.95,347.95,347.95,347.95,1,0
2012-11-09,130,348.9,348.9,348.9,348.9,1,0
2012-11-12,133,343.35,343.35,343.35,343.35,1,0
2012-11-13,134,341.6,341.6,341.6,341.6,1,0
2012-11-15,136,337.5,337.5,337.5,337.5,1,0
2012-11-16,137,337.25,337.25,337.25,337.25,1,0
2012-11-19,140,334.65,334.65,334.65,334.65,1,0
2012-11-20,141,331.6,331.6,331.6,331.6,1,0
2012-11-21,142,326.85,326.85,326.85,326.85,1,0
2012-11-22,143,321.15,321.15,321.15,321.15,1,0
2012-11-23,144,316.0,316.0,316.0,316.0,1,0
2012-11-26,147,355.55,355.55,355.55,355.55,1,0
2012-11-27,148,342.65,342.65,342.65,342.65,1,0
2012-11-29,150,342.25,342.25,342.25,342.25,1,0
2012-11-30,151,342.8,342.8,342.8,342.8,1,0
2012-12-03,154,345.15,345.15,345.15,345.15,1,0
2012-12-04,155,368.15,368.15,368.15,368.15,1,0
2012-12-05,156,362.0,362.0,362.0,362.0,1,0
2012-12-06,157,370.7,370.7,370.7,370.7,1,0
2012-12-07,158,363.8,363.8,363.8,363.8,1,0
2012-12-10,161,364.75,364.75,364.75,364.75,1,0
2012-12-11,162,368.2,368.2,368.2,368.2,1,0
2012-12-12,163,361.25,361.25,361.25,361.25,1,0
2012-12-13,164,351.3,351.3,351.3,351.3,1,0
2012-12-14,165,349.1,349.1,349.1,349.1,1,0
2012-12-17,168,353.3,353.3,353.3,353.3,1,0
2012-12-18,169,350.7,350.7,350.7,350.7,1,0
2012-12-19,170,347.85,347.85,347.85,347.85,1,0
2012-12-20,171,345.7,345.7,345.7,345.7,1,0
2012-12-21,172,336.0,336.0,336.0,336.0,1,0
2012-12-24,175,338.0,338.0,338.0,338.0,1,0
2012-12-26,177,338.0,338.0,338.0,338.0,1,0
2012-12-27,178,335.05,335.05,335.05,335.05,1,0
2012-12-28,179,337.0,337.0,337.0,337.0,1,0
2012-12-31,182,335.75,335.75,335.75,335.75,1,0
2013-01-01,183,344.6,344.6,344.6,344.6,1,0
2013-01-02,183,344.6,344.6,344.6,344.6,1,0
2013-01-03,183,344.6,344.6,344.6,344.6,1,0
2013-01-04,183,344.6,344.6,344.6,344.6,1,0
2013-01-07,183,344.6,344.6,344.6,344.6,1,0
2013-01-08,183,344.6,344.6,344.6,344.6,1,0
2013-01-09,183,344.6,344.6,344.6,344.6,1,0
2013-01-10,183,344.6,344.6,344.6,344.6,1,0
2013-01-11,183,344.6,344.6,344.6,344.6,1,0
