Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,1558.1,1558.1,1558.1,1558.1,1000000,0
2012-07-03,1,1561.95,1561.95,1561.95,1561.95,1000000,0
2012-07-04,2,1583.2,1583.2,1583.2,1583.2,1000000,0
2012-07-05,3,1555.95,1555.95,1555.95,1555.95,1000000,0
2012-07-06,4,1539.2,1539.2,1539.2,1539.2,1000000,0
2012-07-09,7,1505.7,1505.7,1505.7,1505.7,1000000,0
2012-07-10,8,1524.4,1524.4,1524.4,1524.4,1000000,0
2012-07-11,9,1511.5,1511.5,1511.5,1511.5,1000000,0
2012-07-12,10,1490.6,1490.6,1490.6,1490.6,1000000,0
2012-07-13,11,1499.05,1499.05,1499.05,1499.05,1000000,0
2012-07-16,14,1486.45,1486.45,1486.45,1486.45,1000000,0
2012-07-17,15,1445.05,1445.05,1445.05,1445.05,1000000,0
2012-07-18,16,1520.9,1520.9,1520.9,1520.9,1000000,0
2012-07-19,17,1547.8,1547.8,1547.8,1547.8,1000000,0
2012-07-20,18,1592.1,1592.1,1592.1,1592.1,1000000,0
2012-07-23,21,1561.4,1561.4,1561.4,1561.4,1000000,0
2012-07-24,22,1559.25,1559.25,1559.25,1559.25,1000000,0
2012-07-25,23,1560.95,1560.95,1560.95,1560.95,1000000,0
2012-07-26,24,1582.45,1582.45,1582.45,1582.45,1000000,0
2012-07-27,25,1583.25,1583.25,1583.25,1583.25,1000000,0
2012-07-30,28,1604.9,1604.9,1604.9,1604.9,1000000,0
2012-07-31,29,1604.3,1604.3,1604.3,1604.3,1000000,0
2012-08-01,30,1615.15,1615.15,1615.15,1615.15,1000000,0
2012-08-02,31,1625.15,1625.15,1625.15,1625.15,1000000,0
2012-08-03,32,1610.4,1610.4,1610.4,1610.4,1000000,0
2012-08-06,35,1636.45,1636.45,1636.45,1636.45,1000000,0
2012-08-07,36,1667.15,1667.15,1667.15,1667.15,1000000,0
2012-08-08,37,1678.55,1678.55,1678.55,1678.55,1000000,0
2012-08-09,38,1691.15,1691.15,1691.15,1691.15,1000000,0
2012-08-10,39,1676.2,1676.2,1676.2,1676.2,1000000,0
2012-08-13,42,1708.5,1708.5,1708.5,1708.5,1000000,0
2012-08-14,43,1688.6,1688.6,1688.6,1688.6,1000000,0
2012-08-16,45,1692.75,1692.75,1692.75,1692.75,1000000,0
2012-08-17,46,1696.4,1696.4,1696.4,1696.4,1000000,0
2012-08-21,50,1712.35,1712.35,1712.35,1712.35,1000000,0
2012-08-22,51,1724.65,1724.65,1724.65,1724.65,1000000,0
2012-08-23,52,1710.2,1710.2,1710.2,1710.2,1000000,0
2012-08-24,53,1711.4,1711.4,1711.4,1711.4,1000000,0
2012-08-27,56,1721.35,1721.35,1721.35,1721.35,1000000,0
2012-08-28,57,1691.15,1691.15,1691.15,1691.15,1000000,0
2012-08-29,58,1624.85,1624.85,1624.85,1624.85,1000000,0
2012-08-30,59,1631.2,1631.2,1631.2,1631.2,1000000,0
2012-08-31,60,1617.2,1617.2,1617.2,1617.2,1000000,0
2012-09-03,63,1662.5,1662.5,1662.5,1662.5,1000000,0
2012-09-04,64,1647.45,1647.45,1647.45,1647.45,1000000,0
2012-09-05,65,1644.95,1644.95,1644.95,1644.95,1000000,0
