Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,25.0,25.0,25.0,25.0,1000000,0
2012-07-03,1,29.35,29.35,29.35,29.35,1000000,0
2012-07-04,2,29.3,29.3,29.3,29.3,1000000,0
2012-07-05,3,29.25,29.25,29.25,29.25,1000000,0
2012-07-06,4,27.8,27.8,27.8,27.8,1000000,0
2012-07-09,7,28.15,28.15,28.15,28.15,1000000,0
2012-07-10,8,29.2,29.2,29.2,29.2,1000000,0
2012-07-11,9,31.3,31.3,31.3,31.3,1000000,0
2012-07-12,10,30.8,30.8,30.8,30.8,1000000,0
2012-07-13,11,30.7,30.7,30.7,30.7,1000000,0
2012-07-16,14,31.55,31.55,31.55,31.55,1000000,0
2012-07-17,15,31.05,31.05,31.05,31.05,1000000,0
2012-07-18,16,30.55,30.55,30.55,30.55,1000000,0
2012-07-19,17,31.35,31.35,31.35,31.35,1000000,0
2012-07-20,18,31.05,31.05,31.05,31.05,1000000,0
2012-07-23,21,30.75,30.75,30.75,30.75,1000000,0
2012-07-24,22,32.95,32.95,32.95,32.95,1000000,0
2012-07-25,23,34.55,34.55,34.55,34.55,1000000,0
2012-07-26,24,32.65,32.65,32.65,32.65,1000000,0
2012-07-27,25,33.0,33.0,33.0,33.0,1000000,0
2012-07-30,28,32.85,32.85,32.85,32.85,1000000,0
2012-07-31,29,32.9,32.9,32.9,32.9,1000000,0
2012-08-01,30,34.2,34.2,34.2,34.2,1000000,0
2012-08-02,31,34.35,34.35,34.35,34.35,1000000,0
2012-08-03,32,35.05,35.05,35.05,35.05,1000000,0
2012-08-06,35,34.55,34.55,34.55,34.55,1000000,0
2012-08-07,36,35.9,35.9,35.9,35.9,1000000,0
2012-08-08,37,35.6,35.6,35.6,35.6,1000000,0
2012-08-09,38,35.0,35.0,35.0,35.0,1000000,0
2012-08-10,39,33.9,33.9,33.9,33.9,1000000,0
2012-08-13,42,34.15,34.15,34.15,34.15,1000000,0
2012-08-14,43,34.2,34.2,34.2,34.2,1000000,0
2012-08-16,45,34.0,34.0,34.0,34.0,1000000,0
2012-08-17,46,33.7,33.7,33.7,33.7,1000000,0
2012-08-21,50,35.95,35.95,35.95,35.95,1000000,0
2012-08-22,51,37.4,37.4,37.4,37.4,1000000,0
2012-08-23,52,39.9,39.9,39.9,39.9,1000000,0
2012-08-24,53,38.25,38.25,38.25,38.25,1000000,0
2012-08-27,56,37.8,37.8,37.8,37.8,1000000,0
2012-08-28,57,35.65,35.65,35.65,35.65,1000000,0
2012-08-29,58,35.15,35.15,35.15,35.15,1000000,0
2012-08-30,59,36.55,36.55,36.55,36.55,1000000,0
2012-08-31,60,36.45,36.45,36.45,36.45,1000000,0
2012-09-03,63,36.8,36.8,36.8,36.8,1000000,0
2012-09-04,64,36.5,36.5,36.5,36.5,1000000,0
2012-09-05,65,35.95,35.95,35.95,35.95,1000000,0
2012-09-06,66,39.45,39.45,39.45,39.45,1000000,0
2012-09-07,67,39.7,39.7,39.7,39.7,1000000,0
2012-09-10,70,42.55,42.55,42.55,42.55,1000000,0
2012-09-11,71,43.0,43.0,43.0,43.0,1000000,0
2012-09-12,72,42.9,42.9,42.9,42.9,1000000,0
2012-09-13,73,41.55,41.55,41.55,41.55,1000000,0
2012-09-14,74,41.05,41.05,41.05,41.05,1000000,0
2012-09-17,77,41.3,41.3,41.3,41.3,1000000,0
2012-09-18,78,40.75,40.75,40.75,40.75,1000000,0
2012-09-20,80,40.3,40.3,40.3,40.3,1000000,0
2012-09-21,81,40.25,40.25,40.25,40.25,1000000,0
2012-09-24,84,41.85,41.85,41.85,41.85,1000000,0
2012-09-25,85,41.3,41.3,41.3,41.3,1000000,0
2012-09-26,86,42.85,42.85,42.85,42.85,1000000,0
2012-09-27,87,43.0,43.0,43.0,43.0,1000000,0
2012-09-28,88,43.7,43.7,43.7,43.7,1000000,0
2012-10-01,91,43.35,43.35,43.35,43.35,1000000,0
2012-10-03,93,42.3,42.3,42.3,42.3,1000000,0
2012-10-04,94,42.05,42.05,42.05,42.05,1000000,0
2012-10-05,95,41.15,41.15,41.15,41.15,1000000,0
2012-10-08,98,40.7,40.7,40.7,40.7,1000000,0
2012-10-09,99,42.75,42.75,42.75,42.75,1000000,0
2012-10-10,100,42.4,42.4,42.4,42.4,1000000,0
2012-10-11,101,42.5,42.5,42.5,42.5,1000000,0
2012-10-12,102,42.5,42.5,42.5,42.5,1000000,0
2012-10-15,105,42.2,42.2,42.2,42.2,1000000,0
2012-10-16,106,40.65,40.65,40.65,40.65,1000000,0
2012-10-17,107,40.4,40.4,40.4,40.4,1000000,0
2012-10-18,108,41.0,41.0,41.0,41.0,1000000,0
2012-10-19,109,40.6,40.6,40.6,40.6,1000000,0
2012-10-22,112,41.2,41.2,41.2,41.2,1000000,0
2012-10-23,113,40.8,40.8,40.8,40.8,1000000,0
2012-10-25,115,40.25,40.25,40.25,40.25,1000000,0
2012-10-26,116,39.5,39.5,39.5,39.5,1000000,0
2012-10-29,119,39.0,39.0,39.0,39.0,1000000,0
2012-10-30,120,39.9,39.9,39.9,39.9,1000000,0
2012-10-31,121,40.5,40.5,40.5,40.5,1000000,0
2012-11-01,122,40.3,40.3,40.3,40.3,1000000,0
2012-11-02,123,41.45,41.45,41.45,41.45,1000000,0
2012-11-05,126,41.85,41.85,41.85,41.85,1000000,0
2012-11-06,127,41.85,41.85,41.85,41.85,1000000,0
2012-11-07,128,43.05,43.05,43.05,43.05,1000000,0
2012-11-08,129,43.35,43.35,43.35,43.35,1000000,0
2012-11-09,130,42.45,42.45,42.45,42.45,1000000,0
2012-11-12,133,43.25,43.25,43.25,43.25,1000000,0
2012-11-13,134,43.65,43.65,43.65,43.65,1000000,0
2012-11-15,136,43.4,43.4,43.4,43.4,1000000,0
2012-11-16,137,41.45,41.45,41.45,41.45,1000000,0
2012-11-19,140,40.95,40.95,40.95,40.95,1000000,0
2012-11-20,141,40.55,40.55,40.55,40.55,1000000,0
2012-11-21,142,41.3,41.3,41.3,41.3,1000000,0
2012-11-22,143,40.9,40.9,40.9,40.9,1000000,0
2012-11-23,144,40.05,40.05,40.05,40.05,1000000,0
2012-11-26,147,40.1,40.1,40.1,40.1,1000000,0
2012-11-27,148,39.85,39.85,39.85,39.85,1000000,0
2012-11-29,150,39.55,39.55,39.55,39.55,1000000,0
2012-11-30,151,39.45,39.45,39.45,39.45,1000000,0
2012-12-03,154,39.95,39.95,39.95,39.95,1000000,0
2012-12-04,155,39.8,39.8,39.8,39.8,1000000,0
2012-12-05,156,39.75,39.75,39.75,39.75,1000000,0
2012-12-06,157,39.6,39.6,39.6,39.6,1000000,0
2012-12-07,158,39.8,39.8,39.8,39.8,1000000,0
2012-12-10,161,39.1,39.1,39.1,39.1,1000000,0
2012-12-11,162,38.9,38.9,38.9,38.9,1000000,0
2012-12-12,163,38.0,38.0,38.0,38.0,1000000,0
2012-12-13,164,38.55,38.55,38.55,38.55,1000000,0
2012-12-14,165,37.55,37.55,37.55,37.55,1000000,0
2012-12-17,168,36.75,36.75,36.75,36.75,1000000,0
2012-12-18,169,36.85,36.85,36.85,36.85,1000000,0
2012-12-19,170,37.95,37.95,37.95,37.95,1000000,0
2012-12-20,171,37.55,37.55,37.55,37.55,1000000,0
2012-12-21,172,37.15,37.15,37.15,37.15,1000000,0
2012-12-24,175,38.15,38.15,38.15,38.15,1000000,0
2012-12-26,177,40.85,40.85,40.85,40.85,1000000,0
2012-12-27,178,40.6,40.6,40.6,40.6,1000000,0
2012-12-28,179,41.15,41.15,41.15,41.15,1000000,0
2012-12-31,182,42.55,42.55,42.55,42.55,1000000,0
2013-01-01,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-02,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-03,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-04,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-07,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-08,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-09,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-10,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-11,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-14,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-15,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-16,183,43.15,43.15,43.15,43.15,1000000,0
2013-01-17,183,43.15,43.15,43.15,43.15,1000000,0
