Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,145.63,145.63,145.63,145.63,1000000,0
2012-07-03,1,144.84,144.84,144.84,144.84,1000000,0
2012-07-04,2,146.33,146.33,146.33,146.33,1000000,0
2012-07-05,3,146.6,146.6,146.6,146.6,1000000,0
2012-07-06,4,145.36,145.36,145.36,145.36,1000000,0
2012-07-09,7,142.03,142.03,142.03,142.03,1000000,0
2012-07-10,8,146.01,146.01,146.01,146.01,1000000,0
2012-07-11,9,147.13,147.13,147.13,147.13,1000000,0
2012-07-12,10,144.15,144.15,144.15,144.15,1000000,0
2012-07-13,11,143.78,143.78,143.78,143.78,1000000,0
2012-07-16,14,145.32,145.32,145.32,145.32,1000000,0
2012-07-17,15,146.05,146.05,146.05,146.05,1000000,0
2012-07-18,16,143.17,143.17,143.17,143.17,1000000,0
2012-07-19,17,139.12,139.12,139.12,139.12,1000000,0
2012-07-20,18,139.27,139.27,139.27,139.27,1000000,0
2012-07-23,21,136.16,136.16,136.16,136.16,1000000,0
2012-07-24,22,137.42,137.42,137.42,137.42,1000000,0
2012-07-25,23,135.57,135.57,135.57,135.57,1000000,0
2012-07-26,24,133.18,133.18,133.18,133.18,1000000,0
2012-07-27,25,129.96,129.96,129.96,129.96,1000000,0
2012-07-30,28,134.48,134.48,134.48,134.48,1000000,0
2012-07-31,29,131.22,131.22,131.22,131.22,1000000,0
2012-08-01,30,132.85,132.85,132.85,132.85,1000000,0
2012-08-02,31,131.36,131.36,131.36,131.36,1000000,0
2012-08-03,32,130.06,130.06,130.06,130.06,1000000,0
2012-08-06,35,130.76,130.76,130.76,130.76,1000000,0
2012-08-07,36,131.71,131.71,131.71,131.71,1000000,0
2012-08-08,37,131.82,131.82,131.82,131.82,1000000,0
2012-08-09,38,129.09,129.09,129.09,129.09,1000000,0
2012-08-10,39,125.43,125.43,125.43,125.43,1000000,0
2012-08-13,42,125.61,125.61,125.61,125.61,1000000,0
2012-08-14,43,127.72,127.72,127.72,127.72,1000000,0
2012-08-16,45,128.53,128.53,128.53,128.53,1000000,0
2012-08-17,46,127.34,127.34,127.34,127.34,1000000,0
2012-08-21,50,127.37,127.37,127.37,127.37,1000000,0
2012-08-22,51,129.04,129.04,129.04,129.04,1000000,0
2012-08-23,52,129.25,129.25,129.25,129.25,1000000,0
2012-08-24,53,128.82,128.82,128.82,128.82,1000000,0
2012-08-27,56,124.97,124.97,124.97,124.97,1000000,0
2012-08-28,57,125.29,125.29,125.29,125.29,1000000,0
2012-08-29,58,124.86,124.86,124.86,124.86,1000000,0
2012-08-30,59,127.07,127.07,127.07,127.07,1000000,0
