Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,9040.7,9040.7,9040.7,9040.7,1000000,0
2012-07-03,1,9059.55,9059.55,9059.55,9059.55,1000000,0
2012-07-04,2,9088.5,9088.5,9088.5,9088.5,1000000,0
2012-07-05,3,9024.85,9024.85,9024.85,9024.85,1000000,0
2012-07-06,4,8928.7,8928.7,8928.7,8928.7,1000000,0
2012-07-09,7,8781.6,8781.6,8781.6,8781.6,1000000,0
2012-07-10,8,8907.4,8907.4,8907.4,8907.4,1000000,0
2012-07-11,9,8847.95,8847.95,8847.95,8847.95,1000000,0
2012-07-12,10,8816.55,8816.55,8816.55,8816.55,1000000,0
2012-07-13,11,8859.7,8859.7,8859.7,8859.7,1000000,0
2012-07-16,14,8826.35,8826.35,8826.35,8826.35,1000000,0
2012-07-17,15,8703.05,8703.05,8703.05,8703.05,1000000,0
2012-07-18,16,8757.85,8757.85,8757.85,8757.85,1000000,0
2012-07-19,17,8857.0,8857.0,8857.0,8857.0,1000000,0
2012-07-20,18,8851.8,8851.8,8851.8,8851.8,1000000,0
2012-07-23,21,8710.85,8710.85,8710.85,8710.85,1000000,0
2012-07-24,22,8713.45,8713.45,8713.45,8713.45,1000000,0
2012-07-25,23,8714.0,8714.0,8714.0,8714.0,1000000,0
2012-07-26,24,8673.4,8673.4,8673.4,8673.4,1000000,0
2012-07-27,25,8719.05,8719.05,8719.05,8719.05,1000000,0
2012-07-30,28,8943.15,8943.15,8943.15,8943.15,1000000,0
2012-07-31,29,8944.15,8944.15,8944.15,8944.15,1000000,0
2012-08-01,30,8798.1,8798.1,8798.1,8798.1,1000000,0
2012-08-02,31,8800.65,8800.65,8800.65,8800.65,1000000,0
2012-08-03,32,8872.65,8872.65,8872.65,8872.65,1000000,0
2012-08-06,35,8922.25,8922.25,8922.25,8922.25,1000000,0
2012-08-07,36,9002.05,9002.05,9002.05,9002.05,1000000,0
2012-08-08,37,8931.65,8931.65,8931.65,8931.65,1000000,0
2012-08-09,38,8914.5,8914.5,8914.5,8914.5,1000000,0
2012-08-10,39,8835.65,8835.65,8835.65,8835.65,1000000,0
2012-08-13,42,8799.15,8799.15,8799.15,8799.15,1000000,0
2012-08-14,43,8715.9,8715.9,8715.9,8715.9,1000000,0
2012-08-16,45,8687.8,8687.8,8687.8,8687.8,1000000,0
2012-08-17,46,8700.25,8700.25,8700.25,8700.25,1000000,0
2012-08-21,50,8797.95,8797.95,8797.95,8797.95,1000000,0
2012-08-22,51,8767.7,8767.7,8767.7,8767.7,1000000,0
2012-08-23,52,8671.75,8671.75,8671.75,8671.75,1000000,0
2012-08-24,53,8658.25,8658.25,8658.25,8658.25,1000000,0
2012-08-27,56,8651.7,8651.7,8651.7,8651.7,1000000,0
2012-08-28,57,8672.05,8672.05,8672.05,8672.05,1000000,0
2012-08-29,58,8631.9,8631.9,8631.9,8631.9,1000000,0
2012-08-30,59,8588.6,8588.6,8588.6,8588.6,1000000,0
2012-08-31,60,8510.45,8510.45,8510.45,8510.45,1000000,0
2012-09-03,63,8619.15,8619.15,8619.15,8619.15,1000000,0
2012-09-04,64,8523.15,8523.15,8523.15,8523.15,1000000,0
2012-09-05,65,8467.4,8467.4,8467.4,8467.4,1000000,0
2012-09-06,66,8466.45,8466.45,8466.45,8466.45,1000000,0
2012-09-07,67,8444.15,8444.15,8444.15,8444.15,1000000,0
