Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,240.85,240.85,240.85,240.85,1000000,0
2012-07-03,1,240.5,240.5,240.5,240.5,1000000,0
2012-07-04,2,240.0,240.0,240.0,240.0,1000000,0
2012-07-05,3,240.25,240.25,240.25,240.25,1000000,0
2012-07-06,4,246.75,246.75,246.75,246.75,1000000,0
2012-07-09,7,245.55,245.55,245.55,245.55,1000000,0
2012-07-10,8,246.45,246.45,246.45,246.45,1000000,0
2012-07-11,9,243.4,243.4,243.4,243.4,1000000,0
2012-07-12,10,241.65,241.65,241.65,241.65,1000000,0
2012-07-13,11,240.6,240.6,240.6,240.6,1000000,0
2012-07-16,14,242.05,242.05,242.05,242.05,1000000,0
2012-07-17,15,241.55,241.55,241.55,241.55,1000000,0
2012-07-18,16,241.85,241.85,241.85,241.85,1000000,0
2012-07-19,17,240.6,240.6,240.6,240.6,1000000,0
2012-07-20,18,240.2,240.2,240.2,240.2,1000000,0
2012-07-23,21,240.05,240.05,240.05,240.05,1000000,0
2012-07-24,22,242.7,242.7,242.7,242.7,1000000,0
2012-07-25,23,240.7,240.7,240.7,240.7,1000000,0
2012-07-26,24,240.2,240.2,240.2,240.2,1000000,0
2012-07-27,25,240.05,240.05,240.05,240.05,1000000,0
2012-07-30,28,242.05,242.05,242.05,242.05,1000000,0
2012-07-31,29,247.0,247.0,247.0,247.0,1000000,0
2012-08-01,30,244.25,244.25,244.25,244.25,1000000,0
2012-08-02,31,246.55,246.55,246.55,246.55,1000000,0
2012-08-03,32,240.85,240.85,240.85,240.85,1000000,0
2012-08-06,35,241.05,241.05,241.05,241.05,1000000,0
2012-08-07,36,242.15,242.15,242.15,242.15,1000000,0
2012-08-08,37,241.65,241.65,241.65,241.65,1000000,0
2012-08-09,38,241.0,241.0,241.0,241.0,1000000,0
2012-08-10,39,244.95,244.95,244.95,244.95,1000000,0
2012-08-13,42,243.05,243.05,243.05,243.05,1000000,0
2012-08-14,43,242.05,242.05,242.05,242.05,1000000,0
2012-08-16,45,239.0,239.0,239.0,239.0,1000000,0
2012-08-17,46,238.3,238.3,238.3,238.3,1000000,0
2012-08-21,50,239.5,239.5,239.5,239.5,1000000,0
2012-08-22,51,237.8,237.8,237.8,237.8,1000000,0
2012-08-23,52,237.05,237.05,237.05,237.05,1000000,0
2012-08-24,53,241.2,241.2,241.2,241.2,1000000,0
2012-08-27,56,237.25,237.25,237.25,237.25,1000000,0
