Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,269.3,269.3,269.3,269.3,1,0
2012-07-03,1,268.6,268.6,268.6,268.6,1,0
2012-07-04,2,269.05,269.05,269.05,269.05,1,0
2012-07-05,3,267.4,267.4,267.4,267.4,1,0
2012-07-06,4,266.9,266.9,266.9,266.9,1,0
2012-07-09,7,260.275,260.275,260.275,260.275,1,0
2012-07-10,8,262.9,262.9,262.9,262.9,1,0
2012-07-11,9,261.2,261.2,261.2,261.2,1,0
2012-07-12,10,261.0,261.0,261.0,261.0,1,0
2012-07-13,11,262.425,262.425,262.425,262.425,1,0
2012-07-16,14,257.475,257.475,257.475,257.475,1,0
2012-07-17,15,256.95,256.95,256.95,256.95,1,0
2012-07-18,16,255.6,255.6,255.6,255.6,1,0
2012-07-19,17,249.95,249.95,249.95,249.95,1,0
2012-07-20,18,248.85,248.85,248.85,248.85,1,0
2012-07-23,21,248.025,248.025,248.025,248.025,1,0
2012-07-24,22,245.825,245.825,245.825,245.825,1,0
2012-07-25,23,240.275,240.275,240.275,240.275,1,0
2012-07-26,24,237.725,237.725,237.725,237.725,1,0
2012-07-27,25,235.575,235.575,235.575,235.575,1,0
2012-07-30,28,234.075,234.075,234.075,234.075,1,0
2012-07-31,29,232.325,232.325,232.325,232.325,1,0
2012-08-01,30,231.6,231.6,231.6,231.6,1,0
2012-08-02,31,233.25,233.25,233.25,233.25,1,0
2012-08-03,32,236.575,236.575,236.575,236.575,1,0
2012-08-06,35,230.35,230.35,230.35,230.35,1,0
2012-08-07,36,226.55,226.55,226.55,226.55,1,0
2012-08-08,37,226.6,226.6,226.6,226.6,1,0
2012-08-09,38,227.4,227.4,227.4,227.4,1,0
2012-08-10,39,226.125,226.125,226.125,226.125,1,0
2012-08-13,42,228.3,228.3,228.3,228.3,1,0
2012-08-14,43,232.575,232.575,232.575,232.575,1,0
2012-08-16,45,233.925,233.925,233.925,233.925,1,0
2012-08-17,46,234.975,234.975,234.975,234.975,1,0
2012-08-21,50,236.875,236.875,236.875,236.875,1,0
2012-08-22,51,237.075,237.075,237.075,237.075,1,0
2012-08-23,52,239.2,239.2,239.2,239.2,1,0
2012-08-24,53,242.425,242.425,242.425,242.425,1,0
2012-08-27,56,244.775,244.775,244.775,244.775,1,0
2012-08-28,57,244.225,244.225,244.225,244.225,1,0
2012-08-29,58,243.975,243.975,243.975,243.975,1,0
2012-08-30,59,244.75,244.75,244.75,244.75,1,0
2012-08-31,60,250.5,250.5,250.5,250.5,1,0
2012-09-03,63,252.175,252.175,252.175,252.175,1,0
2012-09-04,64,253.325,253.325,253.325,253.325,1,0
2012-09-05,65,251.45,251.45,251.45,251.45,1,0
2012-09-06,66,252.5,252.5,252.5,252.5,1,0
2012-09-07,67,248.75,248.75,248.75,248.75,1,0
2012-09-10,70,248.075,248.075,248.075,248.075,1,0
2012-09-11,71,245.025,245.025,245.025,245.025,1,0
