Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-03,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-04,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-05,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-06,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-09,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-10,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-11,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-12,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-13,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-16,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-17,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-18,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-19,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-20,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-23,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-24,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-25,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-26,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-27,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-30,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-07-31,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-01,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-02,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-03,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-06,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-07,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-08,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-09,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-10,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-13,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-14,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-16,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-17,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-21,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-22,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-23,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-24,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-27,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-28,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-29,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-30,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-08-31,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-03,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-04,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-05,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-06,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-07,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-10,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-11,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-12,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-13,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-14,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-17,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-18,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-20,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-21,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-24,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-25,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-26,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-27,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-09-28,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-01,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-03,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-04,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-05,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-08,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-09,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-10,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-11,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-12,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-15,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-16,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-17,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-18,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-19,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-22,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-23,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-25,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-26,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-29,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-30,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-10-31,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-01,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-02,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-05,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-06,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-07,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-08,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-09,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-12,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-13,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-15,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-16,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-19,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-20,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-21,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-22,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-23,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-26,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-27,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-29,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-11-30,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-03,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-04,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-05,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-06,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-07,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-10,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-11,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-12,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-13,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-14,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-17,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-18,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-19,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-20,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-21,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-24,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-26,177.0,922.55,922.55,922.55,922.55,1000000.0,0.0
2012-12-27,178.0,934.55,934.55,934.55,934.55,1000000.0,0.0
2012-12-28,179.0,927.0,927.0,927.0,927.0,1000000.0,0.0
2012-12-31,182.0,914.8,914.8,914.8,914.8,1000000.0,0.0
2013-01-01,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-02,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-03,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-04,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-07,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-08,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-09,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-10,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-11,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-14,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-15,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-16,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-17,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-18,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-21,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-22,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-23,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-24,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-25,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-28,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-29,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-30,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-01-31,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-01,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-04,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-05,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-06,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-07,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-08,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-11,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-12,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-13,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-14,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-15,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-18,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-19,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-20,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-21,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-22,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-25,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-26,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-27,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-02-28,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-01,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-04,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-05,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-06,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-07,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-08,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-11,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-12,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-13,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-14,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-15,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-18,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-19,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-20,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-21,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-22,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-25,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-26,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-03-28,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-01,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-02,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-03,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-04,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-05,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-08,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-09,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-10,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-11,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-12,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-15,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-16,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
2013-04-17,183.0,918.95,918.95,918.95,918.95,1000000.0,0.0
