Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,101.85,101.85,101.85,101.85,1000000,0
2012-07-03,1,100.75,100.75,100.75,100.75,1000000,0
2012-07-04,2,99.75,99.75,99.75,99.75,1000000,0
2012-07-05,3,100.2,100.2,100.2,100.2,1000000,0
2012-07-06,4,98.35,98.35,98.35,98.35,1000000,0
2012-07-09,7,96.75,96.75,96.75,96.75,1000000,0
2012-07-10,8,94.85,94.85,94.85,94.85,1000000,0
2012-07-11,9,94.75,94.75,94.75,94.75,1000000,0
2012-07-12,10,93.85,93.85,93.85,93.85,1000000,0
2012-07-13,11,92.95,92.95,92.95,92.95,1000000,0
2012-07-16,14,92.45,92.45,92.45,92.45,1000000,0
2012-07-17,15,92.25,92.25,92.25,92.25,1000000,0
2012-07-18,16,91.1,91.1,91.1,91.1,1000000,0
2012-07-19,17,92.85,92.85,92.85,92.85,1000000,0
2012-07-20,18,95.9,95.9,95.9,95.9,1000000,0
2012-07-23,21,93.35,93.35,93.35,93.35,1000000,0
2012-07-24,22,92.45,92.45,92.45,92.45,1000000,0
2012-07-25,23,91.65,91.65,91.65,91.65,1000000,0
2012-07-26,24,91.4,91.4,91.4,91.4,1000000,0
2012-07-27,25,90.15,90.15,90.15,90.15,1000000,0
2012-07-30,28,90.75,90.75,90.75,90.75,1000000,0
2012-07-31,29,91.35,91.35,91.35,91.35,1000000,0
2012-08-01,30,91.6,91.6,91.6,91.6,1000000,0
2012-08-02,31,91.5,91.5,91.5,91.5,1000000,0
2012-08-03,32,91.65,91.65,91.65,91.65,1000000,0
2012-08-06,35,88.6,88.6,88.6,88.6,1000000,0
2012-08-07,36,87.15,87.15,87.15,87.15,1000000,0
2012-08-08,37,86.4,86.4,86.4,86.4,1000000,0
2012-08-09,38,83.05,83.05,83.05,83.05,1000000,0
2012-08-10,39,90.4,90.4,90.4,90.4,1000000,0
2012-08-13,42,97.5,97.5,97.5,97.5,1000000,0
2012-08-14,43,97.2,97.2,97.2,97.2,1000000,0
2012-08-16,45,97.65,97.65,97.65,97.65,1000000,0
2012-08-17,46,97.4,97.4,97.4,97.4,1000000,0
2012-08-21,50,97.55,97.55,97.55,97.55,1000000,0
2012-08-22,51,97.6,97.6,97.6,97.6,1000000,0
