Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,98.4,98.4,98.4,98.4,1000000,0
2012-07-03,1,95.6,95.6,95.6,95.6,1000000,0
2012-07-04,2,98.1,98.1,98.1,98.1,1000000,0
2012-07-05,3,101.1,101.1,101.1,101.1,1000000,0
2012-07-06,4,101.35,101.35,101.35,101.35,1000000,0
2012-07-09,7,100.25,100.25,100.25,100.25,1000000,0
2012-07-10,8,101.45,101.45,101.45,101.45,1000000,0
2012-07-11,9,100.75,100.75,100.75,100.75,1000000,0
2012-07-12,10,99.35,99.35,99.35,99.35,1000000,0
2012-07-13,11,98.55,98.55,98.55,98.55,1000000,0
2012-07-16,14,97.25,97.25,97.25,97.25,1000000,0
2012-07-17,15,100.6,100.6,100.6,100.6,1000000,0
2012-07-18,16,97.8,97.8,97.8,97.8,1000000,0
2012-07-19,17,99.95,99.95,99.95,99.95,1000000,0
2012-07-20,18,100.35,100.35,100.35,100.35,1000000,0
2012-07-23,21,97.85,97.85,97.85,97.85,1000000,0
2012-07-24,22,97.45,97.45,97.45,97.45,1000000,0
2012-07-25,23,97.7,97.7,97.7,97.7,1000000,0
2012-07-26,24,96.2,96.2,96.2,96.2,1000000,0
2012-07-27,25,95.25,95.25,95.25,95.25,1000000,0
2012-07-30,28,95.7,95.7,95.7,95.7,1000000,0
2012-07-31,29,98.05,98.05,98.05,98.05,1000000,0
2012-08-01,30,102.6,102.6,102.6,102.6,1000000,0
2012-08-02,31,99.1,99.1,99.1,99.1,1000000,0
2012-08-03,32,100.15,100.15,100.15,100.15,1000000,0
2012-08-06,35,101.3,101.3,101.3,101.3,1000000,0
2012-08-07,36,102.3,102.3,102.3,102.3,1000000,0
2012-08-08,37,101.9,101.9,101.9,101.9,1000000,0
2012-08-09,38,101.15,101.15,101.15,101.15,1000000,0
2012-08-10,39,100.85,100.85,100.85,100.85,1000000,0
2012-08-13,42,100.55,100.55,100.55,100.55,1000000,0
2012-08-14,43,101.3,101.3,101.3,101.3,1000000,0
2012-08-16,45,111.8,111.8,111.8,111.8,1000000,0
