Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,297.95,297.95,297.95,297.95,1000000,0
2012-07-03,1,298.75,298.75,298.75,298.75,1000000,0
2012-07-04,2,298.75,298.75,298.75,298.75,1000000,0
2012-07-05,3,296.2,296.2,296.2,296.2,1000000,0
2012-07-06,4,296.45,296.45,296.45,296.45,1000000,0
2012-07-09,7,293.4,293.4,293.4,293.4,1000000,0
2012-07-10,8,293.45,293.45,293.45,293.45,1000000,0
2012-07-11,9,293.2,293.2,293.2,293.2,1000000,0
2012-07-12,10,292.25,292.25,292.25,292.25,1000000,0
2012-07-13,11,292.1,292.1,292.1,292.1,1000000,0
2012-07-16,14,289.9,289.9,289.9,289.9,1000000,0
2012-07-17,15,289.6,289.6,289.6,289.6,1000000,0
2012-07-18,16,290.8,290.8,290.8,290.8,1000000,0
2012-07-19,17,288.95,288.95,288.95,288.95,1000000,0
2012-07-20,18,288.45,288.45,288.45,288.45,1000000,0
2012-07-23,21,286.0,286.0,286.0,286.0,1000000,0
2012-07-24,22,290.05,290.05,290.05,290.05,1000000,0
2012-07-25,23,283.5,283.5,283.5,283.5,1000000,0
2012-07-26,24,280.9,280.9,280.9,280.9,1000000,0
2012-07-27,25,288.85,288.85,288.85,288.85,1000000,0
2012-07-30,28,292.3,292.3,292.3,292.3,1000000,0
2012-07-31,29,289.9,289.9,289.9,289.9,1000000,0
2012-08-01,30,290.25,290.25,290.25,290.25,1000000,0
2012-08-02,31,288.8,288.8,288.8,288.8,1000000,0
2012-08-03,32,288.1,288.1,288.1,288.1,1000000,0
2012-08-06,35,289.05,289.05,289.05,289.05,1000000,0
2012-08-07,36,289.05,289.05,289.05,289.05,1000000,0
2012-08-08,37,293.05,293.05,293.05,293.05,1000000,0
2012-08-09,38,296.65,296.65,296.65,296.65,1000000,0
2012-08-10,39,296.6,296.6,296.6,296.6,1000000,0
2012-08-13,42,290.5,290.5,290.5,290.5,1000000,0
2012-08-14,43,292.25,292.25,292.25,292.25,1000000,0
2012-08-16,45,293.05,293.05,293.05,293.05,1000000,0
2012-08-17,46,294.1,294.1,294.1,294.1,1000000,0
2012-08-21,50,295.15,295.15,295.15,295.15,1000000,0
2012-08-22,51,292.9,292.9,292.9,292.9,1000000,0
2012-08-23,52,292.15,292.15,292.15,292.15,1000000,0
2012-08-24,53,291.4,291.4,291.4,291.4,1000000,0
2012-08-27,56,290.95,290.95,290.95,290.95,1000000,0
2012-08-28,57,291.35,291.35,291.35,291.35,1000000,0
2012-08-29,58,290.8,290.8,290.8,290.8,1000000,0
2012-08-30,59,292.8,292.8,292.8,292.8,1000000,0
2012-08-31,60,299.3,299.3,299.3,299.3,1000000,0
2012-09-03,63,302.7,302.7,302.7,302.7,1000000,0
2012-09-04,64,300.15,300.15,300.15,300.15,1000000,0
2012-09-05,65,299.05,299.05,299.05,299.05,1000000,0
2012-09-06,66,307.55,307.55,307.55,307.55,1000000,0
2012-09-07,67,312.3,312.3,312.3,312.3,1000000,0
2012-09-10,70,322.8,322.8,322.8,322.8,1000000,0
2012-09-11,71,346.1,346.1,346.1,346.1,1000000,0
2012-09-12,72,341.5,341.5,341.5,341.5,1000000,0
2012-09-13,73,338.6,338.6,338.6,338.6,1000000,0
2012-09-14,74,337.85,337.85,337.85,337.85,1000000,0
2012-09-17,77,337.95,337.95,337.95,337.95,1000000,0
2012-09-18,78,337.65,337.65,337.65,337.65,1000000,0
2012-09-20,80,338.25,338.25,338.25,338.25,1000000,0
2012-09-21,81,340.45,340.45,340.45,340.45,1000000,0
2012-09-24,84,336.2,336.2,336.2,336.2,1000000,0
2012-09-25,85,336.3,336.3,336.3,336.3,1000000,0
2012-09-26,86,337.3,337.3,337.3,337.3,1000000,0
2012-09-27,87,329.95,329.95,329.95,329.95,1000000,0
2012-09-28,88,328.9,328.9,328.9,328.9,1000000,0
2012-10-01,91,328.15,328.15,328.15,328.15,1000000,0
2012-10-03,93,324.05,324.05,324.05,324.05,1000000,0
2012-10-04,94,319.9,319.9,319.9,319.9,1000000,0
2012-10-05,95,320.8,320.8,320.8,320.8,1000000,0
2012-10-08,98,313.4,313.4,313.4,313.4,1000000,0
2012-10-09,99,312.75,312.75,312.75,312.75,1000000,0
2012-10-10,100,314.8,314.8,314.8,314.8,1000000,0
2012-10-11,101,314.15,314.15,314.15,314.15,1000000,0
2012-10-12,102,313.65,313.65,313.65,313.65,1000000,0
2012-10-15,105,310.2,310.2,310.2,310.2,1000000,0
2012-10-16,106,314.6,314.6,314.6,314.6,1000000,0
2012-10-17,107,313.95,313.95,313.95,313.95,1000000,0
2012-10-18,108,311.3,311.3,311.3,311.3,1000000,0
2012-10-19,109,310.75,310.75,310.75,310.75,1000000,0
2012-10-22,112,311.1,311.1,311.1,311.1,1000000,0
2012-10-23,113,309.3,309.3,309.3,309.3,1000000,0
2012-10-25,115,311.2,311.2,311.2,311.2,1000000,0
2012-10-26,116,318.2,318.2,318.2,318.2,1000000,0
2012-10-29,119,314.6,314.6,314.6,314.6,1000000,0
2012-10-30,120,313.8,313.8,313.8,313.8,1000000,0
2012-10-31,121,311.55,311.55,311.55,311.55,1000000,0
2012-11-01,122,315.85,315.85,315.85,315.85,1000000,0
2012-11-02,123,312.65,312.65,312.65,312.65,1000000,0
