Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,7.15,7.15,7.15,7.15,1000000,0
2012-07-03,1,7.0,7.0,7.0,7.0,1000000,0
2012-07-04,2,7.1,7.1,7.1,7.1,1000000,0
2012-07-05,3,7.3,7.3,7.3,7.3,1000000,0
2012-07-06,4,7.55,7.55,7.55,7.55,1000000,0
2012-07-09,7,7.55,7.55,7.55,7.55,1000000,0
2012-07-10,8,7.75,7.75,7.75,7.75,1000000,0
2012-07-11,9,7.95,7.95,7.95,7.95,1000000,0
2012-07-12,10,7.8,7.8,7.8,7.8,1000000,0
2012-07-13,11,8.15,8.15,8.15,8.15,1000000,0
2012-07-16,14,8.3,8.3,8.3,8.3,1000000,0
2012-07-17,15,8.0,8.0,8.0,8.0,1000000,0
2012-07-18,16,8.15,8.15,8.15,8.15,1000000,0
2012-07-19,17,8.15,8.15,8.15,8.15,1000000,0
2012-07-20,18,8.2,8.2,8.2,8.2,1000000,0
2012-07-23,21,8.35,8.35,8.35,8.35,1000000,0
2012-07-24,22,7.95,7.95,7.95,7.95,1000000,0
2012-07-25,23,8.3,8.3,8.3,8.3,1000000,0
2012-07-26,24,8.25,8.25,8.25,8.25,1000000,0
2012-07-27,25,8.15,8.15,8.15,8.15,1000000,0
2012-07-30,28,8.1,8.1,8.1,8.1,1000000,0
2012-07-31,29,7.9,7.9,7.9,7.9,1000000,0
2012-08-01,30,8.2,8.2,8.2,8.2,1000000,0
2012-08-02,31,8.15,8.15,8.15,8.15,1000000,0
2012-08-03,32,8.3,8.3,8.3,8.3,1000000,0
2012-08-06,35,8.55,8.55,8.55,8.55,1000000,0
2012-08-07,36,8.45,8.45,8.45,8.45,1000000,0
2012-08-08,37,8.55,8.55,8.55,8.55,1000000,0
2012-08-09,38,8.4,8.4,8.4,8.4,1000000,0
2012-08-10,39,8.45,8.45,8.45,8.45,1000000,0
2012-08-13,42,8.4,8.4,8.4,8.4,1000000,0
2012-08-14,43,8.25,8.25,8.25,8.25,1000000,0
2012-08-16,45,8.25,8.25,8.25,8.25,1000000,0
2012-08-17,46,7.85,7.85,7.85,7.85,1000000,0
2012-08-21,50,7.8,7.8,7.8,7.8,1000000,0
2012-08-22,51,7.65,7.65,7.65,7.65,1000000,0
2012-08-23,52,7.6,7.6,7.6,7.6,1000000,0
2012-08-24,52,7.6,7.6,7.6,7.6,1000000,0
2012-08-27,56,7.3,7.3,7.3,7.3,1000000,0
2012-08-28,57,6.95,6.95,6.95,6.95,1000000,0
2012-08-29,58,6.65,6.65,6.65,6.65,1000000,0
2012-08-30,59,6.85,6.85,6.85,6.85,1000000,0
2012-08-31,60,6.55,6.55,6.55,6.55,1000000,0
2012-09-03,63,6.45,6.45,6.45,6.45,1000000,0
2012-09-04,64,6.75,6.75,6.75,6.75,1000000,0
2012-09-05,65,7.05,7.05,7.05,7.05,1000000,0
2012-09-06,66,6.8,6.8,6.8,6.8,1000000,0
2012-09-07,67,6.8,6.8,6.8,6.8,1000000,0
2012-09-10,70,7.0,7.0,7.0,7.0,1000000,0
2012-09-11,71,7.05,7.05,7.05,7.05,1000000,0
2012-09-12,72,6.75,6.75,6.75,6.75,1000000,0
2012-09-13,73,6.65,6.65,6.65,6.65,1000000,0
2012-09-14,74,6.5,6.5,6.5,6.5,1000000,0
2012-09-17,77,6.5,6.5,6.5,6.5,1000000,0
2012-09-18,78,6.7,6.7,6.7,6.7,1000000,0
2012-09-20,80,6.9,6.9,6.9,6.9,1000000,0
2012-09-21,81,6.6,6.6,6.6,6.6,1000000,0
2012-09-24,84,6.45,6.45,6.45,6.45,1000000,0
2012-09-25,85,6.5,6.5,6.5,6.5,1000000,0
2012-09-26,86,6.5,6.5,6.5,6.5,1000000,0
2012-09-27,87,6.4,6.4,6.4,6.4,1000000,0
2012-09-28,88,6.35,6.35,6.35,6.35,1000000,0
2012-10-01,91,6.6,6.6,6.6,6.6,1000000,0
2012-10-03,93,6.5,6.5,6.5,6.5,1000000,0
2012-10-04,94,6.8,6.8,6.8,6.8,1000000,0
2012-10-05,95,6.95,6.95,6.95,6.95,1000000,0
2012-10-08,98,6.65,6.65,6.65,6.65,1000000,0
2012-10-09,99,6.85,6.85,6.85,6.85,1000000,0
2012-10-10,100,6.95,6.95,6.95,6.95,1000000,0
