Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,19.65,19.65,19.65,19.65,1000000,0
2012-07-03,1,19.35,19.35,19.35,19.35,1000000,0
2012-07-04,2,19.6,19.6,19.6,19.6,1000000,0
2012-07-05,3,19.85,19.85,19.85,19.85,1000000,0
2012-07-06,4,20.1,20.1,20.1,20.1,1000000,0
2012-07-09,7,19.55,19.55,19.55,19.55,1000000,0
2012-07-10,8,20.05,20.05,20.05,20.05,1000000,0
2012-07-11,9,19.8,19.8,19.8,19.8,1000000,0
2012-07-12,10,19.95,19.95,19.95,19.95,1000000,0
2012-07-13,11,19.95,19.95,19.95,19.95,1000000,0
2012-07-16,14,19.4,19.4,19.4,19.4,1000000,0
2012-07-17,15,19.05,19.05,19.05,19.05,1000000,0
2012-07-18,16,19.95,19.95,19.95,19.95,1000000,0
2012-07-19,17,20.0,20.0,20.0,20.0,1000000,0
2012-07-20,18,20.05,20.05,20.05,20.05,1000000,0
2012-07-23,21,20.0,20.0,20.0,20.0,1000000,0
2012-07-24,22,20.35,20.35,20.35,20.35,1000000,0
2012-07-25,23,19.25,19.25,19.25,19.25,1000000,0
2012-07-26,24,19.5,19.5,19.5,19.5,1000000,0
2012-07-27,25,19.9,19.9,19.9,19.9,1000000,0
2012-07-30,28,19.65,19.65,19.65,19.65,1000000,0
2012-07-31,29,19.5,19.5,19.5,19.5,1000000,0
2012-08-01,30,19.65,19.65,19.65,19.65,1000000,0
2012-08-02,31,19.3,19.3,19.3,19.3,1000000,0
2012-08-03,32,19.45,19.45,19.45,19.45,1000000,0
2012-08-06,35,19.95,19.95,19.95,19.95,1000000,0
2012-08-07,36,20.0,20.0,20.0,20.0,1000000,0
2012-08-08,37,20.35,20.35,20.35,20.35,1000000,0
2012-08-09,38,20.25,20.25,20.25,20.25,1000000,0
2012-08-10,39,20.1,20.1,20.1,20.1,1000000,0
2012-08-13,42,19.95,19.95,19.95,19.95,1000000,0
2012-08-14,43,19.75,19.75,19.75,19.75,1000000,0
