Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,589.575,589.575,589.575,589.575,1000000,0
2012-07-03,1,596.7,596.7,596.7,596.7,1000000,0
2012-07-04,2,596.875,596.875,596.875,596.875,1000000,0
2012-07-05,3,591.575,591.575,591.575,591.575,1000000,0
2012-07-06,4,582.075,582.075,582.075,582.075,1000000,0
2012-07-09,7,576.25,576.25,576.25,576.25,1000000,0
2012-07-10,8,578.65,578.65,578.65,578.65,1000000,0
2012-07-11,9,571.1,571.1,571.1,571.1,1000000,0
2012-07-12,10,563.35,563.35,563.35,563.35,1000000,0
2012-07-13,11,565.475,565.475,565.475,565.475,1000000,0
2012-07-16,14,567.9,567.9,567.9,567.9,1000000,0
2012-07-17,15,573.125,573.125,573.125,573.125,1000000,0
2012-07-18,16,580.525,580.525,580.525,580.525,1000000,0
2012-07-19,17,584.175,584.175,584.175,584.175,1000000,0
2012-07-20,18,582.325,582.325,582.325,582.325,1000000,0
2012-07-23,21,585.45,585.45,585.45,585.45,1000000,0
2012-07-24,22,584.425,584.425,584.425,584.425,1000000,0
2012-07-25,23,580.175,580.175,580.175,580.175,1000000,0
2012-07-26,24,575.825,575.825,575.825,575.825,1000000,0
2012-07-27,25,565.5,565.5,565.5,565.5,1000000,0
2012-07-30,28,567.225,567.225,567.225,567.225,1000000,0
2012-07-31,29,579.125,579.125,579.125,579.125,1000000,0
2012-08-01,30,578.5,578.5,578.5,578.5,1000000,0
2012-08-02,31,585.075,585.075,585.075,585.075,1000000,0
2012-08-03,32,591.725,591.725,591.725,591.725,1000000,0
2012-08-06,35,597.8,597.8,597.8,597.8,1000000,0
2012-08-07,36,593.35,593.35,593.35,593.35,1000000,0
2012-08-08,37,595.125,595.125,595.125,595.125,1000000,0
2012-08-09,38,596.025,596.025,596.025,596.025,1000000,0
2012-08-10,39,589.175,589.175,589.175,589.175,1000000,0
2012-08-13,42,587.475,587.475,587.475,587.475,1000000,0
2012-08-14,43,592.425,592.425,592.425,592.425,1000000,0
2012-08-16,45,594.225,594.225,594.225,594.225,1000000,0
2012-08-17,46,589.0,589.0,589.0,589.0,1000000,0
2012-08-21,50,584.85,584.85,584.85,584.85,1000000,0
2012-08-22,51,590.8,590.8,590.8,590.8,1000000,0
2012-08-23,52,591.525,591.525,591.525,591.525,1000000,0
2012-08-24,53,590.75,590.75,590.75,590.75,1000000,0
2012-08-27,56,591.925,591.925,591.925,591.925,1000000,0
2012-08-28,57,586.275,586.275,586.275,586.275,1000000,0
2012-08-29,58,592.05,592.05,592.05,592.05,1000000,0
2012-08-30,59,604.3,604.3,604.3,604.3,1000000,0
2012-08-31,60,603.625,603.625,603.625,603.625,1000000,0
2012-09-03,63,607.95,607.95,607.95,607.95,1000000,0
2012-09-04,64,608.35,608.35,608.35,608.35,1000000,0
2012-09-05,65,609.825,609.825,609.825,609.825,1000000,0
2012-09-06,66,607.65,607.65,607.65,607.65,1000000,0
2012-09-07,67,612.0,612.0,612.0,612.0,1000000,0
2012-09-10,70,616.875,616.875,616.875,616.875,1000000,0
2012-09-11,71,620.6,620.6,620.6,620.6,1000000,0
2012-09-12,72,619.175,619.175,619.175,619.175,1000000,0
2012-09-13,73,625.9,625.9,625.9,625.9,1000000,0
2012-09-14,74,621.9,621.9,621.9,621.9,1000000,0
2012-09-17,77,607.075,607.075,607.075,607.075,1000000,0
2012-09-18,78,599.725,599.725,599.725,599.725,1000000,0
2012-09-20,80,598.025,598.025,598.025,598.025,1000000,0
2012-09-21,81,596.05,596.05,596.05,596.05,1000000,0
2012-09-24,84,587.875,587.875,587.875,587.875,1000000,0
2012-09-25,85,583.6,583.6,583.6,583.6,1000000,0
2012-09-26,86,599.575,599.575,599.575,599.575,1000000,0
2012-09-27,87,599.55,599.55,599.55,599.55,1000000,0
2012-09-28,88,603.5,603.5,603.5,603.5,1000000,0
2012-10-01,91,602.375,602.375,602.375,602.375,1000000,0
2012-10-03,93,613.325,613.325,613.325,613.325,1000000,0
2012-10-04,94,613.65,613.65,613.65,613.65,1000000,0
2012-10-05,95,620.725,620.725,620.725,620.725,1000000,0
2012-10-08,98,625.325,625.325,625.325,625.325,1000000,0
2012-10-09,99,624.975,624.975,624.975,624.975,1000000,0
2012-10-10,100,624.675,624.675,624.675,624.675,1000000,0
2012-10-11,101,619.45,619.45,619.45,619.45,1000000,0
2012-10-12,102,611.55,611.55,611.55,611.55,1000000,0
2012-10-15,105,619.7,619.7,619.7,619.7,1000000,0
2012-10-16,106,617.875,617.875,617.875,617.875,1000000,0
2012-10-17,107,617.775,617.775,617.775,617.775,1000000,0
2012-10-18,108,621.05,621.05,621.05,621.05,1000000,0
2012-10-19,109,624.55,624.55,624.55,624.55,1000000,0
2012-10-22,112,629.625,629.625,629.625,629.625,1000000,0
2012-10-23,113,622.625,622.625,622.625,622.625,1000000,0
2012-10-25,115,614.85,614.85,614.85,614.85,1000000,0
2012-10-26,116,615.425,615.425,615.425,615.425,1000000,0
2012-10-29,119,618.6,618.6,618.6,618.6,1000000,0
2012-10-30,120,642.45,642.45,642.45,642.45,1000000,0
2012-10-31,121,642.8,642.8,642.8,642.8,1000000,0
2012-11-01,122,639.95,639.95,639.95,639.95,1000000,0
2012-11-02,123,635.65,635.65,635.65,635.65,1000000,0
2012-11-05,126,651.325,651.325,651.325,651.325,1000000,0
2012-11-06,127,654.15,654.15,654.15,654.15,1000000,0
2012-11-07,128,650.95,650.95,650.95,650.95,1000000,0
2012-11-08,129,654.9,654.9,654.9,654.9,1000000,0
2012-11-09,130,663.775,663.775,663.775,663.775,1000000,0
2012-11-12,133,660.375,660.375,660.375,660.375,1000000,0
2012-11-13,134,666.0,666.0,666.0,666.0,1000000,0
2012-11-15,136,662.4,662.4,662.4,662.4,1000000,0
2012-11-16,137,665.65,665.65,665.65,665.65,1000000,0
2012-11-19,140,658.875,658.875,658.875,658.875,1000000,0
2012-11-20,141,667.5,667.5,667.5,667.5,1000000,0
2012-11-21,142,670.4,670.4,670.4,670.4,1000000,0
2012-11-22,143,664.65,664.65,664.65,664.65,1000000,0
2012-11-23,144,663.5,663.5,663.5,663.5,1000000,0
2012-11-26,147,680.9,680.9,680.9,680.9,1000000,0
2012-11-27,148,712.825,712.825,712.825,712.825,1000000,0
2012-11-29,150,727.1,727.1,727.1,727.1,1000000,0
2012-11-30,151,720.525,720.525,720.525,720.525,1000000,0
2012-12-03,154,732.2,732.2,732.2,732.2,1000000,0
2012-12-04,155,736.3,736.3,736.3,736.3,1000000,0
2012-12-05,156,724.85,724.85,724.85,724.85,1000000,0
2012-12-06,157,719.225,719.225,719.225,719.225,1000000,0
2012-12-07,158,708.325,708.325,708.325,708.325,1000000,0
2012-12-10,161,713.05,713.05,713.05,713.05,1000000,0
2012-12-11,162,704.775,704.775,704.775,704.775,1000000,0
2012-12-12,163,699.45,699.45,699.45,699.45,1000000,0
2012-12-13,164,701.55,701.55,701.55,701.55,1000000,0
2012-12-14,165,693.55,693.55,693.55,693.55,1000000,0
2012-12-17,168,693.3,693.3,693.3,693.3,1000000,0
2012-12-18,169,705.05,705.05,705.05,705.05,1000000,0
2012-12-19,170,717.95,717.95,717.95,717.95,1000000,0
2012-12-20,171,746.725,746.725,746.725,746.725,1000000,0
2012-12-21,172,742.9,742.9,742.9,742.9,1000000,0
2012-12-24,175,745.925,745.925,745.925,745.925,1000000,0
2012-12-26,177,755.35,755.35,755.35,755.35,1000000,0
2012-12-27,178,762.975,762.975,762.975,762.975,1000000,0
2012-12-28,179,770.775,770.775,770.775,770.775,1000000,0
2012-12-31,182,783.55,783.55,783.55,783.55,1000000,0
2013-01-01,183,779.85,779.85,779.85,779.85,1000000,0
2013-01-02,184,763.525,763.525,763.525,763.525,1000000,0
2013-01-03,185,763.775,763.775,763.775,763.775,1000000,0
2013-01-04,186,761.95,761.95,761.95,761.95,1000000,0
2013-01-07,189,767.4,767.4,767.4,767.4,1000000,0
2013-01-08,190,772.55,772.55,772.55,772.55,1000000,0
2013-01-09,191,770.625,770.625,770.625,770.625,1000000,0
2013-01-10,192,762.375,762.375,762.375,762.375,1000000,0
2013-01-11,193,750.6,750.6,750.6,750.6,1000000,0
2013-01-14,196,744.925,744.925,744.925,744.925,1000000,0
2013-01-15,197,734.5,734.5,734.5,734.5,1000000,0
2013-01-16,198,732.275,732.275,732.275,732.275,1000000,0
2013-01-17,199,722.65,722.65,722.65,722.65,1000000,0
2013-01-18,200,746.7,746.7,746.7,746.7,1000000,0
2013-01-21,203,748.8,748.8,748.8,748.8,1000000,0
2013-01-22,204,741.9,741.9,741.9,741.9,1000000,0
2013-01-23,205,715.4,715.4,715.4,715.4,1000000,0
2013-01-24,206,713.775,713.775,713.775,713.775,1000000,0
2013-01-25,207,704.45,704.45,704.45,704.45,1000000,0
2013-01-28,210,694.025,694.025,694.025,694.025,1000000,0
2013-01-29,211,682.25,682.25,682.25,682.25,1000000,0
2013-01-30,212,692.5,692.5,692.5,692.5,1000000,0
2013-01-31,213,675.05,675.05,675.05,675.05,1000000,0
2013-02-01,214,672.3,672.3,672.3,672.3,1000000,0
2013-02-04,217,671.675,671.675,671.675,671.675,1000000,0
2013-02-05,218,677.6,677.6,677.6,677.6,1000000,0
2013-02-06,219,681.175,681.175,681.175,681.175,1000000,0
2013-02-07,220,677.875,677.875,677.875,677.875,1000000,0
2013-02-08,221,666.25,666.25,666.25,666.25,1000000,0
2013-02-11,224,666.15,666.15,666.15,666.15,1000000,0
2013-02-12,225,673.425,673.425,673.425,673.425,1000000,0
2013-02-13,226,667.65,667.65,667.65,667.65,1000000,0
2013-02-14,227,655.925,655.925,655.925,655.925,1000000,0
2013-02-15,228,658.4,658.4,658.4,658.4,1000000,0
2013-02-18,231,665.925,665.925,665.925,665.925,1000000,0
2013-02-19,232,674.55,674.55,674.55,674.55,1000000,0
2013-02-20,233,676.975,676.975,676.975,676.975,1000000,0
2013-02-21,234,667.55,667.55,667.55,667.55,1000000,0
