Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,128.5,128.5,128.5,128.5,1000000,0
2012-07-03,1,128.95,128.95,128.95,128.95,1000000,0
2012-07-04,2,127.3,127.3,127.3,127.3,1000000,0
2012-07-05,3,134.95,134.95,134.95,134.95,1000000,0
2012-07-06,4,137.5,137.5,137.5,137.5,1000000,0
2012-07-09,7,139.1,139.1,139.1,139.1,1000000,0
2012-07-10,8,139.2,139.2,139.2,139.2,1000000,0
2012-07-11,9,136.55,136.55,136.55,136.55,1000000,0
2012-07-12,10,135.1,135.1,135.1,135.1,1000000,0
2012-07-13,11,135.05,135.05,135.05,135.05,1000000,0
2012-07-16,14,135.0,135.0,135.0,135.0,1000000,0
2012-07-17,15,130.0,130.0,130.0,130.0,1000000,0
2012-07-18,16,130.1,130.1,130.1,130.1,1000000,0
2012-07-19,17,130.95,130.95,130.95,130.95,1000000,0
2012-07-20,18,129.35,129.35,129.35,129.35,1000000,0
2012-07-23,21,124.55,124.55,124.55,124.55,1000000,0
2012-07-24,22,122.95,122.95,122.95,122.95,1000000,0
2012-07-25,23,123.05,123.05,123.05,123.05,1000000,0
2012-07-26,24,125.05,125.05,125.05,125.05,1000000,0
2012-07-27,25,122.7,122.7,122.7,122.7,1000000,0
2012-07-30,28,124.5,124.5,124.5,124.5,1000000,0
2012-07-31,29,139.55,139.55,139.55,139.55,1000000,0
2012-08-01,30,142.65,142.65,142.65,142.65,1000000,0
2012-08-02,31,137.75,137.75,137.75,137.75,1000000,0
2012-08-03,32,138.95,138.95,138.95,138.95,1000000,0
2012-08-06,35,142.2,142.2,142.2,142.2,1000000,0
2012-08-07,36,141.8,141.8,141.8,141.8,1000000,0
2012-08-08,37,146.05,146.05,146.05,146.05,1000000,0
2012-08-09,38,142.0,142.0,142.0,142.0,1000000,0
2012-08-10,39,142.6,142.6,142.6,142.6,1000000,0
2012-08-13,42,147.75,147.75,147.75,147.75,1000000,0
2012-08-14,43,148.25,148.25,148.25,148.25,1000000,0
2012-08-16,45,146.1,146.1,146.1,146.1,1000000,0
2012-08-17,46,145.15,145.15,145.15,145.15,1000000,0
2012-08-21,50,140.2,140.2,140.2,140.2,1000000,0
2012-08-22,51,147.8,147.8,147.8,147.8,1000000,0
2012-08-23,52,143.8,143.8,143.8,143.8,1000000,0
2012-08-24,53,137.95,137.95,137.95,137.95,1000000,0
2012-08-27,56,134.3,134.3,134.3,134.3,1000000,0
2012-08-28,57,130.9,130.9,130.9,130.9,1000000,0
2012-08-29,58,127.7,127.7,127.7,127.7,1000000,0
2012-08-30,59,127.15,127.15,127.15,127.15,1000000,0
2012-08-31,60,129.9,129.9,129.9,129.9,1000000,0
2012-09-03,63,130.8,130.8,130.8,130.8,1000000,0
2012-09-04,64,131.75,131.75,131.75,131.75,1000000,0
2012-09-05,65,126.95,126.95,126.95,126.95,1000000,0
2012-09-06,66,127.35,127.35,127.35,127.35,1000000,0
2012-09-07,67,127.55,127.55,127.55,127.55,1000000,0
2012-09-10,70,127.65,127.65,127.65,127.65,1000000,0
2012-09-11,71,126.85,126.85,126.85,126.85,1000000,0
2012-09-12,72,128.75,128.75,128.75,128.75,1000000,0
2012-09-13,73,131.8,131.8,131.8,131.8,1000000,0
2012-09-14,74,132.75,132.75,132.75,132.75,1000000,0
2012-09-17,77,131.3,131.3,131.3,131.3,1000000,0
2012-09-18,78,131.85,131.85,131.85,131.85,1000000,0
2012-09-20,80,131.0,131.0,131.0,131.0,1000000,0
2012-09-21,81,129.75,129.75,129.75,129.75,1000000,0
2012-09-24,84,133.55,133.55,133.55,133.55,1000000,0
2012-09-25,85,138.65,138.65,138.65,138.65,1000000,0
2012-09-26,86,143.35,143.35,143.35,143.35,1000000,0
2012-09-27,87,142.3,142.3,142.3,142.3,1000000,0
2012-09-28,88,138.85,138.85,138.85,138.85,1000000,0
2012-10-01,91,139.2,139.2,139.2,139.2,1000000,0
2012-10-03,93,138.65,138.65,138.65,138.65,1000000,0
2012-10-04,94,139.95,139.95,139.95,139.95,1000000,0
2012-10-05,95,138.25,138.25,138.25,138.25,1000000,0
2012-10-08,98,137.8,137.8,137.8,137.8,1000000,0
2012-10-09,99,140.8,140.8,140.8,140.8,1000000,0
2012-10-10,100,138.9,138.9,138.9,138.9,1000000,0
2012-10-11,101,139.1,139.1,139.1,139.1,1000000,0
2012-10-12,102,140.3,140.3,140.3,140.3,1000000,0
2012-10-15,105,139.7,139.7,139.7,139.7,1000000,0
2012-10-16,106,137.85,137.85,137.85,137.85,1000000,0
2012-10-17,107,136.8,136.8,136.8,136.8,1000000,0
2012-10-18,108,137.1,137.1,137.1,137.1,1000000,0
2012-10-19,109,140.45,140.45,140.45,140.45,1000000,0
2012-10-22,112,142.35,142.35,142.35,142.35,1000000,0
2012-10-23,113,140.7,140.7,140.7,140.7,1000000,0
2012-10-25,115,143.05,143.05,143.05,143.05,1000000,0
2012-10-26,116,140.1,140.1,140.1,140.1,1000000,0
2012-10-29,119,139.65,139.65,139.65,139.65,1000000,0
2012-10-30,120,137.9,137.9,137.9,137.9,1000000,0
2012-10-31,121,137.2,137.2,137.2,137.2,1000000,0
2012-11-01,122,140.55,140.55,140.55,140.55,1000000,0
2012-11-02,123,144.95,144.95,144.95,144.95,1000000,0
2012-11-05,126,149.85,149.85,149.85,149.85,1000000,0
2012-11-06,127,147.65,147.65,147.65,147.65,1000000,0
2012-11-07,128,145.8,145.8,145.8,145.8,1000000,0
2012-11-08,129,146.05,146.05,146.05,146.05,1000000,0
2012-11-09,130,143.45,143.45,143.45,143.45,1000000,0
2012-11-12,133,141.9,141.9,141.9,141.9,1000000,0
2012-11-13,134,143.75,143.75,143.75,143.75,1000000,0
2012-11-15,136,141.85,141.85,141.85,141.85,1000000,0
2012-11-16,137,138.6,138.6,138.6,138.6,1000000,0
2012-11-19,140,137.2,137.2,137.2,137.2,1000000,0
2012-11-20,141,138.0,138.0,138.0,138.0,1000000,0
2012-11-21,142,138.45,138.45,138.45,138.45,1000000,0
2012-11-22,143,135.2,135.2,135.2,135.2,1000000,0
2012-11-23,144,133.65,133.65,133.65,133.65,1000000,0
2012-11-26,147,135.15,135.15,135.15,135.15,1000000,0
2012-11-27,148,136.5,136.5,136.5,136.5,1000000,0
2012-11-29,150,135.85,135.85,135.85,135.85,1000000,0
2012-11-30,151,137.2,137.2,137.2,137.2,1000000,0
2012-12-03,154,137.5,137.5,137.5,137.5,1000000,0
2012-12-04,155,137.95,137.95,137.95,137.95,1000000,0
2012-12-05,156,136.7,136.7,136.7,136.7,1000000,0
2012-12-06,157,137.45,137.45,137.45,137.45,1000000,0
2012-12-07,158,142.7,142.7,142.7,142.7,1000000,0
2012-12-10,161,146.3,146.3,146.3,146.3,1000000,0
2012-12-11,162,143.1,143.1,143.1,143.1,1000000,0
2012-12-12,163,139.4,139.4,139.4,139.4,1000000,0
2012-12-13,164,138.25,138.25,138.25,138.25,1000000,0
2012-12-14,165,137.95,137.95,137.95,137.95,1000000,0
2012-12-17,168,138.2,138.2,138.2,138.2,1000000,0
2012-12-18,169,141.3,141.3,141.3,141.3,1000000,0
2012-12-19,170,142.1,142.1,142.1,142.1,1000000,0
2012-12-20,171,139.9,139.9,139.9,139.9,1000000,0
2012-12-21,172,139.85,139.85,139.85,139.85,1000000,0
2012-12-24,175,139.8,139.8,139.8,139.8,1000000,0
2012-12-26,177,137.2,137.2,137.2,137.2,1000000,0
2012-12-27,178,134.7,134.7,134.7,134.7,1000000,0
2012-12-28,179,134.5,134.5,134.5,134.5,1000000,0
2012-12-31,182,134.4,134.4,134.4,134.4,1000000,0
2013-01-01,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-02,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-03,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-04,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-07,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-08,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-09,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-10,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-11,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-14,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-15,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-16,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-17,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-18,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-21,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-22,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-23,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-24,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-25,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-28,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-29,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-30,183,134.9,134.9,134.9,134.9,1000000,0
2013-01-31,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-01,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-04,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-05,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-06,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-07,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-08,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-11,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-12,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-13,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-14,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-15,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-18,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-19,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-20,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-21,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-22,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-25,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-26,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-27,183,134.9,134.9,134.9,134.9,1000000,0
2013-02-28,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-01,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-04,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-05,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-06,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-07,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-08,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-11,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-12,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-13,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-14,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-15,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-18,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-19,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-20,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-21,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-22,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-25,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-26,183,134.9,134.9,134.9,134.9,1000000,0
2013-03-28,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-01,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-02,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-03,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-04,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-05,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-08,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-09,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-10,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-11,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-12,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-15,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-16,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-17,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-18,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-22,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-23,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-25,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-26,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-29,183,134.9,134.9,134.9,134.9,1000000,0
2013-04-30,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-02,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-03,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-06,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-07,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-08,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-09,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-10,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-13,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-14,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-15,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-16,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-17,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-20,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-21,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-22,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-23,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-24,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-27,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-28,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-29,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-30,183,134.9,134.9,134.9,134.9,1000000,0
2013-05-31,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-03,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-04,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-05,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-06,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-07,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-10,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-11,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-12,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-13,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-14,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-17,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-18,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-19,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-20,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-21,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-24,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-25,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-26,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-27,183,134.9,134.9,134.9,134.9,1000000,0
2013-06-28,183,134.9,134.9,134.9,134.9,1000000,0
2013-07-01,364,125.95,125.95,125.95,125.95,1000000,0
2013-07-02,365,123.0,123.0,123.0,123.0,1000000,0
2013-07-03,366,120.2,120.2,120.2,120.2,1000000,0
2013-07-04,367,118.8,118.8,118.8,118.8,1000000,0
2013-07-05,368,119.95,119.95,119.95,119.95,1000000,0
2013-07-08,371,119.8,119.8,119.8,119.8,1000000,0
2013-07-09,372,118.85,118.85,118.85,118.85,1000000,0
2013-07-10,373,119.2,119.2,119.2,119.2,1000000,0
2013-07-11,374,118.05,118.05,118.05,118.05,1000000,0
2013-07-12,375,118.0,118.0,118.0,118.0,1000000,0
2013-07-15,378,118.0,118.0,118.0,118.0,1000000,0
2013-07-16,379,116.0,116.0,116.0,116.0,1000000,0
2013-07-17,380,113.05,113.05,113.05,113.05,1000000,0
