Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,53.2,53.2,53.2,53.2,1,0
2012-07-03,1,53.7,53.7,53.7,53.7,1,0
2012-07-04,2,53.05,53.05,53.05,53.05,1,0
2012-07-05,3,52.7,52.7,52.7,52.7,1,0
2012-07-06,4,53.0,53.0,53.0,53.0,1,0
2012-07-09,7,54.1,54.1,54.1,54.1,1,0
2012-07-10,8,53.05,53.05,53.05,53.05,1,0
2012-07-11,9,52.85,52.85,52.85,52.85,1,0
2012-07-12,10,52.75,52.75,52.75,52.75,1,0
2012-07-13,11,53.0,53.0,53.0,53.0,1,0
2012-07-16,14,51.5,51.5,51.5,51.5,1,0
2012-07-17,15,51.35,51.35,51.35,51.35,1,0
2012-07-18,16,51.4,51.4,51.4,51.4,1,0
2012-07-19,17,51.6,51.6,51.6,51.6,1,0
2012-07-20,18,50.55,50.55,50.55,50.55,1,0
2012-07-23,21,49.25,49.25,49.25,49.25,1,0
2012-07-24,22,49.95,49.95,49.95,49.95,1,0
2012-07-25,23,49.5,49.5,49.5,49.5,1,0
2012-07-26,24,50.35,50.35,50.35,50.35,1,0
2012-07-27,25,51.65,51.65,51.65,51.65,1,0
2012-07-30,28,51.0,51.0,51.0,51.0,1,0
2012-07-31,29,50.0,50.0,50.0,50.0,1,0
2012-08-01,30,50.15,50.15,50.15,50.15,1,0
2012-08-02,31,49.6,49.6,49.6,49.6,1,0
2012-08-03,32,50.95,50.95,50.95,50.95,1,0
2012-08-06,35,50.75,50.75,50.75,50.75,1,0
2012-08-07,36,50.9,50.9,50.9,50.9,1,0
2012-08-08,37,50.8,50.8,50.8,50.8,1,0
2012-08-09,38,50.15,50.15,50.15,50.15,1,0
2012-08-10,39,50.9,50.9,50.9,50.9,1,0
2012-08-13,42,50.3,50.3,50.3,50.3,1,0
2012-08-14,43,50.75,50.75,50.75,50.75,1,0
2012-08-16,45,50.6,50.6,50.6,50.6,1,0
2012-08-17,46,50.9,50.9,50.9,50.9,1,0
2012-08-21,50,51.0,51.0,51.0,51.0,1,0
2012-08-22,51,51.55,51.55,51.55,51.55,1,0
2012-08-23,52,51.8,51.8,51.8,51.8,1,0
2012-08-24,53,51.0,51.0,51.0,51.0,1,0
2012-08-27,56,51.45,51.45,51.45,51.45,1,0
2012-08-28,57,50.55,50.55,50.55,50.55,1,0
2012-08-29,58,50.6,50.6,50.6,50.6,1,0
2012-08-30,59,50.45,50.45,50.45,50.45,1,0
