Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,96.0,96.0,96.0,96.0,1000000,0
2012-07-03,1,96.0,96.0,96.0,96.0,1000000,0
2012-07-04,2,96.75,96.75,96.75,96.75,1000000,0
2012-07-05,3,96.9,96.9,96.9,96.9,1000000,0
2012-07-06,4,97.1,97.1,97.1,97.1,1000000,0
2012-07-09,7,96.05,96.05,96.05,96.05,1000000,0
2012-07-10,8,96.5,96.5,96.5,96.5,1000000,0
2012-07-11,9,97.7,97.7,97.7,97.7,1000000,0
2012-07-12,10,97.25,97.25,97.25,97.25,1000000,0
2012-07-13,11,96.55,96.55,96.55,96.55,1000000,0
2012-07-16,14,97.75,97.75,97.75,97.75,1000000,0
2012-07-17,15,97.8,97.8,97.8,97.8,1000000,0
2012-07-18,16,97.0,97.0,97.0,97.0,1000000,0
2012-07-19,17,98.25,98.25,98.25,98.25,1000000,0
2012-07-20,18,97.2,97.2,97.2,97.2,1000000,0
2012-07-23,21,97.2,97.2,97.2,97.2,1000000,0
2012-07-24,22,97.6,97.6,97.6,97.6,1000000,0
2012-07-25,23,96.05,96.05,96.05,96.05,1000000,0
2012-07-26,24,95.3,95.3,95.3,95.3,1000000,0
2012-07-27,25,96.0,96.0,96.0,96.0,1000000,0
2012-07-30,28,92.7,92.7,92.7,92.7,1000000,0
2012-07-31,29,92.65,92.65,92.65,92.65,1000000,0
2012-08-01,30,95.6,95.6,95.6,95.6,1000000,0
2012-08-02,31,94.5,94.5,94.5,94.5,1000000,0
2012-08-03,32,95.2,95.2,95.2,95.2,1000000,0
2012-08-06,35,94.9,94.9,94.9,94.9,1000000,0
2012-08-07,36,92.9,92.9,92.9,92.9,1000000,0
2012-08-08,37,92.9,92.9,92.9,92.9,1000000,0
2012-08-09,38,93.5,93.5,93.5,93.5,1000000,0
2012-08-10,39,93.5,93.5,93.5,93.5,1000000,0
2012-08-13,42,93.9,93.9,93.9,93.9,1000000,0
2012-08-14,43,94.9,94.9,94.9,94.9,1000000,0
2012-08-16,45,94.65,94.65,94.65,94.65,1000000,0
2012-08-17,46,93.6,93.6,93.6,93.6,1000000,0
2012-08-21,50,93.65,93.65,93.65,93.65,1000000,0
2012-08-22,51,94.65,94.65,94.65,94.65,1000000,0
2012-08-23,52,93.35,93.35,93.35,93.35,1000000,0
2012-08-24,53,93.2,93.2,93.2,93.2,1000000,0
2012-08-27,56,93.0,93.0,93.0,93.0,1000000,0
2012-08-28,57,90.85,90.85,90.85,90.85,1000000,0
2012-08-29,58,90.55,90.55,90.55,90.55,1000000,0
2012-08-30,59,93.0,93.0,93.0,93.0,1000000,0
2012-08-31,60,90.0,90.0,90.0,90.0,1000000,0
2012-09-03,63,90.0,90.0,90.0,90.0,1000000,0
2012-09-04,64,90.0,90.0,90.0,90.0,1000000,0
2012-09-05,65,90.8,90.8,90.8,90.8,1000000,0
2012-09-06,66,90.75,90.75,90.75,90.75,1000000,0
2012-09-07,67,92.25,92.25,92.25,92.25,1000000,0
2012-09-10,70,92.75,92.75,92.75,92.75,1000000,0
2012-09-11,71,93.5,93.5,93.5,93.5,1000000,0
2012-09-12,72,93.75,93.75,93.75,93.75,1000000,0
2012-09-13,73,93.05,93.05,93.05,93.05,1000000,0
