Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,202.2,202.2,202.2,202.2,1000000,0
2012-07-03,1,203.35,203.35,203.35,203.35,1000000,0
2012-07-04,2,202.35,202.35,202.35,202.35,1000000,0
2012-07-05,3,204.15,204.15,204.15,204.15,1000000,0
2012-07-06,4,204.55,204.55,204.55,204.55,1000000,0
2012-07-09,7,200.75,200.75,200.75,200.75,1000000,0
2012-07-10,8,199.5,199.5,199.5,199.5,1000000,0
2012-07-11,9,202.0,202.0,202.0,202.0,1000000,0
2012-07-12,10,198.3,198.3,198.3,198.3,1000000,0
2012-07-13,11,198.85,198.85,198.85,198.85,1000000,0
2012-07-16,14,195.75,195.75,195.75,195.75,1000000,0
2012-07-17,15,193.7,193.7,193.7,193.7,1000000,0
2012-07-18,16,196.2,196.2,196.2,196.2,1000000,0
2012-07-19,17,201.65,201.65,201.65,201.65,1000000,0
2012-07-20,18,202.2,202.2,202.2,202.2,1000000,0
2012-07-23,21,200.8,200.8,200.8,200.8,1000000,0
2012-07-24,22,200.2,200.2,200.2,200.2,1000000,0
2012-07-25,23,200.1,200.1,200.1,200.1,1000000,0
2012-07-26,24,200.0,200.0,200.0,200.0,1000000,0
2012-07-27,25,200.0,200.0,200.0,200.0,1000000,0
2012-07-30,28,200.5,200.5,200.5,200.5,1000000,0
2012-07-31,29,200.65,200.65,200.65,200.65,1000000,0
2012-08-01,30,200.0,200.0,200.0,200.0,1000000,0
2012-08-02,31,200.0,200.0,200.0,200.0,1000000,0
2012-08-03,32,213.0,213.0,213.0,213.0,1000000,0
2012-08-06,35,196.7,196.7,196.7,196.7,1000000,0
2012-08-07,36,194.9,194.9,194.9,194.9,1000000,0
2012-08-08,37,190.25,190.25,190.25,190.25,1000000,0
2012-08-09,38,190.25,190.25,190.25,190.25,1000000,0
2012-08-10,39,189.75,189.75,189.75,189.75,1000000,0
2012-08-13,42,186.95,186.95,186.95,186.95,1000000,0
2012-08-14,43,187.9,187.9,187.9,187.9,1000000,0
2012-08-16,45,186.25,186.25,186.25,186.25,1000000,0
2012-08-17,46,185.7,185.7,185.7,185.7,1000000,0
2012-08-21,50,185.95,185.95,185.95,185.95,1000000,0
2012-08-22,51,185.3,185.3,185.3,185.3,1000000,0
2012-08-23,52,185.05,185.05,185.05,185.05,1000000,0
2012-08-24,53,185.35,185.35,185.35,185.35,1000000,0
2012-08-27,56,185.75,185.75,185.75,185.75,1000000,0
2012-08-28,57,185.35,185.35,185.35,185.35,1000000,0
2012-08-29,58,185.1,185.1,185.1,185.1,1000000,0
2012-08-30,59,183.05,183.05,183.05,183.05,1000000,0
2012-08-31,60,189.5,189.5,189.5,189.5,1000000,0
2012-09-03,63,189.15,189.15,189.15,189.15,1000000,0
2012-09-04,64,190.35,190.35,190.35,190.35,1000000,0
2012-09-05,65,198.7,198.7,198.7,198.7,1000000,0
2012-09-06,66,200.85,200.85,200.85,200.85,1000000,0
2012-09-07,67,198.25,198.25,198.25,198.25,1000000,0
2012-09-10,70,195.5,195.5,195.5,195.5,1000000,0
2012-09-11,71,195.0,195.0,195.0,195.0,1000000,0
2012-09-12,72,194.95,194.95,194.95,194.95,1000000,0
2012-09-13,73,189.9,189.9,189.9,189.9,1000000,0
2012-09-14,74,188.7,188.7,188.7,188.7,1000000,0
2012-09-17,77,192.55,192.55,192.55,192.55,1000000,0
2012-09-18,78,193.6,193.6,193.6,193.6,1000000,0
2012-09-20,80,193.6,193.6,193.6,193.6,1000000,0
2012-09-21,81,192.2,192.2,192.2,192.2,1000000,0
2012-09-24,84,197.6,197.6,197.6,197.6,1000000,0
2012-09-25,85,196.45,196.45,196.45,196.45,1000000,0
2012-09-26,86,196.2,196.2,196.2,196.2,1000000,0
2012-09-27,87,198.15,198.15,198.15,198.15,1000000,0
2012-09-28,88,201.85,201.85,201.85,201.85,1000000,0
2012-10-01,91,200.0,200.0,200.0,200.0,1000000,0
2012-10-03,93,202.25,202.25,202.25,202.25,1000000,0
2012-10-04,94,209.15,209.15,209.15,209.15,1000000,0
2012-10-05,95,210.65,210.65,210.65,210.65,1000000,0
2012-10-08,98,210.45,210.45,210.45,210.45,1000000,0
2012-10-09,99,217.25,217.25,217.25,217.25,1000000,0
2012-10-10,100,218.0,218.0,218.0,218.0,1000000,0
2012-10-11,101,218.0,218.0,218.0,218.0,1000000,0
2012-10-12,102,219.6,219.6,219.6,219.6,1000000,0
2012-10-15,105,218.55,218.55,218.55,218.55,1000000,0
2012-10-16,106,215.65,215.65,215.65,215.65,1000000,0
2012-10-17,107,218.9,218.9,218.9,218.9,1000000,0
2012-10-18,108,221.8,221.8,221.8,221.8,1000000,0
2012-10-19,109,223.45,223.45,223.45,223.45,1000000,0
2012-10-22,112,219.0,219.0,219.0,219.0,1000000,0
2012-10-23,113,216.95,216.95,216.95,216.95,1000000,0
2012-10-25,115,214.5,214.5,214.5,214.5,1000000,0
2012-10-26,116,211.55,211.55,211.55,211.55,1000000,0
2012-10-29,119,209.75,209.75,209.75,209.75,1000000,0
