Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,43.05,43.05,43.05,43.05,1,0
2012-07-03,1,43.15,43.15,43.15,43.15,1,0
2012-07-04,2,44.75,44.75,44.75,44.75,1,0
2012-07-05,3,45.8,45.8,45.8,45.8,1,0
2012-07-06,4,45.45,45.45,45.45,45.45,1,0
2012-07-09,7,44.35,44.35,44.35,44.35,1,0
2012-07-10,8,45.65,45.65,45.65,45.65,1,0
2012-07-11,9,45.45,45.45,45.45,45.45,1,0
2012-07-12,10,45.7,45.7,45.7,45.7,1,0
2012-07-13,11,47.3,47.3,47.3,47.3,1,0
2012-07-16,14,45.8,45.8,45.8,45.8,1,0
2012-07-17,15,44.15,44.15,44.15,44.15,1,0
2012-07-18,16,44.45,44.45,44.45,44.45,1,0
2012-07-19,17,44.25,44.25,44.25,44.25,1,0
2012-07-20,18,43.45,43.45,43.45,43.45,1,0
2012-07-23,21,42.35,42.35,42.35,42.35,1,0
2012-07-24,22,43.15,43.15,43.15,43.15,1,0
2012-07-25,23,41.1,41.1,41.1,41.1,1,0
2012-07-26,24,39.85,39.85,39.85,39.85,1,0
2012-07-27,25,38.85,38.85,38.85,38.85,1,0
2012-07-30,28,40.8,40.8,40.8,40.8,1,0
2012-07-31,29,40.2,40.2,40.2,40.2,1,0
2012-08-01,30,40.4,40.4,40.4,40.4,1,0
2012-08-02,31,41.25,41.25,41.25,41.25,1,0
2012-08-03,32,41.1,41.1,41.1,41.1,1,0
2012-08-06,35,41.5,41.5,41.5,41.5,1,0
2012-08-07,36,41.95,41.95,41.95,41.95,1,0
2012-08-08,37,41.3,41.3,41.3,41.3,1,0
2012-08-09,38,40.35,40.35,40.35,40.35,1,0
2012-08-10,39,40.55,40.55,40.55,40.55,1,0
2012-08-13,42,40.5,40.5,40.5,40.5,1,0
2012-08-14,43,41.05,41.05,41.05,41.05,1,0
2012-08-16,45,41.95,41.95,41.95,41.95,1,0
2012-08-17,46,42.05,42.05,42.05,42.05,1,0
2012-08-21,50,42.6,42.6,42.6,42.6,1,0
2012-08-22,51,41.75,41.75,41.75,41.75,1,0
2012-08-23,52,41.9,41.9,41.9,41.9,1,0
2012-08-24,53,41.55,41.55,41.55,41.55,1,0
2012-08-27,56,40.65,40.65,40.65,40.65,1,0
2012-08-28,57,40.1,40.1,40.1,40.1,1,0
2012-08-29,58,39.65,39.65,39.65,39.65,1,0
2012-08-30,59,40.5,40.5,40.5,40.5,1,0
2012-08-31,60,40.3,40.3,40.3,40.3,1,0
2012-09-03,63,40.5,40.5,40.5,40.5,1,0
2012-09-04,64,40.7,40.7,40.7,40.7,1,0
2012-09-05,65,40.4,40.4,40.4,40.4,1,0
2012-09-06,66,40.9,40.9,40.9,40.9,1,0
2012-09-07,67,41.35,41.35,41.35,41.35,1,0
2012-09-10,70,41.0,41.0,41.0,41.0,1,0
2012-09-11,71,40.35,40.35,40.35,40.35,1,0
2012-09-12,72,40.85,40.85,40.85,40.85,1,0
2012-09-13,73,40.7,40.7,40.7,40.7,1,0
2012-09-14,74,41.65,41.65,41.65,41.65,1,0
2012-09-17,77,43.4,43.4,43.4,43.4,1,0
2012-09-18,78,44.75,44.75,44.75,44.75,1,0
2012-09-20,80,43.55,43.55,43.55,43.55,1,0
2012-09-21,81,45.45,45.45,45.45,45.45,1,0
2012-09-24,84,44.6,44.6,44.6,44.6,1,0
2012-09-25,85,43.65,43.65,43.65,43.65,1,0
2012-09-26,86,43.95,43.95,43.95,43.95,1,0
2012-09-27,87,43.2,43.2,43.2,43.2,1,0
2012-09-28,88,43.95,43.95,43.95,43.95,1,0
2012-10-01,91,45.05,45.05,45.05,45.05,1,0
2012-10-03,93,45.4,45.4,45.4,45.4,1,0
2012-10-04,94,45.35,45.35,45.35,45.35,1,0
2012-10-05,95,44.65,44.65,44.65,44.65,1,0
2012-10-08,98,44.8,44.8,44.8,44.8,1,0
2012-10-09,99,44.85,44.85,44.85,44.85,1,0
2012-10-10,100,44.65,44.65,44.65,44.65,1,0
2012-10-11,101,45.8,45.8,45.8,45.8,1,0
2012-10-12,102,46.45,46.45,46.45,46.45,1,0
2012-10-15,105,46.25,46.25,46.25,46.25,1,0
2012-10-16,106,45.85,45.85,45.85,45.85,1,0
2012-10-17,107,45.35,45.35,45.35,45.35,1,0
2012-10-18,108,45.25,45.25,45.25,45.25,1,0
2012-10-19,109,45.35,45.35,45.35,45.35,1,0
2012-10-22,112,45.1,45.1,45.1,45.1,1,0
2012-10-23,113,44.65,44.65,44.65,44.65,1,0
2012-10-25,115,44.5,44.5,44.5,44.5,1,0
2012-10-26,116,43.65,43.65,43.65,43.65,1,0
2012-10-29,119,43.9,43.9,43.9,43.9,1,0
2012-10-30,120,43.0,43.0,43.0,43.0,1,0
2012-10-31,121,43.05,43.05,43.05,43.05,1,0
2012-11-01,122,43.25,43.25,43.25,43.25,1,0
2012-11-02,123,43.35,43.35,43.35,43.35,1,0
2012-11-05,126,43.1,43.1,43.1,43.1,1,0
2012-11-06,127,43.0,43.0,43.0,43.0,1,0
2012-11-07,128,44.25,44.25,44.25,44.25,1,0
2012-11-08,129,44.8,44.8,44.8,44.8,1,0
2012-11-09,130,44.35,44.35,44.35,44.35,1,0
2012-11-12,133,44.85,44.85,44.85,44.85,1,0
2012-11-13,134,45.25,45.25,45.25,45.25,1,0
2012-11-15,136,44.75,44.75,44.75,44.75,1,0
2012-11-16,137,43.95,43.95,43.95,43.95,1,0
2012-11-19,140,43.25,43.25,43.25,43.25,1,0
2012-11-20,141,42.95,42.95,42.95,42.95,1,0
2012-11-21,142,43.0,43.0,43.0,43.0,1,0
2012-11-22,143,43.0,43.0,43.0,43.0,1,0
2012-11-23,144,43.85,43.85,43.85,43.85,1,0
2012-11-26,147,44.4,44.4,44.4,44.4,1,0
2012-11-27,148,44.55,44.55,44.55,44.55,1,0
2012-11-29,150,44.8,44.8,44.8,44.8,1,0
2012-11-30,151,46.85,46.85,46.85,46.85,1,0
2012-12-03,154,48.3,48.3,48.3,48.3,1,0
2012-12-04,155,47.8,47.8,47.8,47.8,1,0
2012-12-05,156,47.4,47.4,47.4,47.4,1,0
2012-12-06,157,47.6,47.6,47.6,47.6,1,0
2012-12-07,158,47.9,47.9,47.9,47.9,1,0
2012-12-10,161,50.45,50.45,50.45,50.45,1,0
2012-12-11,162,50.1,50.1,50.1,50.1,1,0
2012-12-12,163,51.4,51.4,51.4,51.4,1,0
2012-12-13,164,50.4,50.4,50.4,50.4,1,0
2012-12-14,165,50.4,50.4,50.4,50.4,1,0
2012-12-17,168,50.3,50.3,50.3,50.3,1,0
