Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,132.65,132.65,132.65,132.65,1000000,0
2012-07-03,1,135.85,135.85,135.85,135.85,1000000,0
2012-07-04,2,138.4,138.4,138.4,138.4,1000000,0
2012-07-05,3,140.7,140.7,140.7,140.7,1000000,0
2012-07-06,4,140.7,140.7,140.7,140.7,1000000,0
2012-07-09,7,139.55,139.55,139.55,139.55,1000000,0
2012-07-10,8,139.9,139.9,139.9,139.9,1000000,0
2012-07-11,9,141.9,141.9,141.9,141.9,1000000,0
2012-07-12,10,137.05,137.05,137.05,137.05,1000000,0
2012-07-13,11,133.5,133.5,133.5,133.5,1000000,0
2012-07-16,14,130.1,130.1,130.1,130.1,1000000,0
2012-07-17,15,130.4,130.4,130.4,130.4,1000000,0
2012-07-18,16,131.65,131.65,131.65,131.65,1000000,0
2012-07-19,17,130.15,130.15,130.15,130.15,1000000,0
2012-07-20,18,133.25,133.25,133.25,133.25,1000000,0
2012-07-23,21,131.15,131.15,131.15,131.15,1000000,0
2012-07-24,22,131.15,131.15,131.15,131.15,1000000,0
2012-07-25,23,131.7,131.7,131.7,131.7,1000000,0
2012-07-26,24,128.15,128.15,128.15,128.15,1000000,0
2012-07-27,25,127.7,127.7,127.7,127.7,1000000,0
2012-07-30,28,126.5,126.5,126.5,126.5,1000000,0
2012-07-31,29,128.55,128.55,128.55,128.55,1000000,0
2012-08-01,30,129.85,129.85,129.85,129.85,1000000,0
2012-08-02,31,129.95,129.95,129.95,129.95,1000000,0
2012-08-03,32,130.05,130.05,130.05,130.05,1000000,0
2012-08-06,35,132.0,132.0,132.0,132.0,1000000,0
2012-08-07,36,133.05,133.05,133.05,133.05,1000000,0
2012-08-08,37,131.65,131.65,131.65,131.65,1000000,0
2012-08-09,38,132.15,132.15,132.15,132.15,1000000,0
2012-08-10,39,132.15,132.15,132.15,132.15,1000000,0
2012-08-13,42,132.6,132.6,132.6,132.6,1000000,0
2012-08-14,43,133.45,133.45,133.45,133.45,1000000,0
