Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,54.5,54.5,54.5,54.5,1,0
2012-07-03,1,54.45,54.45,54.45,54.45,1,0
2012-07-04,2,55.05,55.05,55.05,55.05,1,0
2012-07-05,3,61.9,61.9,61.9,61.9,1,0
2012-07-06,4,60.25,60.25,60.25,60.25,1,0
2012-07-09,7,58.45,58.45,58.45,58.45,1,0
2012-07-10,8,59.55,59.55,59.55,59.55,1,0
2012-07-11,9,58.7,58.7,58.7,58.7,1,0
2012-07-12,10,60.05,60.05,60.05,60.05,1,0
2012-07-13,11,58.6,58.6,58.6,58.6,1,0
2012-07-16,14,57.65,57.65,57.65,57.65,1,0
2012-07-17,15,55.75,55.75,55.75,55.75,1,0
2012-07-18,16,56.45,56.45,56.45,56.45,1,0
2012-07-19,17,55.25,55.25,55.25,55.25,1,0
2012-07-20,18,54.6,54.6,54.6,54.6,1,0
2012-07-23,21,53.2,53.2,53.2,53.2,1,0
2012-07-24,22,53.7,53.7,53.7,53.7,1,0
2012-07-25,23,52.3,52.3,52.3,52.3,1,0
2012-07-26,24,50.95,50.95,50.95,50.95,1,0
2012-07-27,25,49.8,49.8,49.8,49.8,1,0
2012-07-30,28,50.25,50.25,50.25,50.25,1,0
2012-07-31,29,50.15,50.15,50.15,50.15,1,0
2012-08-01,30,51.8,51.8,51.8,51.8,1,0
2012-08-02,31,52.0,52.0,52.0,52.0,1,0
2012-08-03,32,52.0,52.0,52.0,52.0,1,0
2012-08-06,35,52.0,52.0,52.0,52.0,1,0
2012-08-07,36,51.4,51.4,51.4,51.4,1,0
2012-08-08,37,51.2,51.2,51.2,51.2,1,0
2012-08-09,38,50.3,50.3,50.3,50.3,1,0
2012-08-10,39,49.6,49.6,49.6,49.6,1,0
2012-08-13,42,48.85,48.85,48.85,48.85,1,0
2012-08-14,43,49.95,49.95,49.95,49.95,1,0
2012-08-16,45,50.0,50.0,50.0,50.0,1,0
2012-08-17,46,49.7,49.7,49.7,49.7,1,0
2012-08-21,50,49.65,49.65,49.65,49.65,1,0
2012-08-22,51,49.15,49.15,49.15,49.15,1,0
2012-08-23,52,48.75,48.75,48.75,48.75,1,0
2012-08-24,53,47.65,47.65,47.65,47.65,1,0
2012-08-27,56,46.75,46.75,46.75,46.75,1,0
2012-08-28,57,45.3,45.3,45.3,45.3,1,0
2012-08-29,58,43.7,43.7,43.7,43.7,1,0
2012-08-30,59,45.15,45.15,45.15,45.15,1,0
2012-08-31,60,45.6,45.6,45.6,45.6,1,0
2012-09-03,63,45.55,45.55,45.55,45.55,1,0
2012-09-04,64,45.65,45.65,45.65,45.65,1,0
2012-09-05,65,46.1,46.1,46.1,46.1,1,0
2012-09-06,66,45.95,45.95,45.95,45.95,1,0
2012-09-07,67,46.55,46.55,46.55,46.55,1,0
2012-09-10,70,45.6,45.6,45.6,45.6,1,0
2012-09-11,71,46.0,46.0,46.0,46.0,1,0
2012-09-12,72,46.0,46.0,46.0,46.0,1,0
2012-09-13,73,46.1,46.1,46.1,46.1,1,0
2012-09-14,74,47.25,47.25,47.25,47.25,1,0
2012-09-17,77,49.0,49.0,49.0,49.0,1,0
2012-09-18,78,50.95,50.95,50.95,50.95,1,0
2012-09-20,80,52.8,52.8,52.8,52.8,1,0
2012-09-21,81,54.1,54.1,54.1,54.1,1,0
2012-09-24,84,54.65,54.65,54.65,54.65,1,0
2012-09-25,85,54.1,54.1,54.1,54.1,1,0
2012-09-26,86,53.9,53.9,53.9,53.9,1,0
2012-09-27,87,55.4,55.4,55.4,55.4,1,0
2012-09-28,88,55.55,55.55,55.55,55.55,1,0
2012-10-01,91,57.9,57.9,57.9,57.9,1,0
2012-10-03,93,58.95,58.95,58.95,58.95,1,0
2012-10-04,94,57.35,57.35,57.35,57.35,1,0
2012-10-05,95,57.0,57.0,57.0,57.0,1,0
2012-10-08,98,57.05,57.05,57.05,57.05,1,0
2012-10-09,99,57.15,57.15,57.15,57.15,1,0
2012-10-10,100,57.15,57.15,57.15,57.15,1,0
2012-10-11,101,57.15,57.15,57.15,57.15,1,0
2012-10-12,102,57.05,57.05,57.05,57.05,1,0
2012-10-15,105,58.25,58.25,58.25,58.25,1,0
2012-10-16,106,60.55,60.55,60.55,60.55,1,0
2012-10-17,107,58.7,58.7,58.7,58.7,1,0
2012-10-18,108,60.8,60.8,60.8,60.8,1,0
2012-10-19,109,59.35,59.35,59.35,59.35,1,0
2012-10-22,112,59.75,59.75,59.75,59.75,1,0
2012-10-23,113,59.5,59.5,59.5,59.5,1,0
2012-10-25,115,58.25,58.25,58.25,58.25,1,0
2012-10-26,116,56.85,56.85,56.85,56.85,1,0
2012-10-29,119,55.45,55.45,55.45,55.45,1,0
2012-10-30,120,53.9,53.9,53.9,53.9,1,0
2012-10-31,121,54.65,54.65,54.65,54.65,1,0
2012-11-01,122,56.35,56.35,56.35,56.35,1,0
2012-11-02,123,56.85,56.85,56.85,56.85,1,0
2012-11-05,126,55.75,55.75,55.75,55.75,1,0
2012-11-06,127,55.5,55.5,55.5,55.5,1,0
2012-11-07,128,56.55,56.55,56.55,56.55,1,0
2012-11-08,129,56.45,56.45,56.45,56.45,1,0
2012-11-09,130,55.25,55.25,55.25,55.25,1,0
2012-11-12,133,59.2,59.2,59.2,59.2,1,0
2012-11-13,134,62.75,62.75,62.75,62.75,1,0
2012-11-15,136,58.75,58.75,58.75,58.75,1,0
2012-11-16,137,56.55,56.55,56.55,56.55,1,0
2012-11-19,140,57.0,57.0,57.0,57.0,1,0
2012-11-20,141,55.2,55.2,55.2,55.2,1,0
2012-11-21,142,55.5,55.5,55.5,55.5,1,0
2012-11-22,143,55.15,55.15,55.15,55.15,1,0
2012-11-23,144,58.7,58.7,58.7,58.7,1,0
2012-11-26,147,62.6,62.6,62.6,62.6,1,0
2012-11-27,148,61.75,61.75,61.75,61.75,1,0
2012-11-29,150,64.55,64.55,64.55,64.55,1,0
2012-11-30,151,66.0,66.0,66.0,66.0,1,0
2012-12-03,154,69.3,69.3,69.3,69.3,1,0
