Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,64.45,64.45,64.45,64.45,1000000,0
2012-07-03,1,65.15,65.15,65.15,65.15,1000000,0
2012-07-04,2,69.0,69.0,69.0,69.0,1000000,0
2012-07-05,3,69.0,69.0,69.0,69.0,1000000,0
2012-07-06,4,70.65,70.65,70.65,70.65,1000000,0
2012-07-09,7,69.1,69.1,69.1,69.1,1000000,0
2012-07-10,8,69.75,69.75,69.75,69.75,1000000,0
2012-07-11,9,69.4,69.4,69.4,69.4,1000000,0
2012-07-12,10,68.05,68.05,68.05,68.05,1000000,0
2012-07-13,11,69.45,69.45,69.45,69.45,1000000,0
2012-07-16,14,68.8,68.8,68.8,68.8,1000000,0
2012-07-17,15,69.05,69.05,69.05,69.05,1000000,0
2012-07-18,16,68.1,68.1,68.1,68.1,1000000,0
2012-07-19,17,71.15,71.15,71.15,71.15,1000000,0
2012-07-20,18,69.7,69.7,69.7,69.7,1000000,0
2012-07-23,21,66.9,66.9,66.9,66.9,1000000,0
2012-07-24,22,67.95,67.95,67.95,67.95,1000000,0
2012-07-25,23,68.55,68.55,68.55,68.55,1000000,0
2012-07-26,24,68.9,68.9,68.9,68.9,1000000,0
2012-07-27,25,67.65,67.65,67.65,67.65,1000000,0
2012-07-30,28,68.9,68.9,68.9,68.9,1000000,0
2012-07-31,29,69.25,69.25,69.25,69.25,1000000,0
2012-08-01,30,71.65,71.65,71.65,71.65,1000000,0
2012-08-02,31,71.85,71.85,71.85,71.85,1000000,0
2012-08-03,32,70.15,70.15,70.15,70.15,1000000,0
2012-08-06,35,71.35,71.35,71.35,71.35,1000000,0
2012-08-07,36,72.85,72.85,72.85,72.85,1000000,0
2012-08-08,37,70.4,70.4,70.4,70.4,1000000,0
2012-08-09,38,70.4,70.4,70.4,70.4,1000000,0
2012-08-10,39,71.0,71.0,71.0,71.0,1000000,0
2012-08-13,42,73.45,73.45,73.45,73.45,1000000,0
2012-08-14,43,73.1,73.1,73.1,73.1,1000000,0
2012-08-16,45,74.45,74.45,74.45,74.45,1000000,0
2012-08-17,46,72.95,72.95,72.95,72.95,1000000,0
2012-08-21,50,74.6,74.6,74.6,74.6,1000000,0
2012-08-22,51,73.65,73.65,73.65,73.65,1000000,0
2012-08-23,52,71.2,71.2,71.2,71.2,1000000,0
2012-08-24,53,69.35,69.35,69.35,69.35,1000000,0
2012-08-27,56,69.0,69.0,69.0,69.0,1000000,0
2012-08-28,57,68.3,68.3,68.3,68.3,1000000,0
2012-08-29,58,65.05,65.05,65.05,65.05,1000000,0
2012-08-30,59,66.05,66.05,66.05,66.05,1000000,0
2012-08-31,60,64.4,64.4,64.4,64.4,1000000,0
2012-09-03,63,66.05,66.05,66.05,66.05,1000000,0
2012-09-04,64,70.2,70.2,70.2,70.2,1000000,0
2012-09-05,65,70.45,70.45,70.45,70.45,1000000,0
2012-09-06,66,71.6,71.6,71.6,71.6,1000000,0
2012-09-07,67,73.35,73.35,73.35,73.35,1000000,0
2012-09-10,70,72.4,72.4,72.4,72.4,1000000,0
2012-09-11,71,71.5,71.5,71.5,71.5,1000000,0
2012-09-12,72,72.5,72.5,72.5,72.5,1000000,0
2012-09-13,73,74.05,74.05,74.05,74.05,1000000,0
2012-09-14,74,76.85,76.85,76.85,76.85,1000000,0
2012-09-17,77,78.85,78.85,78.85,78.85,1000000,0
2012-09-18,78,78.8,78.8,78.8,78.8,1000000,0
2012-09-20,80,78.05,78.05,78.05,78.05,1000000,0
2012-09-21,81,79.4,79.4,79.4,79.4,1000000,0
2012-09-24,84,76.95,76.95,76.95,76.95,1000000,0
2012-09-25,85,77.85,77.85,77.85,77.85,1000000,0
2012-09-26,86,79.15,79.15,79.15,79.15,1000000,0
2012-09-27,87,81.65,81.65,81.65,81.65,1000000,0
2012-09-28,88,82.55,82.55,82.55,82.55,1000000,0
2012-10-01,91,82.05,82.05,82.05,82.05,1000000,0
2012-10-03,93,81.4,81.4,81.4,81.4,1000000,0
2012-10-04,94,83.25,83.25,83.25,83.25,1000000,0
2012-10-05,95,81.05,81.05,81.05,81.05,1000000,0
2012-10-08,98,80.15,80.15,80.15,80.15,1000000,0
2012-10-09,99,82.9,82.9,82.9,82.9,1000000,0
2012-10-10,100,80.1,80.1,80.1,80.1,1000000,0
2012-10-11,101,77.7,77.7,77.7,77.7,1000000,0
2012-10-12,102,77.3,77.3,77.3,77.3,1000000,0
2012-10-15,105,76.15,76.15,76.15,76.15,1000000,0
2012-10-16,106,76.8,76.8,76.8,76.8,1000000,0
2012-10-17,107,80.5,80.5,80.5,80.5,1000000,0
2012-10-18,108,77.9,77.9,77.9,77.9,1000000,0
2012-10-19,109,75.7,75.7,75.7,75.7,1000000,0
2012-10-22,112,73.85,73.85,73.85,73.85,1000000,0
2012-10-23,113,72.6,72.6,72.6,72.6,1000000,0
2012-10-25,115,73.65,73.65,73.65,73.65,1000000,0
2012-10-26,116,72.5,72.5,72.5,72.5,1000000,0
