Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,204.55,204.55,204.55,204.55,1000000,0
2012-07-03,1,213.2,213.2,213.2,213.2,1000000,0
2012-07-04,2,216.9,216.9,216.9,216.9,1000000,0
2012-07-05,3,214.8,214.8,214.8,214.8,1000000,0
2012-07-06,4,211.35,211.35,211.35,211.35,1000000,0
2012-07-09,7,213.7,213.7,213.7,213.7,1000000,0
2012-07-10,8,214.55,214.55,214.55,214.55,1000000,0
2012-07-11,9,210.35,210.35,210.35,210.35,1000000,0
2012-07-12,10,210.75,210.75,210.75,210.75,1000000,0
2012-07-13,11,208.15,208.15,208.15,208.15,1000000,0
2012-07-16,14,205.35,205.35,205.35,205.35,1000000,0
2012-07-17,15,202.55,202.55,202.55,202.55,1000000,0
2012-07-18,16,205.65,205.65,205.65,205.65,1000000,0
2012-07-19,17,207.0,207.0,207.0,207.0,1000000,0
2012-07-20,18,204.65,204.65,204.65,204.65,1000000,0
2012-07-23,21,198.4,198.4,198.4,198.4,1000000,0
2012-07-24,22,200.75,200.75,200.75,200.75,1000000,0
2012-07-25,23,203.85,203.85,203.85,203.85,1000000,0
2012-07-26,24,197.15,197.15,197.15,197.15,1000000,0
2012-07-27,25,194.0,194.0,194.0,194.0,1000000,0
2012-07-30,28,201.7,201.7,201.7,201.7,1000000,0
2012-07-31,29,209.05,209.05,209.05,209.05,1000000,0
2012-08-01,30,208.8,208.8,208.8,208.8,1000000,0
2012-08-02,31,208.1,208.1,208.1,208.1,1000000,0
2012-08-03,32,207.45,207.45,207.45,207.45,1000000,0
2012-08-06,35,211.25,211.25,211.25,211.25,1000000,0
2012-08-07,36,217.15,217.15,217.15,217.15,1000000,0
2012-08-08,37,212.2,212.2,212.2,212.2,1000000,0
2012-08-09,38,210.75,210.75,210.75,210.75,1000000,0
2012-08-10,39,210.35,210.35,210.35,210.35,1000000,0
2012-08-13,42,217.7,217.7,217.7,217.7,1000000,0
2012-08-14,43,216.4,216.4,216.4,216.4,1000000,0
2012-08-16,45,215.85,215.85,215.85,215.85,1000000,0
2012-08-17,46,209.0,209.0,209.0,209.0,1000000,0
2012-08-21,50,216.1,216.1,216.1,216.1,1000000,0
2012-08-22,51,214.95,214.95,214.95,214.95,1000000,0
2012-08-23,52,214.2,214.2,214.2,214.2,1000000,0
2012-08-24,53,207.7,207.7,207.7,207.7,1000000,0
2012-08-27,56,200.95,200.95,200.95,200.95,1000000,0
2012-08-28,57,200.65,200.65,200.65,200.65,1000000,0
2012-08-29,58,190.85,190.85,190.85,190.85,1000000,0
2012-08-30,59,198.55,198.55,198.55,198.55,1000000,0
2012-08-31,60,195.05,195.05,195.05,195.05,1000000,0
2012-09-03,63,194.45,194.45,194.45,194.45,1000000,0
2012-09-04,64,197.2,197.2,197.2,197.2,1000000,0
2012-09-05,65,193.05,193.05,193.05,193.05,1000000,0
2012-09-06,66,192.6,192.6,192.6,192.6,1000000,0
2012-09-07,67,203.45,203.45,203.45,203.45,1000000,0
2012-09-10,70,202.3,202.3,202.3,202.3,1000000,0
2012-09-11,71,200.7,200.7,200.7,200.7,1000000,0
2012-09-12,72,202.7,202.7,202.7,202.7,1000000,0
2012-09-13,73,202.0,202.0,202.0,202.0,1000000,0
2012-09-14,74,216.6,216.6,216.6,216.6,1000000,0
2012-09-17,77,231.6,231.6,231.6,231.6,1000000,0
2012-09-18,78,226.9,226.9,226.9,226.9,1000000,0
2012-09-20,80,230.25,230.25,230.25,230.25,1000000,0
2012-09-21,81,235.25,235.25,235.25,235.25,1000000,0
2012-09-24,84,234.9,234.9,234.9,234.9,1000000,0
2012-09-25,85,235.85,235.85,235.85,235.85,1000000,0
2012-09-26,86,233.85,233.85,233.85,233.85,1000000,0
2012-09-27,87,236.4,236.4,236.4,236.4,1000000,0
2012-09-28,88,233.25,233.25,233.25,233.25,1000000,0
2012-10-01,91,229.0,229.0,229.0,229.0,1000000,0
2012-10-03,93,228.8,228.8,228.8,228.8,1000000,0
2012-10-04,94,241.1,241.1,241.1,241.1,1000000,0
2012-10-05,95,241.9,241.9,241.9,241.9,1000000,0
2012-10-08,98,224.3,224.3,224.3,224.3,1000000,0
2012-10-09,99,224.2,224.2,224.2,224.2,1000000,0
2012-10-10,100,213.1,213.1,213.1,213.1,1000000,0
2012-10-11,101,221.2,221.2,221.2,221.2,1000000,0
2012-10-12,102,218.75,218.75,218.75,218.75,1000000,0
2012-10-15,105,217.3,217.3,217.3,217.3,1000000,0
2012-10-16,106,208.0,208.0,208.0,208.0,1000000,0
2012-10-17,107,201.1,201.1,201.1,201.1,1000000,0
2012-10-18,108,205.15,205.15,205.15,205.15,1000000,0
2012-10-19,109,206.1,206.1,206.1,206.1,1000000,0
2012-10-22,112,207.1,207.1,207.1,207.1,1000000,0
2012-10-23,113,205.45,205.45,205.45,205.45,1000000,0
2012-10-25,115,204.65,204.65,204.65,204.65,1000000,0
2012-10-26,116,202.75,202.75,202.75,202.75,1000000,0
2012-10-29,119,203.5,203.5,203.5,203.5,1000000,0
2012-10-30,120,199.1,199.1,199.1,199.1,1000000,0
2012-10-31,121,202.8,202.8,202.8,202.8,1000000,0
2012-11-01,122,204.35,204.35,204.35,204.35,1000000,0
2012-11-02,123,205.4,205.4,205.4,205.4,1000000,0
2012-11-05,126,202.8,202.8,202.8,202.8,1000000,0
2012-11-06,127,206.6,206.6,206.6,206.6,1000000,0
2012-11-07,128,211.5,211.5,211.5,211.5,1000000,0
2012-11-08,129,214.0,214.0,214.0,214.0,1000000,0
2012-11-09,130,211.15,211.15,211.15,211.15,1000000,0
2012-11-12,133,205.5,205.5,205.5,205.5,1000000,0
2012-11-13,134,202.85,202.85,202.85,202.85,1000000,0
2012-11-15,136,209.25,209.25,209.25,209.25,1000000,0
2012-11-16,137,203.6,203.6,203.6,203.6,1000000,0
2012-11-19,140,204.55,204.55,204.55,204.55,1000000,0
2012-11-20,141,199.7,199.7,199.7,199.7,1000000,0
2012-11-21,142,201.8,201.8,201.8,201.8,1000000,0
2012-11-22,143,201.05,201.05,201.05,201.05,1000000,0
2012-11-23,144,200.7,200.7,200.7,200.7,1000000,0
2012-11-26,147,200.3,200.3,200.3,200.3,1000000,0
2012-11-27,148,205.3,205.3,205.3,205.3,1000000,0
2012-11-29,150,208.55,208.55,208.55,208.55,1000000,0
2012-11-30,151,209.8,209.8,209.8,209.8,1000000,0
2012-12-03,154,210.35,210.35,210.35,210.35,1000000,0
2012-12-04,155,212.8,212.8,212.8,212.8,1000000,0
2012-12-05,156,222.3,222.3,222.3,222.3,1000000,0
2012-12-06,157,226.65,226.65,226.65,226.65,1000000,0
2012-12-07,158,220.2,220.2,220.2,220.2,1000000,0
2012-12-10,161,222.0,222.0,222.0,222.0,1000000,0
2012-12-11,162,217.85,217.85,217.85,217.85,1000000,0
2012-12-12,163,217.35,217.35,217.35,217.35,1000000,0
2012-12-13,164,214.45,214.45,214.45,214.45,1000000,0
