Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,174.6,174.6,174.6,174.6,1000000,0
2012-07-03,1,172.2,172.2,172.2,172.2,1000000,0
2012-07-04,2,173.5,173.5,173.5,173.5,1000000,0
2012-07-05,3,174.95,174.95,174.95,174.95,1000000,0
2012-07-06,4,171.25,171.25,171.25,171.25,1000000,0
2012-07-09,7,167.65,167.65,167.65,167.65,1000000,0
2012-07-10,8,173.1,173.1,173.1,173.1,1000000,0
2012-07-11,9,172.4,172.4,172.4,172.4,1000000,0
2012-07-12,10,168.5,168.5,168.5,168.5,1000000,0
2012-07-13,11,168.0,168.0,168.0,168.0,1000000,0
2012-07-16,14,170.05,170.05,170.05,170.05,1000000,0
2012-07-17,15,168.55,168.55,168.55,168.55,1000000,0
2012-07-18,16,170.7,170.7,170.7,170.7,1000000,0
2012-07-19,17,169.6,169.6,169.6,169.6,1000000,0
2012-07-20,18,169.05,169.05,169.05,169.05,1000000,0
2012-07-23,21,167.05,167.05,167.05,167.05,1000000,0
2012-07-24,22,170.1,170.1,170.1,170.1,1000000,0
2012-07-25,23,153.8,153.8,153.8,153.8,1000000,0
2012-07-26,24,154.35,154.35,154.35,154.35,1000000,0
2012-07-27,25,153.65,153.65,153.65,153.65,1000000,0
2012-07-30,28,159.45,159.45,159.45,159.45,1000000,0
2012-07-31,29,160.2,160.2,160.2,160.2,1000000,0
2012-08-01,30,159.45,159.45,159.45,159.45,1000000,0
2012-08-02,31,160.45,160.45,160.45,160.45,1000000,0
2012-08-03,32,157.45,157.45,157.45,157.45,1000000,0
2012-08-06,35,158.65,158.65,158.65,158.65,1000000,0
2012-08-07,36,162.5,162.5,162.5,162.5,1000000,0
2012-08-08,37,159.1,159.1,159.1,159.1,1000000,0
2012-08-09,38,158.7,158.7,158.7,158.7,1000000,0
2012-08-10,39,161.95,161.95,161.95,161.95,1000000,0
2012-08-13,42,157.2,157.2,157.2,157.2,1000000,0
2012-08-14,43,159.55,159.55,159.55,159.55,1000000,0
2012-08-16,45,158.75,158.75,158.75,158.75,1000000,0
2012-08-17,46,159.25,159.25,159.25,159.25,1000000,0
2012-08-21,50,163.4,163.4,163.4,163.4,1000000,0
2012-08-22,51,162.45,162.45,162.45,162.45,1000000,0
2012-08-23,52,164.75,164.75,164.75,164.75,1000000,0
2012-08-24,53,161.85,161.85,161.85,161.85,1000000,0
2012-08-27,56,158.1,158.1,158.1,158.1,1000000,0
2012-08-28,57,147.65,147.65,147.65,147.65,1000000,0
2012-08-29,58,135.95,135.95,135.95,135.95,1000000,0
2012-08-30,59,143.2,143.2,143.2,143.2,1000000,0
2012-08-31,60,144.7,144.7,144.7,144.7,1000000,0
2012-09-03,63,142.85,142.85,142.85,142.85,1000000,0
2012-09-04,64,149.95,149.95,149.95,149.95,1000000,0
2012-09-05,65,149.0,149.0,149.0,149.0,1000000,0
2012-09-06,66,150.0,150.0,150.0,150.0,1000000,0
2012-09-07,67,149.9,149.9,149.9,149.9,1000000,0
2012-09-10,70,152.15,152.15,152.15,152.15,1000000,0
2012-09-11,71,153.55,153.55,153.55,153.55,1000000,0
2012-09-12,72,151.0,151.0,151.0,151.0,1000000,0
2012-09-13,73,148.7,148.7,148.7,148.7,1000000,0
2012-09-14,74,152.9,152.9,152.9,152.9,1000000,0
2012-09-17,77,155.1,155.1,155.1,155.1,1000000,0
2012-09-18,78,156.2,156.2,156.2,156.2,1000000,0
2012-09-20,80,160.0,160.0,160.0,160.0,1000000,0
2012-09-21,81,163.95,163.95,163.95,163.95,1000000,0
2012-09-24,84,160.9,160.9,160.9,160.9,1000000,0
2012-09-25,85,158.7,158.7,158.7,158.7,1000000,0
2012-09-26,86,160.05,160.05,160.05,160.05,1000000,0
2012-09-27,87,159.65,159.65,159.65,159.65,1000000,0
2012-09-28,88,160.65,160.65,160.65,160.65,1000000,0
2012-10-01,91,163.25,163.25,163.25,163.25,1000000,0
2012-10-03,93,162.85,162.85,162.85,162.85,1000000,0
2012-10-04,94,164.4,164.4,164.4,164.4,1000000,0
2012-10-05,95,175.75,175.75,175.75,175.75,1000000,0
2012-10-08,98,172.7,172.7,172.7,172.7,1000000,0
2012-10-09,99,172.4,172.4,172.4,172.4,1000000,0
2012-10-10,100,167.05,167.05,167.05,167.05,1000000,0
2012-10-11,101,164.5,164.5,164.5,164.5,1000000,0
2012-10-12,102,165.2,165.2,165.2,165.2,1000000,0
2012-10-15,105,165.4,165.4,165.4,165.4,1000000,0
2012-10-16,106,162.15,162.15,162.15,162.15,1000000,0
2012-10-17,107,161.75,161.75,161.75,161.75,1000000,0
2012-10-18,108,162.85,162.85,162.85,162.85,1000000,0
2012-10-19,109,161.05,161.05,161.05,161.05,1000000,0
2012-10-22,112,159.6,159.6,159.6,159.6,1000000,0
2012-10-23,113,158.15,158.15,158.15,158.15,1000000,0
2012-10-25,115,157.65,157.65,157.65,157.65,1000000,0
2012-10-26,116,154.6,154.6,154.6,154.6,1000000,0
2012-10-29,119,152.8,152.8,152.8,152.8,1000000,0
2012-10-30,120,149.8,149.8,149.8,149.8,1000000,0
2012-10-31,121,147.45,147.45,147.45,147.45,1000000,0
2012-11-01,122,152.2,152.2,152.2,152.2,1000000,0
2012-11-02,123,152.1,152.1,152.1,152.1,1000000,0
2012-11-05,126,150.8,150.8,150.8,150.8,1000000,0
2012-11-06,127,149.4,149.4,149.4,149.4,1000000,0
2012-11-07,128,151.4,151.4,151.4,151.4,1000000,0
2012-11-08,129,150.15,150.15,150.15,150.15,1000000,0
2012-11-09,130,148.85,148.85,148.85,148.85,1000000,0
2012-11-12,133,145.85,145.85,145.85,145.85,1000000,0
2012-11-13,134,148.45,148.45,148.45,148.45,1000000,0
2012-11-15,136,145.95,145.95,145.95,145.95,1000000,0
2012-11-16,137,146.15,146.15,146.15,146.15,1000000,0
2012-11-19,140,143.9,143.9,143.9,143.9,1000000,0
2012-11-20,141,143.8,143.8,143.8,143.8,1000000,0
2012-11-21,142,144.5,144.5,144.5,144.5,1000000,0
2012-11-22,143,144.45,144.45,144.45,144.45,1000000,0
2012-11-23,144,145.5,145.5,145.5,145.5,1000000,0
2012-11-26,147,146.05,146.05,146.05,146.05,1000000,0
2012-11-27,148,147.35,147.35,147.35,147.35,1000000,0
2012-11-29,150,150.05,150.05,150.05,150.05,1000000,0
2012-11-30,151,150.55,150.55,150.55,150.55,1000000,0
2012-12-03,154,151.95,151.95,151.95,151.95,1000000,0
2012-12-04,155,153.55,153.55,153.55,153.55,1000000,0
2012-12-05,156,155.15,155.15,155.15,155.15,1000000,0
2012-12-06,157,155.6,155.6,155.6,155.6,1000000,0
2012-12-07,158,155.1,155.1,155.1,155.1,1000000,0
2012-12-10,161,153.5,153.5,153.5,153.5,1000000,0
2012-12-11,162,152.6,152.6,152.6,152.6,1000000,0
2012-12-12,163,151.8,151.8,151.8,151.8,1000000,0
2012-12-13,164,149.35,149.35,149.35,149.35,1000000,0
2012-12-14,165,146.6,146.6,146.6,146.6,1000000,0
2012-12-17,168,147.05,147.05,147.05,147.05,1000000,0
2012-12-18,169,147.5,147.5,147.5,147.5,1000000,0
2012-12-19,170,148.7,148.7,148.7,148.7,1000000,0
2012-12-20,171,147.75,147.75,147.75,147.75,1000000,0
2012-12-21,172,143.25,143.25,143.25,143.25,1000000,0
2012-12-24,175,144.3,144.3,144.3,144.3,1000000,0
2012-12-26,177,144.25,144.25,144.25,144.25,1000000,0
2012-12-27,178,143.0,143.0,143.0,143.0,1000000,0
2012-12-28,179,141.8,141.8,141.8,141.8,1000000,0
2012-12-31,182,139.6,139.6,139.6,139.6,1000000,0
2013-01-01,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-02,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-03,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-04,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-07,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-08,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-09,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-10,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-11,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-14,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-15,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-16,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-17,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-18,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-21,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-22,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-23,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-24,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-25,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-28,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-29,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-30,183,141.9,141.9,141.9,141.9,1000000,0
2013-01-31,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-01,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-04,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-05,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-06,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-07,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-08,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-11,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-12,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-13,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-14,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-15,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-18,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-19,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-20,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-21,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-22,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-25,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-26,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-27,183,141.9,141.9,141.9,141.9,1000000,0
2013-02-28,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-01,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-04,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-05,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-06,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-07,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-08,183,141.9,141.9,141.9,141.9,1000000,0
2013-03-11,183,141.9,141.9,141.9,141.9,1000000,0
