Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,198.53,198.53,198.53,198.53,1,0
2012-07-03,1,194.385,194.385,194.385,194.385,1,0
2012-07-04,2,195.08,195.08,195.08,195.08,1,0
2012-07-05,3,198.61,198.61,198.61,198.61,1,0
2012-07-06,4,202.115,202.115,202.115,202.115,1,0
2012-07-09,7,199.685,199.685,199.685,199.685,1,0
2012-07-10,8,200.57,200.57,200.57,200.57,1,0
2012-07-11,9,199.33,199.33,199.33,199.33,1,0
2012-07-12,10,197.96,197.96,197.96,197.96,1,0
2012-07-13,11,193.63,193.63,193.63,193.63,1,0
2012-07-16,14,195.355,195.355,195.355,195.355,1,0
2012-07-17,15,194.07,194.07,194.07,194.07,1,0
2012-07-18,16,193.11,193.11,193.11,193.11,1,0
2012-07-19,17,195.215,195.215,195.215,195.215,1,0
2012-07-20,18,195.16,195.16,195.16,195.16,1,0
2012-07-23,21,195.245,195.245,195.245,195.245,1,0
2012-07-24,22,194.585,194.585,194.585,194.585,1,0
2012-07-25,23,196.09,196.09,196.09,196.09,1,0
2012-07-26,24,195.205,195.205,195.205,195.205,1,0
2012-07-27,25,195.035,195.035,195.035,195.035,1,0
2012-07-30,28,195.98,195.98,195.98,195.98,1,0
2012-07-31,29,195.625,195.625,195.625,195.625,1,0
2012-08-01,30,192.39,192.39,192.39,192.39,1,0
2012-08-02,31,196.475,196.475,196.475,196.475,1,0
2012-08-03,32,199.355,199.355,199.355,199.355,1,0
2012-08-06,35,203.265,203.265,203.265,203.265,1,0
2012-08-07,36,207.565,207.565,207.565,207.565,1,0
2012-08-08,37,208.995,208.995,208.995,208.995,1,0
2012-08-09,38,208.785,208.785,208.785,208.785,1,0
2012-08-10,39,206.855,206.855,206.855,206.855,1,0
2012-08-13,42,207.935,207.935,207.935,207.935,1,0
2012-08-14,43,210.18,210.18,210.18,210.18,1,0
2012-08-16,45,222.125,222.125,222.125,222.125,1,0
2012-08-17,46,222.525,222.525,222.525,222.525,1,0
2012-08-21,50,222.985,222.985,222.985,222.985,1,0
2012-08-22,51,223.2,223.2,223.2,223.2,1,0
2012-08-23,52,222.245,222.245,222.245,222.245,1,0
2012-08-24,53,218.32,218.32,218.32,218.32,1,0
2012-08-27,56,217.25,217.25,217.25,217.25,1,0
2012-08-28,57,215.075,215.075,215.075,215.075,1,0
2012-08-29,58,214.01,214.01,214.01,214.01,1,0
2012-08-30,59,212.015,212.015,212.015,212.015,1,0
2012-08-31,60,214.48,214.48,214.48,214.48,1,0
2012-09-03,63,211.75,211.75,211.75,211.75,1,0
2012-09-04,64,207.99,207.99,207.99,207.99,1,0
2012-09-05,65,206.405,206.405,206.405,206.405,1,0
