Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,40.0,40.0,40.0,40.0,1000000,0
2012-07-03,1,40.525,40.525,40.525,40.525,1000000,0
2012-07-04,2,40.775,40.775,40.775,40.775,1000000,0
2012-07-05,3,40.775,40.775,40.775,40.775,1000000,0
2012-07-06,4,40.675,40.675,40.675,40.675,1000000,0
2012-07-09,7,40.775,40.775,40.775,40.775,1000000,0
2012-07-10,8,40.525,40.525,40.525,40.525,1000000,0
2012-07-11,9,40.125,40.125,40.125,40.125,1000000,0
2012-07-12,10,40.025,40.025,40.025,40.025,1000000,0
2012-07-13,11,42.0,42.0,42.0,42.0,1000000,0
2012-07-16,14,41.925,41.925,41.925,41.925,1000000,0
2012-07-17,15,41.5,41.5,41.5,41.5,1000000,0
2012-07-18,16,42.025,42.025,42.025,42.025,1000000,0
2012-07-19,17,41.325,41.325,41.325,41.325,1000000,0
2012-07-20,18,41.55,41.55,41.55,41.55,1000000,0
2012-07-23,21,41.225,41.225,41.225,41.225,1000000,0
2012-07-24,22,41.225,41.225,41.225,41.225,1000000,0
2012-07-25,23,40.625,40.625,40.625,40.625,1000000,0
2012-07-26,24,40.975,40.975,40.975,40.975,1000000,0
2012-07-27,25,41.875,41.875,41.875,41.875,1000000,0
2012-07-30,28,41.975,41.975,41.975,41.975,1000000,0
2012-07-31,29,42.25,42.25,42.25,42.25,1000000,0
2012-08-01,30,41.975,41.975,41.975,41.975,1000000,0
2012-08-02,31,42.05,42.05,42.05,42.05,1000000,0
2012-08-03,32,42.45,42.45,42.45,42.45,1000000,0
2012-08-06,35,42.0,42.0,42.0,42.0,1000000,0
2012-08-07,36,42.1,42.1,42.1,42.1,1000000,0
2012-08-08,37,42.475,42.475,42.475,42.475,1000000,0
2012-08-09,38,43.0,43.0,43.0,43.0,1000000,0
2012-08-10,39,42.65,42.65,42.65,42.65,1000000,0
2012-08-13,42,43.05,43.05,43.05,43.05,1000000,0
2012-08-14,43,42.4,42.4,42.4,42.4,1000000,0
2012-08-16,45,41.7,41.7,41.7,41.7,1000000,0
2012-08-17,46,40.6,40.6,40.6,40.6,1000000,0
2012-08-21,50,41.2,41.2,41.2,41.2,1000000,0
2012-08-22,51,41.0,41.0,41.0,41.0,1000000,0
2012-08-23,52,41.175,41.175,41.175,41.175,1000000,0
2012-08-24,53,41.05,41.05,41.05,41.05,1000000,0
2012-08-27,56,41.025,41.025,41.025,41.025,1000000,0
2012-08-28,57,40.625,40.625,40.625,40.625,1000000,0
2012-08-29,58,38.775,38.775,38.775,38.775,1000000,0
2012-08-30,59,38.85,38.85,38.85,38.85,1000000,0
2012-08-31,60,40.675,40.675,40.675,40.675,1000000,0
2012-09-03,63,39.15,39.15,39.15,39.15,1000000,0
2012-09-04,64,39.15,39.15,39.15,39.15,1000000,0
2012-09-05,65,39.425,39.425,39.425,39.425,1000000,0
2012-09-06,66,39.475,39.475,39.475,39.475,1000000,0
2012-09-07,67,39.05,39.05,39.05,39.05,1000000,0
2012-09-10,70,39.0,39.0,39.0,39.0,1000000,0
2012-09-11,71,39.925,39.925,39.925,39.925,1000000,0
2012-09-12,72,40.025,40.025,40.025,40.025,1000000,0
2012-09-13,73,40.0,40.0,40.0,40.0,1000000,0
2012-09-14,74,40.25,40.25,40.25,40.25,1000000,0
2012-09-17,77,40.85,40.85,40.85,40.85,1000000,0
2012-09-18,78,40.775,40.775,40.775,40.775,1000000,0
2012-09-20,80,40.425,40.425,40.425,40.425,1000000,0
2012-09-21,81,40.65,40.65,40.65,40.65,1000000,0
2012-09-24,84,41.625,41.625,41.625,41.625,1000000,0
2012-09-25,85,41.85,41.85,41.85,41.85,1000000,0
2012-09-26,86,41.0,41.0,41.0,41.0,1000000,0
2012-09-27,87,41.5,41.5,41.5,41.5,1000000,0
2012-09-28,88,41.6,41.6,41.6,41.6,1000000,0
2012-10-01,91,41.5,41.5,41.5,41.5,1000000,0
2012-10-03,93,41.825,41.825,41.825,41.825,1000000,0
2012-10-04,94,42.65,42.65,42.65,42.65,1000000,0
2012-10-05,95,45.225,45.225,45.225,45.225,1000000,0
2012-10-08,98,43.95,43.95,43.95,43.95,1000000,0
2012-10-09,99,43.325,43.325,43.325,43.325,1000000,0
2012-10-10,100,43.2,43.2,43.2,43.2,1000000,0
2012-10-11,101,42.925,42.925,42.925,42.925,1000000,0
2012-10-12,102,43.025,43.025,43.025,43.025,1000000,0
2012-10-15,105,42.425,42.425,42.425,42.425,1000000,0
2012-10-16,106,42.175,42.175,42.175,42.175,1000000,0
2012-10-17,107,42.025,42.025,42.025,42.025,1000000,0
2012-10-18,108,42.375,42.375,42.375,42.375,1000000,0
2012-10-19,109,41.925,41.925,41.925,41.925,1000000,0
2012-10-22,112,41.625,41.625,41.625,41.625,1000000,0
2012-10-23,113,41.925,41.925,41.925,41.925,1000000,0
2012-10-25,115,43.275,43.275,43.275,43.275,1000000,0
2012-10-26,116,42.55,42.55,42.55,42.55,1000000,0
2012-10-29,119,43.25,43.25,43.25,43.25,1000000,0
2012-10-30,120,42.6,42.6,42.6,42.6,1000000,0
2012-10-31,121,45.625,45.625,45.625,45.625,1000000,0
2012-11-01,122,43.7,43.7,43.7,43.7,1000000,0
2012-11-02,123,43.05,43.05,43.05,43.05,1000000,0
2012-11-05,126,43.05,43.05,43.05,43.05,1000000,0
2012-11-06,127,43.625,43.625,43.625,43.625,1000000,0
2012-11-07,128,43.4,43.4,43.4,43.4,1000000,0
2012-11-08,129,43.275,43.275,43.275,43.275,1000000,0
2012-11-09,130,43.225,43.225,43.225,43.225,1000000,0
2012-11-12,133,44.275,44.275,44.275,44.275,1000000,0
2012-11-13,134,44.125,44.125,44.125,44.125,1000000,0
2012-11-15,136,44.8,44.8,44.8,44.8,1000000,0
2012-11-16,137,44.2,44.2,44.2,44.2,1000000,0
2012-11-19,140,43.975,43.975,43.975,43.975,1000000,0
2012-11-20,141,44.0,44.0,44.0,44.0,1000000,0
2012-11-21,142,44.0,44.0,44.0,44.0,1000000,0
2012-11-22,143,43.275,43.275,43.275,43.275,1000000,0
2012-11-23,144,43.575,43.575,43.575,43.575,1000000,0
2012-11-26,147,43.675,43.675,43.675,43.675,1000000,0
2012-11-27,148,43.5,43.5,43.5,43.5,1000000,0
2012-11-29,150,43.5,43.5,43.5,43.5,1000000,0
2012-11-30,151,43.75,43.75,43.75,43.75,1000000,0
2012-12-03,154,43.775,43.775,43.775,43.775,1000000,0
2012-12-04,155,43.75,43.75,43.75,43.75,1000000,0
2012-12-05,156,43.875,43.875,43.875,43.875,1000000,0
2012-12-06,157,44.275,44.275,44.275,44.275,1000000,0
2012-12-07,158,43.875,43.875,43.875,43.875,1000000,0
2012-12-10,161,43.825,43.825,43.825,43.825,1000000,0
2012-12-11,162,44.35,44.35,44.35,44.35,1000000,0
2012-12-12,163,47.825,47.825,47.825,47.825,1000000,0
2012-12-13,164,45.475,45.475,45.475,45.475,1000000,0
2012-12-14,165,44.35,44.35,44.35,44.35,1000000,0
2012-12-17,168,43.95,43.95,43.95,43.95,1000000,0
2012-12-18,169,44.05,44.05,44.05,44.05,1000000,0
2012-12-19,170,44.1,44.1,44.1,44.1,1000000,0
2012-12-20,171,44.05,44.05,44.05,44.05,1000000,0
2012-12-21,172,44.0,44.0,44.0,44.0,1000000,0
2012-12-24,175,44.1,44.1,44.1,44.1,1000000,0
2012-12-26,177,44.05,44.05,44.05,44.05,1000000,0
2012-12-27,178,44.075,44.075,44.075,44.075,1000000,0
2012-12-28,179,45.65,45.65,45.65,45.65,1000000,0
2012-12-31,182,46.15,46.15,46.15,46.15,1000000,0
2013-01-01,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-02,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-03,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-04,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-07,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-08,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-09,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-10,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-11,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-14,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-15,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-16,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-17,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-18,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-21,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-22,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-23,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-24,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-25,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-28,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-29,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-30,183,46.75,46.75,46.75,46.75,1000000,0
2013-01-31,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-01,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-04,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-05,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-06,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-07,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-08,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-11,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-12,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-13,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-14,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-15,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-18,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-19,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-20,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-21,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-22,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-25,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-26,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-27,183,46.75,46.75,46.75,46.75,1000000,0
2013-02-28,183,46.75,46.75,46.75,46.75,1000000,0
2013-03-01,183,46.75,46.75,46.75,46.75,1000000,0
2013-03-04,183,46.75,46.75,46.75,46.75,1000000,0
2013-03-05,183,46.75,46.75,46.75,46.75,1000000,0
2013-03-06,183,46.75,46.75,46.75,46.75,1000000,0
2013-03-07,183,46.75,46.75,46.75,46.75,1000000,0
2013-03-08,183,46.75,46.75,46.75,46.75,1000000,0
