Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,111.325,111.325,111.325,111.325,1000000,0
2012-07-03,1,111.925,111.925,111.925,111.925,1000000,0
2012-07-04,2,114.85,114.85,114.85,114.85,1000000,0
2012-07-05,3,114.975,114.975,114.975,114.975,1000000,0
2012-07-06,4,114.075,114.075,114.075,114.075,1000000,0
2012-07-09,7,119.625,119.625,119.625,119.625,1000000,0
2012-07-10,8,118.825,118.825,118.825,118.825,1000000,0
2012-07-11,9,117.4,117.4,117.4,117.4,1000000,0
2012-07-12,10,116.75,116.75,116.75,116.75,1000000,0
2012-07-13,11,117.075,117.075,117.075,117.075,1000000,0
2012-07-16,14,115.5,115.5,115.5,115.5,1000000,0
2012-07-17,15,115.725,115.725,115.725,115.725,1000000,0
2012-07-18,16,114.475,114.475,114.475,114.475,1000000,0
2012-07-19,17,115.675,115.675,115.675,115.675,1000000,0
2012-07-20,18,115.6,115.6,115.6,115.6,1000000,0
2012-07-23,21,115.375,115.375,115.375,115.375,1000000,0
2012-07-24,22,115.475,115.475,115.475,115.475,1000000,0
2012-07-25,23,115.975,115.975,115.975,115.975,1000000,0
2012-07-26,24,114.85,114.85,114.85,114.85,1000000,0
2012-07-27,25,116.6,116.6,116.6,116.6,1000000,0
2012-07-30,28,119.5,119.5,119.5,119.5,1000000,0
2012-07-31,29,119.7,119.7,119.7,119.7,1000000,0
2012-08-01,30,120.175,120.175,120.175,120.175,1000000,0
2012-08-02,31,118.9,118.9,118.9,118.9,1000000,0
2012-08-03,32,118.675,118.675,118.675,118.675,1000000,0
2012-08-06,35,119.2,119.2,119.2,119.2,1000000,0
2012-08-07,36,121.65,121.65,121.65,121.65,1000000,0
2012-08-08,37,120.425,120.425,120.425,120.425,1000000,0
2012-08-09,38,120.275,120.275,120.275,120.275,1000000,0
2012-08-10,39,117.7,117.7,117.7,117.7,1000000,0
2012-08-13,42,118.825,118.825,118.825,118.825,1000000,0
2012-08-14,43,117.65,117.65,117.65,117.65,1000000,0
2012-08-16,45,117.25,117.25,117.25,117.25,1000000,0
2012-08-17,46,116.1,116.1,116.1,116.1,1000000,0
2012-08-21,50,114.25,114.25,114.25,114.25,1000000,0
2012-08-22,51,112.475,112.475,112.475,112.475,1000000,0
2012-08-23,52,111.625,111.625,111.625,111.625,1000000,0
2012-08-24,53,110.225,110.225,110.225,110.225,1000000,0
2012-08-27,56,109.15,109.15,109.15,109.15,1000000,0
2012-08-28,57,106.775,106.775,106.775,106.775,1000000,0
2012-08-29,58,107.5,107.5,107.5,107.5,1000000,0
2012-08-30,59,104.05,104.05,104.05,104.05,1000000,0
2012-08-31,60,103.5,103.5,103.5,103.5,1000000,0
2012-09-03,63,104.625,104.625,104.625,104.625,1000000,0
2012-09-04,64,105.325,105.325,105.325,105.325,1000000,0
2012-09-05,65,105.55,105.55,105.55,105.55,1000000,0
2012-09-06,66,107.55,107.55,107.55,107.55,1000000,0
2012-09-07,67,108.95,108.95,108.95,108.95,1000000,0
2012-09-10,70,113.95,113.95,113.95,113.95,1000000,0
2012-09-11,71,114.275,114.275,114.275,114.275,1000000,0
2012-09-12,72,113.7,113.7,113.7,113.7,1000000,0
2012-09-13,73,118.15,118.15,118.15,118.15,1000000,0
2012-09-14,74,118.9,118.9,118.9,118.9,1000000,0
2012-09-17,77,119.425,119.425,119.425,119.425,1000000,0
2012-09-18,78,117.725,117.725,117.725,117.725,1000000,0
2012-09-20,80,115.65,115.65,115.65,115.65,1000000,0
2012-09-21,81,114.475,114.475,114.475,114.475,1000000,0
2012-09-24,84,114.925,114.925,114.925,114.925,1000000,0
2012-09-25,85,115.825,115.825,115.825,115.825,1000000,0
2012-09-26,86,116.925,116.925,116.925,116.925,1000000,0
2012-09-27,87,118.475,118.475,118.475,118.475,1000000,0
2012-09-28,88,118.15,118.15,118.15,118.15,1000000,0
2012-10-01,91,122.2,122.2,122.2,122.2,1000000,0
2012-10-03,93,121.85,121.85,121.85,121.85,1000000,0
2012-10-04,94,121.825,121.825,121.825,121.825,1000000,0
2012-10-05,95,120.325,120.325,120.325,120.325,1000000,0
2012-10-08,98,122.325,122.325,122.325,122.325,1000000,0
2012-10-09,99,125.35,125.35,125.35,125.35,1000000,0
2012-10-10,100,124.8,124.8,124.8,124.8,1000000,0
2012-10-11,101,126.65,126.65,126.65,126.65,1000000,0
2012-10-12,102,127.1,127.1,127.1,127.1,1000000,0
2012-10-15,105,124.775,124.775,124.775,124.775,1000000,0
2012-10-16,106,124.325,124.325,124.325,124.325,1000000,0
2012-10-17,107,122.025,122.025,122.025,122.025,1000000,0
2012-10-18,108,122.575,122.575,122.575,122.575,1000000,0
2012-10-19,109,120.05,120.05,120.05,120.05,1000000,0
2012-10-22,112,119.825,119.825,119.825,119.825,1000000,0
2012-10-23,113,119.425,119.425,119.425,119.425,1000000,0
2012-10-25,115,119.425,119.425,119.425,119.425,1000000,0
2012-10-26,116,118.975,118.975,118.975,118.975,1000000,0
2012-10-29,119,120.125,120.125,120.125,120.125,1000000,0
2012-10-30,120,117.825,117.825,117.825,117.825,1000000,0
2012-10-31,121,117.025,117.025,117.025,117.025,1000000,0
2012-11-01,122,117.775,117.775,117.775,117.775,1000000,0
2012-11-02,123,118.75,118.75,118.75,118.75,1000000,0
2012-11-05,126,117.775,117.775,117.775,117.775,1000000,0
2012-11-06,127,115.85,115.85,115.85,115.85,1000000,0
2012-11-07,128,114.95,114.95,114.95,114.95,1000000,0
2012-11-08,129,113.475,113.475,113.475,113.475,1000000,0
2012-11-09,130,114.25,114.25,114.25,114.25,1000000,0
2012-11-12,133,116.575,116.575,116.575,116.575,1000000,0
2012-11-13,134,116.775,116.775,116.775,116.775,1000000,0
2012-11-15,136,115.9,115.9,115.9,115.9,1000000,0
2012-11-16,137,114.025,114.025,114.025,114.025,1000000,0
2012-11-19,140,114.35,114.35,114.35,114.35,1000000,0
2012-11-20,141,113.725,113.725,113.725,113.725,1000000,0
2012-11-21,142,114.55,114.55,114.55,114.55,1000000,0
2012-11-22,143,113.875,113.875,113.875,113.875,1000000,0
2012-11-23,144,114.475,114.475,114.475,114.475,1000000,0
2012-11-26,147,114.475,114.475,114.475,114.475,1000000,0
2012-11-27,148,113.9,113.9,113.9,113.9,1000000,0
2012-11-29,150,115.025,115.025,115.025,115.025,1000000,0
2012-11-30,151,114.375,114.375,114.375,114.375,1000000,0
2012-12-03,154,114.95,114.95,114.95,114.95,1000000,0
2012-12-04,155,114.65,114.65,114.65,114.65,1000000,0
2012-12-05,156,114.925,114.925,114.925,114.925,1000000,0
2012-12-06,157,114.325,114.325,114.325,114.325,1000000,0
2012-12-07,158,113.725,113.725,113.725,113.725,1000000,0
2012-12-10,161,113.725,113.725,113.725,113.725,1000000,0
2012-12-11,162,113.8,113.8,113.8,113.8,1000000,0
2012-12-12,163,112.525,112.525,112.525,112.525,1000000,0
2012-12-13,164,111.575,111.575,111.575,111.575,1000000,0
2012-12-14,165,111.1,111.1,111.1,111.1,1000000,0
2012-12-17,168,111.175,111.175,111.175,111.175,1000000,0
2012-12-18,169,112.6,112.6,112.6,112.6,1000000,0
2012-12-19,170,111.55,111.55,111.55,111.55,1000000,0
2012-12-20,171,111.1,111.1,111.1,111.1,1000000,0
2012-12-21,172,110.375,110.375,110.375,110.375,1000000,0
2012-12-24,175,110.975,110.975,110.975,110.975,1000000,0
2012-12-26,177,110.6,110.6,110.6,110.6,1000000,0
2012-12-27,178,110.65,110.65,110.65,110.65,1000000,0
2012-12-28,179,112.45,112.45,112.45,112.45,1000000,0
2012-12-31,182,114.525,114.525,114.525,114.525,1000000,0
2013-01-01,183,114.6,114.6,114.6,114.6,1000000,0
2013-01-02,184,115.9,115.9,115.9,115.9,1000000,0
2013-01-03,185,117.825,117.825,117.825,117.825,1000000,0
2013-01-04,186,117.45,117.45,117.45,117.45,1000000,0
2013-01-07,189,119.8,119.8,119.8,119.8,1000000,0
2013-01-08,190,119.35,119.35,119.35,119.35,1000000,0
2013-01-09,191,119.65,119.65,119.65,119.65,1000000,0
2013-01-10,192,114.25,114.25,114.25,114.25,1000000,0
2013-01-11,193,114.65,114.65,114.65,114.65,1000000,0
2013-01-14,196,115.05,115.05,115.05,115.05,1000000,0
2013-01-15,197,114.8,114.8,114.8,114.8,1000000,0
2013-01-16,198,114.55,114.55,114.55,114.55,1000000,0
2013-01-17,199,115.125,115.125,115.125,115.125,1000000,0
2013-01-18,200,114.775,114.775,114.775,114.775,1000000,0
2013-01-21,203,114.175,114.175,114.175,114.175,1000000,0
2013-01-22,204,115.175,115.175,115.175,115.175,1000000,0
2013-01-23,205,113.7,113.7,113.7,113.7,1000000,0
2013-01-24,206,111.9,111.9,111.9,111.9,1000000,0
2013-01-25,207,111.925,111.925,111.925,111.925,1000000,0
2013-01-28,210,111.7,111.7,111.7,111.7,1000000,0
2013-01-29,211,112.55,112.55,112.55,112.55,1000000,0
2013-01-30,212,110.5,110.5,110.5,110.5,1000000,0
2013-01-31,213,110.45,110.45,110.45,110.45,1000000,0
2013-02-01,214,110.825,110.825,110.825,110.825,1000000,0
2013-02-04,217,110.05,110.05,110.05,110.05,1000000,0
2013-02-05,218,108.725,108.725,108.725,108.725,1000000,0
2013-02-06,219,106.825,106.825,106.825,106.825,1000000,0
2013-02-07,220,105.95,105.95,105.95,105.95,1000000,0
2013-02-08,221,104.05,104.05,104.05,104.05,1000000,0
2013-02-11,224,105.1,105.1,105.1,105.1,1000000,0
2013-02-12,225,103.65,103.65,103.65,103.65,1000000,0
2013-02-13,226,103.825,103.825,103.825,103.825,1000000,0
