Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,172.9,172.9,172.9,172.9,1000000,0
2012-07-03,1,170.95,170.95,170.95,170.95,1000000,0
2012-07-04,2,176.65,176.65,176.65,176.65,1000000,0
2012-07-05,3,184.75,184.75,184.75,184.75,1000000,0
2012-07-06,4,190.25,190.25,190.25,190.25,1000000,0
2012-07-09,7,188.35,188.35,188.35,188.35,1000000,0
2012-07-10,8,185.85,185.85,185.85,185.85,1000000,0
2012-07-11,9,185.1,185.1,185.1,185.1,1000000,0
2012-07-12,10,182.45,182.45,182.45,182.45,1000000,0
2012-07-13,11,182.95,182.95,182.95,182.95,1000000,0
2012-07-16,14,178.0,178.0,178.0,178.0,1000000,0
2012-07-17,15,172.7,172.7,172.7,172.7,1000000,0
2012-07-18,16,175.2,175.2,175.2,175.2,1000000,0
2012-07-19,17,174.05,174.05,174.05,174.05,1000000,0
2012-07-20,18,172.75,172.75,172.75,172.75,1000000,0
2012-07-23,21,170.25,170.25,170.25,170.25,1000000,0
2012-07-24,22,169.65,169.65,169.65,169.65,1000000,0
2012-07-25,23,166.95,166.95,166.95,166.95,1000000,0
2012-07-26,24,165.9,165.9,165.9,165.9,1000000,0
2012-07-27,25,164.95,164.95,164.95,164.95,1000000,0
2012-07-30,28,167.0,167.0,167.0,167.0,1000000,0
2012-07-31,29,167.8,167.8,167.8,167.8,1000000,0
2012-08-01,30,177.35,177.35,177.35,177.35,1000000,0
2012-08-02,31,179.4,179.4,179.4,179.4,1000000,0
2012-08-03,32,176.95,176.95,176.95,176.95,1000000,0
2012-08-06,35,177.35,177.35,177.35,177.35,1000000,0
2012-08-07,36,177.6,177.6,177.6,177.6,1000000,0
2012-08-08,37,178.25,178.25,178.25,178.25,1000000,0
2012-08-09,38,179.55,179.55,179.55,179.55,1000000,0
2012-08-10,39,179.1,179.1,179.1,179.1,1000000,0
2012-08-13,42,177.95,177.95,177.95,177.95,1000000,0
2012-08-14,43,174.05,174.05,174.05,174.05,1000000,0
2012-08-16,45,172.85,172.85,172.85,172.85,1000000,0
2012-08-17,46,173.25,173.25,173.25,173.25,1000000,0
2012-08-21,50,179.45,179.45,179.45,179.45,1000000,0
2012-08-22,51,177.55,177.55,177.55,177.55,1000000,0
2012-08-23,52,176.7,176.7,176.7,176.7,1000000,0
2012-08-24,53,174.35,174.35,174.35,174.35,1000000,0
2012-08-27,56,173.7,173.7,173.7,173.7,1000000,0
2012-08-28,57,173.3,173.3,173.3,173.3,1000000,0
2012-08-29,58,169.6,169.6,169.6,169.6,1000000,0
2012-08-30,59,172.2,172.2,172.2,172.2,1000000,0
2012-08-31,60,169.4,169.4,169.4,169.4,1000000,0
2012-09-03,63,168.25,168.25,168.25,168.25,1000000,0
2012-09-04,64,167.65,167.65,167.65,167.65,1000000,0
2012-09-05,65,166.35,166.35,166.35,166.35,1000000,0
2012-09-06,66,164.45,164.45,164.45,164.45,1000000,0
2012-09-07,67,166.7,166.7,166.7,166.7,1000000,0
