Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,67.9,67.9,67.9,67.9,1,0
2012-07-03,1,69.3,69.3,69.3,69.3,1,0
2012-07-04,2,70.8,70.8,70.8,70.8,1,0
2012-07-05,3,71.05,71.05,71.05,71.05,1,0
2012-07-06,4,71.65,71.65,71.65,71.65,1,0
2012-07-09,7,69.3,69.3,69.3,69.3,1,0
2012-07-10,8,70.5,70.5,70.5,70.5,1,0
2012-07-11,9,69.65,69.65,69.65,69.65,1,0
2012-07-12,10,68.1,68.1,68.1,68.1,1,0
2012-07-13,11,67.25,67.25,67.25,67.25,1,0
2012-07-16,14,65.65,65.65,65.65,65.65,1,0
2012-07-17,15,64.65,64.65,64.65,64.65,1,0
2012-07-18,16,65.7,65.7,65.7,65.7,1,0
2012-07-19,17,66.6,66.6,66.6,66.6,1,0
2012-07-20,18,65.9,65.9,65.9,65.9,1,0
2012-07-23,21,64.7,64.7,64.7,64.7,1,0
2012-07-24,22,64.9,64.9,64.9,64.9,1,0
2012-07-25,23,62.8,62.8,62.8,62.8,1,0
2012-07-26,24,58.4,58.4,58.4,58.4,1,0
2012-07-27,25,56.1,56.1,56.1,56.1,1,0
2012-07-30,28,58.25,58.25,58.25,58.25,1,0
2012-07-31,29,58.1,58.1,58.1,58.1,1,0
2012-08-01,30,58.65,58.65,58.65,58.65,1,0
2012-08-02,31,59.75,59.75,59.75,59.75,1,0
2012-08-03,32,58.5,58.5,58.5,58.5,1,0
2012-08-06,35,59.0,59.0,59.0,59.0,1,0
2012-08-07,36,62.6,62.6,62.6,62.6,1,0
2012-08-08,37,61.45,61.45,61.45,61.45,1,0
2012-08-09,38,60.8,60.8,60.8,60.8,1,0
2012-08-10,39,61.4,61.4,61.4,61.4,1,0
2012-08-13,42,61.45,61.45,61.45,61.45,1,0
2012-08-14,43,62.5,62.5,62.5,62.5,1,0
2012-08-16,45,62.45,62.45,62.45,62.45,1,0
2012-08-17,46,64.55,64.55,64.55,64.55,1,0
2012-08-21,50,64.9,64.9,64.9,64.9,1,0
2012-08-22,51,64.7,64.7,64.7,64.7,1,0
2012-08-23,52,64.05,64.05,64.05,64.05,1,0
2012-08-24,53,62.9,62.9,62.9,62.9,1,0
2012-08-27,56,62.55,62.55,62.55,62.55,1,0
2012-08-28,57,61.1,61.1,61.1,61.1,1,0
2012-08-29,58,60.35,60.35,60.35,60.35,1,0
2012-08-30,59,60.45,60.45,60.45,60.45,1,0
2012-08-31,60,61.15,61.15,61.15,61.15,1,0
2012-09-03,63,61.2,61.2,61.2,61.2,1,0
2012-09-04,64,62.7,62.7,62.7,62.7,1,0
2012-09-05,65,62.0,62.0,62.0,62.0,1,0
2012-09-06,66,61.0,61.0,61.0,61.0,1,0
2012-09-07,67,62.35,62.35,62.35,62.35,1,0
2012-09-10,70,61.75,61.75,61.75,61.75,1,0
2012-09-11,71,60.85,60.85,60.85,60.85,1,0
2012-09-12,72,60.6,60.6,60.6,60.6,1,0
2012-09-13,73,60.4,60.4,60.4,60.4,1,0
2012-09-14,74,60.8,60.8,60.8,60.8,1,0
2012-09-17,77,63.0,63.0,63.0,63.0,1,0
2012-09-18,78,62.7,62.7,62.7,62.7,1,0
2012-09-20,80,62.05,62.05,62.05,62.05,1,0
2012-09-21,81,63.3,63.3,63.3,63.3,1,0
2012-09-24,84,63.85,63.85,63.85,63.85,1,0
2012-09-25,85,63.05,63.05,63.05,63.05,1,0
2012-09-26,86,63.55,63.55,63.55,63.55,1,0
2012-09-27,87,62.7,62.7,62.7,62.7,1,0
2012-09-28,88,63.95,63.95,63.95,63.95,1,0
2012-10-01,91,64.6,64.6,64.6,64.6,1,0
2012-10-03,93,66.45,66.45,66.45,66.45,1,0
2012-10-04,94,66.75,66.75,66.75,66.75,1,0
2012-10-05,95,68.8,68.8,68.8,68.8,1,0
2012-10-08,98,69.4,69.4,69.4,69.4,1,0
2012-10-09,99,68.7,68.7,68.7,68.7,1,0
2012-10-10,100,66.25,66.25,66.25,66.25,1,0
2012-10-11,101,67.25,67.25,67.25,67.25,1,0
2012-10-12,102,67.9,67.9,67.9,67.9,1,0
2012-10-15,105,68.45,68.45,68.45,68.45,1,0
2012-10-16,106,67.85,67.85,67.85,67.85,1,0
2012-10-17,107,67.8,67.8,67.8,67.8,1,0
2012-10-18,108,68.55,68.55,68.55,68.55,1,0
2012-10-19,109,67.9,67.9,67.9,67.9,1,0
2012-10-22,112,67.45,67.45,67.45,67.45,1,0
2012-10-23,113,67.25,67.25,67.25,67.25,1,0
2012-10-25,115,66.95,66.95,66.95,66.95,1,0
2012-10-26,116,65.9,65.9,65.9,65.9,1,0
2012-10-29,119,64.45,64.45,64.45,64.45,1,0
2012-10-30,120,62.95,62.95,62.95,62.95,1,0
2012-10-31,121,65.8,65.8,65.8,65.8,1,0
2012-11-01,122,65.15,65.15,65.15,65.15,1,0
2012-11-02,123,65.65,65.65,65.65,65.65,1,0
2012-11-05,126,64.55,64.55,64.55,64.55,1,0
2012-11-06,127,64.0,64.0,64.0,64.0,1,0
2012-11-07,128,64.7,64.7,64.7,64.7,1,0
2012-11-08,129,64.9,64.9,64.9,64.9,1,0
2012-11-09,130,64.3,64.3,64.3,64.3,1,0
2012-11-12,133,63.35,63.35,63.35,63.35,1,0
2012-11-13,134,64.0,64.0,64.0,64.0,1,0
2012-11-15,136,63.4,63.4,63.4,63.4,1,0
2012-11-16,137,62.7,62.7,62.7,62.7,1,0
2012-11-19,140,61.4,61.4,61.4,61.4,1,0
2012-11-20,141,60.6,60.6,60.6,60.6,1,0
2012-11-21,142,60.65,60.65,60.65,60.65,1,0
2012-11-22,143,60.95,60.95,60.95,60.95,1,0
2012-11-23,144,61.2,61.2,61.2,61.2,1,0
2012-11-26,147,62.05,62.05,62.05,62.05,1,0
2012-11-27,148,62.4,62.4,62.4,62.4,1,0
2012-11-29,150,66.45,66.45,66.45,66.45,1,0
2012-11-30,151,66.45,66.45,66.45,66.45,1,0
2012-12-03,154,68.6,68.6,68.6,68.6,1,0
2012-12-04,155,68.05,68.05,68.05,68.05,1,0
2012-12-05,156,66.65,66.65,66.65,66.65,1,0
2012-12-06,157,66.85,66.85,66.85,66.85,1,0
2012-12-07,158,66.25,66.25,66.25,66.25,1,0
2012-12-10,161,66.8,66.8,66.8,66.8,1,0
2012-12-11,162,66.9,66.9,66.9,66.9,1,0
2012-12-12,163,66.75,66.75,66.75,66.75,1,0
2012-12-13,164,65.4,65.4,65.4,65.4,1,0
2012-12-14,165,65.8,65.8,65.8,65.8,1,0
2012-12-17,168,66.05,66.05,66.05,66.05,1,0
2012-12-18,169,66.5,66.5,66.5,66.5,1,0
2012-12-19,170,66.35,66.35,66.35,66.35,1,0
2012-12-20,171,68.4,68.4,68.4,68.4,1,0
2012-12-21,172,69.15,69.15,69.15,69.15,1,0
2012-12-24,175,71.85,71.85,71.85,71.85,1,0
2012-12-26,177,71.55,71.55,71.55,71.55,1,0
2012-12-27,178,70.3,70.3,70.3,70.3,1,0
2012-12-28,179,73.15,73.15,73.15,73.15,1,0
2012-12-31,182,73.95,73.95,73.95,73.95,1,0
2013-01-01,183,73.65,73.65,73.65,73.65,1,0
