Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,225.25,225.25,225.25,225.25,1000000,0
2012-07-03,1,224.2,224.2,224.2,224.2,1000000,0
2012-07-04,2,224.55,224.55,224.55,224.55,1000000,0
2012-07-05,3,226.0,226.0,226.0,226.0,1000000,0
2012-07-06,4,224.15,224.15,224.15,224.15,1000000,0
2012-07-09,7,228.7,228.7,228.7,228.7,1000000,0
2012-07-10,8,223.6,223.6,223.6,223.6,1000000,0
2012-07-11,9,224.0,224.0,224.0,224.0,1000000,0
2012-07-12,10,223.4,223.4,223.4,223.4,1000000,0
2012-07-13,11,220.0,220.0,220.0,220.0,1000000,0
2012-07-16,14,219.6,219.6,219.6,219.6,1000000,0
2012-07-17,15,216.0,216.0,216.0,216.0,1000000,0
2012-07-18,16,217.65,217.65,217.65,217.65,1000000,0
2012-07-19,17,216.65,216.65,216.65,216.65,1000000,0
2012-07-20,18,213.35,213.35,213.35,213.35,1000000,0
2012-07-23,21,213.0,213.0,213.0,213.0,1000000,0
2012-07-24,22,210.35,210.35,210.35,210.35,1000000,0
2012-07-25,23,211.7,211.7,211.7,211.7,1000000,0
2012-07-26,24,209.9,209.9,209.9,209.9,1000000,0
2012-07-27,25,206.55,206.55,206.55,206.55,1000000,0
2012-07-30,28,208.05,208.05,208.05,208.05,1000000,0
2012-07-31,29,207.0,207.0,207.0,207.0,1000000,0
2012-08-01,30,209.0,209.0,209.0,209.0,1000000,0
2012-08-02,31,212.65,212.65,212.65,212.65,1000000,0
2012-08-03,32,206.5,206.5,206.5,206.5,1000000,0
2012-08-06,35,204.85,204.85,204.85,204.85,1000000,0
2012-08-07,36,209.5,209.5,209.5,209.5,1000000,0
2012-08-08,37,209.9,209.9,209.9,209.9,1000000,0
2012-08-09,38,204.6,204.6,204.6,204.6,1000000,0
2012-08-10,39,202.25,202.25,202.25,202.25,1000000,0
2012-08-13,42,226.9,226.9,226.9,226.9,1000000,0
2012-08-14,43,223.65,223.65,223.65,223.65,1000000,0
2012-08-16,45,230.25,230.25,230.25,230.25,1000000,0
2012-08-17,46,224.0,224.0,224.0,224.0,1000000,0
2012-08-21,50,225.3,225.3,225.3,225.3,1000000,0
2012-08-22,51,221.3,221.3,221.3,221.3,1000000,0
2012-08-23,52,223.65,223.65,223.65,223.65,1000000,0
2012-08-24,53,220.15,220.15,220.15,220.15,1000000,0
2012-08-27,56,216.3,216.3,216.3,216.3,1000000,0
2012-08-28,57,214.95,214.95,214.95,214.95,1000000,0
2012-08-29,58,210.9,210.9,210.9,210.9,1000000,0
2012-08-30,59,214.0,214.0,214.0,214.0,1000000,0
2012-08-31,60,211.05,211.05,211.05,211.05,1000000,0
2012-09-03,63,207.3,207.3,207.3,207.3,1000000,0
2012-09-04,64,209.85,209.85,209.85,209.85,1000000,0
2012-09-05,65,206.05,206.05,206.05,206.05,1000000,0
2012-09-06,66,205.2,205.2,205.2,205.2,1000000,0
2012-09-07,67,209.7,209.7,209.7,209.7,1000000,0
2012-09-10,70,208.8,208.8,208.8,208.8,1000000,0
2012-09-11,71,206.85,206.85,206.85,206.85,1000000,0
2012-09-12,72,205.05,205.05,205.05,205.05,1000000,0
2012-09-13,73,207.0,207.0,207.0,207.0,1000000,0
2012-09-14,74,207.15,207.15,207.15,207.15,1000000,0
2012-09-17,77,205.05,205.05,205.05,205.05,1000000,0
2012-09-18,78,205.8,205.8,205.8,205.8,1000000,0
2012-09-20,80,204.0,204.0,204.0,204.0,1000000,0
2012-09-21,81,205.85,205.85,205.85,205.85,1000000,0
2012-09-24,84,205.0,205.0,205.0,205.0,1000000,0
2012-09-25,85,205.0,205.0,205.0,205.0,1000000,0
2012-09-26,86,204.5,204.5,204.5,204.5,1000000,0
2012-09-27,87,202.3,202.3,202.3,202.3,1000000,0
2012-09-28,88,204.85,204.85,204.85,204.85,1000000,0
2012-10-01,91,204.85,204.85,204.85,204.85,1000000,0
2012-10-03,93,203.85,203.85,203.85,203.85,1000000,0
2012-10-04,94,206.6,206.6,206.6,206.6,1000000,0
2012-10-05,95,204.85,204.85,204.85,204.85,1000000,0
2012-10-08,98,200.85,200.85,200.85,200.85,1000000,0
2012-10-09,99,200.55,200.55,200.55,200.55,1000000,0
2012-10-10,100,199.95,199.95,199.95,199.95,1000000,0
2012-10-11,101,197.5,197.5,197.5,197.5,1000000,0
2012-10-12,102,198.5,198.5,198.5,198.5,1000000,0
2012-10-15,105,200.9,200.9,200.9,200.9,1000000,0
2012-10-16,106,198.7,198.7,198.7,198.7,1000000,0
2012-10-17,107,197.25,197.25,197.25,197.25,1000000,0
2012-10-18,108,204.1,204.1,204.1,204.1,1000000,0
2012-10-19,109,201.45,201.45,201.45,201.45,1000000,0
2012-10-22,112,198.3,198.3,198.3,198.3,1000000,0
2012-10-23,113,198.3,198.3,198.3,198.3,1000000,0
2012-10-25,115,197.65,197.65,197.65,197.65,1000000,0
2012-10-26,116,195.85,195.85,195.85,195.85,1000000,0
2012-10-29,119,196.65,196.65,196.65,196.65,1000000,0
2012-10-30,120,198.05,198.05,198.05,198.05,1000000,0
2012-10-31,121,198.2,198.2,198.2,198.2,1000000,0
2012-11-01,122,200.0,200.0,200.0,200.0,1000000,0
2012-11-02,123,202.9,202.9,202.9,202.9,1000000,0
2012-11-05,126,203.55,203.55,203.55,203.55,1000000,0
2012-11-06,127,204.0,204.0,204.0,204.0,1000000,0
2012-11-07,128,204.3,204.3,204.3,204.3,1000000,0
2012-11-08,129,204.5,204.5,204.5,204.5,1000000,0
2012-11-09,130,201.8,201.8,201.8,201.8,1000000,0
2012-11-12,133,204.65,204.65,204.65,204.65,1000000,0
2012-11-13,134,205.4,205.4,205.4,205.4,1000000,0
2012-11-15,136,200.85,200.85,200.85,200.85,1000000,0
2012-11-16,137,200.15,200.15,200.15,200.15,1000000,0
2012-11-19,140,199.35,199.35,199.35,199.35,1000000,0
2012-11-20,141,200.0,200.0,200.0,200.0,1000000,0
2012-11-21,142,201.4,201.4,201.4,201.4,1000000,0
2012-11-22,143,198.7,198.7,198.7,198.7,1000000,0
2012-11-23,144,196.2,196.2,196.2,196.2,1000000,0
2012-11-26,147,196.1,196.1,196.1,196.1,1000000,0
2012-11-27,148,197.05,197.05,197.05,197.05,1000000,0
2012-11-29,150,198.65,198.65,198.65,198.65,1000000,0
2012-11-30,151,198.25,198.25,198.25,198.25,1000000,0
2012-12-03,154,197.05,197.05,197.05,197.05,1000000,0
2012-12-04,155,195.9,195.9,195.9,195.9,1000000,0
2012-12-05,156,200.65,200.65,200.65,200.65,1000000,0
2012-12-06,157,208.95,208.95,208.95,208.95,1000000,0
2012-12-07,158,213.2,213.2,213.2,213.2,1000000,0
2012-12-10,161,210.15,210.15,210.15,210.15,1000000,0
2012-12-11,162,202.2,202.2,202.2,202.2,1000000,0
2012-12-12,163,204.1,204.1,204.1,204.1,1000000,0
2012-12-13,164,203.75,203.75,203.75,203.75,1000000,0
2012-12-14,165,200.65,200.65,200.65,200.65,1000000,0
2012-12-17,168,200.75,200.75,200.75,200.75,1000000,0
2012-12-18,169,203.0,203.0,203.0,203.0,1000000,0
2012-12-19,170,203.0,203.0,203.0,203.0,1000000,0
2012-12-20,171,205.4,205.4,205.4,205.4,1000000,0
2012-12-21,172,199.4,199.4,199.4,199.4,1000000,0
2012-12-24,175,199.65,199.65,199.65,199.65,1000000,0
2012-12-26,177,204.0,204.0,204.0,204.0,1000000,0
2012-12-27,178,203.8,203.8,203.8,203.8,1000000,0
2012-12-28,179,204.2,204.2,204.2,204.2,1000000,0
2012-12-31,182,207.0,207.0,207.0,207.0,1000000,0
2013-01-01,183,204.15,204.15,204.15,204.15,1000000,0
2013-01-02,184,204.95,204.95,204.95,204.95,1000000,0
2013-01-03,185,201.9,201.9,201.9,201.9,1000000,0
2013-01-04,186,201.7,201.7,201.7,201.7,1000000,0
2013-01-07,189,200.0,200.0,200.0,200.0,1000000,0
2013-01-08,190,199.55,199.55,199.55,199.55,1000000,0
2013-01-09,191,197.65,197.65,197.65,197.65,1000000,0
2013-01-10,192,196.7,196.7,196.7,196.7,1000000,0
2013-01-11,193,191.5,191.5,191.5,191.5,1000000,0
2013-01-14,196,192.8,192.8,192.8,192.8,1000000,0
2013-01-15,197,193.35,193.35,193.35,193.35,1000000,0
2013-01-16,198,193.65,193.65,193.65,193.65,1000000,0
2013-01-17,199,200.5,200.5,200.5,200.5,1000000,0
2013-01-18,200,198.1,198.1,198.1,198.1,1000000,0
2013-01-21,203,197.4,197.4,197.4,197.4,1000000,0
2013-01-22,204,192.45,192.45,192.45,192.45,1000000,0
2013-01-23,205,194.15,194.15,194.15,194.15,1000000,0
2013-01-24,206,193.55,193.55,193.55,193.55,1000000,0
2013-01-25,207,192.95,192.95,192.95,192.95,1000000,0
2013-01-28,210,192.25,192.25,192.25,192.25,1000000,0
2013-01-29,211,194.5,194.5,194.5,194.5,1000000,0
2013-01-30,212,200.9,200.9,200.9,200.9,1000000,0
2013-01-31,213,200.0,200.0,200.0,200.0,1000000,0
2013-02-01,214,199.15,199.15,199.15,199.15,1000000,0
2013-02-04,217,204.2,204.2,204.2,204.2,1000000,0
2013-02-05,218,199.95,199.95,199.95,199.95,1000000,0
2013-02-06,219,199.85,199.85,199.85,199.85,1000000,0
2013-02-07,220,200.35,200.35,200.35,200.35,1000000,0
2013-02-08,221,198.1,198.1,198.1,198.1,1000000,0
2013-02-11,224,198.75,198.75,198.75,198.75,1000000,0
2013-02-12,225,194.35,194.35,194.35,194.35,1000000,0
2013-02-13,226,197.2,197.2,197.2,197.2,1000000,0
2013-02-14,227,200.0,200.0,200.0,200.0,1000000,0
2013-02-15,228,196.9,196.9,196.9,196.9,1000000,0
2013-02-18,231,198.1,198.1,198.1,198.1,1000000,0
2013-02-19,232,197.55,197.55,197.55,197.55,1000000,0
2013-02-20,233,199.55,199.55,199.55,199.55,1000000,0
2013-02-21,234,197.4,197.4,197.4,197.4,1000000,0
2013-02-22,235,197.8,197.8,197.8,197.8,1000000,0
2013-02-25,238,199.35,199.35,199.35,199.35,1000000,0
2013-02-26,239,195.05,195.05,195.05,195.05,1000000,0
2013-02-27,240,197.05,197.05,197.05,197.05,1000000,0
2013-02-28,241,198.45,198.45,198.45,198.45,1000000,0
2013-03-01,242,199.15,199.15,199.15,199.15,1000000,0
2013-03-04,245,198.95,198.95,198.95,198.95,1000000,0
2013-03-05,246,198.65,198.65,198.65,198.65,1000000,0
2013-03-06,247,195.6,195.6,195.6,195.6,1000000,0
2013-03-07,248,199.85,199.85,199.85,199.85,1000000,0
2013-03-08,249,199.0,199.0,199.0,199.0,1000000,0
2013-03-11,252,198.9,198.9,198.9,198.9,1000000,0
2013-03-12,253,200.2,200.2,200.2,200.2,1000000,0
2013-03-13,254,200.75,200.75,200.75,200.75,1000000,0
2013-03-14,255,198.15,198.15,198.15,198.15,1000000,0
2013-03-15,256,199.4,199.4,199.4,199.4,1000000,0
2013-03-18,259,201.9,201.9,201.9,201.9,1000000,0
2013-03-19,260,202.25,202.25,202.25,202.25,1000000,0
2013-03-20,261,199.85,199.85,199.85,199.85,1000000,0
2013-03-21,262,198.65,198.65,198.65,198.65,1000000,0
2013-03-22,263,200.3,200.3,200.3,200.3,1000000,0
2013-03-25,266,199.15,199.15,199.15,199.15,1000000,0
2013-03-26,267,199.85,199.85,199.85,199.85,1000000,0
2013-03-28,269,200.1,200.1,200.1,200.1,1000000,0
2013-04-01,273,204.3,204.3,204.3,204.3,1000000,0
2013-04-02,274,200.3,200.3,200.3,200.3,1000000,0
2013-04-03,275,200.3,200.3,200.3,200.3,1000000,0
2013-04-04,276,199.85,199.85,199.85,199.85,1000000,0
2013-04-05,277,199.9,199.9,199.9,199.9,1000000,0
2013-04-08,280,199.75,199.75,199.75,199.75,1000000,0
2013-04-09,281,198.05,198.05,198.05,198.05,1000000,0
2013-04-10,282,201.15,201.15,201.15,201.15,1000000,0
2013-04-11,283,203.5,203.5,203.5,203.5,1000000,0
2013-04-12,284,198.55,198.55,198.55,198.55,1000000,0
2013-04-15,287,199.95,199.95,199.95,199.95,1000000,0
