Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,12.5,12.5,12.5,12.5,1,0
2012-07-03,1,12.74,12.74,12.74,12.74,1,0
2012-07-04,2,12.69,12.69,12.69,12.69,1,0
2012-07-05,3,13.48,13.48,13.48,13.48,1,0
2012-07-06,4,14.12,14.12,14.12,14.12,1,0
2012-07-09,7,13.52,13.52,13.52,13.52,1,0
2012-07-10,8,13.73,13.73,13.73,13.73,1,0
2012-07-11,9,13.76,13.76,13.76,13.76,1,0
2012-07-12,10,12.96,12.96,12.96,12.96,1,0
2012-07-13,11,12.65,12.65,12.65,12.65,1,0
2012-07-16,14,12.24,12.24,12.24,12.24,1,0
2012-07-17,15,12.09,12.09,12.09,12.09,1,0
2012-07-18,16,12.43,12.43,12.43,12.43,1,0
2012-07-19,17,12.56,12.56,12.56,12.56,1,0
2012-07-20,18,12.57,12.57,12.57,12.57,1,0
2012-07-23,21,12.07,12.07,12.07,12.07,1,0
2012-07-24,22,11.96,11.96,11.96,11.96,1,0
2012-07-25,23,11.75,11.75,11.75,11.75,1,0
2012-07-26,24,11.45,11.45,11.45,11.45,1,0
2012-07-27,25,11.21,11.21,11.21,11.21,1,0
2012-07-30,28,11.49,11.49,11.49,11.49,1,0
2012-07-31,29,11.57,11.57,11.57,11.57,1,0
2012-08-01,30,11.92,11.92,11.92,11.92,1,0
2012-08-02,31,11.8,11.8,11.8,11.8,1,0
2012-08-03,32,11.76,11.76,11.76,11.76,1,0
2012-08-06,35,11.6,11.6,11.6,11.6,1,0
2012-08-07,36,11.67,11.67,11.67,11.67,1,0
2012-08-08,37,11.69,11.69,11.69,11.69,1,0
2012-08-09,38,11.99,11.99,11.99,11.99,1,0
2012-08-10,39,11.84,11.84,11.84,11.84,1,0
2012-08-13,42,11.5,11.5,11.5,11.5,1,0
2012-08-14,43,11.57,11.57,11.57,11.57,1,0
2012-08-16,45,11.53,11.53,11.53,11.53,1,0
2012-08-17,46,11.57,11.57,11.57,11.57,1,0
2012-08-21,50,11.16,11.16,11.16,11.16,1,0
2012-08-22,51,11.2,11.2,11.2,11.2,1,0
2012-08-23,52,12.53,12.53,12.53,12.53,1,0
2012-08-24,53,12.68,12.68,12.68,12.68,1,0
2012-08-27,56,12.19,12.19,12.19,12.19,1,0
2012-08-28,57,11.89,11.89,11.89,11.89,1,0
2012-08-29,58,11.78,11.78,11.78,11.78,1,0
2012-08-30,59,11.63,11.63,11.63,11.63,1,0
2012-08-31,60,11.57,11.57,11.57,11.57,1,0
2012-09-03,63,11.48,11.48,11.48,11.48,1,0
2012-09-04,64,11.53,11.53,11.53,11.53,1,0
2012-09-05,65,11.89,11.89,11.89,11.89,1,0
2012-09-06,66,11.93,11.93,11.93,11.93,1,0
2012-09-07,67,11.85,11.85,11.85,11.85,1,0
2012-09-10,70,12.45,12.45,12.45,12.45,1,0
2012-09-11,71,12.2,12.2,12.2,12.2,1,0
2012-09-12,72,12.26,12.26,12.26,12.26,1,0
2012-09-13,73,12.22,12.22,12.22,12.22,1,0
2012-09-14,74,12.14,12.14,12.14,12.14,1,0
2012-09-17,77,12.14,12.14,12.14,12.14,1,0
2012-09-18,78,12.06,12.06,12.06,12.06,1,0
2012-09-20,80,11.96,11.96,11.96,11.96,1,0
2012-09-21,81,12.02,12.02,12.02,12.02,1,0
2012-09-24,84,12.04,12.04,12.04,12.04,1,0
2012-09-25,85,12.35,12.35,12.35,12.35,1,0
2012-09-26,86,12.78,12.78,12.78,12.78,1,0
2012-09-27,87,12.56,12.56,12.56,12.56,1,0
2012-09-28,88,12.61,12.61,12.61,12.61,1,0
2012-10-01,91,12.94,12.94,12.94,12.94,1,0
2012-10-03,93,12.99,12.99,12.99,12.99,1,0
2012-10-04,94,13.78,13.78,13.78,13.78,1,0
2012-10-05,95,13.5,13.5,13.5,13.5,1,0
2012-10-08,98,13.14,13.14,13.14,13.14,1,0
2012-10-09,99,13.17,13.17,13.17,13.17,1,0
2012-10-10,100,12.9,12.9,12.9,12.9,1,0
2012-10-11,101,12.99,12.99,12.99,12.99,1,0
2012-10-12,102,12.91,12.91,12.91,12.91,1,0
2012-10-15,105,12.75,12.75,12.75,12.75,1,0
2012-10-16,106,12.64,12.64,12.64,12.64,1,0
2012-10-17,107,12.62,12.62,12.62,12.62,1,0
2012-10-18,108,12.83,12.83,12.83,12.83,1,0
2012-10-19,109,12.99,12.99,12.99,12.99,1,0
2012-10-22,112,12.92,12.92,12.92,12.92,1,0
2012-10-23,113,12.93,12.93,12.93,12.93,1,0
2012-10-25,115,13.08,13.08,13.08,13.08,1,0
2012-10-26,116,12.83,12.83,12.83,12.83,1,0
2012-10-29,119,13.19,13.19,13.19,13.19,1,0
2012-10-30,120,12.96,12.96,12.96,12.96,1,0
2012-10-31,121,12.96,12.96,12.96,12.96,1,0
2012-11-01,122,12.85,12.85,12.85,12.85,1,0
2012-11-02,123,12.84,12.84,12.84,12.84,1,0
2012-11-05,126,12.86,12.86,12.86,12.86,1,0
2012-11-06,127,13.03,13.03,13.03,13.03,1,0
2012-11-07,128,13.11,13.11,13.11,13.11,1,0
2012-11-08,129,13.27,13.27,13.27,13.27,1,0
2012-11-09,130,12.9,12.9,12.9,12.9,1,0
2012-11-12,133,12.86,12.86,12.86,12.86,1,0
2012-11-13,134,12.92,12.92,12.92,12.92,1,0
2012-11-15,136,12.6,12.6,12.6,12.6,1,0
2012-11-16,137,12.46,12.46,12.46,12.46,1,0
2012-11-19,140,12.22,12.22,12.22,12.22,1,0
2012-11-20,141,11.9,11.9,11.9,11.9,1,0
2012-11-21,142,11.89,11.89,11.89,11.89,1,0
2012-11-22,143,11.88,11.88,11.88,11.88,1,0
2012-11-23,144,12.29,12.29,12.29,12.29,1,0
2012-11-26,147,12.12,12.12,12.12,12.12,1,0
2012-11-27,148,12.12,12.12,12.12,12.12,1,0
2012-11-29,150,12.31,12.31,12.31,12.31,1,0
2012-11-30,151,12.32,12.32,12.32,12.32,1,0
2012-12-03,154,12.57,12.57,12.57,12.57,1,0
2012-12-04,155,12.83,12.83,12.83,12.83,1,0
2012-12-05,156,12.89,12.89,12.89,12.89,1,0
2012-12-06,157,12.69,12.69,12.69,12.69,1,0
2012-12-07,158,12.7,12.7,12.7,12.7,1,0
2012-12-10,161,12.74,12.74,12.74,12.74,1,0
2012-12-11,162,12.51,12.51,12.51,12.51,1,0
2012-12-12,163,12.42,12.42,12.42,12.42,1,0
2012-12-13,164,12.77,12.77,12.77,12.77,1,0
2012-12-14,165,12.6,12.6,12.6,12.6,1,0
2012-12-17,168,12.62,12.62,12.62,12.62,1,0
2012-12-18,169,12.61,12.61,12.61,12.61,1,0
2012-12-19,170,12.57,12.57,12.57,12.57,1,0
2012-12-20,171,12.45,12.45,12.45,12.45,1,0
2012-12-21,172,12.7,12.7,12.7,12.7,1,0
2012-12-24,175,12.57,12.57,12.57,12.57,1,0
2012-12-26,177,12.54,12.54,12.54,12.54,1,0
2012-12-27,178,12.39,12.39,12.39,12.39,1,0
