Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,27.625,27.625,27.625,27.625,1000000,0
2012-07-03,1,27.675,27.675,27.675,27.675,1000000,0
2012-07-04,2,28.125,28.125,28.125,28.125,1000000,0
2012-07-05,3,28.675,28.675,28.675,28.675,1000000,0
2012-07-06,4,30.65,30.65,30.65,30.65,1000000,0
2012-07-09,7,29.425,29.425,29.425,29.425,1000000,0
2012-07-10,8,29.175,29.175,29.175,29.175,1000000,0
2012-07-11,9,29.525,29.525,29.525,29.525,1000000,0
2012-07-12,10,29.7,29.7,29.7,29.7,1000000,0
2012-07-13,11,28.6,28.6,28.6,28.6,1000000,0
2012-07-16,14,28.0,28.0,28.0,28.0,1000000,0
2012-07-17,15,27.75,27.75,27.75,27.75,1000000,0
2012-07-18,16,27.6,27.6,27.6,27.6,1000000,0
2012-07-19,17,26.6,26.6,26.6,26.6,1000000,0
2012-07-20,18,25.8,25.8,25.8,25.8,1000000,0
2012-07-23,21,25.0,25.0,25.0,25.0,1000000,0
2012-07-24,22,25.25,25.25,25.25,25.25,1000000,0
2012-07-25,23,25.05,25.05,25.05,25.05,1000000,0
2012-07-26,24,25.0,25.0,25.0,25.0,1000000,0
2012-07-27,25,24.65,24.65,24.65,24.65,1000000,0
2012-07-30,28,23.9,23.9,23.9,23.9,1000000,0
2012-07-31,29,23.95,23.95,23.95,23.95,1000000,0
2012-08-01,30,24.95,24.95,24.95,24.95,1000000,0
2012-08-02,31,24.95,24.95,24.95,24.95,1000000,0
2012-08-03,32,24.35,24.35,24.35,24.35,1000000,0
2012-08-06,35,23.95,23.95,23.95,23.95,1000000,0
2012-08-07,36,24.3,24.3,24.3,24.3,1000000,0
2012-08-08,37,24.35,24.35,24.35,24.35,1000000,0
2012-08-09,38,23.8,23.8,23.8,23.8,1000000,0
2012-08-10,39,23.25,23.25,23.25,23.25,1000000,0
2012-08-13,42,23.85,23.85,23.85,23.85,1000000,0
2012-08-14,43,23.45,23.45,23.45,23.45,1000000,0
2012-08-16,45,23.35,23.35,23.35,23.35,1000000,0
2012-08-17,46,23.35,23.35,23.35,23.35,1000000,0
2012-08-21,50,25.75,25.75,25.75,25.75,1000000,0
2012-08-22,51,28.4,28.4,28.4,28.4,1000000,0
2012-08-23,52,27.8,27.8,27.8,27.8,1000000,0
2012-08-24,53,26.35,26.35,26.35,26.35,1000000,0
2012-08-27,56,25.5,25.5,25.5,25.5,1000000,0
2012-08-28,57,24.65,24.65,24.65,24.65,1000000,0
2012-08-29,58,24.1,24.1,24.1,24.1,1000000,0
2012-08-30,59,24.05,24.05,24.05,24.05,1000000,0
2012-08-31,60,24.9,24.9,24.9,24.9,1000000,0
