Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,10.0,10.0,10.0,10.0,1000000,0
2012-07-03,1,9.775,9.775,9.775,9.775,1000000,0
2012-07-04,2,9.4,9.4,9.4,9.4,1000000,0
2012-07-05,3,10.825,10.825,10.825,10.825,1000000,0
2012-07-06,4,10.175,10.175,10.175,10.175,1000000,0
2012-07-09,7,10.275,10.275,10.275,10.275,1000000,0
2012-07-10,8,10.425,10.425,10.425,10.425,1000000,0
2012-07-11,9,10.475,10.475,10.475,10.475,1000000,0
2012-07-12,10,10.15,10.15,10.15,10.15,1000000,0
2012-07-13,11,10.025,10.025,10.025,10.025,1000000,0
2012-07-16,14,10.75,10.75,10.75,10.75,1000000,0
2012-07-17,15,10.6,10.6,10.6,10.6,1000000,0
2012-07-18,16,10.45,10.45,10.45,10.45,1000000,0
2012-07-19,17,10.4,10.4,10.4,10.4,1000000,0
2012-07-20,18,10.2,10.2,10.2,10.2,1000000,0
2012-07-23,21,10.725,10.725,10.725,10.725,1000000,0
2012-07-24,22,11.35,11.35,11.35,11.35,1000000,0
2012-07-25,23,11.55,11.55,11.55,11.55,1000000,0
2012-07-26,24,10.7,10.7,10.7,10.7,1000000,0
2012-07-27,25,10.475,10.475,10.475,10.475,1000000,0
2012-07-30,28,10.5,10.5,10.5,10.5,1000000,0
2012-07-31,29,10.475,10.475,10.475,10.475,1000000,0
2012-08-01,30,11.225,11.225,11.225,11.225,1000000,0
2012-08-02,31,10.8,10.8,10.8,10.8,1000000,0
2012-08-03,32,10.8,10.8,10.8,10.8,1000000,0
2012-08-06,35,10.875,10.875,10.875,10.875,1000000,0
2012-08-07,36,10.8,10.8,10.8,10.8,1000000,0
2012-08-08,37,10.85,10.85,10.85,10.85,1000000,0
2012-08-09,38,10.725,10.725,10.725,10.725,1000000,0
2012-08-10,39,10.7,10.7,10.7,10.7,1000000,0
2012-08-13,42,10.6,10.6,10.6,10.6,1000000,0
2012-08-14,43,11.575,11.575,11.575,11.575,1000000,0
2012-08-16,45,11.95,11.95,11.95,11.95,1000000,0
2012-08-17,46,11.5,11.5,11.5,11.5,1000000,0
2012-08-21,50,11.525,11.525,11.525,11.525,1000000,0
2012-08-22,51,11.275,11.275,11.275,11.275,1000000,0
2012-08-23,52,11.05,11.05,11.05,11.05,1000000,0
2012-08-24,53,10.85,10.85,10.85,10.85,1000000,0
2012-08-27,56,10.725,10.725,10.725,10.725,1000000,0
2012-08-28,57,10.6,10.6,10.6,10.6,1000000,0
2012-08-29,58,10.275,10.275,10.275,10.275,1000000,0
2012-08-30,59,10.175,10.175,10.175,10.175,1000000,0
2012-08-31,60,10.2,10.2,10.2,10.2,1000000,0
2012-09-03,63,10.175,10.175,10.175,10.175,1000000,0
2012-09-04,64,10.775,10.775,10.775,10.775,1000000,0
2012-09-05,65,10.85,10.85,10.85,10.85,1000000,0
2012-09-06,66,10.875,10.875,10.875,10.875,1000000,0
2012-09-07,67,10.85,10.85,10.85,10.85,1000000,0
2012-09-10,70,10.75,10.75,10.75,10.75,1000000,0
2012-09-11,71,10.7,10.7,10.7,10.7,1000000,0
2012-09-12,72,11.15,11.15,11.15,11.15,1000000,0
2012-09-13,73,10.825,10.825,10.825,10.825,1000000,0
2012-09-14,74,10.975,10.975,10.975,10.975,1000000,0
2012-09-17,77,10.85,10.85,10.85,10.85,1000000,0
2012-09-18,78,10.925,10.925,10.925,10.925,1000000,0
2012-09-20,80,10.75,10.75,10.75,10.75,1000000,0
2012-09-21,81,10.9,10.9,10.9,10.9,1000000,0
2012-09-24,84,10.975,10.975,10.975,10.975,1000000,0
2012-09-25,85,10.875,10.875,10.875,10.875,1000000,0
2012-09-26,86,10.875,10.875,10.875,10.875,1000000,0
2012-09-27,87,11.075,11.075,11.075,11.075,1000000,0
2012-09-28,88,11.0,11.0,11.0,11.0,1000000,0
2012-10-01,91,11.875,11.875,11.875,11.875,1000000,0
2012-10-03,93,11.625,11.625,11.625,11.625,1000000,0
2012-10-04,94,11.5,11.5,11.5,11.5,1000000,0
2012-10-05,95,11.55,11.55,11.55,11.55,1000000,0
2012-10-08,98,11.25,11.25,11.25,11.25,1000000,0
2012-10-09,99,11.325,11.325,11.325,11.325,1000000,0
2012-10-10,100,11.1,11.1,11.1,11.1,1000000,0
2012-10-11,101,11.1,11.1,11.1,11.1,1000000,0
2012-10-12,102,11.075,11.075,11.075,11.075,1000000,0
2012-10-15,105,11.225,11.225,11.225,11.225,1000000,0
2012-10-16,106,11.25,11.25,11.25,11.25,1000000,0
2012-10-17,107,11.175,11.175,11.175,11.175,1000000,0
2012-10-18,108,11.425,11.425,11.425,11.425,1000000,0
2012-10-19,109,11.925,11.925,11.925,11.925,1000000,0
2012-10-22,112,11.675,11.675,11.675,11.675,1000000,0
2012-10-23,113,11.525,11.525,11.525,11.525,1000000,0
2012-10-25,115,11.4,11.4,11.4,11.4,1000000,0
2012-10-26,116,11.275,11.275,11.275,11.275,1000000,0
2012-10-29,119,11.25,11.25,11.25,11.25,1000000,0
2012-10-30,120,11.125,11.125,11.125,11.125,1000000,0
2012-10-31,121,11.1,11.1,11.1,11.1,1000000,0
2012-11-01,122,11.25,11.25,11.25,11.25,1000000,0
2012-11-02,123,11.175,11.175,11.175,11.175,1000000,0
2012-11-05,126,12.075,12.075,12.075,12.075,1000000,0
2012-11-06,127,12.375,12.375,12.375,12.375,1000000,0
2012-11-07,128,12.225,12.225,12.225,12.225,1000000,0
2012-11-08,129,12.5,12.5,12.5,12.5,1000000,0
2012-11-09,130,12.25,12.25,12.25,12.25,1000000,0
2012-11-12,133,12.425,12.425,12.425,12.425,1000000,0
2012-11-13,134,12.55,12.55,12.55,12.55,1000000,0
