Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,191.866666666667,191.866666666667,191.866666666667,191.866666666667,1,0
2012-07-03,1,193.316666666667,193.316666666667,193.316666666667,193.316666666667,1,0
2012-07-04,2,193.3,193.3,193.3,193.3,1,0
2012-07-05,3,193.4,193.4,193.4,193.4,1,0
2012-07-06,4,189.983333333333,189.983333333333,189.983333333333,189.983333333333,1,0
2012-07-09,7,190.05,190.05,190.05,190.05,1,0
2012-07-10,8,191.083333333333,191.083333333333,191.083333333333,191.083333333333,1,0
2012-07-11,9,189.633333333333,189.633333333333,189.633333333333,189.633333333333,1,0
2012-07-12,10,193.116666666667,193.116666666667,193.116666666667,193.116666666667,1,0
2012-07-13,11,190.316666666667,190.316666666667,190.316666666667,190.316666666667,1,0
2012-07-16,14,192.65,192.65,192.65,192.65,1,0
2012-07-17,15,190.0,190.0,190.0,190.0,1,0
2012-07-18,16,193.083333333333,193.083333333333,193.083333333333,193.083333333333,1,0
2012-07-19,17,192.233333333333,192.233333333333,192.233333333333,192.233333333333,1,0
2012-07-20,18,197.2,197.2,197.2,197.2,1,0
2012-07-23,21,194.983333333333,194.983333333333,194.983333333333,194.983333333333,1,0
2012-07-24,22,202.9,202.9,202.9,202.9,1,0
2012-07-25,23,203.916666666667,203.916666666667,203.916666666667,203.916666666667,1,0
2012-07-26,24,202.9,202.9,202.9,202.9,1,0
2012-07-27,25,212.933333333333,212.933333333333,212.933333333333,212.933333333333,1,0
2012-07-30,28,210.2,210.2,210.2,210.2,1,0
2012-07-31,29,209.35,209.35,209.35,209.35,1,0
2012-08-01,30,209.883333333333,209.883333333333,209.883333333333,209.883333333333,1,0
2012-08-02,31,210.75,210.75,210.75,210.75,1,0
2012-08-03,32,212.083333333333,212.083333333333,212.083333333333,212.083333333333,1,0
2012-08-06,35,205.766666666667,205.766666666667,205.766666666667,205.766666666667,1,0
2012-08-07,36,202.033333333333,202.033333333333,202.033333333333,202.033333333333,1,0
2012-08-08,37,205.95,205.95,205.95,205.95,1,0
2012-08-09,38,207.9,207.9,207.9,207.9,1,0
2012-08-10,39,206.65,206.65,206.65,206.65,1,0
2012-08-13,42,211.016666666667,211.016666666667,211.016666666667,211.016666666667,1,0
2012-08-14,43,210.383333333333,210.383333333333,210.383333333333,210.383333333333,1,0
2012-08-16,45,210.933333333333,210.933333333333,210.933333333333,210.933333333333,1,0
2012-08-17,46,212.683333333333,212.683333333333,212.683333333333,212.683333333333,1,0
2012-08-21,50,222.133333333333,222.133333333333,222.133333333333,222.133333333333,1,0
2012-08-22,51,222.9,222.9,222.9,222.9,1,0
2012-08-23,52,218.283333333333,218.283333333333,218.283333333333,218.283333333333,1,0
2012-08-24,53,218.166666666667,218.166666666667,218.166666666667,218.166666666667,1,0
2012-08-27,56,221.3,221.3,221.3,221.3,1,0
2012-08-28,57,222.533333333333,222.533333333333,222.533333333333,222.533333333333,1,0
2012-08-29,58,226.433333333333,226.433333333333,226.433333333333,226.433333333333,1,0
2012-08-30,59,231.5,231.5,231.5,231.5,1,0
2012-08-31,60,230.766666666667,230.766666666667,230.766666666667,230.766666666667,1,0
2012-09-03,63,227.25,227.25,227.25,227.25,1,0
2012-09-04,64,226.466666666667,226.466666666667,226.466666666667,226.466666666667,1,0
2012-09-05,65,225.683333333333,225.683333333333,225.683333333333,225.683333333333,1,0
2012-09-06,66,226.016666666667,226.016666666667,226.016666666667,226.016666666667,1,0
2012-09-07,67,220.383333333333,220.383333333333,220.383333333333,220.383333333333,1,0
2012-09-10,70,220.266666666667,220.266666666667,220.266666666667,220.266666666667,1,0
2012-09-11,71,220.65,220.65,220.65,220.65,1,0
2012-09-12,72,219.216666666667,219.216666666667,219.216666666667,219.216666666667,1,0
2012-09-13,73,220.066666666667,220.066666666667,220.066666666667,220.066666666667,1,0
2012-09-14,74,219.616666666667,219.616666666667,219.616666666667,219.616666666667,1,0
2012-09-17,77,219.733333333333,219.733333333333,219.733333333333,219.733333333333,1,0
2012-09-18,78,216.366666666667,216.366666666667,216.366666666667,216.366666666667,1,0
2012-09-20,80,220.9,220.9,220.9,220.9,1,0
2012-09-21,81,219.983333333333,219.983333333333,219.983333333333,219.983333333333,1,0
2012-09-24,84,221.133333333333,221.133333333333,221.133333333333,221.133333333333,1,0
2012-09-25,85,224.166666666667,224.166666666667,224.166666666667,224.166666666667,1,0
2012-09-26,86,220.983333333333,220.983333333333,220.983333333333,220.983333333333,1,0
2012-09-27,87,224.666666666667,224.666666666667,224.666666666667,224.666666666667,1,0
2012-09-28,88,222.983333333333,222.983333333333,222.983333333333,222.983333333333,1,0
2012-10-01,91,226.35,226.35,226.35,226.35,1,0
2012-10-03,93,233.833333333333,233.833333333333,233.833333333333,233.833333333333,1,0
2012-10-04,94,233.283333333333,233.283333333333,233.283333333333,233.283333333333,1,0
2012-10-05,95,231.733333333333,231.733333333333,231.733333333333,231.733333333333,1,0
2012-10-08,98,231.683333333333,231.683333333333,231.683333333333,231.683333333333,1,0
2012-10-09,99,230.566666666667,230.566666666667,230.566666666667,230.566666666667,1,0
2012-10-10,100,228.933333333333,228.933333333333,228.933333333333,228.933333333333,1,0
2012-10-11,101,223.216666666667,223.216666666667,223.216666666667,223.216666666667,1,0
2012-10-12,102,225.933333333333,225.933333333333,225.933333333333,225.933333333333,1,0
2012-10-15,105,227.283333333333,227.283333333333,227.283333333333,227.283333333333,1,0
2012-10-16,106,224.883333333333,224.883333333333,224.883333333333,224.883333333333,1,0
2012-10-17,107,229.566666666667,229.566666666667,229.566666666667,229.566666666667,1,0
2012-10-18,108,228.316666666667,228.316666666667,228.316666666667,228.316666666667,1,0
2012-10-19,109,229.583333333333,229.583333333333,229.583333333333,229.583333333333,1,0
