Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,193.85,193.85,193.85,193.85,1000000,0
2012-07-03,1,191.25,191.25,191.25,191.25,1000000,0
2012-07-04,2,189.1,189.1,189.1,189.1,1000000,0
2012-07-05,3,194.5,194.5,194.5,194.5,1000000,0
2012-07-06,4,194.7,194.7,194.7,194.7,1000000,0
2012-07-09,7,192.95,192.95,192.95,192.95,1000000,0
2012-07-10,8,196.55,196.55,196.55,196.55,1000000,0
2012-07-11,9,197.9,197.9,197.9,197.9,1000000,0
2012-07-12,10,196.9,196.9,196.9,196.9,1000000,0
2012-07-13,11,195.1,195.1,195.1,195.1,1000000,0
2012-07-16,14,189.55,189.55,189.55,189.55,1000000,0
2012-07-17,15,186.8,186.8,186.8,186.8,1000000,0
2012-07-18,16,185.15,185.15,185.15,185.15,1000000,0
2012-07-19,17,184.05,184.05,184.05,184.05,1000000,0
2012-07-20,18,185.95,185.95,185.95,185.95,1000000,0
2012-07-23,21,185.0,185.0,185.0,185.0,1000000,0
2012-07-24,22,179.95,179.95,179.95,179.95,1000000,0
2012-07-25,23,179.95,179.95,179.95,179.95,1000000,0
2012-07-26,24,180.05,180.05,180.05,180.05,1000000,0
2012-07-27,25,178.7,178.7,178.7,178.7,1000000,0
2012-07-30,28,181.55,181.55,181.55,181.55,1000000,0
2012-07-31,29,182.85,182.85,182.85,182.85,1000000,0
2012-08-01,30,181.9,181.9,181.9,181.9,1000000,0
2012-08-02,31,189.4,189.4,189.4,189.4,1000000,0
2012-08-03,32,191.5,191.5,191.5,191.5,1000000,0
2012-08-06,35,191.65,191.65,191.65,191.65,1000000,0
2012-08-07,36,194.1,194.1,194.1,194.1,1000000,0
2012-08-08,37,193.15,193.15,193.15,193.15,1000000,0
2012-08-09,38,193.35,193.35,193.35,193.35,1000000,0
2012-08-10,39,193.35,193.35,193.35,193.35,1000000,0
2012-08-13,42,188.55,188.55,188.55,188.55,1000000,0
2012-08-14,43,185.05,185.05,185.05,185.05,1000000,0
2012-08-16,45,185.0,185.0,185.0,185.0,1000000,0
2012-08-17,46,184.8,184.8,184.8,184.8,1000000,0
2012-08-21,50,187.45,187.45,187.45,187.45,1000000,0
2012-08-22,51,188.35,188.35,188.35,188.35,1000000,0
2012-08-23,52,190.0,190.0,190.0,190.0,1000000,0
2012-08-24,53,192.95,192.95,192.95,192.95,1000000,0
2012-08-27,56,187.25,187.25,187.25,187.25,1000000,0
2012-08-28,57,190.4,190.4,190.4,190.4,1000000,0
2012-08-29,58,188.0,188.0,188.0,188.0,1000000,0
2012-08-30,59,187.0,187.0,187.0,187.0,1000000,0
2012-08-31,60,184.6,184.6,184.6,184.6,1000000,0
2012-09-03,63,187.2,187.2,187.2,187.2,1000000,0
2012-09-04,64,182.5,182.5,182.5,182.5,1000000,0
2012-09-05,65,182.15,182.15,182.15,182.15,1000000,0
2012-09-06,66,179.75,179.75,179.75,179.75,1000000,0
2012-09-07,67,179.15,179.15,179.15,179.15,1000000,0
2012-09-10,70,180.5,180.5,180.5,180.5,1000000,0
2012-09-11,71,181.8,181.8,181.8,181.8,1000000,0
2012-09-12,72,180.6,180.6,180.6,180.6,1000000,0
2012-09-13,73,179.35,179.35,179.35,179.35,1000000,0
2012-09-14,74,183.15,183.15,183.15,183.15,1000000,0
2012-09-17,77,181.0,181.0,181.0,181.0,1000000,0
2012-09-18,78,189.25,189.25,189.25,189.25,1000000,0
2012-09-20,80,192.95,192.95,192.95,192.95,1000000,0
2012-09-21,81,197.85,197.85,197.85,197.85,1000000,0
2012-09-24,84,210.2,210.2,210.2,210.2,1000000,0
2012-09-25,85,215.75,215.75,215.75,215.75,1000000,0
2012-09-26,86,211.25,211.25,211.25,211.25,1000000,0
2012-09-27,87,210.7,210.7,210.7,210.7,1000000,0
2012-09-28,88,213.6,213.6,213.6,213.6,1000000,0
2012-10-01,91,214.3,214.3,214.3,214.3,1000000,0
2012-10-03,93,215.35,215.35,215.35,215.35,1000000,0
2012-10-04,94,209.7,209.7,209.7,209.7,1000000,0
2012-10-05,95,207.65,207.65,207.65,207.65,1000000,0
2012-10-08,98,204.35,204.35,204.35,204.35,1000000,0
2012-10-09,99,209.7,209.7,209.7,209.7,1000000,0
2012-10-10,100,206.0,206.0,206.0,206.0,1000000,0
2012-10-11,101,206.15,206.15,206.15,206.15,1000000,0
2012-10-12,102,205.5,205.5,205.5,205.5,1000000,0
2012-10-15,105,200.95,200.95,200.95,200.95,1000000,0
2012-10-16,106,203.3,203.3,203.3,203.3,1000000,0
2012-10-17,107,203.55,203.55,203.55,203.55,1000000,0
2012-10-18,108,204.9,204.9,204.9,204.9,1000000,0
2012-10-19,109,204.9,204.9,204.9,204.9,1000000,0
2012-10-22,112,203.2,203.2,203.2,203.2,1000000,0
2012-10-23,113,202.55,202.55,202.55,202.55,1000000,0
2012-10-25,115,203.55,203.55,203.55,203.55,1000000,0
2012-10-26,116,204.7,204.7,204.7,204.7,1000000,0
2012-10-29,119,205.95,205.95,205.95,205.95,1000000,0
2012-10-30,120,205.5,205.5,205.5,205.5,1000000,0
2012-10-31,121,204.15,204.15,204.15,204.15,1000000,0
2012-11-01,122,206.25,206.25,206.25,206.25,1000000,0
2012-11-02,123,202.85,202.85,202.85,202.85,1000000,0
2012-11-05,126,202.3,202.3,202.3,202.3,1000000,0
2012-11-06,127,203.9,203.9,203.9,203.9,1000000,0
2012-11-07,128,203.55,203.55,203.55,203.55,1000000,0
2012-11-08,129,204.1,204.1,204.1,204.1,1000000,0
2012-11-09,130,202.3,202.3,202.3,202.3,1000000,0
2012-11-12,133,198.95,198.95,198.95,198.95,1000000,0
2012-11-13,134,196.25,196.25,196.25,196.25,1000000,0
2012-11-15,136,204.2,204.2,204.2,204.2,1000000,0
2012-11-16,137,201.0,201.0,201.0,201.0,1000000,0
2012-11-19,140,199.25,199.25,199.25,199.25,1000000,0
2012-11-20,141,196.75,196.75,196.75,196.75,1000000,0
2012-11-21,142,199.95,199.95,199.95,199.95,1000000,0
2012-11-22,143,201.55,201.55,201.55,201.55,1000000,0
2012-11-23,144,199.1,199.1,199.1,199.1,1000000,0
2012-11-26,147,196.85,196.85,196.85,196.85,1000000,0
2012-11-27,148,200.05,200.05,200.05,200.05,1000000,0
2012-11-29,150,197.1,197.1,197.1,197.1,1000000,0
2012-11-30,151,197.7,197.7,197.7,197.7,1000000,0
2012-12-03,154,198.1,198.1,198.1,198.1,1000000,0
2012-12-04,155,197.55,197.55,197.55,197.55,1000000,0
2012-12-05,156,198.75,198.75,198.75,198.75,1000000,0
2012-12-06,157,198.25,198.25,198.25,198.25,1000000,0
2012-12-07,158,196.75,196.75,196.75,196.75,1000000,0
2012-12-10,161,200.05,200.05,200.05,200.05,1000000,0
2012-12-11,162,201.1,201.1,201.1,201.1,1000000,0
2012-12-12,163,197.25,197.25,197.25,197.25,1000000,0
2012-12-13,164,199.7,199.7,199.7,199.7,1000000,0
2012-12-14,165,195.6,195.6,195.6,195.6,1000000,0
2012-12-17,168,199.8,199.8,199.8,199.8,1000000,0
2012-12-18,169,199.15,199.15,199.15,199.15,1000000,0
2012-12-19,170,197.9,197.9,197.9,197.9,1000000,0
2012-12-20,171,195.25,195.25,195.25,195.25,1000000,0
2012-12-21,172,188.2,188.2,188.2,188.2,1000000,0
2012-12-24,175,194.95,194.95,194.95,194.95,1000000,0
2012-12-26,177,190.25,190.25,190.25,190.25,1000000,0
2012-12-27,178,190.95,190.95,190.95,190.95,1000000,0
2012-12-28,179,188.2,188.2,188.2,188.2,1000000,0
2012-12-31,182,186.75,186.75,186.75,186.75,1000000,0
2013-01-01,183,186.15,186.15,186.15,186.15,1000000,0
2013-01-02,184,185.75,185.75,185.75,185.75,1000000,0
2013-01-03,185,185.55,185.55,185.55,185.55,1000000,0
2013-01-04,186,185.85,185.85,185.85,185.85,1000000,0
2013-01-07,189,186.05,186.05,186.05,186.05,1000000,0
2013-01-08,190,186.05,186.05,186.05,186.05,1000000,0
2013-01-09,191,186.05,186.05,186.05,186.05,1000000,0
2013-01-10,192,186.1,186.1,186.1,186.1,1000000,0
2013-01-11,193,186.25,186.25,186.25,186.25,1000000,0
2013-01-14,196,186.35,186.35,186.35,186.35,1000000,0
2013-01-15,197,186.3,186.3,186.3,186.3,1000000,0
2013-01-16,198,179.35,179.35,179.35,179.35,1000000,0
