Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,303.35,303.35,303.35,303.35,1000000,0
2012-07-03,1,304.15,304.15,304.15,304.15,1000000,0
2012-07-04,2,308.25,308.25,308.25,308.25,1000000,0
2012-07-05,3,310.15,310.15,310.15,310.15,1000000,0
2012-07-06,4,310.0,310.0,310.0,310.0,1000000,0
2012-07-09,7,309.9,309.9,309.9,309.9,1000000,0
2012-07-10,8,309.25,309.25,309.25,309.25,1000000,0
2012-07-11,9,310.0,310.0,310.0,310.0,1000000,0
2012-07-12,10,310.15,310.15,310.15,310.15,1000000,0
2012-07-13,11,310.4,310.4,310.4,310.4,1000000,0
2012-07-16,14,314.65,314.65,314.65,314.65,1000000,0
2012-07-17,15,314.0,314.0,314.0,314.0,1000000,0
2012-07-18,16,314.3,314.3,314.3,314.3,1000000,0
2012-07-19,17,317.1,317.1,317.1,317.1,1000000,0
2012-07-20,18,318.05,318.05,318.05,318.05,1000000,0
2012-07-23,21,318.2,318.2,318.2,318.2,1000000,0
2012-07-24,22,320.35,320.35,320.35,320.35,1000000,0
2012-07-25,23,320.15,320.15,320.15,320.15,1000000,0
2012-07-26,24,323.3,323.3,323.3,323.3,1000000,0
2012-07-27,25,325.1,325.1,325.1,325.1,1000000,0
2012-07-30,28,323.9,323.9,323.9,323.9,1000000,0
2012-07-31,29,327.75,327.75,327.75,327.75,1000000,0
2012-08-01,30,323.3,323.3,323.3,323.3,1000000,0
2012-08-02,31,326.0,326.0,326.0,326.0,1000000,0
2012-08-03,32,323.75,323.75,323.75,323.75,1000000,0
2012-08-06,35,326.45,326.45,326.45,326.45,1000000,0
2012-08-07,36,328.6,328.6,328.6,328.6,1000000,0
2012-08-08,37,332.3,332.3,332.3,332.3,1000000,0
2012-08-09,38,334.15,334.15,334.15,334.15,1000000,0
2012-08-10,39,338.4,338.4,338.4,338.4,1000000,0
2012-08-13,42,341.75,341.75,341.75,341.75,1000000,0
2012-08-14,43,347.05,347.05,347.05,347.05,1000000,0
2012-08-16,45,347.95,347.95,347.95,347.95,1000000,0
2012-08-17,46,353.8,353.8,353.8,353.8,1000000,0
