Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,46.55,46.55,46.55,46.55,1000000,0
2012-07-03,1,47.1,47.1,47.1,47.1,1000000,0
2012-07-04,2,47.1,47.1,47.1,47.1,1000000,0
2012-07-05,3,47.55,47.55,47.55,47.55,1000000,0
2012-07-06,4,48.25,48.25,48.25,48.25,1000000,0
2012-07-09,7,46.65,46.65,46.65,46.65,1000000,0
2012-07-10,8,48.6,48.6,48.6,48.6,1000000,0
2012-07-11,9,49.05,49.05,49.05,49.05,1000000,0
2012-07-12,10,47.95,47.95,47.95,47.95,1000000,0
2012-07-13,11,47.3,47.3,47.3,47.3,1000000,0
2012-07-16,14,45.6,45.6,45.6,45.6,1000000,0
2012-07-17,15,44.55,44.55,44.55,44.55,1000000,0
2012-07-18,16,44.95,44.95,44.95,44.95,1000000,0
2012-07-19,17,45.35,45.35,45.35,45.35,1000000,0
2012-07-20,18,44.85,44.85,44.85,44.85,1000000,0
2012-07-23,21,43.95,43.95,43.95,43.95,1000000,0
2012-07-24,22,44.1,44.1,44.1,44.1,1000000,0
2012-07-25,23,42.9,42.9,42.9,42.9,1000000,0
2012-07-26,24,41.45,41.45,41.45,41.45,1000000,0
2012-07-27,25,40.55,40.55,40.55,40.55,1000000,0
2012-07-30,28,41.85,41.85,41.85,41.85,1000000,0
2012-07-31,29,41.25,41.25,41.25,41.25,1000000,0
2012-08-01,30,40.95,40.95,40.95,40.95,1000000,0
2012-08-02,31,40.7,40.7,40.7,40.7,1000000,0
2012-08-03,32,40.9,40.9,40.9,40.9,1000000,0
2012-08-06,35,43.15,43.15,43.15,43.15,1000000,0
2012-08-07,36,43.65,43.65,43.65,43.65,1000000,0
2012-08-08,37,42.2,42.2,42.2,42.2,1000000,0
2012-08-09,38,41.75,41.75,41.75,41.75,1000000,0
2012-08-10,39,41.9,41.9,41.9,41.9,1000000,0
2012-08-13,42,42.95,42.95,42.95,42.95,1000000,0
2012-08-14,43,42.8,42.8,42.8,42.8,1000000,0
2012-08-16,45,41.6,41.6,41.6,41.6,1000000,0
2012-08-17,46,41.9,41.9,41.9,41.9,1000000,0
2012-08-21,50,42.05,42.05,42.05,42.05,1000000,0
2012-08-22,51,41.4,41.4,41.4,41.4,1000000,0
2012-08-23,52,41.0,41.0,41.0,41.0,1000000,0
2012-08-24,53,40.65,40.65,40.65,40.65,1000000,0
2012-08-27,56,39.7,39.7,39.7,39.7,1000000,0
2012-08-28,57,38.6,38.6,38.6,38.6,1000000,0
2012-08-29,58,38.2,38.2,38.2,38.2,1000000,0
2012-08-30,59,38.0,38.0,38.0,38.0,1000000,0
2012-08-31,60,38.1,38.1,38.1,38.1,1000000,0
2012-09-03,63,38.6,38.6,38.6,38.6,1000000,0
2012-09-04,64,38.95,38.95,38.95,38.95,1000000,0
2012-09-05,65,38.0,38.0,38.0,38.0,1000000,0
2012-09-06,66,38.5,38.5,38.5,38.5,1000000,0
2012-09-07,67,38.6,38.6,38.6,38.6,1000000,0
2012-09-10,70,39.4,39.4,39.4,39.4,1000000,0
2012-09-11,71,39.2,39.2,39.2,39.2,1000000,0
2012-09-12,72,39.05,39.05,39.05,39.05,1000000,0
2012-09-13,73,39.05,39.05,39.05,39.05,1000000,0
2012-09-14,74,39.95,39.95,39.95,39.95,1000000,0
2012-09-17,77,42.05,42.05,42.05,42.05,1000000,0
2012-09-18,78,44.05,44.05,44.05,44.05,1000000,0
2012-09-20,80,43.45,43.45,43.45,43.45,1000000,0
2012-09-21,81,46.2,46.2,46.2,46.2,1000000,0
2012-09-24,84,47.5,47.5,47.5,47.5,1000000,0
2012-09-25,85,47.25,47.25,47.25,47.25,1000000,0
2012-09-26,86,48.0,48.0,48.0,48.0,1000000,0
2012-09-27,87,46.65,46.65,46.65,46.65,1000000,0
2012-09-28,88,47.85,47.85,47.85,47.85,1000000,0
2012-10-01,91,49.15,49.15,49.15,49.15,1000000,0
2012-10-03,93,51.5,51.5,51.5,51.5,1000000,0
2012-10-04,94,51.6,51.6,51.6,51.6,1000000,0
2012-10-05,95,49.15,49.15,49.15,49.15,1000000,0
2012-10-08,98,48.0,48.0,48.0,48.0,1000000,0
2012-10-09,99,48.0,48.0,48.0,48.0,1000000,0
2012-10-10,100,46.15,46.15,46.15,46.15,1000000,0
2012-10-11,101,47.0,47.0,47.0,47.0,1000000,0
2012-10-12,102,46.4,46.4,46.4,46.4,1000000,0
2012-10-15,105,44.85,44.85,44.85,44.85,1000000,0
2012-10-16,106,44.05,44.05,44.05,44.05,1000000,0
2012-10-17,107,43.9,43.9,43.9,43.9,1000000,0
2012-10-18,108,44.95,44.95,44.95,44.95,1000000,0
2012-10-19,109,44.2,44.2,44.2,44.2,1000000,0
2012-10-22,112,43.3,43.3,43.3,43.3,1000000,0
2012-10-23,113,42.7,42.7,42.7,42.7,1000000,0
2012-10-25,115,42.05,42.05,42.05,42.05,1000000,0
2012-10-26,116,41.9,41.9,41.9,41.9,1000000,0
2012-10-29,119,41.65,41.65,41.65,41.65,1000000,0
2012-10-30,120,40.45,40.45,40.45,40.45,1000000,0
2012-10-31,121,40.75,40.75,40.75,40.75,1000000,0
2012-11-01,122,40.9,40.9,40.9,40.9,1000000,0
2012-11-02,123,40.6,40.6,40.6,40.6,1000000,0
2012-11-05,126,40.1,40.1,40.1,40.1,1000000,0
2012-11-06,127,39.9,39.9,39.9,39.9,1000000,0
2012-11-07,128,40.0,40.0,40.0,40.0,1000000,0
2012-11-08,129,41.0,41.0,41.0,41.0,1000000,0
2012-11-09,130,40.4,40.4,40.4,40.4,1000000,0
2012-11-12,133,40.2,40.2,40.2,40.2,1000000,0
2012-11-13,134,41.25,41.25,41.25,41.25,1000000,0
2012-11-15,136,39.0,39.0,39.0,39.0,1000000,0
2012-11-16,137,39.55,39.55,39.55,39.55,1000000,0
2012-11-19,140,38.5,38.5,38.5,38.5,1000000,0
2012-11-20,141,37.85,37.85,37.85,37.85,1000000,0
2012-11-21,142,37.4,37.4,37.4,37.4,1000000,0
2012-11-22,143,36.75,36.75,36.75,36.75,1000000,0
2012-11-23,144,36.45,36.45,36.45,36.45,1000000,0
2012-11-26,147,36.3,36.3,36.3,36.3,1000000,0
2012-11-27,148,36.75,36.75,36.75,36.75,1000000,0
2012-11-29,150,37.65,37.65,37.65,37.65,1000000,0
2012-11-30,151,38.55,38.55,38.55,38.55,1000000,0
2012-12-03,154,39.0,39.0,39.0,39.0,1000000,0
2012-12-04,155,39.1,39.1,39.1,39.1,1000000,0
2012-12-05,156,39.9,39.9,39.9,39.9,1000000,0
2012-12-06,157,40.6,40.6,40.6,40.6,1000000,0
2012-12-07,158,40.2,40.2,40.2,40.2,1000000,0
2012-12-10,161,39.95,39.95,39.95,39.95,1000000,0
2012-12-11,162,39.3,39.3,39.3,39.3,1000000,0
2012-12-12,163,38.4,38.4,38.4,38.4,1000000,0
2012-12-13,164,37.85,37.85,37.85,37.85,1000000,0
2012-12-14,165,37.9,37.9,37.9,37.9,1000000,0
2012-12-17,168,38.2,38.2,38.2,38.2,1000000,0
2012-12-18,169,38.55,38.55,38.55,38.55,1000000,0
2012-12-19,170,38.9,38.9,38.9,38.9,1000000,0
2012-12-20,171,38.25,38.25,38.25,38.25,1000000,0
2012-12-21,172,37.6,37.6,37.6,37.6,1000000,0
2012-12-24,175,37.9,37.9,37.9,37.9,1000000,0
2012-12-26,177,38.15,38.15,38.15,38.15,1000000,0
2012-12-27,178,37.7,37.7,37.7,37.7,1000000,0
2012-12-28,179,37.65,37.65,37.65,37.65,1000000,0
2012-12-31,182,38.05,38.05,38.05,38.05,1000000,0
2013-01-01,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-02,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-03,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-04,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-07,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-08,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-09,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-10,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-11,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-14,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-15,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-16,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-17,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-18,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-21,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-22,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-23,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-24,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-25,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-28,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-29,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-30,183,39.7,39.7,39.7,39.7,1000000,0
2013-01-31,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-01,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-04,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-05,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-06,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-07,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-08,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-11,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-12,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-13,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-14,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-15,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-18,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-19,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-20,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-21,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-22,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-25,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-26,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-27,183,39.7,39.7,39.7,39.7,1000000,0
2013-02-28,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-01,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-04,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-05,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-06,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-07,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-08,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-11,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-12,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-13,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-14,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-15,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-18,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-19,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-20,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-21,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-22,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-25,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-26,183,39.7,39.7,39.7,39.7,1000000,0
2013-03-28,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-01,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-02,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-03,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-04,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-05,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-08,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-09,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-10,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-11,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-12,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-15,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-16,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-17,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-18,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-22,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-23,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-25,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-26,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-29,183,39.7,39.7,39.7,39.7,1000000,0
2013-04-30,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-02,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-03,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-06,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-07,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-08,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-09,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-10,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-13,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-14,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-15,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-16,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-17,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-20,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-21,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-22,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-23,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-24,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-27,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-28,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-29,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-30,183,39.7,39.7,39.7,39.7,1000000,0
2013-05-31,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-03,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-04,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-05,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-06,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-07,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-10,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-11,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-12,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-13,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-14,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-17,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-18,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-19,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-20,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-21,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-24,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-25,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-26,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-27,183,39.7,39.7,39.7,39.7,1000000,0
2013-06-28,183,39.7,39.7,39.7,39.7,1000000,0
2013-07-01,364,17.5,17.5,17.5,17.5,1000000,0
2013-07-02,365,20.1,20.1,20.1,20.1,1000000,0
2013-07-03,366,18.75,18.75,18.75,18.75,1000000,0
2013-07-04,367,19.3,19.3,19.3,19.3,1000000,0
2013-07-05,368,19.9,19.9,19.9,19.9,1000000,0
2013-07-08,371,18.9,18.9,18.9,18.9,1000000,0
2013-07-09,372,18.55,18.55,18.55,18.55,1000000,0
2013-07-10,373,18.55,18.55,18.55,18.55,1000000,0
2013-07-11,374,19.2,19.2,19.2,19.2,1000000,0
2013-07-12,375,18.85,18.85,18.85,18.85,1000000,0
2013-07-15,378,19.15,19.15,19.15,19.15,1000000,0
2013-07-16,379,18.85,18.85,18.85,18.85,1000000,0
2013-07-17,380,18.15,18.15,18.15,18.15,1000000,0
2013-07-18,381,18.25,18.25,18.25,18.25,1000000,0
2013-07-19,382,17.65,17.65,17.65,17.65,1000000,0
2013-07-22,385,16.6,16.6,16.6,16.6,1000000,0
2013-07-23,386,16.8,16.8,16.8,16.8,1000000,0
2013-07-24,387,15.3,15.3,15.3,15.3,1000000,0
2013-07-25,388,14.9,14.9,14.9,14.9,1000000,0
2013-07-26,389,14.7,14.7,14.7,14.7,1000000,0
2013-07-29,392,13.95,13.95,13.95,13.95,1000000,0
2013-07-30,393,13.6,13.6,13.6,13.6,1000000,0
2013-07-31,394,12.45,12.45,12.45,12.45,1000000,0
2013-08-01,395,12.25,12.25,12.25,12.25,1000000,0
2013-08-02,396,12.0,12.0,12.0,12.0,1000000,0
2013-08-05,399,11.85,11.85,11.85,11.85,1000000,0
2013-08-06,400,11.65,11.65,11.65,11.65,1000000,0
2013-08-07,401,11.05,11.05,11.05,11.05,1000000,0
2013-08-08,402,11.15,11.15,11.15,11.15,1000000,0
2013-08-12,406,11.1,11.1,11.1,11.1,1000000,0
2013-08-13,407,10.95,10.95,10.95,10.95,1000000,0
2013-08-14,408,10.95,10.95,10.95,10.95,1000000,0
2013-08-16,410,10.65,10.65,10.65,10.65,1000000,0
2013-08-19,413,10.4,10.4,10.4,10.4,1000000,0
2013-08-20,414,10.25,10.25,10.25,10.25,1000000,0
2013-08-21,415,10.05,10.05,10.05,10.05,1000000,0
2013-08-22,416,10.0,10.0,10.0,10.0,1000000,0
2013-08-23,417,9.95,9.95,9.95,9.95,1000000,0
2013-08-26,420,9.95,9.95,9.95,9.95,1000000,0
2013-08-27,421,9.6,9.6,9.6,9.6,1000000,0
2013-08-28,422,9.45,9.45,9.45,9.45,1000000,0
2013-08-29,423,9.5,9.5,9.5,9.5,1000000,0
2013-08-30,424,9.55,9.55,9.55,9.55,1000000,0
2013-09-02,427,9.7,9.7,9.7,9.7,1000000,0
2013-09-03,428,9.45,9.45,9.45,9.45,1000000,0
2013-09-04,429,9.45,9.45,9.45,9.45,1000000,0
2013-09-05,430,9.75,9.75,9.75,9.75,1000000,0
2013-09-06,431,9.5,9.5,9.5,9.5,1000000,0
2013-09-10,435,10.05,10.05,10.05,10.05,1000000,0
2013-09-11,436,11.45,11.45,11.45,11.45,1000000,0
2013-09-12,437,12.35,12.35,12.35,12.35,1000000,0
2013-09-13,438,13.55,13.55,13.55,13.55,1000000,0
2013-09-16,441,13.2,13.2,13.2,13.2,1000000,0
2013-09-17,442,12.6,12.6,12.6,12.6,1000000,0
2013-09-18,443,12.85,12.85,12.85,12.85,1000000,0
2013-09-19,444,12.9,12.9,12.9,12.9,1000000,0
2013-09-20,445,12.7,12.7,12.7,12.7,1000000,0
2013-09-23,448,12.3,12.3,12.3,12.3,1000000,0
2013-09-24,449,11.85,11.85,11.85,11.85,1000000,0
2013-09-25,450,11.85,11.85,11.85,11.85,1000000,0
2013-09-26,451,12.1,12.1,12.1,12.1,1000000,0
2013-09-27,452,12.3,12.3,12.3,12.3,1000000,0
2013-09-30,455,11.85,11.85,11.85,11.85,1000000,0
2013-10-01,456,12.0,12.0,12.0,12.0,1000000,0
2013-10-03,458,11.9,11.9,11.9,11.9,1000000,0
2013-10-04,459,11.8,11.8,11.8,11.8,1000000,0
2013-10-07,462,11.4,11.4,11.4,11.4,1000000,0
2013-10-08,463,11.4,11.4,11.4,11.4,1000000,0
2013-10-09,464,11.95,11.95,11.95,11.95,1000000,0
2013-10-10,465,12.5,12.5,12.5,12.5,1000000,0
2013-10-11,466,13.05,13.05,13.05,13.05,1000000,0
2013-10-14,469,13.05,13.05,13.05,13.05,1000000,0
2013-10-15,470,12.7,12.7,12.7,12.7,1000000,0
2013-10-17,472,12.8,12.8,12.8,12.8,1000000,0
2013-10-18,473,12.95,12.95,12.95,12.95,1000000,0
2013-10-21,476,13.0,13.0,13.0,13.0,1000000,0
2013-10-22,477,13.65,13.65,13.65,13.65,1000000,0
2013-10-23,478,14.0,14.0,14.0,14.0,1000000,0
2013-10-24,479,13.65,13.65,13.65,13.65,1000000,0
2013-10-25,480,13.35,13.35,13.35,13.35,1000000,0
2013-10-28,483,13.0,13.0,13.0,13.0,1000000,0
2013-10-29,484,12.8,12.8,12.8,12.8,1000000,0
2013-10-30,485,13.4,13.4,13.4,13.4,1000000,0
2013-10-31,486,13.25,13.25,13.25,13.25,1000000,0
2013-11-01,487,13.5,13.5,13.5,13.5,1000000,0
2013-11-05,491,14.45,14.45,14.45,14.45,1000000,0
2013-11-06,492,14.9,14.9,14.9,14.9,1000000,0
2013-11-07,493,14.35,14.35,14.35,14.35,1000000,0
2013-11-08,494,14.25,14.25,14.25,14.25,1000000,0
2013-11-11,497,13.9,13.9,13.9,13.9,1000000,0
2013-11-12,498,13.7,13.7,13.7,13.7,1000000,0
2013-11-13,499,13.25,13.25,13.25,13.25,1000000,0
2013-11-15,500,13.3,13.3,13.3,13.3,1000000,0
2013-11-18,504,13.45,13.45,13.45,13.45,1000000,0
2013-11-19,505,13.25,13.25,13.25,13.25,1000000,0
2013-11-20,506,13.6,13.6,13.6,13.6,1000000,0
2013-11-21,507,13.3,13.3,13.3,13.3,1000000,0
2013-11-22,508,13.45,13.45,13.45,13.45,1000000,0
2013-11-25,511,13.4,13.4,13.4,13.4,1000000,0
2013-11-26,512,13.0,13.0,13.0,13.0,1000000,0
2013-11-27,513,13.3,13.3,13.3,13.3,1000000,0
2013-11-28,514,13.75,13.75,13.75,13.75,1000000,0
2013-11-29,515,13.95,13.95,13.95,13.95,1000000,0
2013-12-02,518,13.8,13.8,13.8,13.8,1000000,0
2013-12-03,519,13.5,13.5,13.5,13.5,1000000,0
2013-12-04,520,13.45,13.45,13.45,13.45,1000000,0
2013-12-05,521,13.9,13.9,13.9,13.9,1000000,0
2013-12-06,522,13.95,13.95,13.95,13.95,1000000,0
2013-12-09,525,13.95,13.95,13.95,13.95,1000000,0
2013-12-10,526,13.75,13.75,13.75,13.75,1000000,0
2013-12-11,527,13.75,13.75,13.75,13.75,1000000,0
2013-12-12,528,13.55,13.55,13.55,13.55,1000000,0
2013-12-13,529,13.05,13.05,13.05,13.05,1000000,0
2013-12-16,532,13.0,13.0,13.0,13.0,1000000,0
2013-12-17,533,12.7,12.7,12.7,12.7,1000000,0
2013-12-18,534,12.85,12.85,12.85,12.85,1000000,0
2013-12-19,535,12.9,12.9,12.9,12.9,1000000,0
2013-12-20,536,13.45,13.45,13.45,13.45,1000000,0
2013-12-23,539,13.95,13.95,13.95,13.95,1000000,0
2013-12-24,540,14.0,14.0,14.0,14.0,1000000,0
2013-12-26,542,14.35,14.35,14.35,14.35,1000000,0
2013-12-27,543,14.45,14.45,14.45,14.45,1000000,0
2013-12-30,546,14.15,14.15,14.15,14.15,1000000,0
2013-12-31,547,14.0,14.0,14.0,14.0,1000000,0
2014-01-01,548,14.35,14.35,14.35,14.35,1000000,0
2014-01-02,549,14.4,14.4,14.4,14.4,1000000,0
2014-01-03,550,14.3,14.3,14.3,14.3,1000000,0
2014-01-06,553,14.45,14.45,14.45,14.45,1000000,0
2014-01-07,554,14.6,14.6,14.6,14.6,1000000,0
2014-01-08,555,14.9,14.9,14.9,14.9,1000000,0
2014-01-09,556,14.8,14.8,14.8,14.8,1000000,0
2014-01-10,557,14.35,14.35,14.35,14.35,1000000,0
2014-01-13,560,14.05,14.05,14.05,14.05,1000000,0
2014-01-14,561,14.0,14.0,14.0,14.0,1000000,0
2014-01-15,562,14.15,14.15,14.15,14.15,1000000,0
2014-01-16,563,13.85,13.85,13.85,13.85,1000000,0
2014-01-17,564,14.9,14.9,14.9,14.9,1000000,0
2014-01-20,567,14.75,14.75,14.75,14.75,1000000,0
2014-01-21,568,14.7,14.7,14.7,14.7,1000000,0
2014-01-22,569,14.55,14.55,14.55,14.55,1000000,0
2014-01-23,570,14.35,14.35,14.35,14.35,1000000,0
2014-01-24,571,13.85,13.85,13.85,13.85,1000000,0
2014-01-27,574,13.3,13.3,13.3,13.3,1000000,0
2014-01-28,575,13.0,13.0,13.0,13.0,1000000,0
2014-01-29,576,12.8,12.8,12.8,12.8,1000000,0
2014-01-30,577,12.65,12.65,12.65,12.65,1000000,0
2014-01-31,578,12.7,12.7,12.7,12.7,1000000,0
2014-02-03,581,12.2,12.2,12.2,12.2,1000000,0
2014-02-04,582,12.2,12.2,12.2,12.2,1000000,0
2014-02-05,583,12.25,12.25,12.25,12.25,1000000,0
2014-02-06,584,12.5,12.5,12.5,12.5,1000000,0
2014-02-07,585,12.75,12.75,12.75,12.75,1000000,0
2014-02-10,588,12.55,12.55,12.55,12.55,1000000,0
2014-02-11,589,13.55,13.55,13.55,13.55,1000000,0
2014-02-12,590,13.1,13.1,13.1,13.1,1000000,0
2014-02-13,591,12.9,12.9,12.9,12.9,1000000,0
2014-02-14,592,12.55,12.55,12.55,12.55,1000000,0
2014-02-17,595,12.45,12.45,12.45,12.45,1000000,0
2014-02-18,596,12.8,12.8,12.8,12.8,1000000,0
2014-02-19,597,12.6,12.6,12.6,12.6,1000000,0
2014-02-20,598,12.65,12.65,12.65,12.65,1000000,0
2014-02-21,599,12.6,12.6,12.6,12.6,1000000,0
2014-02-24,602,12.7,12.7,12.7,12.7,1000000,0
2014-02-25,603,12.6,12.6,12.6,12.6,1000000,0
2014-02-26,604,12.55,12.55,12.55,12.55,1000000,0
2014-02-28,606,12.6,12.6,12.6,12.6,1000000,0
2014-03-03,609,12.35,12.35,12.35,12.35,1000000,0
2014-03-04,610,12.6,12.6,12.6,12.6,1000000,0
2014-03-05,611,12.75,12.75,12.75,12.75,1000000,0
