Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,85.85,85.85,85.85,85.85,1000000,0
2012-07-03,1,85.65,85.65,85.65,85.65,1000000,0
2012-07-04,2,85.75,85.75,85.75,85.75,1000000,0
2012-07-05,3,86.6,86.6,86.6,86.6,1000000,0
2012-07-06,4,86.85,86.85,86.85,86.85,1000000,0
2012-07-09,7,85.2,85.2,85.2,85.2,1000000,0
2012-07-10,8,85.35,85.35,85.35,85.35,1000000,0
2012-07-11,9,85.2,85.2,85.2,85.2,1000000,0
2012-07-12,10,84.85,84.85,84.85,84.85,1000000,0
2012-07-13,11,83.8,83.8,83.8,83.8,1000000,0
2012-07-16,14,84.0,84.0,84.0,84.0,1000000,0
2012-07-17,15,83.95,83.95,83.95,83.95,1000000,0
2012-07-18,16,83.9,83.9,83.9,83.9,1000000,0
2012-07-19,17,84.0,84.0,84.0,84.0,1000000,0
2012-07-20,18,84.8,84.8,84.8,84.8,1000000,0
2012-07-23,21,84.1,84.1,84.1,84.1,1000000,0
2012-07-24,22,84.3,84.3,84.3,84.3,1000000,0
2012-07-25,23,84.1,84.1,84.1,84.1,1000000,0
2012-07-26,24,84.05,84.05,84.05,84.05,1000000,0
2012-07-27,25,84.55,84.55,84.55,84.55,1000000,0
2012-07-30,28,85.9,85.9,85.9,85.9,1000000,0
2012-07-31,29,87.5,87.5,87.5,87.5,1000000,0
2012-08-01,30,84.6,84.6,84.6,84.6,1000000,0
2012-08-02,31,85.2,85.2,85.2,85.2,1000000,0
2012-08-03,32,84.8,84.8,84.8,84.8,1000000,0
2012-08-06,35,85.0,85.0,85.0,85.0,1000000,0
2012-08-07,36,85.0,85.0,85.0,85.0,1000000,0
2012-08-08,37,86.3,86.3,86.3,86.3,1000000,0
2012-08-09,38,85.35,85.35,85.35,85.35,1000000,0
2012-08-10,39,85.1,85.1,85.1,85.1,1000000,0
2012-08-13,42,85.95,85.95,85.95,85.95,1000000,0
2012-08-14,43,86.5,86.5,86.5,86.5,1000000,0
2012-08-16,45,87.4,87.4,87.4,87.4,1000000,0
2012-08-17,46,87.1,87.1,87.1,87.1,1000000,0
2012-08-21,50,86.95,86.95,86.95,86.95,1000000,0
2012-08-22,51,85.4,85.4,85.4,85.4,1000000,0
2012-08-23,52,81.1,81.1,81.1,81.1,1000000,0
2012-08-24,53,79.2,79.2,79.2,79.2,1000000,0
2012-08-27,56,78.35,78.35,78.35,78.35,1000000,0
2012-08-28,57,77.45,77.45,77.45,77.45,1000000,0
2012-08-29,58,77.65,77.65,77.65,77.65,1000000,0
2012-08-30,59,77.0,77.0,77.0,77.0,1000000,0
2012-08-31,60,76.25,76.25,76.25,76.25,1000000,0
2012-09-03,63,76.65,76.65,76.65,76.65,1000000,0
2012-09-04,64,77.6,77.6,77.6,77.6,1000000,0
2012-09-05,65,76.5,76.5,76.5,76.5,1000000,0
2012-09-06,66,76.6,76.6,76.6,76.6,1000000,0
2012-09-07,67,76.9,76.9,76.9,76.9,1000000,0
2012-09-10,70,77.45,77.45,77.45,77.45,1000000,0
2012-09-11,71,77.5,77.5,77.5,77.5,1000000,0
2012-09-12,72,78.95,78.95,78.95,78.95,1000000,0
2012-09-13,73,78.65,78.65,78.65,78.65,1000000,0
2012-09-14,74,82.65,82.65,82.65,82.65,1000000,0
2012-09-17,77,80.95,80.95,80.95,80.95,1000000,0
2012-09-18,78,83.35,83.35,83.35,83.35,1000000,0
2012-09-20,80,81.7,81.7,81.7,81.7,1000000,0
2012-09-21,81,85.55,85.55,85.55,85.55,1000000,0
2012-09-24,84,83.95,83.95,83.95,83.95,1000000,0
2012-09-25,85,83.7,83.7,83.7,83.7,1000000,0
2012-09-26,86,83.15,83.15,83.15,83.15,1000000,0
2012-09-27,87,84.65,84.65,84.65,84.65,1000000,0
2012-09-28,88,86.85,86.85,86.85,86.85,1000000,0
2012-10-01,91,86.65,86.65,86.65,86.65,1000000,0
2012-10-03,93,86.1,86.1,86.1,86.1,1000000,0
2012-10-04,94,86.4,86.4,86.4,86.4,1000000,0
2012-10-05,95,85.2,85.2,85.2,85.2,1000000,0
2012-10-08,98,84.15,84.15,84.15,84.15,1000000,0
2012-10-09,99,84.05,84.05,84.05,84.05,1000000,0
2012-10-10,100,82.65,82.65,82.65,82.65,1000000,0
2012-10-11,101,84.15,84.15,84.15,84.15,1000000,0
2012-10-12,102,84.4,84.4,84.4,84.4,1000000,0
2012-10-15,105,83.65,83.65,83.65,83.65,1000000,0
2012-10-16,106,82.75,82.75,82.75,82.75,1000000,0
2012-10-17,107,82.4,82.4,82.4,82.4,1000000,0
2012-10-18,108,82.9,82.9,82.9,82.9,1000000,0
2012-10-19,109,82.2,82.2,82.2,82.2,1000000,0
2012-10-22,112,82.3,82.3,82.3,82.3,1000000,0
2012-10-23,113,82.0,82.0,82.0,82.0,1000000,0
2012-10-25,115,81.85,81.85,81.85,81.85,1000000,0
2012-10-26,116,81.65,81.65,81.65,81.65,1000000,0
2012-10-29,119,82.75,82.75,82.75,82.75,1000000,0
2012-10-30,120,81.25,81.25,81.25,81.25,1000000,0
2012-10-31,121,81.4,81.4,81.4,81.4,1000000,0
2012-11-01,122,81.3,81.3,81.3,81.3,1000000,0
2012-11-02,123,80.8,80.8,80.8,80.8,1000000,0
2012-11-05,126,81.05,81.05,81.05,81.05,1000000,0
2012-11-06,127,82.75,82.75,82.75,82.75,1000000,0
2012-11-07,128,82.85,82.85,82.85,82.85,1000000,0
2012-11-08,129,82.6,82.6,82.6,82.6,1000000,0
2012-11-09,130,82.4,82.4,82.4,82.4,1000000,0
2012-11-12,133,81.65,81.65,81.65,81.65,1000000,0
2012-11-13,134,82.8,82.8,82.8,82.8,1000000,0
2012-11-15,136,81.9,81.9,81.9,81.9,1000000,0
2012-11-16,137,81.25,81.25,81.25,81.25,1000000,0
2012-11-19,140,81.15,81.15,81.15,81.15,1000000,0
2012-11-20,141,80.25,80.25,80.25,80.25,1000000,0
2012-11-21,142,79.75,79.75,79.75,79.75,1000000,0
2012-11-22,143,81.65,81.65,81.65,81.65,1000000,0
2012-11-23,144,82.95,82.95,82.95,82.95,1000000,0
2012-11-26,147,81.4,81.4,81.4,81.4,1000000,0
2012-11-27,148,81.6,81.6,81.6,81.6,1000000,0
2012-11-29,150,81.75,81.75,81.75,81.75,1000000,0
2012-11-30,151,81.5,81.5,81.5,81.5,1000000,0
2012-12-03,154,83.8,83.8,83.8,83.8,1000000,0
2012-12-04,155,85.35,85.35,85.35,85.35,1000000,0
2012-12-05,156,84.25,84.25,84.25,84.25,1000000,0
2012-12-06,157,83.6,83.6,83.6,83.6,1000000,0
2012-12-07,158,83.25,83.25,83.25,83.25,1000000,0
2012-12-10,161,82.8,82.8,82.8,82.8,1000000,0
2012-12-11,162,83.2,83.2,83.2,83.2,1000000,0
2012-12-12,163,82.2,82.2,82.2,82.2,1000000,0
2012-12-13,164,82.05,82.05,82.05,82.05,1000000,0
2012-12-14,165,84.05,84.05,84.05,84.05,1000000,0
