Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,372.05,372.05,372.05,372.05,1000000,0
2012-07-03,1,381.25,381.25,381.25,381.25,1000000,0
2012-07-04,2,379.65,379.65,379.65,379.65,1000000,0
2012-07-05,3,375.05,375.05,375.05,375.05,1000000,0
2012-07-06,4,377.25,377.25,377.25,377.25,1000000,0
2012-07-09,7,384.45,384.45,384.45,384.45,1000000,0
2012-07-10,8,393.25,393.25,393.25,393.25,1000000,0
2012-07-11,9,395.3,395.3,395.3,395.3,1000000,0
2012-07-12,10,389.1,389.1,389.1,389.1,1000000,0
2012-07-13,11,381.9,381.9,381.9,381.9,1000000,0
2012-07-16,14,380.7,380.7,380.7,380.7,1000000,0
2012-07-17,15,388.25,388.25,388.25,388.25,1000000,0
2012-07-18,16,379.55,379.55,379.55,379.55,1000000,0
2012-07-19,17,381.85,381.85,381.85,381.85,1000000,0
2012-07-20,18,383.55,383.55,383.55,383.55,1000000,0
2012-07-23,21,382.25,382.25,382.25,382.25,1000000,0
2012-07-24,22,386.85,386.85,386.85,386.85,1000000,0
2012-07-25,23,380.65,380.65,380.65,380.65,1000000,0
2012-07-26,24,377.0,377.0,377.0,377.0,1000000,0
2012-07-27,25,380.05,380.05,380.05,380.05,1000000,0
2012-07-30,28,383.0,383.0,383.0,383.0,1000000,0
2012-07-31,29,384.0,384.0,384.0,384.0,1000000,0
2012-08-01,30,385.05,385.05,385.05,385.05,1000000,0
2012-08-02,31,386.75,386.75,386.75,386.75,1000000,0
2012-08-03,32,408.9,408.9,408.9,408.9,1000000,0
2012-08-06,35,407.85,407.85,407.85,407.85,1000000,0
2012-08-07,36,415.7,415.7,415.7,415.7,1000000,0
2012-08-08,37,417.2,417.2,417.2,417.2,1000000,0
2012-08-09,38,416.3,416.3,416.3,416.3,1000000,0
2012-08-10,39,411.25,411.25,411.25,411.25,1000000,0
2012-08-13,42,415.35,415.35,415.35,415.35,1000000,0
2012-08-14,43,414.95,414.95,414.95,414.95,1000000,0
2012-08-16,45,413.45,413.45,413.45,413.45,1000000,0
2012-08-17,46,415.25,415.25,415.25,415.25,1000000,0
2012-08-21,50,408.55,408.55,408.55,408.55,1000000,0
2012-08-22,51,405.75,405.75,405.75,405.75,1000000,0
2012-08-23,52,413.2,413.2,413.2,413.2,1000000,0
2012-08-24,53,410.3,410.3,410.3,410.3,1000000,0
2012-08-27,56,411.9,411.9,411.9,411.9,1000000,0
2012-08-28,57,413.4,413.4,413.4,413.4,1000000,0
2012-08-29,58,418.3,418.3,418.3,418.3,1000000,0
2012-08-30,59,433.75,433.75,433.75,433.75,1000000,0
2012-08-31,60,440.95,440.95,440.95,440.95,1000000,0
2012-09-03,63,426.55,426.55,426.55,426.55,1000000,0
2012-09-04,64,431.45,431.45,431.45,431.45,1000000,0
2012-09-05,65,420.5,420.5,420.5,420.5,1000000,0
2012-09-06,66,423.9,423.9,423.9,423.9,1000000,0
2012-09-07,67,426.25,426.25,426.25,426.25,1000000,0
2012-09-10,70,431.4,431.4,431.4,431.4,1000000,0
2012-09-11,71,432.9,432.9,432.9,432.9,1000000,0
2012-09-12,72,432.2,432.2,432.2,432.2,1000000,0
2012-09-13,73,434.75,434.75,434.75,434.75,1000000,0
2012-09-14,74,415.2,415.2,415.2,415.2,1000000,0
2012-09-17,77,405.55,405.55,405.55,405.55,1000000,0
2012-09-18,78,411.6,411.6,411.6,411.6,1000000,0
