Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-09,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-10,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-16,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-17,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-19,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-20,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-23,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-24,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-25,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-27,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-30,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-07-31,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-02,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-08,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-09,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-10,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-14,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-16,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-17,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-22,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-23,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-24,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-27,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-28,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-29,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-30,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-08-31,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-10,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-14,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-17,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-20,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-24,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-25,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-27,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-09-28,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-08,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-09,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-10,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-15,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-16,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-17,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-19,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-22,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-23,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-25,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-29,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-30,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-10-31,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-02,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-08,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-09,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-15,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-16,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-19,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-20,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-22,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-23,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-27,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-29,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-11-30,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-10,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-14,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-17,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-19,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-20,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-24,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-27,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-28,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2012-12-31,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-02,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-08,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-09,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-10,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-14,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-15,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-16,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-17,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-22,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-23,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-24,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-25,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-28,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-29,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-30,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-01-31,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-08,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-14,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-15,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-19,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-20,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-22,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-25,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-27,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-02-28,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-05,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-06,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-07,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-08,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-11,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-12,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-13,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-14,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-15,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-18,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-19,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-20,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-21,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-22,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-25,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-26,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-03-28,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-04-01,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-04-02,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-04-03,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
2013-04-04,759.0,250.95,250.95,250.95,250.95,1000000.0,0.0
