Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,12.415,12.415,12.415,12.415,1,0
2012-07-03,1,12.63,12.63,12.63,12.63,1,0
2012-07-04,2,12.955,12.955,12.955,12.955,1,0
2012-07-05,3,13.045,13.045,13.045,13.045,1,0
2012-07-06,4,12.42,12.42,12.42,12.42,1,0
2012-07-09,7,12.265,12.265,12.265,12.265,1,0
2012-07-10,8,12.575,12.575,12.575,12.575,1,0
2012-07-11,9,12.745,12.745,12.745,12.745,1,0
2012-07-12,10,12.835,12.835,12.835,12.835,1,0
2012-07-13,11,13.185,13.185,13.185,13.185,1,0
2012-07-16,14,14.21,14.21,14.21,14.21,1,0
2012-07-17,15,14.465,14.465,14.465,14.465,1,0
2012-07-18,16,14.685,14.685,14.685,14.685,1,0
2012-07-19,17,14.915,14.915,14.915,14.915,1,0
2012-07-20,18,15.015,15.015,15.015,15.015,1,0
2012-07-23,21,14.115,14.115,14.115,14.115,1,0
2012-07-24,22,14.035,14.035,14.035,14.035,1,0
2012-07-25,23,13.955,13.955,13.955,13.955,1,0
2012-07-26,24,13.16,13.16,13.16,13.16,1,0
2012-07-27,25,12.77,12.77,12.77,12.77,1,0
2012-07-30,28,12.595,12.595,12.595,12.595,1,0
2012-07-31,29,12.765,12.765,12.765,12.765,1,0
2012-08-01,30,14.2,14.2,14.2,14.2,1,0
2012-08-02,31,14.8,14.8,14.8,14.8,1,0
2012-08-03,32,14.975,14.975,14.975,14.975,1,0
2012-08-06,35,14.49,14.49,14.49,14.49,1,0
2012-08-07,36,14.04,14.04,14.04,14.04,1,0
2012-08-08,37,14.12,14.12,14.12,14.12,1,0
2012-08-09,38,14.115,14.115,14.115,14.115,1,0
2012-08-10,39,13.92,13.92,13.92,13.92,1,0
2012-08-13,42,13.895,13.895,13.895,13.895,1,0
2012-08-14,43,14.23,14.23,14.23,14.23,1,0
2012-08-16,45,14.59,14.59,14.59,14.59,1,0
2012-08-17,46,14.7,14.7,14.7,14.7,1,0
2012-08-21,50,14.63,14.63,14.63,14.63,1,0
2012-08-22,51,15.205,15.205,15.205,15.205,1,0
2012-08-23,52,15.36,15.36,15.36,15.36,1,0
2012-08-24,53,15.71,15.71,15.71,15.71,1,0
2012-08-27,56,15.75,15.75,15.75,15.75,1,0
2012-08-28,57,15.47,15.47,15.47,15.47,1,0
2012-08-29,58,15.77,15.77,15.77,15.77,1,0
2012-08-30,59,16.685,16.685,16.685,16.685,1,0
2012-08-31,60,17.685,17.685,17.685,17.685,1,0
2012-09-03,63,19.81,19.81,19.81,19.81,1,0
2012-09-04,64,20.0,20.0,20.0,20.0,1,0
2012-09-05,65,18.985,18.985,18.985,18.985,1,0
2012-09-06,66,19.75,19.75,19.75,19.75,1,0
2012-09-07,67,19.72,19.72,19.72,19.72,1,0
2012-09-10,70,22.68,22.68,22.68,22.68,1,0
2012-09-11,71,22.725,22.725,22.725,22.725,1,0
2012-09-12,72,21.69,21.69,21.69,21.69,1,0
2012-09-13,73,21.33,21.33,21.33,21.33,1,0
2012-09-14,74,21.815,21.815,21.815,21.815,1,0
2012-09-17,77,20.235,20.235,20.235,20.235,1,0
2012-09-18,78,20.37,20.37,20.37,20.37,1,0
2012-09-20,80,20.275,20.275,20.275,20.275,1,0
2012-09-21,81,19.585,19.585,19.585,19.585,1,0
2012-09-24,84,19.4,19.4,19.4,19.4,1,0
2012-09-25,85,18.75,18.75,18.75,18.75,1,0
2012-09-26,86,18.9,18.9,18.9,18.9,1,0
2012-09-27,87,18.86,18.86,18.86,18.86,1,0
2012-09-28,88,18.45,18.45,18.45,18.45,1,0
2012-10-01,91,19.3,19.3,19.3,19.3,1,0
2012-10-03,93,19.465,19.465,19.465,19.465,1,0
2012-10-04,94,19.04,19.04,19.04,19.04,1,0
2012-10-05,95,18.63,18.63,18.63,18.63,1,0
2012-10-08,98,19.02,19.02,19.02,19.02,1,0
2012-10-09,99,19.005,19.005,19.005,19.005,1,0
2012-10-10,100,19.085,19.085,19.085,19.085,1,0
2012-10-11,101,19.345,19.345,19.345,19.345,1,0
2012-10-12,102,19.165,19.165,19.165,19.165,1,0
2012-10-15,105,18.975,18.975,18.975,18.975,1,0
2012-10-16,106,18.865,18.865,18.865,18.865,1,0
2012-10-17,107,18.595,18.595,18.595,18.595,1,0
2012-10-18,108,18.46,18.46,18.46,18.46,1,0
2012-10-19,109,18.84,18.84,18.84,18.84,1,0
2012-10-22,112,19.47,19.47,19.47,19.47,1,0
2012-10-23,113,19.3,19.3,19.3,19.3,1,0
2012-10-25,115,19.03,19.03,19.03,19.03,1,0
2012-10-26,116,19.05,19.05,19.05,19.05,1,0
2012-10-29,119,18.575,18.575,18.575,18.575,1,0
2012-10-30,120,17.385,17.385,17.385,17.385,1,0
2012-10-31,121,17.37,17.37,17.37,17.37,1,0
2012-11-01,122,18.135,18.135,18.135,18.135,1,0
2012-11-02,123,18.645,18.645,18.645,18.645,1,0
2012-11-05,126,18.45,18.45,18.45,18.45,1,0
2012-11-06,127,18.795,18.795,18.795,18.795,1,0
2012-11-07,128,18.78,18.78,18.78,18.78,1,0
2012-11-08,129,18.715,18.715,18.715,18.715,1,0
2012-11-09,130,18.4,18.4,18.4,18.4,1,0
2012-11-12,133,17.81,17.81,17.81,17.81,1,0
2012-11-13,134,17.63,17.63,17.63,17.63,1,0
2012-11-15,136,17.08,17.08,17.08,17.08,1,0
2012-11-16,137,17.03,17.03,17.03,17.03,1,0
2012-11-19,140,16.625,16.625,16.625,16.625,1,0
2012-11-20,141,16.195,16.195,16.195,16.195,1,0
2012-11-21,142,15.845,15.845,15.845,15.845,1,0
2012-11-22,143,17.04,17.04,17.04,17.04,1,0
2012-11-23,144,16.55,16.55,16.55,16.55,1,0
2012-11-26,147,16.79,16.79,16.79,16.79,1,0
2012-11-27,148,16.61,16.61,16.61,16.61,1,0
2012-11-29,150,16.54,16.54,16.54,16.54,1,0
2012-11-30,151,17.455,17.455,17.455,17.455,1,0
2012-12-03,154,17.97,17.97,17.97,17.97,1,0
2012-12-04,155,18.095,18.095,18.095,18.095,1,0
2012-12-05,156,18.19,18.19,18.19,18.19,1,0
2012-12-06,157,18.465,18.465,18.465,18.465,1,0
2012-12-07,158,18.205,18.205,18.205,18.205,1,0
2012-12-10,161,18.005,18.005,18.005,18.005,1,0
2012-12-11,162,17.47,17.47,17.47,17.47,1,0
2012-12-12,163,17.325,17.325,17.325,17.325,1,0
2012-12-13,164,17.175,17.175,17.175,17.175,1,0
2012-12-14,165,17.15,17.15,17.15,17.15,1,0
2012-12-17,168,17.2,17.2,17.2,17.2,1,0
2012-12-18,169,16.895,16.895,16.895,16.895,1,0
2012-12-19,170,16.75,16.75,16.75,16.75,1,0
2012-12-20,171,16.57,16.57,16.57,16.57,1,0
2012-12-21,172,16.13,16.13,16.13,16.13,1,0
2012-12-24,175,16.21,16.21,16.21,16.21,1,0
2012-12-26,177,16.105,16.105,16.105,16.105,1,0
2012-12-27,178,15.885,15.885,15.885,15.885,1,0
2012-12-28,179,15.865,15.865,15.865,15.865,1,0
2012-12-31,182,15.74,15.74,15.74,15.74,1,0
2013-01-01,183,16.43,16.43,16.43,16.43,1,0
2013-01-02,183,16.43,16.43,16.43,16.43,1,0
2013-01-03,183,16.43,16.43,16.43,16.43,1,0
2013-01-04,183,16.43,16.43,16.43,16.43,1,0
2013-01-07,183,16.43,16.43,16.43,16.43,1,0
2013-01-08,183,16.43,16.43,16.43,16.43,1,0
2013-01-09,183,16.43,16.43,16.43,16.43,1,0
2013-01-10,183,16.43,16.43,16.43,16.43,1,0
2013-01-11,183,16.43,16.43,16.43,16.43,1,0
2013-01-14,183,16.43,16.43,16.43,16.43,1,0
2013-01-15,183,16.43,16.43,16.43,16.43,1,0
2013-01-16,183,16.43,16.43,16.43,16.43,1,0
2013-01-17,183,16.43,16.43,16.43,16.43,1,0
2013-01-18,183,16.43,16.43,16.43,16.43,1,0
2013-01-21,183,16.43,16.43,16.43,16.43,1,0
2013-01-22,183,16.43,16.43,16.43,16.43,1,0
2013-01-23,183,16.43,16.43,16.43,16.43,1,0
2013-01-24,183,16.43,16.43,16.43,16.43,1,0
2013-01-25,183,16.43,16.43,16.43,16.43,1,0
2013-01-28,183,16.43,16.43,16.43,16.43,1,0
2013-01-29,183,16.43,16.43,16.43,16.43,1,0
2013-01-30,183,16.43,16.43,16.43,16.43,1,0
2013-01-31,183,16.43,16.43,16.43,16.43,1,0
2013-02-01,183,16.43,16.43,16.43,16.43,1,0
2013-02-04,183,16.43,16.43,16.43,16.43,1,0
2013-02-05,183,16.43,16.43,16.43,16.43,1,0
2013-02-06,183,16.43,16.43,16.43,16.43,1,0
2013-02-07,183,16.43,16.43,16.43,16.43,1,0
2013-02-08,183,16.43,16.43,16.43,16.43,1,0
2013-02-11,183,16.43,16.43,16.43,16.43,1,0
2013-02-12,183,16.43,16.43,16.43,16.43,1,0
2013-02-13,183,16.43,16.43,16.43,16.43,1,0
2013-02-14,183,16.43,16.43,16.43,16.43,1,0
2013-02-15,183,16.43,16.43,16.43,16.43,1,0
2013-02-18,183,16.43,16.43,16.43,16.43,1,0
2013-02-19,183,16.43,16.43,16.43,16.43,1,0
2013-02-20,183,16.43,16.43,16.43,16.43,1,0
2013-02-21,183,16.43,16.43,16.43,16.43,1,0
2013-02-22,183,16.43,16.43,16.43,16.43,1,0
2013-02-25,183,16.43,16.43,16.43,16.43,1,0
2013-02-26,183,16.43,16.43,16.43,16.43,1,0
2013-02-27,183,16.43,16.43,16.43,16.43,1,0
2013-02-28,183,16.43,16.43,16.43,16.43,1,0
2013-03-01,183,16.43,16.43,16.43,16.43,1,0
2013-03-04,183,16.43,16.43,16.43,16.43,1,0
2013-03-05,183,16.43,16.43,16.43,16.43,1,0
2013-03-06,183,16.43,16.43,16.43,16.43,1,0
2013-03-07,183,16.43,16.43,16.43,16.43,1,0
2013-03-08,183,16.43,16.43,16.43,16.43,1,0
2013-03-11,183,16.43,16.43,16.43,16.43,1,0
2013-03-12,183,16.43,16.43,16.43,16.43,1,0
2013-03-13,183,16.43,16.43,16.43,16.43,1,0
2013-03-14,183,16.43,16.43,16.43,16.43,1,0
2013-03-15,183,16.43,16.43,16.43,16.43,1,0
2013-03-18,183,16.43,16.43,16.43,16.43,1,0
2013-03-19,183,16.43,16.43,16.43,16.43,1,0
2013-03-20,183,16.43,16.43,16.43,16.43,1,0
2013-03-21,183,16.43,16.43,16.43,16.43,1,0
2013-03-22,183,16.43,16.43,16.43,16.43,1,0
2013-03-25,183,16.43,16.43,16.43,16.43,1,0
2013-03-26,183,16.43,16.43,16.43,16.43,1,0
2013-03-28,183,16.43,16.43,16.43,16.43,1,0
2013-04-01,183,16.43,16.43,16.43,16.43,1,0
2013-04-02,183,16.43,16.43,16.43,16.43,1,0
2013-04-03,183,16.43,16.43,16.43,16.43,1,0
2013-04-04,183,16.43,16.43,16.43,16.43,1,0
2013-04-05,183,16.43,16.43,16.43,16.43,1,0
2013-04-08,183,16.43,16.43,16.43,16.43,1,0
2013-04-09,183,16.43,16.43,16.43,16.43,1,0
2013-04-10,183,16.43,16.43,16.43,16.43,1,0
2013-04-11,183,16.43,16.43,16.43,16.43,1,0
2013-04-12,183,16.43,16.43,16.43,16.43,1,0
2013-04-15,183,16.43,16.43,16.43,16.43,1,0
2013-04-16,183,16.43,16.43,16.43,16.43,1,0
2013-04-17,183,16.43,16.43,16.43,16.43,1,0
2013-04-18,183,16.43,16.43,16.43,16.43,1,0
2013-04-22,183,16.43,16.43,16.43,16.43,1,0
2013-04-23,183,16.43,16.43,16.43,16.43,1,0
2013-04-25,183,16.43,16.43,16.43,16.43,1,0
2013-04-26,183,16.43,16.43,16.43,16.43,1,0
2013-04-29,183,16.43,16.43,16.43,16.43,1,0
2013-04-30,183,16.43,16.43,16.43,16.43,1,0
2013-05-02,183,16.43,16.43,16.43,16.43,1,0
2013-05-03,183,16.43,16.43,16.43,16.43,1,0
2013-05-06,183,16.43,16.43,16.43,16.43,1,0
2013-05-07,183,16.43,16.43,16.43,16.43,1,0
2013-05-08,183,16.43,16.43,16.43,16.43,1,0
2013-05-09,183,16.43,16.43,16.43,16.43,1,0
2013-05-10,183,16.43,16.43,16.43,16.43,1,0
2013-05-13,183,16.43,16.43,16.43,16.43,1,0
2013-05-14,183,16.43,16.43,16.43,16.43,1,0
2013-05-15,183,16.43,16.43,16.43,16.43,1,0
2013-05-16,183,16.43,16.43,16.43,16.43,1,0
2013-05-17,183,16.43,16.43,16.43,16.43,1,0
2013-05-20,183,16.43,16.43,16.43,16.43,1,0
2013-05-21,183,16.43,16.43,16.43,16.43,1,0
2013-05-22,183,16.43,16.43,16.43,16.43,1,0
2013-05-23,183,16.43,16.43,16.43,16.43,1,0
2013-05-24,183,16.43,16.43,16.43,16.43,1,0
2013-05-27,183,16.43,16.43,16.43,16.43,1,0
2013-05-28,183,16.43,16.43,16.43,16.43,1,0
2013-05-29,183,16.43,16.43,16.43,16.43,1,0
2013-05-30,183,16.43,16.43,16.43,16.43,1,0
2013-05-31,183,16.43,16.43,16.43,16.43,1,0
2013-06-03,183,16.43,16.43,16.43,16.43,1,0
2013-06-04,183,16.43,16.43,16.43,16.43,1,0
2013-06-05,183,16.43,16.43,16.43,16.43,1,0
2013-06-06,183,16.43,16.43,16.43,16.43,1,0
2013-06-07,183,16.43,16.43,16.43,16.43,1,0
2013-06-10,183,16.43,16.43,16.43,16.43,1,0
2013-06-11,183,16.43,16.43,16.43,16.43,1,0
2013-06-12,183,16.43,16.43,16.43,16.43,1,0
2013-06-13,183,16.43,16.43,16.43,16.43,1,0
2013-06-14,183,16.43,16.43,16.43,16.43,1,0
2013-06-17,183,16.43,16.43,16.43,16.43,1,0
2013-06-18,183,16.43,16.43,16.43,16.43,1,0
2013-06-19,183,16.43,16.43,16.43,16.43,1,0
2013-06-20,183,16.43,16.43,16.43,16.43,1,0
2013-06-21,183,16.43,16.43,16.43,16.43,1,0
2013-06-24,183,16.43,16.43,16.43,16.43,1,0
2013-06-25,183,16.43,16.43,16.43,16.43,1,0
2013-06-26,183,16.43,16.43,16.43,16.43,1,0
2013-06-27,183,16.43,16.43,16.43,16.43,1,0
2013-06-28,183,16.43,16.43,16.43,16.43,1,0
2013-07-01,364,10.745,10.745,10.745,10.745,1,0
2013-07-02,365,10.74,10.74,10.74,10.74,1,0
2013-07-03,366,11.14,11.14,11.14,11.14,1,0
2013-07-04,367,13.035,13.035,13.035,13.035,1,0
2013-07-05,368,13.01,13.01,13.01,13.01,1,0
2013-07-08,371,12.97,12.97,12.97,12.97,1,0
2013-07-09,372,13.39,13.39,13.39,13.39,1,0
2013-07-10,373,13.775,13.775,13.775,13.775,1,0
2013-07-11,374,13.585,13.585,13.585,13.585,1,0
2013-07-12,375,13.265,13.265,13.265,13.265,1,0
2013-07-15,378,13.645,13.645,13.645,13.645,1,0
2013-07-16,379,13.73,13.73,13.73,13.73,1,0
2013-07-17,380,13.585,13.585,13.585,13.585,1,0
2013-07-18,381,13.985,13.985,13.985,13.985,1,0
2013-07-19,382,14.095,14.095,14.095,14.095,1,0
2013-07-22,385,14.52,14.52,14.52,14.52,1,0
2013-07-23,386,14.645,14.645,14.645,14.645,1,0
2013-07-24,387,14.275,14.275,14.275,14.275,1,0
2013-07-25,388,14.19,14.19,14.19,14.19,1,0
2013-07-26,389,14.585,14.585,14.585,14.585,1,0
2013-07-29,392,13.695,13.695,13.695,13.695,1,0
2013-07-30,393,13.5,13.5,13.5,13.5,1,0
2013-07-31,394,13.53,13.53,13.53,13.53,1,0
2013-08-01,395,13.22,13.22,13.22,13.22,1,0
2013-08-02,396,12.85,12.85,12.85,12.85,1,0
2013-08-05,399,12.685,12.685,12.685,12.685,1,0
2013-08-06,400,12.38,12.38,12.38,12.38,1,0
2013-08-07,401,12.305,12.305,12.305,12.305,1,0
2013-08-08,402,12.995,12.995,12.995,12.995,1,0
2013-08-12,406,13.745,13.745,13.745,13.745,1,0
2013-08-13,407,13.915,13.915,13.915,13.915,1,0
2013-08-14,408,13.96,13.96,13.96,13.96,1,0
2013-08-16,410,13.315,13.315,13.315,13.315,1,0
2013-08-19,413,12.7,12.7,12.7,12.7,1,0
2013-08-20,414,12.57,12.57,12.57,12.57,1,0
2013-08-21,415,12.57,12.57,12.57,12.57,1,0
2013-08-22,416,12.915,12.915,12.915,12.915,1,0
2013-08-23,417,13.185,13.185,13.185,13.185,1,0
2013-08-26,420,13.175,13.175,13.175,13.175,1,0
2013-08-27,421,12.645,12.645,12.645,12.645,1,0
2013-08-28,422,12.75,12.75,12.75,12.75,1,0
2013-08-29,423,12.67,12.67,12.67,12.67,1,0
2013-08-30,424,12.86,12.86,12.86,12.86,1,0
2013-09-02,427,13.27,13.27,13.27,13.27,1,0
2013-09-03,428,13.055,13.055,13.055,13.055,1,0
2013-09-04,429,13.67,13.67,13.67,13.67,1,0
2013-09-05,430,14.095,14.095,14.095,14.095,1,0
2013-09-06,431,14.115,14.115,14.115,14.115,1,0
2013-09-10,435,14.11,14.11,14.11,14.11,1,0
2013-09-11,436,14.985,14.985,14.985,14.985,1,0
2013-09-12,437,14.87,14.87,14.87,14.87,1,0
