Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,69.95,69.95,69.95,69.95,1,0
2012-07-03,1,69.5,69.5,69.5,69.5,1,0
2012-07-04,2,69.25,69.25,69.25,69.25,1,0
2012-07-05,3,67.35,67.35,67.35,67.35,1,0
2012-07-06,4,67.9,67.9,67.9,67.9,1,0
2012-07-09,7,66.5,66.5,66.5,66.5,1,0
2012-07-10,8,65.95,65.95,65.95,65.95,1,0
2012-07-11,9,64.4,64.4,64.4,64.4,1,0
2012-07-12,10,63.1,63.1,63.1,63.1,1,0
2012-07-13,11,62.9,62.9,62.9,62.9,1,0
2012-07-16,14,62.1,62.1,62.1,62.1,1,0
2012-07-17,15,60.9,60.9,60.9,60.9,1,0
2012-07-18,16,67.05,67.05,67.05,67.05,1,0
2012-07-19,17,67.7,67.7,67.7,67.7,1,0
2012-07-20,18,65.65,65.65,65.65,65.65,1,0
2012-07-23,21,64.8,64.8,64.8,64.8,1,0
2012-07-24,22,65.7,65.7,65.7,65.7,1,0
2012-07-25,23,63.45,63.45,63.45,63.45,1,0
2012-07-26,24,63.1,63.1,63.1,63.1,1,0
2012-07-27,25,61.7,61.7,61.7,61.7,1,0
2012-07-30,28,62.15,62.15,62.15,62.15,1,0
2012-07-31,29,64.3,64.3,64.3,64.3,1,0
2012-08-01,30,65.1,65.1,65.1,65.1,1,0
2012-08-02,31,65.45,65.45,65.45,65.45,1,0
2012-08-03,32,65.75,65.75,65.75,65.75,1,0
2012-08-06,35,65.0,65.0,65.0,65.0,1,0
2012-08-07,36,65.2,65.2,65.2,65.2,1,0
2012-08-08,37,65.4,65.4,65.4,65.4,1,0
2012-08-09,38,65.1,65.1,65.1,65.1,1,0
2012-08-10,39,65.05,65.05,65.05,65.05,1,0
2012-08-13,42,65.05,65.05,65.05,65.05,1,0
2012-08-14,43,65.55,65.55,65.55,65.55,1,0
2012-08-16,45,65.3,65.3,65.3,65.3,1,0
2012-08-17,46,66.3,66.3,66.3,66.3,1,0
2012-08-21,50,66.9,66.9,66.9,66.9,1,0
2012-08-22,51,66.45,66.45,66.45,66.45,1,0
2012-08-23,52,66.75,66.75,66.75,66.75,1,0
2012-08-24,53,65.95,65.95,65.95,65.95,1,0
2012-08-27,56,66.25,66.25,66.25,66.25,1,0
2012-08-28,57,66.35,66.35,66.35,66.35,1,0
2012-08-29,58,66.4,66.4,66.4,66.4,1,0
2012-08-30,59,66.35,66.35,66.35,66.35,1,0
2012-08-31,60,66.85,66.85,66.85,66.85,1,0
2012-09-03,63,67.15,67.15,67.15,67.15,1,0
2012-09-04,64,66.9,66.9,66.9,66.9,1,0
2012-09-05,65,65.75,65.75,65.75,65.75,1,0
2012-09-06,66,65.95,65.95,65.95,65.95,1,0
2012-09-07,67,67.5,67.5,67.5,67.5,1,0
2012-09-10,70,69.7,69.7,69.7,69.7,1,0
2012-09-11,71,71.1,71.1,71.1,71.1,1,0
2012-09-12,72,70.05,70.05,70.05,70.05,1,0
2012-09-13,73,67.3,67.3,67.3,67.3,1,0
2012-09-14,74,67.1,67.1,67.1,67.1,1,0
2012-09-17,77,67.25,67.25,67.25,67.25,1,0
2012-09-18,78,69.0,69.0,69.0,69.0,1,0
2012-09-20,80,68.7,68.7,68.7,68.7,1,0
2012-09-21,81,68.95,68.95,68.95,68.95,1,0
2012-09-24,84,73.35,73.35,73.35,73.35,1,0
2012-09-25,85,74.85,74.85,74.85,74.85,1,0
2012-09-26,86,73.85,73.85,73.85,73.85,1,0
2012-09-27,87,74.6,74.6,74.6,74.6,1,0
2012-09-28,88,78.0,78.0,78.0,78.0,1,0
2012-10-01,91,80.2,80.2,80.2,80.2,1,0
2012-10-03,93,78.1,78.1,78.1,78.1,1,0
2012-10-04,94,78.15,78.15,78.15,78.15,1,0
2012-10-05,95,82.95,82.95,82.95,82.95,1,0
2012-10-08,98,84.7,84.7,84.7,84.7,1,0
2012-10-09,99,83.9,83.9,83.9,83.9,1,0
2012-10-10,100,81.6,81.6,81.6,81.6,1,0
2012-10-11,101,79.7,79.7,79.7,79.7,1,0
2012-10-12,102,79.35,79.35,79.35,79.35,1,0
2012-10-15,105,80.5,80.5,80.5,80.5,1,0
2012-10-16,106,81.1,81.1,81.1,81.1,1,0
2012-10-17,107,80.85,80.85,80.85,80.85,1,0
2012-10-18,108,79.8,79.8,79.8,79.8,1,0
2012-10-19,109,79.75,79.75,79.75,79.75,1,0
2012-10-22,112,80.6,80.6,80.6,80.6,1,0
2012-10-23,113,80.0,80.0,80.0,80.0,1,0
2012-10-25,115,78.85,78.85,78.85,78.85,1,0
2012-10-26,116,78.1,78.1,78.1,78.1,1,0
2012-10-29,119,77.55,77.55,77.55,77.55,1,0
2012-10-30,120,78.5,78.5,78.5,78.5,1,0
2012-10-31,121,77.4,77.4,77.4,77.4,1,0
2012-11-01,122,76.9,76.9,76.9,76.9,1,0
2012-11-02,123,77.25,77.25,77.25,77.25,1,0
2012-11-05,126,74.75,74.75,74.75,74.75,1,0
2012-11-06,127,74.45,74.45,74.45,74.45,1,0
2012-11-07,128,73.5,73.5,73.5,73.5,1,0
2012-11-08,129,73.2,73.2,73.2,73.2,1,0
2012-11-09,130,72.35,72.35,72.35,72.35,1,0
2012-11-12,133,74.65,74.65,74.65,74.65,1,0
2012-11-13,134,76.6,76.6,76.6,76.6,1,0
2012-11-15,136,74.9,74.9,74.9,74.9,1,0
2012-11-16,137,74.2,74.2,74.2,74.2,1,0
2012-11-19,140,74.0,74.0,74.0,74.0,1,0
2012-11-20,141,73.9,73.9,73.9,73.9,1,0
2012-11-21,142,73.85,73.85,73.85,73.85,1,0
2012-11-22,143,76.0,76.0,76.0,76.0,1,0
2012-11-23,144,79.2,79.2,79.2,79.2,1,0
2012-11-26,147,78.9,78.9,78.9,78.9,1,0
2012-11-27,148,77.5,77.5,77.5,77.5,1,0
2012-11-29,150,78.6,78.6,78.6,78.6,1,0
2012-11-30,151,77.3,77.3,77.3,77.3,1,0
2012-12-03,154,77.0,77.0,77.0,77.0,1,0
2012-12-04,155,76.65,76.65,76.65,76.65,1,0
2012-12-05,156,76.2,76.2,76.2,76.2,1,0
2012-12-06,157,75.85,75.85,75.85,75.85,1,0
2012-12-07,158,76.55,76.55,76.55,76.55,1,0
2012-12-10,161,77.55,77.55,77.55,77.55,1,0
2012-12-11,162,79.95,79.95,79.95,79.95,1,0
2012-12-12,163,78.25,78.25,78.25,78.25,1,0
2012-12-13,164,76.4,76.4,76.4,76.4,1,0
2012-12-14,165,76.0,76.0,76.0,76.0,1,0
2012-12-17,168,76.65,76.65,76.65,76.65,1,0
2012-12-18,169,76.3,76.3,76.3,76.3,1,0
2012-12-19,170,75.9,75.9,75.9,75.9,1,0
2012-12-20,171,75.35,75.35,75.35,75.35,1,0
2012-12-21,172,75.5,75.5,75.5,75.5,1,0
2012-12-24,175,75.95,75.95,75.95,75.95,1,0
2012-12-26,177,77.05,77.05,77.05,77.05,1,0
2012-12-27,178,79.15,79.15,79.15,79.15,1,0
2012-12-28,179,79.95,79.95,79.95,79.95,1,0
2012-12-31,182,81.45,81.45,81.45,81.45,1,0
2013-01-01,183,80.65,80.65,80.65,80.65,1,0
2013-01-02,183,80.65,80.65,80.65,80.65,1,0
2013-01-03,183,80.65,80.65,80.65,80.65,1,0
2013-01-04,183,80.65,80.65,80.65,80.65,1,0
2013-01-07,183,80.65,80.65,80.65,80.65,1,0
2013-01-08,183,80.65,80.65,80.65,80.65,1,0
2013-01-09,183,80.65,80.65,80.65,80.65,1,0
2013-01-10,183,80.65,80.65,80.65,80.65,1,0
2013-01-11,183,80.65,80.65,80.65,80.65,1,0
2013-01-14,183,80.65,80.65,80.65,80.65,1,0
2013-01-15,183,80.65,80.65,80.65,80.65,1,0
2013-01-16,183,80.65,80.65,80.65,80.65,1,0
2013-01-17,183,80.65,80.65,80.65,80.65,1,0
2013-01-18,183,80.65,80.65,80.65,80.65,1,0
2013-01-21,183,80.65,80.65,80.65,80.65,1,0
2013-01-22,183,80.65,80.65,80.65,80.65,1,0
2013-01-23,183,80.65,80.65,80.65,80.65,1,0
2013-01-24,183,80.65,80.65,80.65,80.65,1,0
2013-01-25,183,80.65,80.65,80.65,80.65,1,0
2013-01-28,183,80.65,80.65,80.65,80.65,1,0
2013-01-29,183,80.65,80.65,80.65,80.65,1,0
2013-01-30,183,80.65,80.65,80.65,80.65,1,0
2013-01-31,183,80.65,80.65,80.65,80.65,1,0
2013-02-01,183,80.65,80.65,80.65,80.65,1,0
2013-02-04,183,80.65,80.65,80.65,80.65,1,0
2013-02-05,183,80.65,80.65,80.65,80.65,1,0
2013-02-06,183,80.65,80.65,80.65,80.65,1,0
2013-02-07,183,80.65,80.65,80.65,80.65,1,0
2013-02-08,183,80.65,80.65,80.65,80.65,1,0
2013-02-11,183,80.65,80.65,80.65,80.65,1,0
2013-02-12,183,80.65,80.65,80.65,80.65,1,0
2013-02-13,183,80.65,80.65,80.65,80.65,1,0
2013-02-14,183,80.65,80.65,80.65,80.65,1,0
2013-02-15,183,80.65,80.65,80.65,80.65,1,0
2013-02-18,183,80.65,80.65,80.65,80.65,1,0
2013-02-19,183,80.65,80.65,80.65,80.65,1,0
2013-02-20,183,80.65,80.65,80.65,80.65,1,0
2013-02-21,183,80.65,80.65,80.65,80.65,1,0
2013-02-22,183,80.65,80.65,80.65,80.65,1,0
2013-02-25,183,80.65,80.65,80.65,80.65,1,0
2013-02-26,183,80.65,80.65,80.65,80.65,1,0
2013-02-27,183,80.65,80.65,80.65,80.65,1,0
2013-02-28,183,80.65,80.65,80.65,80.65,1,0
2013-03-01,183,80.65,80.65,80.65,80.65,1,0
2013-03-04,183,80.65,80.65,80.65,80.65,1,0
2013-03-05,183,80.65,80.65,80.65,80.65,1,0
2013-03-06,183,80.65,80.65,80.65,80.65,1,0
2013-03-07,183,80.65,80.65,80.65,80.65,1,0
2013-03-08,183,80.65,80.65,80.65,80.65,1,0
2013-03-11,183,80.65,80.65,80.65,80.65,1,0
2013-03-12,183,80.65,80.65,80.65,80.65,1,0
2013-03-13,183,80.65,80.65,80.65,80.65,1,0
2013-03-14,183,80.65,80.65,80.65,80.65,1,0
2013-03-15,183,80.65,80.65,80.65,80.65,1,0
2013-03-18,183,80.65,80.65,80.65,80.65,1,0
2013-03-19,183,80.65,80.65,80.65,80.65,1,0
2013-03-20,183,80.65,80.65,80.65,80.65,1,0
2013-03-21,183,80.65,80.65,80.65,80.65,1,0
2013-03-22,183,80.65,80.65,80.65,80.65,1,0
2013-03-25,183,80.65,80.65,80.65,80.65,1,0
2013-03-26,183,80.65,80.65,80.65,80.65,1,0
2013-03-28,183,80.65,80.65,80.65,80.65,1,0
2013-04-01,183,80.65,80.65,80.65,80.65,1,0
2013-04-02,183,80.65,80.65,80.65,80.65,1,0
2013-04-03,183,80.65,80.65,80.65,80.65,1,0
2013-04-04,183,80.65,80.65,80.65,80.65,1,0
2013-04-05,183,80.65,80.65,80.65,80.65,1,0
2013-04-08,183,80.65,80.65,80.65,80.65,1,0
2013-04-09,183,80.65,80.65,80.65,80.65,1,0
2013-04-10,183,80.65,80.65,80.65,80.65,1,0
2013-04-11,183,80.65,80.65,80.65,80.65,1,0
2013-04-12,183,80.65,80.65,80.65,80.65,1,0
2013-04-15,183,80.65,80.65,80.65,80.65,1,0
2013-04-16,183,80.65,80.65,80.65,80.65,1,0
2013-04-17,183,80.65,80.65,80.65,80.65,1,0
2013-04-18,183,80.65,80.65,80.65,80.65,1,0
2013-04-22,183,80.65,80.65,80.65,80.65,1,0
2013-04-23,183,80.65,80.65,80.65,80.65,1,0
2013-04-25,183,80.65,80.65,80.65,80.65,1,0
2013-04-26,183,80.65,80.65,80.65,80.65,1,0
2013-04-29,183,80.65,80.65,80.65,80.65,1,0
2013-04-30,183,80.65,80.65,80.65,80.65,1,0
2013-05-02,183,80.65,80.65,80.65,80.65,1,0
2013-05-03,183,80.65,80.65,80.65,80.65,1,0
2013-05-06,183,80.65,80.65,80.65,80.65,1,0
2013-05-07,183,80.65,80.65,80.65,80.65,1,0
2013-05-08,183,80.65,80.65,80.65,80.65,1,0
2013-05-09,183,80.65,80.65,80.65,80.65,1,0
2013-05-10,183,80.65,80.65,80.65,80.65,1,0
2013-05-13,183,80.65,80.65,80.65,80.65,1,0
2013-05-14,183,80.65,80.65,80.65,80.65,1,0
2013-05-15,183,80.65,80.65,80.65,80.65,1,0
2013-05-16,183,80.65,80.65,80.65,80.65,1,0
2013-05-17,183,80.65,80.65,80.65,80.65,1,0
2013-05-20,183,80.65,80.65,80.65,80.65,1,0
2013-05-21,183,80.65,80.65,80.65,80.65,1,0
2013-05-22,183,80.65,80.65,80.65,80.65,1,0
2013-05-23,183,80.65,80.65,80.65,80.65,1,0
2013-05-24,183,80.65,80.65,80.65,80.65,1,0
2013-05-27,183,80.65,80.65,80.65,80.65,1,0
2013-05-28,183,80.65,80.65,80.65,80.65,1,0
2013-05-29,183,80.65,80.65,80.65,80.65,1,0
2013-05-30,183,80.65,80.65,80.65,80.65,1,0
2013-05-31,183,80.65,80.65,80.65,80.65,1,0
2013-06-03,183,80.65,80.65,80.65,80.65,1,0
2013-06-04,183,80.65,80.65,80.65,80.65,1,0
2013-06-05,183,80.65,80.65,80.65,80.65,1,0
2013-06-06,183,80.65,80.65,80.65,80.65,1,0
2013-06-07,183,80.65,80.65,80.65,80.65,1,0
2013-06-10,183,80.65,80.65,80.65,80.65,1,0
2013-06-11,183,80.65,80.65,80.65,80.65,1,0
2013-06-12,183,80.65,80.65,80.65,80.65,1,0
2013-06-13,183,80.65,80.65,80.65,80.65,1,0
2013-06-14,183,80.65,80.65,80.65,80.65,1,0
2013-06-17,183,80.65,80.65,80.65,80.65,1,0
2013-06-18,183,80.65,80.65,80.65,80.65,1,0
2013-06-19,183,80.65,80.65,80.65,80.65,1,0
2013-06-20,183,80.65,80.65,80.65,80.65,1,0
2013-06-21,183,80.65,80.65,80.65,80.65,1,0
2013-06-24,183,80.65,80.65,80.65,80.65,1,0
2013-06-25,183,80.65,80.65,80.65,80.65,1,0
2013-06-26,183,80.65,80.65,80.65,80.65,1,0
2013-06-27,183,80.65,80.65,80.65,80.65,1,0
2013-06-28,183,80.65,80.65,80.65,80.65,1,0
2013-07-01,364,61.35,61.35,61.35,61.35,1,0
2013-07-02,365,59.6,59.6,59.6,59.6,1,0
2013-07-03,366,59.95,59.95,59.95,59.95,1,0
2013-07-04,367,60.05,60.05,60.05,60.05,1,0
2013-07-05,368,60.0,60.0,60.0,60.0,1,0
2013-07-08,371,61.0,61.0,61.0,61.0,1,0
2013-07-09,372,61.9,61.9,61.9,61.9,1,0
2013-07-10,373,61.55,61.55,61.55,61.55,1,0
2013-07-11,374,60.95,60.95,60.95,60.95,1,0
2013-07-12,375,62.0,62.0,62.0,62.0,1,0
2013-07-15,378,61.95,61.95,61.95,61.95,1,0
2013-07-16,379,62.3,62.3,62.3,62.3,1,0
2013-07-17,380,62.2,62.2,62.2,62.2,1,0
2013-07-18,381,62.45,62.45,62.45,62.45,1,0
2013-07-19,382,62.95,62.95,62.95,62.95,1,0
2013-07-22,385,62.9,62.9,62.9,62.9,1,0
2013-07-23,386,61.55,61.55,61.55,61.55,1,0
2013-07-24,387,60.95,60.95,60.95,60.95,1,0
2013-07-25,388,60.25,60.25,60.25,60.25,1,0
2013-07-26,389,60.4,60.4,60.4,60.4,1,0
2013-07-29,392,59.95,59.95,59.95,59.95,1,0
2013-07-30,393,60.05,60.05,60.05,60.05,1,0
2013-07-31,394,58.95,58.95,58.95,58.95,1,0
2013-08-01,395,59.45,59.45,59.45,59.45,1,0
2013-08-02,396,60.2,60.2,60.2,60.2,1,0
2013-08-05,399,59.85,59.85,59.85,59.85,1,0
2013-08-06,400,57.15,57.15,57.15,57.15,1,0
2013-08-07,401,54.8,54.8,54.8,54.8,1,0
2013-08-08,402,55.85,55.85,55.85,55.85,1,0
2013-08-12,406,58.5,58.5,58.5,58.5,1,0
2013-08-13,407,58.95,58.95,58.95,58.95,1,0
2013-08-14,408,60.55,60.55,60.55,60.55,1,0
2013-08-16,410,59.55,59.55,59.55,59.55,1,0
2013-08-19,413,59.35,59.35,59.35,59.35,1,0
2013-08-20,414,59.95,59.95,59.95,59.95,1,0
2013-08-21,415,58.3,58.3,58.3,58.3,1,0
2013-08-22,416,57.7,57.7,57.7,57.7,1,0
2013-08-23,417,59.95,59.95,59.95,59.95,1,0
2013-08-26,420,59.65,59.65,59.65,59.65,1,0
2013-08-27,421,57.95,57.95,57.95,57.95,1,0
2013-08-28,422,57.55,57.55,57.55,57.55,1,0
2013-08-29,423,58.95,58.95,58.95,58.95,1,0
2013-08-30,424,58.7,58.7,58.7,58.7,1,0
2013-09-02,427,58.35,58.35,58.35,58.35,1,0
2013-09-03,428,59.1,59.1,59.1,59.1,1,0
2013-09-04,429,57.4,57.4,57.4,57.4,1,0
2013-09-05,430,57.1,57.1,57.1,57.1,1,0
2013-09-06,431,57.2,57.2,57.2,57.2,1,0
2013-09-10,435,57.55,57.55,57.55,57.55,1,0
2013-09-11,436,56.95,56.95,56.95,56.95,1,0
2013-09-12,437,56.9,56.9,56.9,56.9,1,0
2013-09-13,438,57.0,57.0,57.0,57.0,1,0
2013-09-16,441,56.55,56.55,56.55,56.55,1,0
2013-09-17,442,55.4,55.4,55.4,55.4,1,0
2013-09-18,443,54.95,54.95,54.95,54.95,1,0
2013-09-19,444,57.4,57.4,57.4,57.4,1,0
2013-09-20,445,56.6,56.6,56.6,56.6,1,0
2013-09-23,448,57.55,57.55,57.55,57.55,1,0
2013-09-24,449,56.3,56.3,56.3,56.3,1,0
