Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,50.45,50.45,50.45,50.45,1000000,0
2012-07-03,1,52.55,52.55,52.55,52.55,1000000,0
2012-07-04,2,53.45,53.45,53.45,53.45,1000000,0
2012-07-05,3,54.95,54.95,54.95,54.95,1000000,0
2012-07-06,4,54.0,54.0,54.0,54.0,1000000,0
2012-07-09,7,53.1,53.1,53.1,53.1,1000000,0
2012-07-10,8,53.25,53.25,53.25,53.25,1000000,0
2012-07-11,9,54.0,54.0,54.0,54.0,1000000,0
2012-07-12,10,52.55,52.55,52.55,52.55,1000000,0
2012-07-13,11,52.65,52.65,52.65,52.65,1000000,0
2012-07-16,14,52.7,52.7,52.7,52.7,1000000,0
2012-07-17,15,52.65,52.65,52.65,52.65,1000000,0
2012-07-18,16,52.55,52.55,52.55,52.55,1000000,0
2012-07-19,17,52.25,52.25,52.25,52.25,1000000,0
2012-07-20,18,52.2,52.2,52.2,52.2,1000000,0
2012-07-23,21,51.8,51.8,51.8,51.8,1000000,0
2012-07-24,22,51.85,51.85,51.85,51.85,1000000,0
2012-07-25,23,51.0,51.0,51.0,51.0,1000000,0
2012-07-26,24,50.1,50.1,50.1,50.1,1000000,0
2012-07-27,25,49.25,49.25,49.25,49.25,1000000,0
2012-07-30,28,49.3,49.3,49.3,49.3,1000000,0
2012-07-31,29,49.25,49.25,49.25,49.25,1000000,0
2012-08-01,30,49.45,49.45,49.45,49.45,1000000,0
2012-08-02,31,49.25,49.25,49.25,49.25,1000000,0
2012-08-03,32,49.7,49.7,49.7,49.7,1000000,0
2012-08-06,35,50.9,50.9,50.9,50.9,1000000,0
2012-08-07,36,50.5,50.5,50.5,50.5,1000000,0
2012-08-08,37,50.5,50.5,50.5,50.5,1000000,0
2012-08-09,38,49.65,49.65,49.65,49.65,1000000,0
2012-08-10,39,49.65,49.65,49.65,49.65,1000000,0
2012-08-13,42,49.55,49.55,49.55,49.55,1000000,0
2012-08-14,43,50.9,50.9,50.9,50.9,1000000,0
2012-08-16,45,48.5,48.5,48.5,48.5,1000000,0
2012-08-17,46,48.05,48.05,48.05,48.05,1000000,0
2012-08-21,50,48.6,48.6,48.6,48.6,1000000,0
2012-08-22,51,48.75,48.75,48.75,48.75,1000000,0
2012-08-23,52,49.35,49.35,49.35,49.35,1000000,0
2012-08-24,53,50.25,50.25,50.25,50.25,1000000,0
2012-08-27,56,50.0,50.0,50.0,50.0,1000000,0
2012-08-28,57,49.0,49.0,49.0,49.0,1000000,0
2012-08-29,58,48.8,48.8,48.8,48.8,1000000,0
2012-08-30,59,49.15,49.15,49.15,49.15,1000000,0
2012-08-31,60,49.05,49.05,49.05,49.05,1000000,0
2012-09-03,63,49.85,49.85,49.85,49.85,1000000,0
2012-09-04,64,50.0,50.0,50.0,50.0,1000000,0
2012-09-05,65,50.5,50.5,50.5,50.5,1000000,0
2012-09-06,66,50.4,50.4,50.4,50.4,1000000,0
2012-09-07,67,50.7,50.7,50.7,50.7,1000000,0
2012-09-10,70,51.65,51.65,51.65,51.65,1000000,0
2012-09-11,71,51.9,51.9,51.9,51.9,1000000,0
2012-09-12,72,52.3,52.3,52.3,52.3,1000000,0
2012-09-13,73,52.8,52.8,52.8,52.8,1000000,0
2012-09-14,74,53.6,53.6,53.6,53.6,1000000,0
2012-09-17,77,53.4,53.4,53.4,53.4,1000000,0
2012-09-18,78,53.15,53.15,53.15,53.15,1000000,0
2012-09-20,80,50.05,50.05,50.05,50.05,1000000,0
2012-09-21,81,49.85,49.85,49.85,49.85,1000000,0
2012-09-24,84,49.85,49.85,49.85,49.85,1000000,0
2012-09-25,85,49.85,49.85,49.85,49.85,1000000,0
2012-09-26,86,49.3,49.3,49.3,49.3,1000000,0
2012-09-27,87,49.5,49.5,49.5,49.5,1000000,0
2012-09-28,88,49.25,49.25,49.25,49.25,1000000,0
2012-10-01,91,49.5,49.5,49.5,49.5,1000000,0
2012-10-03,93,51.45,51.45,51.45,51.45,1000000,0
2012-10-04,94,51.2,51.2,51.2,51.2,1000000,0
2012-10-05,95,51.0,51.0,51.0,51.0,1000000,0
2012-10-08,98,51.0,51.0,51.0,51.0,1000000,0
2012-10-09,99,51.15,51.15,51.15,51.15,1000000,0
2012-10-10,100,50.85,50.85,50.85,50.85,1000000,0
2012-10-11,101,50.9,50.9,50.9,50.9,1000000,0
2012-10-12,102,50.7,50.7,50.7,50.7,1000000,0
2012-10-15,105,51.0,51.0,51.0,51.0,1000000,0
2012-10-16,106,50.5,50.5,50.5,50.5,1000000,0
2012-10-17,107,50.55,50.55,50.55,50.55,1000000,0
2012-10-18,108,51.1,51.1,51.1,51.1,1000000,0
2012-10-19,109,52.3,52.3,52.3,52.3,1000000,0
2012-10-22,112,52.8,52.8,52.8,52.8,1000000,0
2012-10-23,113,53.05,53.05,53.05,53.05,1000000,0
2012-10-25,115,52.9,52.9,52.9,52.9,1000000,0
2012-10-26,116,52.15,52.15,52.15,52.15,1000000,0
2012-10-29,119,51.5,51.5,51.5,51.5,1000000,0
2012-10-30,120,51.65,51.65,51.65,51.65,1000000,0
2012-10-31,121,51.0,51.0,51.0,51.0,1000000,0
2012-11-01,122,51.35,51.35,51.35,51.35,1000000,0
2012-11-02,123,52.0,52.0,52.0,52.0,1000000,0
2012-11-05,126,51.45,51.45,51.45,51.45,1000000,0
2012-11-06,127,51.45,51.45,51.45,51.45,1000000,0
2012-11-07,128,51.05,51.05,51.05,51.05,1000000,0
2012-11-08,129,51.05,51.05,51.05,51.05,1000000,0
2012-11-09,130,50.35,50.35,50.35,50.35,1000000,0
2012-11-12,133,50.25,50.25,50.25,50.25,1000000,0
2012-11-13,134,50.7,50.7,50.7,50.7,1000000,0
2012-11-15,136,50.2,50.2,50.2,50.2,1000000,0
2012-11-16,137,50.75,50.75,50.75,50.75,1000000,0
2012-11-19,140,50.25,50.25,50.25,50.25,1000000,0
2012-11-20,141,50.15,50.15,50.15,50.15,1000000,0
2012-11-21,142,50.4,50.4,50.4,50.4,1000000,0
2012-11-22,143,50.5,50.5,50.5,50.5,1000000,0
2012-11-23,144,50.5,50.5,50.5,50.5,1000000,0
2012-11-26,147,50.4,50.4,50.4,50.4,1000000,0
2012-11-27,148,50.8,50.8,50.8,50.8,1000000,0
2012-11-29,150,50.5,50.5,50.5,50.5,1000000,0
2012-11-30,151,50.95,50.95,50.95,50.95,1000000,0
2012-12-03,154,51.3,51.3,51.3,51.3,1000000,0
2012-12-04,155,51.45,51.45,51.45,51.45,1000000,0
2012-12-05,156,51.85,51.85,51.85,51.85,1000000,0
2012-12-06,157,51.2,51.2,51.2,51.2,1000000,0
2012-12-07,158,51.5,51.5,51.5,51.5,1000000,0
2012-12-10,161,51.65,51.65,51.65,51.65,1000000,0
2012-12-11,162,52.05,52.05,52.05,52.05,1000000,0
2012-12-12,163,52.05,52.05,52.05,52.05,1000000,0
2012-12-13,164,52.3,52.3,52.3,52.3,1000000,0
2012-12-14,165,51.9,51.9,51.9,51.9,1000000,0
2012-12-17,168,51.0,51.0,51.0,51.0,1000000,0
2012-12-18,169,50.75,50.75,50.75,50.75,1000000,0
2012-12-19,170,51.0,51.0,51.0,51.0,1000000,0
2012-12-20,171,50.55,50.55,50.55,50.55,1000000,0
2012-12-21,172,50.0,50.0,50.0,50.0,1000000,0
2012-12-24,175,50.9,50.9,50.9,50.9,1000000,0
2012-12-26,177,50.25,50.25,50.25,50.25,1000000,0
2012-12-27,178,50.05,50.05,50.05,50.05,1000000,0
2012-12-28,179,50.7,50.7,50.7,50.7,1000000,0
2012-12-31,182,50.4,50.4,50.4,50.4,1000000,0
2013-01-01,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-02,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-03,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-04,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-07,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-08,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-09,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-10,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-11,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-14,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-15,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-16,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-17,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-18,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-21,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-22,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-23,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-24,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-25,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-28,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-29,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-30,183,50.9,50.9,50.9,50.9,1000000,0
2013-01-31,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-01,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-04,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-05,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-06,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-07,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-08,183,50.9,50.9,50.9,50.9,1000000,0
2013-02-11,183,50.9,50.9,50.9,50.9,1000000,0
