Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,15.7,15.7,15.7,15.7,1000000,0
2012-07-03,1,15.95,15.95,15.95,15.95,1000000,0
2012-07-04,2,16.15,16.15,16.15,16.15,1000000,0
2012-07-05,3,16.25,16.25,16.25,16.25,1000000,0
2012-07-06,4,15.95,15.95,15.95,15.95,1000000,0
2012-07-09,7,15.3,15.3,15.3,15.3,1000000,0
2012-07-10,8,15.8,15.8,15.8,15.8,1000000,0
2012-07-11,9,15.85,15.85,15.85,15.85,1000000,0
2012-07-12,10,15.55,15.55,15.55,15.55,1000000,0
2012-07-13,11,15.45,15.45,15.45,15.45,1000000,0
2012-07-16,14,15.0,15.0,15.0,15.0,1000000,0
2012-07-17,15,14.6,14.6,14.6,14.6,1000000,0
2012-07-18,16,14.45,14.45,14.45,14.45,1000000,0
2012-07-19,17,14.75,14.75,14.75,14.75,1000000,0
2012-07-20,18,14.6,14.6,14.6,14.6,1000000,0
2012-07-23,21,13.8,13.8,13.8,13.8,1000000,0
2012-07-24,22,13.65,13.65,13.65,13.65,1000000,0
2012-07-25,23,13.15,13.15,13.15,13.15,1000000,0
2012-07-26,24,12.35,12.35,12.35,12.35,1000000,0
2012-07-27,25,12.35,12.35,12.35,12.35,1000000,0
2012-07-30,28,13.1,13.1,13.1,13.1,1000000,0
2012-07-31,29,12.95,12.95,12.95,12.95,1000000,0
2012-08-01,30,13.15,13.15,13.15,13.15,1000000,0
2012-08-02,31,13.65,13.65,13.65,13.65,1000000,0
2012-08-03,32,13.25,13.25,13.25,13.25,1000000,0
2012-08-06,35,13.45,13.45,13.45,13.45,1000000,0
2012-08-07,36,13.5,13.5,13.5,13.5,1000000,0
2012-08-08,37,12.8,12.8,12.8,12.8,1000000,0
2012-08-09,38,12.55,12.55,12.55,12.55,1000000,0
2012-08-10,39,12.4,12.4,12.4,12.4,1000000,0
2012-08-13,42,12.75,12.75,12.75,12.75,1000000,0
2012-08-14,43,13.0,13.0,13.0,13.0,1000000,0
2012-08-16,45,12.8,12.8,12.8,12.8,1000000,0
2012-08-17,46,12.55,12.55,12.55,12.55,1000000,0
2012-08-21,50,12.75,12.75,12.75,12.75,1000000,0
2012-08-22,51,12.55,12.55,12.55,12.55,1000000,0
2012-08-23,52,12.4,12.4,12.4,12.4,1000000,0
2012-08-24,53,12.65,12.65,12.65,12.65,1000000,0
2012-08-27,56,12.05,12.05,12.05,12.05,1000000,0
2012-08-28,57,11.7,11.7,11.7,11.7,1000000,0
2012-08-29,58,11.3,11.3,11.3,11.3,1000000,0
2012-08-30,59,11.0,11.0,11.0,11.0,1000000,0
2012-08-31,60,11.15,11.15,11.15,11.15,1000000,0
