Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,79.3,79.3,79.3,79.3,1000000,0
2012-07-03,1,79.05,79.05,79.05,79.05,1000000,0
2012-07-04,2,78.5,78.5,78.5,78.5,1000000,0
2012-07-05,3,78.45,78.45,78.45,78.45,1000000,0
2012-07-06,4,74.05,74.05,74.05,74.05,1000000,0
2012-07-09,7,75.0,75.0,75.0,75.0,1000000,0
2012-07-10,8,79.35,79.35,79.35,79.35,1000000,0
2012-07-11,9,78.05,78.05,78.05,78.05,1000000,0
2012-07-12,10,76.8,76.8,76.8,76.8,1000000,0
2012-07-13,11,76.4,76.4,76.4,76.4,1000000,0
2012-07-16,14,75.3,75.3,75.3,75.3,1000000,0
2012-07-17,15,75.5,75.5,75.5,75.5,1000000,0
2012-07-18,16,74.75,74.75,74.75,74.75,1000000,0
2012-07-19,17,75.75,75.75,75.75,75.75,1000000,0
2012-07-20,18,76.5,76.5,76.5,76.5,1000000,0
2012-07-23,21,76.15,76.15,76.15,76.15,1000000,0
2012-07-24,22,74.9,74.9,74.9,74.9,1000000,0
2012-07-25,23,73.3,73.3,73.3,73.3,1000000,0
2012-07-26,24,72.75,72.75,72.75,72.75,1000000,0
2012-07-27,25,70.65,70.65,70.65,70.65,1000000,0
2012-07-30,28,69.75,69.75,69.75,69.75,1000000,0
2012-07-31,29,71.5,71.5,71.5,71.5,1000000,0
2012-08-01,30,70.5,70.5,70.5,70.5,1000000,0
2012-08-02,31,71.55,71.55,71.55,71.55,1000000,0
2012-08-03,32,70.65,70.65,70.65,70.65,1000000,0
2012-08-06,35,71.5,71.5,71.5,71.5,1000000,0
2012-08-07,36,73.9,73.9,73.9,73.9,1000000,0
2012-08-08,37,72.35,72.35,72.35,72.35,1000000,0
2012-08-09,38,71.3,71.3,71.3,71.3,1000000,0
2012-08-10,39,71.1,71.1,71.1,71.1,1000000,0
2012-08-13,42,72.45,72.45,72.45,72.45,1000000,0
2012-08-14,43,71.9,71.9,71.9,71.9,1000000,0
2012-08-16,45,74.25,74.25,74.25,74.25,1000000,0
2012-08-17,46,75.55,75.55,75.55,75.55,1000000,0
2012-08-21,50,73.8,73.8,73.8,73.8,1000000,0
2012-08-22,51,74.5,74.5,74.5,74.5,1000000,0
2012-08-23,52,73.15,73.15,73.15,73.15,1000000,0
2012-08-24,53,72.6,72.6,72.6,72.6,1000000,0
2012-08-27,56,72.65,72.65,72.65,72.65,1000000,0
2012-08-28,57,72.05,72.05,72.05,72.05,1000000,0
