Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,35.64,35.64,35.64,35.64,1000000,0
2012-07-03,1,35.81,35.81,35.81,35.81,1000000,0
2012-07-04,2,37.38,37.38,37.38,37.38,1000000,0
2012-07-05,3,37.84,37.84,37.84,37.84,1000000,0
2012-07-06,4,37.75,37.75,37.75,37.75,1000000,0
2012-07-09,7,39.99,39.99,39.99,39.99,1000000,0
2012-07-10,8,39.14,39.14,39.14,39.14,1000000,0
2012-07-11,9,39.03,39.03,39.03,39.03,1000000,0
2012-07-12,10,39.25,39.25,39.25,39.25,1000000,0
2012-07-13,11,39.12,39.12,39.12,39.12,1000000,0
2012-07-16,14,38.82,38.82,38.82,38.82,1000000,0
2012-07-17,15,38.06,38.06,38.06,38.06,1000000,0
2012-07-18,16,37.76,37.76,37.76,37.76,1000000,0
2012-07-19,17,39.15,39.15,39.15,39.15,1000000,0
2012-07-20,18,39.61,39.61,39.61,39.61,1000000,0
2012-07-23,21,39.95,39.95,39.95,39.95,1000000,0
2012-07-24,22,39.35,39.35,39.35,39.35,1000000,0
2012-07-25,23,39.22,39.22,39.22,39.22,1000000,0
2012-07-26,24,38.67,38.67,38.67,38.67,1000000,0
2012-07-27,25,36.97,36.97,36.97,36.97,1000000,0
2012-07-30,28,37.22,37.22,37.22,37.22,1000000,0
2012-07-31,29,37.78,37.78,37.78,37.78,1000000,0
2012-08-01,30,37.6,37.6,37.6,37.6,1000000,0
2012-08-02,31,37.0,37.0,37.0,37.0,1000000,0
2012-08-03,32,37.02,37.02,37.02,37.02,1000000,0
2012-08-06,35,37.48,37.48,37.48,37.48,1000000,0
2012-08-07,36,37.44,37.44,37.44,37.44,1000000,0
2012-08-08,37,36.94,36.94,36.94,36.94,1000000,0
2012-08-09,38,36.64,36.64,36.64,36.64,1000000,0
2012-08-10,39,36.15,36.15,36.15,36.15,1000000,0
2012-08-13,42,36.26,36.26,36.26,36.26,1000000,0
2012-08-14,43,37.12,37.12,37.12,37.12,1000000,0
2012-08-16,45,36.9,36.9,36.9,36.9,1000000,0
2012-08-17,46,36.81,36.81,36.81,36.81,1000000,0
2012-08-21,50,37.13,37.13,37.13,37.13,1000000,0
2012-08-22,51,35.62,35.62,35.62,35.62,1000000,0
2012-08-23,52,36.71,36.71,36.71,36.71,1000000,0
2012-08-24,53,35.67,35.67,35.67,35.67,1000000,0
2012-08-27,56,35.02,35.02,35.02,35.02,1000000,0
2012-08-28,57,34.93,34.93,34.93,34.93,1000000,0
2012-08-29,58,34.81,34.81,34.81,34.81,1000000,0
2012-08-30,59,35.84,35.84,35.84,35.84,1000000,0
2012-08-31,60,36.42,36.42,36.42,36.42,1000000,0
2012-09-03,63,36.85,36.85,36.85,36.85,1000000,0
2012-09-04,64,38.23,38.23,38.23,38.23,1000000,0
2012-09-05,65,39.83,39.83,39.83,39.83,1000000,0
2012-09-06,66,42.61,42.61,42.61,42.61,1000000,0
2012-09-07,67,41.65,41.65,41.65,41.65,1000000,0
2012-09-10,70,42.61,42.61,42.61,42.61,1000000,0
2012-09-11,71,42.5,42.5,42.5,42.5,1000000,0
2012-09-12,72,43.83,43.83,43.83,43.83,1000000,0
2012-09-13,73,42.6,42.6,42.6,42.6,1000000,0
2012-09-14,74,43.7,43.7,43.7,43.7,1000000,0
2012-09-17,77,44.02,44.02,44.02,44.02,1000000,0
2012-09-18,78,44.16,44.16,44.16,44.16,1000000,0
2012-09-20,80,43.16,43.16,43.16,43.16,1000000,0
2012-09-21,81,44.02,44.02,44.02,44.02,1000000,0
2012-09-24,84,44.07,44.07,44.07,44.07,1000000,0
2012-09-25,85,43.62,43.62,43.62,43.62,1000000,0
2012-09-26,86,43.3,43.3,43.3,43.3,1000000,0
2012-09-27,87,44.37,44.37,44.37,44.37,1000000,0
2012-09-28,88,45.3,45.3,45.3,45.3,1000000,0
2012-10-01,91,46.61,46.61,46.61,46.61,1000000,0
2012-10-03,93,46.48,46.48,46.48,46.48,1000000,0
2012-10-04,94,47.1,47.1,47.1,47.1,1000000,0
2012-10-05,95,44.68,44.68,44.68,44.68,1000000,0
2012-10-08,98,44.39,44.39,44.39,44.39,1000000,0
2012-10-09,99,44.88,44.88,44.88,44.88,1000000,0
2012-10-10,100,43.45,43.45,43.45,43.45,1000000,0
2012-10-11,101,44.22,44.22,44.22,44.22,1000000,0
2012-10-12,102,44.52,44.52,44.52,44.52,1000000,0
2012-10-15,105,43.37,43.37,43.37,43.37,1000000,0
2012-10-16,106,44.44,44.44,44.44,44.44,1000000,0
2012-10-17,107,46.97,46.97,46.97,46.97,1000000,0
2012-10-18,108,48.78,48.78,48.78,48.78,1000000,0
2012-10-19,109,46.76,46.76,46.76,46.76,1000000,0
2012-10-22,112,46.51,46.51,46.51,46.51,1000000,0
2012-10-23,113,47.08,47.08,47.08,47.08,1000000,0
2012-10-25,115,47.44,47.44,47.44,47.44,1000000,0
2012-10-26,116,46.28,46.28,46.28,46.28,1000000,0
2012-10-29,119,45.02,45.02,45.02,45.02,1000000,0
2012-10-30,120,46.0,46.0,46.0,46.0,1000000,0
2012-10-31,121,46.89,46.89,46.89,46.89,1000000,0
2012-11-01,122,47.25,47.25,47.25,47.25,1000000,0
2012-11-02,123,47.23,47.23,47.23,47.23,1000000,0
2012-11-05,126,47.08,47.08,47.08,47.08,1000000,0
2012-11-06,127,47.83,47.83,47.83,47.83,1000000,0
2012-11-07,128,48.68,48.68,48.68,48.68,1000000,0
2012-11-08,129,47.55,47.55,47.55,47.55,1000000,0
2012-11-09,130,47.74,47.74,47.74,47.74,1000000,0
2012-11-12,133,48.41,48.41,48.41,48.41,1000000,0
2012-11-13,134,48.21,48.21,48.21,48.21,1000000,0
2012-11-15,136,50.96,50.96,50.96,50.96,1000000,0
2012-11-16,137,53.0,53.0,53.0,53.0,1000000,0
2012-11-19,140,53.08,53.08,53.08,53.08,1000000,0
2012-11-20,141,51.7,51.7,51.7,51.7,1000000,0
2012-11-21,142,52.54,52.54,52.54,52.54,1000000,0
2012-11-22,143,51.95,51.95,51.95,51.95,1000000,0
2012-11-23,144,52.09,52.09,52.09,52.09,1000000,0
2012-11-26,147,53.21,53.21,53.21,53.21,1000000,0
2012-11-27,148,54.02,54.02,54.02,54.02,1000000,0
2012-11-29,150,54.18,54.18,54.18,54.18,1000000,0
2012-11-30,151,54.32,54.32,54.32,54.32,1000000,0
2012-12-03,154,55.59,55.59,55.59,55.59,1000000,0
2012-12-04,155,56.11,56.11,56.11,56.11,1000000,0
2012-12-05,156,55.84,55.84,55.84,55.84,1000000,0
2012-12-06,157,55.05,55.05,55.05,55.05,1000000,0
2012-12-07,158,55.75,55.75,55.75,55.75,1000000,0
2012-12-10,161,55.22,55.22,55.22,55.22,1000000,0
2012-12-11,162,54.1,54.1,54.1,54.1,1000000,0
2012-12-12,163,54.99,54.99,54.99,54.99,1000000,0
2012-12-13,164,55.03,55.03,55.03,55.03,1000000,0
2012-12-14,165,55.26,55.26,55.26,55.26,1000000,0
2012-12-17,168,55.05,55.05,55.05,55.05,1000000,0
2012-12-18,169,59.04,59.04,59.04,59.04,1000000,0
2012-12-19,170,60.22,60.22,60.22,60.22,1000000,0
2012-12-20,171,59.85,59.85,59.85,59.85,1000000,0
2012-12-21,172,55.98,55.98,55.98,55.98,1000000,0
2012-12-24,175,54.91,54.91,54.91,54.91,1000000,0
