Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,260.85,260.85,260.85,260.85,1000000,0
2012-07-03,1,262.85,262.85,262.85,262.85,1000000,0
2012-07-04,2,262.65,262.65,262.65,262.65,1000000,0
2012-07-05,3,268.9,268.9,268.9,268.9,1000000,0
2012-07-06,4,265.05,265.05,265.05,265.05,1000000,0
2012-07-09,7,258.55,258.55,258.55,258.55,1000000,0
2012-07-10,8,262.65,262.65,262.65,262.65,1000000,0
2012-07-11,9,260.6,260.6,260.6,260.6,1000000,0
2012-07-12,10,257.25,257.25,257.25,257.25,1000000,0
2012-07-13,11,254.4,254.4,254.4,254.4,1000000,0
2012-07-16,14,250.9,250.9,250.9,250.9,1000000,0
2012-07-17,15,249.0,249.0,249.0,249.0,1000000,0
2012-07-18,16,248.8,248.8,248.8,248.8,1000000,0
2012-07-19,17,251.45,251.45,251.45,251.45,1000000,0
2012-07-20,18,251.4,251.4,251.4,251.4,1000000,0
2012-07-23,21,245.7,245.7,245.7,245.7,1000000,0
2012-07-24,22,246.5,246.5,246.5,246.5,1000000,0
2012-07-25,23,247.65,247.65,247.65,247.65,1000000,0
2012-07-26,24,240.5,240.5,240.5,240.5,1000000,0
2012-07-27,25,239.8,239.8,239.8,239.8,1000000,0
2012-07-30,28,246.65,246.65,246.65,246.65,1000000,0
2012-07-31,29,247.85,247.85,247.85,247.85,1000000,0
2012-08-01,30,247.9,247.9,247.9,247.9,1000000,0
2012-08-02,31,248.85,248.85,248.85,248.85,1000000,0
2012-08-03,32,246.5,246.5,246.5,246.5,1000000,0
2012-08-06,35,248.65,248.65,248.65,248.65,1000000,0
2012-08-07,36,250.15,250.15,250.15,250.15,1000000,0
2012-08-08,37,282.45,282.45,282.45,282.45,1000000,0
2012-08-09,38,269.8,269.8,269.8,269.8,1000000,0
2012-08-10,39,265.65,265.65,265.65,265.65,1000000,0
2012-08-13,42,274.6,274.6,274.6,274.6,1000000,0
2012-08-14,43,274.4,274.4,274.4,274.4,1000000,0
2012-08-16,45,271.3,271.3,271.3,271.3,1000000,0
2012-08-17,46,262.85,262.85,262.85,262.85,1000000,0
2012-08-21,50,262.75,262.75,262.75,262.75,1000000,0
2012-08-22,51,263.85,263.85,263.85,263.85,1000000,0
2012-08-23,52,264.1,264.1,264.1,264.1,1000000,0
2012-08-24,53,260.9,260.9,260.9,260.9,1000000,0
2012-08-27,56,257.45,257.45,257.45,257.45,1000000,0
2012-08-28,57,248.55,248.55,248.55,248.55,1000000,0
2012-08-29,58,248.15,248.15,248.15,248.15,1000000,0
2012-08-30,59,251.9,251.9,251.9,251.9,1000000,0
2012-08-31,60,256.7,256.7,256.7,256.7,1000000,0
2012-09-03,63,255.3,255.3,255.3,255.3,1000000,0
2012-09-04,64,255.25,255.25,255.25,255.25,1000000,0
2012-09-05,65,254.0,254.0,254.0,254.0,1000000,0
2012-09-06,66,259.3,259.3,259.3,259.3,1000000,0
2012-09-07,67,267.2,267.2,267.2,267.2,1000000,0
2012-09-10,70,263.15,263.15,263.15,263.15,1000000,0
2012-09-11,71,261.85,261.85,261.85,261.85,1000000,0
2012-09-12,72,264.65,264.65,264.65,264.65,1000000,0
2012-09-13,73,267.85,267.85,267.85,267.85,1000000,0
2012-09-14,74,269.3,269.3,269.3,269.3,1000000,0
2012-09-17,77,271.4,271.4,271.4,271.4,1000000,0
2012-09-18,78,271.0,271.0,271.0,271.0,1000000,0
2012-09-20,80,266.15,266.15,266.15,266.15,1000000,0
2012-09-21,81,267.4,267.4,267.4,267.4,1000000,0
2012-09-24,84,267.0,267.0,267.0,267.0,1000000,0
2012-09-25,85,264.9,264.9,264.9,264.9,1000000,0
2012-09-26,86,263.15,263.15,263.15,263.15,1000000,0
2012-09-27,87,263.65,263.65,263.65,263.65,1000000,0
2012-09-28,88,263.05,263.05,263.05,263.05,1000000,0
2012-10-01,91,263.9,263.9,263.9,263.9,1000000,0
2012-10-03,93,265.2,265.2,265.2,265.2,1000000,0
2012-10-04,94,265.95,265.95,265.95,265.95,1000000,0
2012-10-05,95,261.1,261.1,261.1,261.1,1000000,0
2012-10-08,98,260.35,260.35,260.35,260.35,1000000,0
2012-10-09,99,263.95,263.95,263.95,263.95,1000000,0
2012-10-10,100,261.75,261.75,261.75,261.75,1000000,0
2012-10-11,101,262.7,262.7,262.7,262.7,1000000,0
2012-10-12,102,259.75,259.75,259.75,259.75,1000000,0
2012-10-15,105,258.3,258.3,258.3,258.3,1000000,0
2012-10-16,106,256.9,256.9,256.9,256.9,1000000,0
2012-10-17,107,255.25,255.25,255.25,255.25,1000000,0
2012-10-18,108,258.4,258.4,258.4,258.4,1000000,0
2012-10-19,109,259.3,259.3,259.3,259.3,1000000,0
2012-10-22,112,255.85,255.85,255.85,255.85,1000000,0
2012-10-23,113,264.5,264.5,264.5,264.5,1000000,0
2012-10-25,115,260.0,260.0,260.0,260.0,1000000,0
2012-10-26,116,255.95,255.95,255.95,255.95,1000000,0
2012-10-29,119,253.35,253.35,253.35,253.35,1000000,0
2012-10-30,120,248.55,248.55,248.55,248.55,1000000,0
2012-10-31,121,250.55,250.55,250.55,250.55,1000000,0
2012-11-01,122,254.15,254.15,254.15,254.15,1000000,0
2012-11-02,123,268.95,268.95,268.95,268.95,1000000,0
2012-11-05,126,261.05,261.05,261.05,261.05,1000000,0
2012-11-06,127,258.8,258.8,258.8,258.8,1000000,0
2012-11-07,128,258.8,258.8,258.8,258.8,1000000,0
2012-11-08,129,256.45,256.45,256.45,256.45,1000000,0
2012-11-09,130,254.3,254.3,254.3,254.3,1000000,0
2012-11-12,133,255.7,255.7,255.7,255.7,1000000,0
2012-11-13,134,255.2,255.2,255.2,255.2,1000000,0
2012-11-15,136,250.7,250.7,250.7,250.7,1000000,0
2012-11-16,137,250.65,250.65,250.65,250.65,1000000,0
2012-11-19,140,252.9,252.9,252.9,252.9,1000000,0
2012-11-20,141,247.9,247.9,247.9,247.9,1000000,0
2012-11-21,142,239.2,239.2,239.2,239.2,1000000,0
2012-11-22,143,266.15,266.15,266.15,266.15,1000000,0
2012-11-23,144,212.95,212.95,212.95,212.95,1000000,0
2012-11-26,147,170.4,170.4,170.4,170.4,1000000,0
2012-11-27,148,153.4,153.4,153.4,153.4,1000000,0
2012-11-29,150,152.55,152.55,152.55,152.55,1000000,0
2012-11-30,151,153.55,153.55,153.55,153.55,1000000,0
2012-12-03,154,152.8,152.8,152.8,152.8,1000000,0
2012-12-04,155,151.05,151.05,151.05,151.05,1000000,0
2012-12-05,156,151.45,151.45,151.45,151.45,1000000,0
2012-12-06,157,150.75,150.75,150.75,150.75,1000000,0
2012-12-07,158,149.0,149.0,149.0,149.0,1000000,0
2012-12-10,161,150.35,150.35,150.35,150.35,1000000,0
2012-12-11,162,149.7,149.7,149.7,149.7,1000000,0
2012-12-12,163,148.9,148.9,148.9,148.9,1000000,0
2012-12-13,164,146.6,146.6,146.6,146.6,1000000,0
2012-12-14,165,142.65,142.65,142.65,142.65,1000000,0
2012-12-17,168,142.2,142.2,142.2,142.2,1000000,0
2012-12-18,169,141.25,141.25,141.25,141.25,1000000,0
2012-12-19,170,140.95,140.95,140.95,140.95,1000000,0
2012-12-20,171,137.45,137.45,137.45,137.45,1000000,0
2012-12-21,172,138.2,138.2,138.2,138.2,1000000,0
2012-12-24,175,138.85,138.85,138.85,138.85,1000000,0
2012-12-26,177,137.45,137.45,137.45,137.45,1000000,0
2012-12-27,178,136.4,136.4,136.4,136.4,1000000,0
2012-12-28,179,136.95,136.95,136.95,136.95,1000000,0
2012-12-31,182,142.4,142.4,142.4,142.4,1000000,0
2013-01-01,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-02,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-03,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-04,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-07,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-08,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-09,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-10,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-11,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-14,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-15,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-16,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-17,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-18,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-21,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-22,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-23,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-24,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-25,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-28,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-29,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-30,183,143.05,143.05,143.05,143.05,1000000,0
2013-01-31,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-01,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-04,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-05,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-06,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-07,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-08,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-11,183,143.05,143.05,143.05,143.05,1000000,0
2013-02-12,183,143.05,143.05,143.05,143.05,1000000,0
