Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,286.975,286.975,286.975,286.975,1,0
2012-07-03,1,287.925,287.925,287.925,287.925,1,0
2012-07-04,2,289.0,289.0,289.0,289.0,1,0
2012-07-05,3,292.05,292.05,292.05,292.05,1,0
2012-07-06,4,290.75,290.75,290.75,290.75,1,0
2012-07-09,7,289.075,289.075,289.075,289.075,1,0
2012-07-10,8,294.325,294.325,294.325,294.325,1,0
2012-07-11,9,293.5,293.5,293.5,293.5,1,0
2012-07-12,10,290.05,290.05,290.05,290.05,1,0
2012-07-13,11,293.525,293.525,293.525,293.525,1,0
2012-07-16,14,291.325,291.325,291.325,291.325,1,0
2012-07-17,15,291.625,291.625,291.625,291.625,1,0
2012-07-18,16,293.5,293.5,293.5,293.5,1,0
2012-07-19,17,294.7,294.7,294.7,294.7,1,0
2012-07-20,18,291.3,291.3,291.3,291.3,1,0
2012-07-23,21,286.5,286.5,286.5,286.5,1,0
2012-07-24,22,287.025,287.025,287.025,287.025,1,0
2012-07-25,23,288.025,288.025,288.025,288.025,1,0
2012-07-26,24,282.9,282.9,282.9,282.9,1,0
2012-07-27,25,292.3,292.3,292.3,292.3,1,0
2012-07-30,28,293.625,293.625,293.625,293.625,1,0
2012-07-31,29,293.875,293.875,293.875,293.875,1,0
2012-08-01,30,293.25,293.25,293.25,293.25,1,0
2012-08-02,31,291.25,291.25,291.25,291.25,1,0
2012-08-03,32,294.1,294.1,294.1,294.1,1,0
2012-08-06,35,300.125,300.125,300.125,300.125,1,0
2012-08-07,36,300.05,300.05,300.05,300.05,1,0
2012-08-08,37,299.45,299.45,299.45,299.45,1,0
2012-08-09,38,302.325,302.325,302.325,302.325,1,0
2012-08-10,39,301.075,301.075,301.075,301.075,1,0
2012-08-13,42,303.725,303.725,303.725,303.725,1,0
2012-08-14,43,304.075,304.075,304.075,304.075,1,0
2012-08-16,45,300.025,300.025,300.025,300.025,1,0
2012-08-17,46,297.55,297.55,297.55,297.55,1,0
2012-08-21,50,298.2,298.2,298.2,298.2,1,0
2012-08-22,51,298.45,298.45,298.45,298.45,1,0
2012-08-23,52,298.85,298.85,298.85,298.85,1,0
2012-08-24,53,298.15,298.15,298.15,298.15,1,0
2012-08-27,56,297.175,297.175,297.175,297.175,1,0
2012-08-28,57,294.675,294.675,294.675,294.675,1,0
2012-08-29,58,294.275,294.275,294.275,294.275,1,0
2012-08-30,59,297.95,297.95,297.95,297.95,1,0
2012-08-31,60,297.675,297.675,297.675,297.675,1,0
2012-09-03,63,295.225,295.225,295.225,295.225,1,0
2012-09-04,64,295.05,295.05,295.05,295.05,1,0
2012-09-05,65,296.05,296.05,296.05,296.05,1,0
2012-09-06,66,294.075,294.075,294.075,294.075,1,0
2012-09-07,67,295.2,295.2,295.2,295.2,1,0
2012-09-10,70,295.575,295.575,295.575,295.575,1,0
2012-09-11,71,297.2,297.2,297.2,297.2,1,0
2012-09-12,72,299.6,299.6,299.6,299.6,1,0
